wavelength,flux,ivar
3349.5928,1.3193,10.4696
3349.6256,0.9507,5.1259
3349.6584,0.9291,4.8204
3349.6912,0.666,2.6662
3349.724,1.0449,6.7594
3349.7568,1.1275,7.1037
3349.7896,1.1594,6.9571
3349.8224,1.2814,10.3417
3349.8552,0.9874,5.8123
3349.8881,1.0508,7.1688
3349.9209,1.5211,13.0855
3349.9537,1.2676,9.187
3349.9865,0.8387,4.6542
3350.0193,1.0528,7.1244
3350.0521,0.8355,4.3829
3350.0849,0.7536,3.2461
3350.1177,0.5103,2.4838
3350.1505,0.919,5.2748
3350.1833,1.6956,17.4294
3350.2161,1.4747,14.8264
3350.2489,0.945,7.5777
3350.2817,1.5097,13.8003
3350.3145,1.6385,15.1924
3350.3473,1.8063,18.8829
3350.3801,1.2735,9.4865
3350.4129,0.8675,4.3487
3350.4457,1.0435,8.2435
3350.4785,1.0595,7.4956
3350.5113,1.2078,8.5633
3350.5442,1.0879,6.6127
3350.577,0.9236,5.5903
3350.6098,0.5135,2.2615
3350.6426,1.1662,7.5783
3350.6754,1.2984,9.5261
3350.7082,1.0326,6.2675
3350.741,0.9847,6.3182
3350.7738,1.3372,11.2938
3350.8066,1.046,6.2748
3350.8394,0.8454,4.3263
3350.8722,0.7648,3.5338
3350.905,0.7165,4.0237
3350.9378,1.6456,15.5627
3350.9706,1.2444,9.4675
3351.0034,0.7128,3.7877
3351.0362,1.57,14.2267
3351.069,1.6322,16.2808
3351.1018,0.8448,4.3853
3351.1346,0.7446,3.7566
3351.1674,0.9901,6.7
3351.2002,0.9054,5.6258
3351.2331,0.8804,4.6874
3351.2659,0.9273,5.1329
3351.2987,1.1205,7.6749
3351.3315,1.3605,11.3825
3351.3643,1.0352,6.7937
3351.3971,1.3047,10.5608
3351.4299,0.8748,5.7087
3351.4627,1.0954,7.883
3351.4955,1.1906,8.6531
3351.5283,1.0417,7.0521
3351.5611,0.4234,1.5407
3351.5939,0.9987,6.1228
3351.6267,0.5754,2.1623
3351.6595,0.8985,5.3862
3351.6923,1.3413,11.4925
3351.7251,1.2403,9.7489
3351.7579,0.8342,4.4661
3351.7907,0.7797,4.6341
3351.8235,1.0003,6.8923
3351.8563,0.9113,5.4349
3351.8892,1.3234,10.5494
3351.922,1.1718,8.5171
3351.9548,1.3894,13.0149
3351.9876,1.3904,11.8779
3352.0204,1.1824,9.6454
3352.0532,1.1583,9.1613
3352.086,0.8321,4.7818
3352.1188,0.8949,5.7575
3352.1516,1.2307,9.9396
3352.1844,0.8085,6.1077
3352.2172,0.8082,5.5355
3352.25,1.1342,8.3983
3352.2828,1.1416,11.822
3352.3156,0.9054,5.9205
3352.3484,0.789,2.5968
3352.3812,0.9095,4.8281
3352.414,0.7696,4.429
3352.4468,0.9599,6.3294
3352.4796,0.9231,6.0994
3352.5124,1.2756,11.0189
3352.5452,1.2277,10.952
3352.5781,0.8806,5.9028
3352.6109,0.957,6.1553
3352.6437,1.2743,11.5772
3352.6765,1.0302,7.5438
3352.7093,0.9889,7.2142
3352.7421,0.648,3.4055
3352.7749,1.0739,8.2322
3352.8077,0.8964,5.8558
3352.8405,0.953,6.4129
3352.8733,0.997,7.4484
3352.9061,1.2918,11.9851
3352.9389,1.169,9.8405
3352.9717,0.8493,4.8614
3353.0045,1.1124,8.9696
3353.0373,1.048,7.484
3353.0701,1.0365,8.01
3353.1029,0.727,4.1586
3353.1357,1.0906,7.96
3353.1685,1.1733,9.0573
3353.2013,1.0444,7.604
3353.2342,1.6454,16.6865
3353.267,0.904,6.5803
3353.2998,1.3222,11.0046
3353.3326,1.0128,7.4132
3353.3654,0.6219,4.1616
3353.3982,1.5277,15.8211
3353.431,1.356,12.1928
3353.4638,1.2829,11.5043
3353.4966,1.0673,8.6872
3353.5294,0.8826,6.3435
3353.5622,1.419,13.9436
3353.595,1.1069,9.2802
3353.6278,0.6728,3.7821
3353.6606,1.2794,12.2336
3353.6934,1.2092,7.8682
3353.7262,0.6564,3.9278
3353.759,0.9663,6.226
3353.7918,0.781,4.7295
3353.8246,1.1054,9.1983
3353.8574,0.779,4.6172
3353.8902,0.6227,2.9367
3353.9231,0.5501,2.7111
3353.9559,0.8859,5.5678
3353.9887,0.4133,3.1641
3354.0215,0.8959,5.5486
3354.0543,0.9038,6.1363
3354.0871,0.9895,7.2529
3354.1199,1.1295,9.8868
3354.1527,1.1284,9.4442
3354.1855,1.54,16.6397
3354.2183,1.2156,10.7686
3354.2511,0.6227,3.0476
3354.2839,1.1072,6.9477
3354.3167,1.0609,8.3925
3354.3495,0.7141,4.1165
3354.3823,0.8381,5.5126
3354.4151,1.4366,13.3106
3354.4479,1.0766,8.2414
3354.4807,0.9612,6.5385
3354.5135,1.287,11.1966
3354.5463,1.4238,15.2361
3354.5792,1.423,15.6003
3354.612,1.0035,8.158
3354.6448,1.1498,6.9787
3354.6776,1.5044,15.5274
3354.7104,1.5614,18.185
3354.7432,1.0516,9.4189
3354.776,1.4153,13.913
3354.8088,1.1353,9.0545
3354.8416,1.0562,8.0579
3354.8744,0.7692,4.3629
3354.9072,0.826,5.1759
3354.94,1.3345,12.736
3354.9728,1.2405,12.4426
