year,month,lat,lon,mucape_jkg,shr6_ms,tcw_kgm2,hmelt_m,flh_m
2014,9,7.5,7.75,1528,7.44,48.81,4544,4823
2014,9,-5.0,304.0,4496,8.69,45.35,4710,4874
2014,9,13.0,273.25,1313,2.98,54.5,4590,4888
2014,9,18.5,105.5,2077,5.32,55.43,4987,5156
2014,9,15.75,108.0,1778,2.77,50.42,4831,5103
2014,9,32.25,74.75,3400,6.54,39.9,4644,4904
2014,9,9.25,15.5,3220,4.56,46.54,4476,4884
2014,9,2.75,19.75,3613,6.19,49.56,4528,4925
2014,9,23.0,277.0,2788,8.82,54.99,4535,4639
2014,9,-9.5,290.0,3081,3.06,46.77,4744,4979
2014,9,10.75,290.0,1533,5.58,50.08,4243,4789
2014,9,3.5,293.25,4355,9.05,52.47,4704,4809
2014,9,20.5,271.5,2072,6.52,55.6,4452,4558
2014,9,-4.25,23.25,2894,4.96,44.3,4572,5077
2014,9,14.25,352.25,3952,10.9,45.98,4372,4726
2014,9,14.75,353.0,3218,12.3,44.48,4341,4623
2014,9,22.75,279.25,1509,6.29,52.27,4623,4730
2014,9,-27.0,300.5,2567,24.1,43.74,4541,4613
2014,9,-27.75,301.25,2448,27.09,44.12,4210,4269
2014,9,-0.5,102.25,1984,5.68,55.86,4897,4972
2014,9,-2.75,101.5,1748,6.86,55.14,4675,4966
2014,9,8.0,27.5,2887,1.48,45.77,4295,4772
2014,9,9.75,294.75,1955,3.51,49.86,4836,4928
2014,9,-2.5,299.25,2371,7.34,56.73,4754,4838
2014,9,14.0,348.0,3014,11.79,45.88,4552,4648
2014,9,8.0,359.5,2110,9.31,49.65,4567,4671
2014,9,20.25,284.0,1614,10.59,47.86,4744,4970
2014,9,12.75,99.25,1520,1.17,48.67,4554,5116
2014,9,8.0,99.75,1607,3.86,51.75,5007,5093
2014,9,3.5,101.5,1714,5.58,53.17,4819,4958
2014,9,9.5,77.0,2538,3.87,51.22,4341,4962
2014,9,-8.25,289.25,1608,6.99,45.71,4594,4809
2014,9,17.25,42.75,2775,9.74,41.63,4642,4784
2014,9,16.5,43.25,2900,9.21,40.38,4420,4816
2014,9,20.5,285.0,2034,1.3,46.11,4356,4672
2014,9,9.75,289.25,2232,12.76,42.23,4668,4913
2014,9,-7.0,296.0,2180,6.86,47.47,4766,4862
2014,9,-14.5,300.25,1901,1.92,46.67,4507,4806
2014,9,-24.25,305.5,4542,16.24,52.05,4521,4826
2014,9,-24.75,305.5,3565,19.48,51.87,4473,4747
2014,9,13.0,102.0,1275,3.11,57.33,4632,4819
2014,9,8.75,80.25,1487,8.63,51.82,4910,4992
2014,9,10.25,32.75,2594,10.31,49.98,4244,4636
2014,9,6.0,33.25,2589,9.22,47.66,4159,4592
2014,10,-22.75,297.75,1624,12.48,52.94,4706,4931
2014,10,-21.75,297.0,2877,5.8,49.67,4581,4922
2014,10,7.75,18.75,1667,9.61,50.03,4233,4651
2014,10,-2.0,297.75,1417,9.0,50.59,4603,4699
2014,10,-4.75,298.75,1887,10.08,55.84,4625,4724
2014,10,-5.75,300.0,2706,7.68,55.0,4398,4496
2014,10,-8.25,300.5,1742,9.4,50.81,4481,4627
2014,10,-12.25,300.5,2132,7.14,45.1,4226,4609
2014,10,1.25,16.0,2073,6.12,48.84,4349,4753
2014,10,-12.0,289.5,1912,3.64,52.33,4490,4847
2014,10,0.5,24.25,3089,5.87,48.5,4456,4869
2014,10,8.5,32.75,3623,4.29,50.46,4316,4720
2014,10,-6.5,299.75,2422,4.69,50.18,4717,4814
2014,10,10.75,24.0,2753,3.44,50.36,4341,4865
2014,10,2.25,100.0,1094,2.97,61.68,4601,4718
2014,10,-6.0,21.5,4101,15.33,37.72,4171,4802
2014,10,-10.25,296.5,2457,15.03,49.01,4442,4635
2014,10,9.75,348.0,1063,5.24,55.36,4525,4780
2014,10,8.75,287.25,4920,2.67,59.24,4730,4827
2014,10,-16.5,303.75,3252,7.48,42.98,4672,4797
2014,10,-12.25,304.5,3323,1.36,52.05,4338,4707
2014,10,-2.5,103.5,1862,7.43,54.79,4890,4982
2014,10,-4.25,17.25,2022,4.52,45.91,4584,5016
2014,10,9.5,359.5,3623,6.37,44.04,4755,4910
2014,10,-16.0,301.75,2356,4.1,58.16,4638,4830
2014,10,-33.75,303.5,3213,21.8,43.28,4825,4943
2014,10,-33.5,304.0,3532,19.44,44.16,4849,4969
2014,10,-0.25,13.0,3522,4.57,49.45,4516,4953
2014,10,11.0,353.75,4138,6.93,47.17,4363,4698
2014,10,-22.25,303.75,2118,7.89,48.17,4569,4888
2014,10,-7.0,309.0,1713,8.03,49.34,4483,4859
2014,10,-23.75,303.0,2139,9.39,51.4,4724,4853
2014,10,-12.25,293.5,2732,6.07,54.88,4926,5089
2014,10,-10.5,293.0,2547,5.5,55.19,4824,4999
2014,11,-0.25,110.0,2132,9.78,54.9,5119,5174
2014,11,7.75,285.0,982,8.79,56.54,4804,4906
2014,11,-21.75,307.5,2118,3.58,52.49,4509,4827
2014,11,-2.5,297.25,1336,2.85,50.5,4613,4690
2014,11,-6.0,298.0,2407,3.94,56.25,4981,5038
2014,11,-5.25,17.5,2819,5.87,44.4,4453,5037
2014,11,-2.25,19.25,2695,6.42,49.82,4757,5073
2014,11,4.0,22.25,2328,1.69,45.42,4552,4980
2014,11,-19.0,301.75,1262,6.69,56.47,4986,5087
2014,11,-19.5,303.0,2399,6.97,55.35,5043,5127
2014,11,-3.5,26.75,2999,4.06,45.4,4308,5027
2014,11,-15.5,125.75,2026,6.57,49.41,4229,4597
2014,11,-23.5,302.0,3245,19.95,47.16,4897,4982
2014,11,-14.5,307.75,1879,4.34,47.15,4821,5129
2014,11,-7.75,310.5,2316,1.3,49.08,5027,5222
2014,11,5.25,9.25,2262,2.16,48.73,4531,4968
2014,11,-8.5,14.25,2205,9.98,47.56,4411,4846
2014,11,-7.5,14.25,2731,9.33,44.35,4300,4810
2014,11,4.25,18.75,2857,4.03,47.65,4507,4918
2014,11,-15.0,301.0,2860,10.05,46.2,4806,5300
2014,11,-13.75,301.0,2472,12.14,46.06,4656,5222
2014,11,11.0,287.25,1467,3.82,50.62,4559,4985
2014,11,11.5,287.0,1960,7.13,60.21,4877,4948
2014,11,-1.75,21.5,4084,9.22,44.37,4372,4798
2014,11,-13.5,293.0,1673,8.82,57.4,4859,5028
2014,11,-6.5,24.25,4121,9.75,43.91,4248,4955
2014,11,-4.75,23.5,2218,9.54,46.84,4234,4775
2014,11,-4.5,24.75,2318,10.19,43.59,4553,5122
2014,11,-3.25,23.75,3052,8.94,44.83,4547,5078
2014,11,-3.25,24.75,2209,9.22,46.14,4594,5117
2014,11,-1.5,24.25,2186,8.09,46.33,4502,4988
2014,11,-2.0,25.75,2541,9.23,45.43,4576,5073
2014,11,0.0,24.75,3598,7.09,43.78,4447,4929
2014,11,0.0,26.5,2822,8.52,43.64,4411,5010
2014,11,-11.25,38.75,1445,2.21,49.21,4327,4530
2014,11,3.25,22.25,2130,5.91,45.12,4216,4726
2014,11,5.5,22.0,2976,6.08,44.87,4158,4737
2014,11,-19.0,301.75,1179,8.13,56.5,4703,4804
2014,11,-15.25,296.5,1275,2.43,60.87,4780,4974
2014,11,-1.75,105.0,1945,5.27,56.43,4699,4784
2014,11,-18.25,124.25,2145,8.55,49.08,4242,4318
2014,11,-16.75,124.0,2213,6.17,46.15,4419,4496
2014,11,-15.0,125.75,2882,5.24,50.4,4133,4396
2014,11,6.0,11.25,2688,2.25,44.59,4189,4884
2014,11,-4.75,304.25,2435,2.8,53.89,4591,4789
