forest_id,humedad_suelo,es_primario,soc_60cm_kgCm2,capa_organica_kgCm2
8,2,0,2.725556894432838,0.6801999855041514
8,4,0,3.598155576470001,0.907199981689452
8,2,0,3.101579107548393,0.8688000183105481
8,2,0,3.463541743759762,2.184
8,4,0,19.92782080230713,19.92782080230713
8,2,0,6.282778613999131,1.666
8,4,0,5.034690239108652,1.445399974822996
8,3,0,5.082757589602402,1.553800025939943
8,5,0,4.112020688081832,2.424
8,3,1,12.73230766045283,5.814439196886711
8,2,1,10.57848079465105,5.159147341772151
8,1,1,7.3177213596633,1.9097206486883
8,5,1,12.03996480277873,12.03996480277873
8,4,1,7.923906130217128,4.254223100000001
9,2,0,6.613438175256799,1.992800071716308
9,4,0,11.76703587010689,7.897500000000001
9,4,0,10.26921320176911,5.2598000907898
9,4,0,9.528358200648212,1.754830032348635
9,3,0,10.31702577981708,1.047799980163573
9,4,0,5.119462903333599,2.050299911499024
9,3,0,6.286249857755952,1.6685
9,4,0,7.906431112586486,0.0
9,2,0,3.609222602146314,1.22612
9,3,0,9.35898224188847,8.800799705505373
9,4,0,4.891705871486408,0.0
9,2,0,11.26828736052665,1.638
9,4,0,5.735861568938252,1.86886
9,4,0,7.640970956232166,0.0
9,2,0,9.054741248608826,1.3572
9,4,0,5.432863671622563,0.0
9,4,0,7.403357234920118,0.0
9,4,0,12.66408151327199,4.768400199890135
9,2,0,7.062049611070302,3.794200046539303
9,3,0,10.56819287639762,8.602799846649159
9,4,0,7.073628956252458,3.062300043106076
9,3,0,8.631477306084982,3.596400123596191
9,4,0,8.367327272379798,1.917300031661985
9,3,0,4.938544192963768,0.0
9,4,0,3.902933767291628,0.0
9,3,0,5.291790348509875,0.0
9,4,0,2.950453806896944,1.494400024414064
9,4,0,4.217043687452193,2.1315
9,2,0,3.938613309670316,1.738499927520748
9,4,0,5.078198843008447,1.14
9,3,0,6.188568506063214,2.505600036621091
9,3,0,4.529077253209415,2.062899925231934
9,2,0,9.002978627864023,0.0
9,4,0,4.626774227324056,2.68160009765625
9,4,0,4.402470805909702,3.708000068664555
9,2,0,6.229878398891447,2.42170004653931
9,2,0,6.238009074113168,0.0
9,4,0,8.136326375747826,4.222900184631347
9,4,1,11.67390520647968,6.583615401427948
9,3,1,22.18951929447787,2.826120228809152
9,4,1,17.18720931479352,17.18720931479352
9,2,1,14.15578560931202,10.704702
10,3,0,5.614576201354407,0.6630000000000001
10,4,0,6.458414301737179,0.79254
10,5,0,6.426983714597978,3.55488
10,4,0,8.298199295844338,5.019300178527831
10,4,0,6.320941978200432,0.9125999794006336
10,2,0,5.394295584122881,2.300399969100954
10,3,0,3.511068812384918,1.593300071716308
10,3,0,2.791861298920604,1.49199996948242
10,5,0,9.43210632069906,9.43210632069906
10,2,0,4.681587939026916,0.961999969482422
10,3,0,1.895152920316944,0.0
10,2,0,3.556932659595232,0.85348
10,3,0,6.911401955366695,3.1845
10,5,0,3.718702358752644,1.4
10,5,0,25.85576710015057,25.85576710015057
10,4,0,6.102217737118818,0.0
10,5,0,11.96760841249685,3.694950000000001
10,3,0,10.77075214771,3.411299873352052
10,3,0,9.24587525708596,2.91388
10,4,0,5.306597452128145,1.392
10,2,0,5.78369924866502,2.679200103759765
10,5,0,8.048344944262398,4.221000080108648
10,1,0,3.508328774914268,1.160000038146972
10,1,0,2.826101039671146,1.335599967956541
10,5,0,5.088575388782749,1.689119934082032
10,1,0,2.829426874009903,0.5498999900817865
10,2,0,6.718808326965603,3.96
10,5,0,4.386474786991236,0.0
10,3,0,5.341173525490261,1.514999961853025
10,5,0,3.814508551259098,0.9639000205993666
10,3,0,3.534241443747551,0.0
10,3,0,3.302571120894108,2.058
10,1,0,3.158818896045017,0.7469999885559089
10,4,0,6.247507034782107,1.497999973297117
10,4,0,6.78399052187521,0.0
