forest_id,humedad_suelo,es_primario,biomasa_viva_kgCm2,madera_muerta_kgCm2
2,4,0,4.215253052642479,0.4273417081420575
2,4,0,5.588126575389028,0.0448797700595669
2,5,0,2.566635878946105,0.0
2,5,0,3.085625556771189,0.0
2,5,0,2.254855167793247,0.0639031085485102
2,5,0,4.572382682563362,0.6325798772921004
2,4,0,3.410933052780777,0.0077004547092899
2,4,0,3.872658741884247,0.0423637295445979
2,4,0,2.052718579474834,0.0
2,4,0,1.414591515143447,0.1448929831322659
2,5,0,3.390728602041568,0.0826546834400885
2,5,0,5.348574246341827,0.0
2,5,0,3.262446806298283,0.0985727790256454
2,4,0,2.637135788166963,0.0682551928907752
2,5,0,2.511736386546768,0.2878284135023598
2,4,0,4.594171836906797,0.0
2,5,0,4.155869850195599,0.3465093371272415
2,5,0,3.990765365878867,0.0247384793340098
2,5,0,1.972999062661586,0.0814130581133395
2,4,0,2.502237005067752,0.1583190325813257
2,4,0,2.064530520735634,0.0
2,5,0,0.5414683708626894,0.9565988076050078
2,5,0,3.977114264762814,0.7402458964371552
2,5,0,5.545264642127344,0.1543797104756326
2,5,0,2.665079988367813,0.0
2,5,0,3.433286147444062,0.0
2,5,0,1.442137622823004,0.1797407875928571
2,4,0,0.1067798658090872,0.0562252726589387
2,4,0,4.306863616571706,0.0800560437192857
2,4,0,3.083541211647156,0.3452889920678568
2,5,0,1.742594236952805,0.3576644569812857
2,4,0,1.56007461494809,0.1827453785568061
2,5,0,1.259252734550212,0.0468834122519999
2,5,0,2.364262231442926,0.3997739259255918
2,4,0,0.532483949408881,0.0464837292492856
2,4,0,1.384695744202775,1.169312219146143
2,4,0,2.190568741415757,0.0
2,5,0,2.720037797512455,0.0
2,5,0,1.520855191015961,0.0722453295689998
2,5,0,3.566025678853415,0.0
2,5,0,2.518809993445452,0.0665631455653468
2,5,0,4.176688140466048,0.0
2,4,0,0.7187701376095128,0.1151985269878163
2,5,0,3.386249712115701,0.0
2,5,0,0.0,0.9255397456559072
2,4,0,0.4995606640166035,0.0
2,4,0,0.5158354697297575,0.0659476484834693
2,5,0,0.6809517578488891,0.0
2,5,0,5.476032132440389,0.2839421042582139
2,5,0,3.477709398778103,0.1531183398731019
2,4,0,0.916099556884715,0.2764885927000407
2,5,0,5.619395339702253,0.0
2,4,0,0.0,0.182464888435255
2,4,0,6.653876983259844,0.0149850703094693
2,4,0,0.0,1.198808274708164
2,4,0,4.259752626964209,0.2539087396225713
2,5,0,1.475509392658903,0.270348951506112
2,4,0,0.0,0.8664141772544914
2,4,0,4.889972388584421,0.2864847208713411
2,4,0,9.228244022486386,0.0320199606128571
2,5,0,0.0955617081551921,1.056170712269562
2,5,0,0.0,0.3263257694970002
2,4,0,6.932675565006046,0.0
2,4,0,5.437027778149172,0.0369307927645714
2,4,0,7.533781787624224,0.0
2,5,0,3.13679923472295,1.067221829152496
2,5,0,0.0,0.9887001428153982
2,4,0,0.5381428625123097,0.0
2,5,0,0.8958330787022032,1.622131367282545
2,5,0,0.1709138823576489,0.0
2,4,0,0.140420640682056,1.049908161147684
2,4,0,0.1746218870708929,0.0724988101738774
2,5,0,0.461045911120797,1.016113795925827
2,5,0,0.0,0.9887001428153982
2,5,0,1.228560164111099,1.798846147824892
2,4,0,0.9968895661278584,0.1509183329502857
