full_name,e,a,i_deg,q_au,A1,A2,A3,pha,tisserand_J
(2026 DL7),0.617,2.796,22.33,1.071,,,,N,2.9283
(2026 DP7),0.2195,1.143,24.43,0.892,,,,N,5.3854
(2026 DS7),0.5326,1.419,1.71,0.663,,,,N,4.5508
(2026 DV7),0.2317,1.269,19.08,0.975,,,,N,5.0087
(2026 DW7),0.3731,1.249,20.92,0.783,,,,N,5.0155
(2026 DX7),0.4416,1.583,2.79,0.884,,,,N,4.2758
(2026 DY7),0.296,1.293,5.41,0.911,,,,N,4.9726
(2026 DZ7),0.5355,2.065,6.87,0.959,,,,N,3.5764
(2026 DJ8),0.5733,2.375,3.31,1.014,,,,N,3.2963
(2026 DK8),0.2148,1.284,13.19,1.008,,,,N,4.9975
(2026 DL8),0.2541,1.139,16.53,0.849,,,,N,5.4363
(2026 DM8),0.6324,2.26,0.2,0.831,,,,N,3.3236
(2026 DN8),0.4628,1.941,7.93,1.043,,,,N,3.7534
(2026 DO8),0.3829,1.706,12.07,1.052,,,,N,4.0848
(2026 DQ8),0.3455,1.391,5.73,0.911,,,,N,4.7066
(2026 DR8),0.4945,1.666,6.06,0.842,,,,N,4.1016
(2026 DS8),0.2715,1.0,30.76,0.729,,,,N,5.9289
(2026 DT8),0.1877,0.8679,6.9,0.705,,,,N,6.7923
(2026 DU8),0.6387,2.035,0.81,0.735,,,,N,3.5194
(2026 DV8),0.6577,2.531,0.42,0.866,,,,N,3.1067
(2026 DQ9),0.6864,2.031,11.68,0.637,,,,N,3.452
(2026 DZ9),0.4414,1.66,15.17,0.927,,,,N,4.1131
(2026 DM10),0.6389,2.484,21.7,0.897,,,,N,3.0826
(2026 DN10),0.2609,1.42,19.86,1.049,,,,N,4.6132
(2026 DO10),0.1127,1.129,17.06,1.002,,,,N,5.4941
(2026 DP10),0.3804,1.291,4.52,0.8,,,,N,4.9492
(2026 DQ10),0.4145,0.9338,1.49,0.547,,,,N,6.3435
(2026 DR10),0.118,1.273,8.52,1.123,,,,N,5.0593
(2026 DS10),0.5586,1.575,0.42,0.695,,,,N,4.2166
(2026 DT10),0.7957,2.362,3.36,0.483,,,,N,3.0179
(2026 DU10),0.6642,3.339,15.34,1.121,,,,N,2.7134
(2026 DV10),0.4782,1.798,1.56,0.938,,,,N,3.9263
(2026 DW10),0.443,1.872,2.97,1.043,,,,N,3.8538
(2026 DX10),0.2635,1.263,13.66,0.93,,,,N,5.0438
(2026 DY10),0.4406,0.769,6.62,0.43,,,,N,7.4526
(2026 DZ10),0.609,1.922,7.04,0.752,,,,N,3.6643
(2026 DA11),0.3697,1.682,27.38,1.06,,,,N,4.032
(2026 DB11),0.2773,1.427,13.94,1.031,,,,N,4.6233
(2026 DC11),0.6022,2.422,1.91,0.963,,,,N,3.2372
(2026 DH11),0.6145,2.33,6.92,0.898,,,,N,3.2815
(2026 DJ11),0.5808,2.055,4.25,0.861,,,,N,3.5526
(2026 DO11),0.324,1.496,20.51,1.011,,,,N,4.4287
(2026 DP11),0.5087,1.505,2.88,0.739,,,,N,4.3825
(2026 DQ11),0.4642,1.717,5.76,0.92,,,,N,4.0432
(2026 DR11),0.1736,1.171,6.45,0.968,,,,N,5.3723
(2026 DS11),0.538,2.361,8.05,1.091,,,,N,3.3285
(2026 DT11),0.2711,1.739,25.47,1.267,,,,N,3.9971
(2026 DW11),0.6949,2.8,3.74,0.854,,,,N,2.9112
(2026 DS12),0.1395,1.08,34.05,0.93,,,,N,5.5659
(2026 DB14),0.5021,1.997,9.15,0.994,,,,N,3.6636
(2026 DC14),0.5085,2.036,8.31,1.001,,,,N,3.6218
(2026 DD14),0.5898,2.364,6.89,0.97,,,,N,3.282
(2026 DE14),0.2205,1.268,4.65,0.988,,,,N,5.0637
(2026 DF14),0.5915,2.044,14.67,0.835,,,,N,3.5236
(2026 DG14),0.5907,2.181,12.81,0.893,,,,N,3.4047
(2026 DH14),0.6893,2.064,5.6,0.641,,,,N,3.4294
(2026 DK14),0.5399,1.649,2.47,0.758,,,,N,4.1025
(2026 DL14),0.2716,1.3,3.68,0.947,,,,N,4.963
(2026 DM14),0.3707,0.7732,24.04,0.487,,,,N,7.3841
(2026 DN14),0.1742,1.306,23.62,1.079,,,,N,4.8885
