x_mpch,y_mpch,z_mpch
368.0299,-77.7429,-79.3740
444.9758,-80.1625,-79.6593
186.8995,-92.5185,-96.4153
506.9593,-83.4958,-83.3451
517.2131,-88.0684,-81.5639
482.9952,-92.1275,-85.8022
193.1122,-111.5871,-86.3226
194.8884,-114.1616,-86.4572
659.7839,-98.2744,-77.8271
525.4623,-105.6672,-85.0432
187.9682,-120.5921,-92.6574
660.7886,-102.0348,-75.7355
190.0174,-123.5481,-90.9143
678.3113,-104.8756,-72.7595
75.6494,-143.6806,-95.3660
307.9133,-136.2234,-89.6098
710.0797,-119.6391,-73.1292
-91.4483,-163.6524,-93.1893
728.1985,-127.2817,-78.3481
207.9403,-154.8775,-84.0020
54.6321,-164.1690,-95.0769
684.4240,-132.9159,-80.3952
570.6691,-140.2424,-75.5148
205.7186,-160.8401,-86.5405
736.9380,-132.3067,-78.1381
476.0073,-149.2461,-86.6033
842.8706,-130.8086,-71.4083
219.1019,-166.3202,-86.2746
811.2945,-133.1995,-68.9632
961.1053,-127.1948,-69.2265
218.1865,-171.2794,-91.3750
529.5897,-154.7652,-84.1137
253.8894,-179.1655,-91.7085
22.3204,-202.8250,-94.2724
850.2075,-149.9355,-70.3081
590.6749,-176.5025,-83.5238
824.2748,-161.1636,-73.7904
151.4689,-211.4158,-93.2096
150.3781,-212.4341,-88.4490
615.5194,-187.6799,-82.5144
745.9770,-181.5622,-73.2575
632.1473,-192.0432,-80.3360
391.0665,-213.4186,-82.3751
694.0229,-197.0801,-74.1515
753.2871,-195.1062,-69.5600
269.5617,-235.6697,-84.3072
615.5168,-210.7166,-77.0850
744.0767,-218.6738,-69.2199
622.8968,-237.8667,-74.5126
599.5247,-240.3541,-75.1434
131.7711,-290.0709,-91.5327
449.6519,-267.7550,-77.9020
966.6696,-217.3865,-70.6316
972.5036,-218.5081,-66.2688
617.7864,-258.0457,-73.5504
676.1908,-264.2869,-80.0688
226.3471,-315.2458,-87.3924
743.8791,-264.2728,-68.9309
445.8131,-301.2761,-81.2994
627.5349,-281.8081,-74.6681
-116.6762,-371.3294,-95.2092
-273.1995,-395.0364,-99.0364
161.2914,-351.1426,-90.9713
151.0679,-355.3582,-94.3499
62.1194,-366.1998,-88.7131
158.9995,-355.4712,-90.0242
158.6591,-357.4947,-90.4226
149.0736,-359.0865,-92.3648
181.1891,-356.6428,-87.9684
168.8312,-359.4535,-90.5105
195.5503,-360.1206,-87.7530
690.1218,-302.3316,-76.9419
355.2276,-343.9263,-90.3146
247.5849,-365.7871,-85.1610
738.8528,-308.6386,-79.6464
257.5240,-372.1637,-85.4446
280.0888,-378.7292,-84.9220
230.5415,-386.6066,-87.4859
254.1380,-383.6602,-85.1219
270.7392,-386.4780,-84.1590
695.0204,-334.1764,-72.7862
158.9906,-413.6397,-88.8175
376.1282,-397.1476,-86.8342
112.1541,-435.8130,-97.8368
292.6992,-418.3537,-82.8035
667.1328,-364.6160,-74.1341
106.0662,-449.5132,-98.3067
703.3958,-362.0387,-76.5291
774.0613,-351.8535,-73.8703
306.2432,-423.6682,-93.9107
706.1103,-366.4070,-70.9073
307.0526,-429.3064,-84.3132
317.6100,-430.2009,-87.6720
103.5942,-464.8814,-98.0096
306.5383,-438.1177,-85.9700
902.7502,-347.3334,-72.3679
901.8471,-349.5809,-74.1331
935.8130,-347.3547,-65.7206
84.0259,-482.0704,-91.0114
68.7782,-487.0038,-95.2747
64.6543,-493.9758,-90.7559
930.1645,-358.2486,-70.3601
453.9440,-437.9266,-82.5916
729.5177,-394.5118,-74.8346
39.8655,-518.6871,-96.2230
294.2610,-485.9531,-89.2888
622.2028,-435.7946,-79.5310
543.1318,-471.5772,-86.9665
547.0608,-470.9933,-84.2637
544.5811,-473.0184,-79.4685
403.4326,-509.6049,-87.0483
73.1102,-571.2652,-96.8398
880.8648,-436.0127,-72.5636
543.6617,-509.6454,-84.2540
476.9352,-525.3059,-89.1902
699.1052,-487.9795,-76.3614
400.5249,-572.1354,-85.0228
377.3185,-578.6159,-85.0430
-80.0646,-675.6000,-97.3927
456.0869,-566.5715,-89.6023
720.3540,-522.5341,-80.7129
149.9529,-665.2679,-96.2009
242.6528,-663.8520,-91.0211
259.1149,-662.3163,-94.6323
757.4989,-549.1849,-75.5501
247.0031,-666.7250,-85.5423
238.8379,-669.6238,-97.7283
357.3632,-650.0052,-88.4497
489.8250,-622.3111,-82.0482
830.7616,-546.6807,-70.5858
305.3804,-670.7798,-95.5131
309.1782,-670.2800,-84.4480
597.5292,-611.2630,-82.8284
436.8529,-653.5754,-79.6338
383.6757,-667.9964,-86.1538
148.9005,-728.3102,-88.2671
497.8905,-644.4796,-81.2526
499.9148,-648.2474,-78.6833
615.4714,-621.1897,-74.6543
510.4545,-652.3590,-80.0615
8.8895,-777.9001,-96.5606
