x_mpch,y_mpch,z_mpch
230.2216,46.5589,-13.8283
228.9789,47.0093,-13.9849
232.9161,45.1701,-13.4701
170.8891,73.8150,-18.6726
166.9246,75.0222,-18.6845
167.2437,74.7807,-18.5635
168.1772,73.9506,-18.4223
228.6788,46.2842,-14.0333
229.9949,45.2078,-13.2365
229.5996,45.2127,-13.6745
168.8901,72.6074,-18.7325
227.0090,46.1938,-14.1162
169.4153,71.7311,-18.6463
170.6019,70.2508,-18.5447
173.1462,69.0331,-18.4920
232.9585,42.2944,-13.0116
164.1180,72.8458,-18.6976
167.7375,71.0391,-19.3593
269.3314,22.7286,-9.8909
274.3231,14.0345,-9.2156
233.6979,24.2841,-12.8191
196.4590,36.4089,-15.9688
154.4768,48.4226,-19.2991
225.7755,22.4930,-13.1083
175.0330,27.6466,-17.3053
220.0717,16.1117,-13.6830
175.8922,27.0407,-17.6051
220.7302,13.4913,-13.5964
217.3174,13.5125,-13.9654
220.0411,12.8687,-13.7908
219.9595,11.8219,-13.7647
184.5836,19.0600,-16.7310
217.2742,11.3193,-13.6091
149.6032,25.6183,-19.2985
149.7070,25.2580,-19.0473
152.1766,24.5141,-18.5615
184.8188,15.9332,-15.9205
151.4816,22.8033,-18.8392
188.6711,11.1770,-16.1581
159.1796,16.6001,-18.3442
275.1332,-5.3010,-9.1920
160.1847,16.0586,-17.8970
146.8987,18.3147,-18.8429
155.5057,16.6571,-18.2391
155.8538,16.4499,-18.4849
261.3888,-4.0139,-9.7851
268.6929,-5.4250,-9.3566
138.4974,16.3371,-19.8517
162.2618,11.8092,-18.0906
154.3162,12.9219,-18.4712
241.2359,-2.8044,-11.5369
154.3919,10.6973,-18.0597
159.6751,9.3377,-17.9723
185.6778,1.7164,-15.9607
155.4870,4.7728,-17.8954
226.8330,-5.9657,-12.4095
172.8202,0.3892,-17.4320
148.9092,2.8543,-18.8567
227.3359,-6.7103,-12.7751
153.6792,-14.9473,-18.7968
171.6230,-18.3201,-17.2430
233.1473,-43.4599,-11.8828
206.9120,-52.3739,-14.3820
134.6041,-66.6305,-19.7045
281.3066,-43.8289,-8.2759
204.0543,-62.6805,-14.7222
148.6490,-75.6351,-19.6019
146.3330,-76.3457,-19.7441
176.9059,-71.0971,-17.3119
169.3261,-74.1153,-17.6758
180.5438,-79.6923,-16.4547
248.9567,-64.2940,-11.2744
192.2661,-99.9062,-16.5028
197.5261,-102.9134,-15.9507
193.0378,-105.3416,-16.2750
193.0180,-106.5883,-16.9281
171.0717,-121.6374,-18.5644
174.2756,-137.5277,-19.1999
174.5626,-138.1780,-18.7103
204.1762,-123.5361,-16.4157
191.2077,-136.2186,-18.0142
197.9301,-137.9806,-17.7105
201.2630,-136.2092,-17.3718
209.1488,-131.7827,-15.9902
210.5872,-131.3825,-16.5088
177.9200,-154.2219,-19.2887
178.9454,-160.3729,-19.4473
182.9386,-157.8594,-18.9581
215.3685,-138.8438,-15.7151
216.1188,-139.5477,-16.0200
180.4042,-167.3455,-19.8883
203.5895,-156.2976,-17.4449
202.1348,-157.3492,-18.0674
204.3072,-155.8846,-17.5368
202.8333,-156.9329,-17.5216
231.1737,-151.2231,-15.4749
229.6998,-152.7779,-15.8368
228.2228,-154.0665,-15.9264
186.3061,-188.7471,-19.9493
238.0986,-150.5569,-15.2477
196.9041,-195.7073,-19.7406
240.4714,162.4308,-17.8702
244.9973,154.9476,-16.7763
236.6928,158.2056,-17.5734
236.1172,158.5529,-17.4151
235.4203,157.8142,-17.9387
230.5851,160.4416,-18.4576
228.4388,158.0727,-17.5781
262.8057,113.4834,-14.1494
258.4746,115.2957,-14.2094
255.0120,86.2335,-12.7718
202.1737,129.4027,-17.5386
189.8882,136.9897,-18.5172
225.4697,101.1390,-15.6699
193.9509,121.0751,-18.4983
193.4301,121.4470,-18.4341
278.4819,49.9750,-9.9909
171.1898,122.6372,-19.8587
171.2315,122.4085,-19.7523
169.9451,121.6988,-19.5033
171.1430,120.7816,-19.5657
168.5709,121.1204,-19.3511
167.1402,120.3653,-19.2232
168.7527,116.7032,-19.6463
165.5505,117.5795,-19.3452
165.7023,116.8062,-19.9147
199.5345,89.2410,-16.0648
168.4539,105.5677,-18.9226
184.4187,79.2689,-16.6484
187.3417,77.2953,-17.1340
157.7299,90.8387,-19.1515
158.5234,88.3746,-19.0142
212.9588,60.9063,-14.8530
149.1940,92.2862,-19.2745
152.0471,90.5987,-19.7781
228.3657,49.6187,-12.6800
231.2887,48.0555,-12.5175
183.1126,70.1297,-17.1797
206.8264,58.8411,-14.4774
235.4380,45.1093,-12.5172
232.3427,46.4247,-12.7486
202.8820,60.0715,-15.0912
232.6029,45.7487,-12.5889
166.3853,75.4793,-18.4553
228.4958,46.4787,-12.8236
229.8826,45.8069,-13.0326
228.5805,46.3538,-12.6112
169.1758,72.6394,-17.8067
257.2389,31.7097,-10.7634
230.5847,43.2995,-12.5522
231.8172,42.4432,-12.8281
254.9573,32.1807,-10.4483
232.8916,41.6037,-12.5713
235.2042,40.5452,-12.1603
155.6861,65.3688,-18.9237
220.9937,37.7067,-13.5219
152.2813,60.8733,-18.5640
155.8571,57.8694,-18.2040
251.6768,21.5573,-10.5454
225.4661,23.0139,-12.8572
163.3701,41.3705,-17.0262
246.5535,13.8185,-10.5332
246.3174,13.5463,-10.8990
149.5108,32.9301,-17.7801
220.5814,15.0560,-12.7515
218.7581,15.0395,-12.6158
220.5090,14.3780,-12.6050
225.7221,12.4244,-12.1196
220.3714,13.1494,-12.4496
217.7388,13.4102,-12.7349
221.9328,11.9968,-12.9537
151.1212,25.1762,-17.8806
154.7254,23.1874,-17.5635
152.9392,22.3510,-18.2819
148.1585,21.7289,-18.0269
148.1929,21.4027,-18.1249
144.3556,22.0086,-18.4923
155.3344,17.8993,-17.9662
152.5724,17.0555,-18.1396
156.8631,16.0462,-17.4381
153.3831,14.4501,-18.0319
165.1527,11.5487,-16.7010
155.8581,12.5897,-17.4196
157.9632,11.9850,-17.1577
153.4180,12.7163,-17.2097
154.6782,12.3844,-17.3067
151.8954,12.8035,-17.7902
151.6360,12.8228,-17.6965
155.5131,11.4830,-17.8758
152.7956,11.5518,-17.3337
151.2298,11.5861,-17.6010
149.7128,11.8211,-17.4567
140.7661,13.0989,-18.3158
161.4189,9.7651,-16.9881
155.6140,10.3744,-17.8388
153.1616,10.6811,-17.9698
161.2921,9.0927,-17.2601
156.8216,9.6321,-17.5666
254.6542,-5.7541,-9.8679
186.4324,2.6828,-15.0922
161.2381,6.2562,-17.1548
159.9483,4.6977,-17.2555
134.3535,5.8205,-19.3586
185.6152,-2.1445,-15.2076
156.2990,0.8396,-16.8320
266.7638,-12.3192,-8.9287
153.6207,0.2357,-17.7060
150.0794,-4.1549,-17.9060
129.0639,-2.2436,-19.6620
131.5189,-2.5605,-18.8336
138.4204,-3.2399,-18.7686
133.9025,-3.1646,-19.2988
143.9189,-4.4197,-18.2869
137.0313,-3.8089,-18.8413
142.9536,-4.3500,-18.6664
139.6001,-4.4616,-18.2295
153.7076,-5.9888,-17.1769
138.6371,-4.7795,-18.7378
140.5360,-4.9731,-18.5113
149.3111,-5.7713,-17.5817
139.6718,-5.0514,-18.7350
141.1083,-5.3017,-17.8444
149.4805,-6.3337,-18.1724
145.3887,-6.3633,-18.2920
143.3304,-7.0036,-18.0027
131.5205,-20.3622,-19.0394
153.9651,-21.5834,-17.0193
154.8302,-22.4142,-16.9573
154.5485,-26.4234,-17.0450
177.4150,-30.8044,-15.4330
212.9753,-32.7456,-13.2379
118.3690,-46.9662,-19.4720
133.3288,-58.4585,-18.8707
135.6705,-61.3803,-18.4844
173.1745,-65.7846,-15.7440
191.2341,-95.7472,-15.6620
209.7535,-96.4251,-14.4423
153.8474,-129.2335,-19.1103
153.4227,-131.2277,-18.5119
178.3779,-170.9707,-19.1355
244.3216,-150.8989,-14.3812
196.8265,-196.8138,-19.3894
197.9294,-206.0249,-18.9593
204.0295,-206.1620,-19.2004
228.5557,157.6067,-16.8204
267.6951,111.3794,-12.4792
261.2948,115.8782,-12.8883
209.0519,159.4195,-18.1374
208.0558,142.5033,-17.6645
183.5308,157.4553,-19.6996
184.3466,156.7082,-19.6228
257.3548,86.9577,-11.7864
201.4713,131.0229,-17.4836
254.9231,85.5327,-12.1627
199.7440,131.8973,-17.0610
202.1731,129.0359,-17.0171
229.4607,105.0139,-14.0007
197.1355,127.6818,-16.8308
199.9673,110.7187,-16.1938
184.9356,120.3160,-17.4979
169.2070,121.6699,-18.6287
168.9655,121.7872,-18.6476
163.1807,122.5193,-18.8922
270.7362,50.0629,-9.7340
167.4363,117.4652,-17.7964
211.1268,86.7232,-15.0163
140.8725,131.6149,-19.8708
186.7398,101.2422,-16.6879
206.7834,85.3729,-14.6268
170.3774,106.0258,-18.1132
170.1782,105.5291,-17.6080
217.5890,76.6493,-13.8310
196.6762,81.3219,-15.0878
196.9791,80.5088,-14.7832
143.8390,108.7268,-19.1936
149.2596,100.3643,-19.3043
147.5341,99.6837,-19.1355
151.2158,97.3084,-19.1240
147.9590,97.0632,-18.4618
188.4086,76.0880,-15.2906
152.6028,94.1858,-18.4801
161.0075,89.1990,-17.6676
156.7925,89.2697,-18.3589
156.5420,88.9202,-17.9716
232.5217,49.2213,-12.0601
160.3095,83.9985,-17.2891
228.0481,51.0973,-12.4231
158.6935,84.5780,-17.4262
155.8110,85.9559,-17.6589
155.6976,85.8734,-17.4700
154.6766,86.3348,-17.6800
156.9015,85.0739,-18.1220
225.4564,51.5721,-12.7937
223.9112,52.3140,-12.8316
223.9640,51.7102,-12.4254
234.9823,46.3156,-11.7943
157.1792,83.0363,-17.3112
194.5891,64.9371,-14.8560
230.2257,48.0601,-12.3660
164.9517,78.4135,-17.3152
164.8670,77.1792,-17.2829
165.1551,76.9257,-17.3900
228.8964,46.0345,-12.4451
151.0169,81.3400,-18.0445
228.9981,45.4110,-11.8419
168.4851,71.4317,-16.7526
238.1712,40.2044,-11.6226
205.0112,54.2109,-14.2605
168.2110,70.3773,-16.7748
264.2947,27.6054,-9.2005
231.1703,41.2666,-11.6212
165.8285,66.4890,-17.2234
167.2244,64.9448,-16.8041
262.2969,25.1456,-9.3104
261.3545,25.4867,-9.3662
263.6451,23.9426,-9.1639
234.1588,35.6367,-11.7846
207.2743,45.3071,-13.4786
150.7018,64.4710,-17.8587
147.7127,65.6059,-18.0336
148.0346,65.0530,-17.9813
119.3790,75.3112,-19.5018
134.8314,67.1746,-19.2566
252.6676,22.1448,-10.2540
190.8134,39.9743,-14.4688
119.3271,63.6284,-19.9815
234.2969,23.7241,-11.0601
129.7098,56.0515,-19.1677
125.5803,57.0149,-19.5363
183.3209,34.7478,-15.2119
184.7829,31.9312,-14.3048
244.2266,13.4344,-10.6045
191.4617,24.6527,-13.8124
171.2211,29.3573,-15.1166
144.5469,35.8151,-17.5368
143.5092,35.6860,-17.1030
144.5040,34.5748,-17.0257
141.4144,35.3195,-17.3055
142.7276,34.1188,-17.3814
221.7739,14.0781,-11.8203
217.0027,15.2343,-12.2489
215.2412,15.6019,-12.3713
213.2767,16.0565,-12.1936
142.2894,32.0764,-17.4761
142.1212,31.9607,-17.4517
142.3271,31.8258,-17.1872
220.3971,13.3086,-12.1892
217.2028,13.9452,-11.8440
141.9451,31.4914,-17.8902
142.2471,30.1795,-17.7142
144.4555,28.8789,-17.7865
138.9703,28.9120,-17.6643
282.8779,-4.6424,-7.6169
184.1817,15.3266,-14.6788
279.4637,-4.4246,-7.4663
252.4407,0.7631,-9.7592
150.6326,18.7031,-17.2700
262.7779,-3.0055,-8.8633
104.7597,25.6617,-19.8999
241.2272,0.2869,-10.4181
157.6203,13.0698,-16.6819
188.9313,7.1214,-13.8722
118.5204,16.3434,-18.8692
154.9022,9.6769,-16.1222
155.4522,9.5799,-16.2218
186.9608,3.6044,-13.8967
117.6574,10.1589,-19.1358
