site_no,lat_deg_s,lon_deg_w,name,meets_aquiry_def,size_ha,outline_clarity,partial_swath
395,-9.373,-67.318,MP.Am.30,y,5.67,g,0
396,-9.574,-67.273,MP.Am.36 - Estructura I,y,2.22,g,0
397,-9.577,-67.272,MP.Am.36 - Estructura II,y,1.82,s,1
398,-9.968,-67.469,Nakahara 108 - Estructura I,y,0.76,g,0
399,-9.967,-67.469,Nakahara 108 - Estructura II,y,0.32,g,0
400,-9.676,-67.392,Nakahara 185,y,2.14,s,1
401,-9.668,-67.392,Nakahara 186,y,2.38,g,0
402,-9.663,-67.25,Nakahara 188,y,6.67,s,1
403,-9.953,-67.595,Nakahara 23 - Estrutura II-muretas,y,3.88,g,0
404,-9.796,-67.544,Nakahara AC 209,n,1.17,s,0
405,-9.749,-67.197,Oco do Mundo,y,4.67,g,1
406,-9.621,-67.759,Vila do V,y,6.38,g,0
