id,region,area_ha,modulos_fiscales,clase_tamano,cobertura_forestal_2010_pct,biodiv_evitar_deforestacion,biodiv_evitar_perturbacion,biodiv_restauracion,carbono_evitar_deforestacion_mgc,carbono_evitar_perturbacion_mgc,carbono_restauracion_mgc,biodiv_evitar_deforestacion_por_ha,biodiv_evitar_perturbacion_por_ha,biodiv_restauracion_por_ha,carbono_evitar_deforestacion_mgc_por_ha,carbono_evitar_perturbacion_mgc_por_ha,carbono_restauracion_mgc_por_ha
81,Paragominas,24.4133,0.443877,pequena,86.3206,11.6606,13.5253,0,10708.9,580.834,0,0.477635,0.554015,0,438.652,23.7917,0
82,Paragominas,59.0202,1.07309,pequena,15.7247,1.25628,0.000301925,3.15867e-05,789.484,1.70036,0.781641,0.0212856,5.11563e-06,5.35185e-07,13.3765,0.0288098,0.0132436
83,Paragominas,27.5387,0.500703,pequena,42.802,9.20752,68.7128,0.881503,4443.75,4444.57,555.957,0.334349,2.49514,0.0320096,161.364,161.394,20.1882
84,Paragominas,16.2471,0.295403,pequena,47.2664,3.16107,4.90576,0,2161.11,685.094,0,0.194562,0.301946,0,133.015,42.167,0
85,Paragominas,49.3328,0.89696,pequena,58.8274,12.9425,0,0.405851,9513.5,0,389.133,0.26235,0,0.0082268,192.843,0,7.88791
86,Paragominas,39.4549,0.717361,pequena,53.6388,4.98981,2.98734,0.0960127,2233.64,245.494,12.7876,0.126469,0.0757154,0.00243348,56.6125,6.22216,0.324106
87,Paragominas,102.515,1.86391,pequena,56.617,5.68273,67.7003,0.00174591,2132.7,6207.64,0,0.0554332,0.660395,1.70308e-05,20.8038,60.5535,0
88,Paragominas,86.1617,1.56658,pequena,78.7627,29.87,284.617,0.416863,10378.5,26365.9,0,0.346674,3.30329,0.00483815,120.454,306.005,0
89,Paragominas,16.2617,0.295667,pequena,63.6976,5.87736,11.8888,0.00830224,3323.24,527.557,0,0.361424,0.731095,0.00051054,204.36,32.4417,0
90,Paragominas,23.9174,0.434861,pequena,91.8435,10.1322,34.8315,0,11256,1742.47,0,0.423633,1.45633,0,470.62,72.8538,0
91,Paragominas,29.9315,0.544208,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Paragominas,14.5592,0.264712,pequena,76.0526,3.75856,0.0510092,0.0327998,1965.95,0,0,0.258158,0.00350358,0.00225286,135.032,0,0
93,Paragominas,14.2193,0.258534,pequena,57.7751,1.58688,0.020391,0.275502,535.507,0,258.374,0.1116,0.00143403,0.0193751,37.6605,0,18.1706
