especie_anon,grupo,n_registros,auc,metodo,area_distribucion_km2
SP_552,arboles,4,,UPFls,1.28e+07
SP_553,arboles,1,,UPFls,5.20716e+06
SP_554,arboles,5,,UPFls,3.83267e+06
SP_555,arboles,43,0.994643,SDM,1.26778e+07
SP_556,arboles,3,,UPFls,8.12032e+06
SP_557,arboles,5,,UPFls,5.18221e+06
SP_558,arboles,6,,UPFls,6.73e+06
SP_559,arboles,4,,UPFls,7.60871e+06
SP_560,arboles,17,1,SDM,6.58657e+06
SP_561,arboles,4,,UPFls,7.12029e+06
SP_562,arboles,20,0.995556,SDM,1.30197e+07
SP_563,arboles,1,,UPFls,9.07e+06
SP_564,arboles,1,,UPFls,6.03e+06
SP_565,arboles,28,0.9875,SDM,8.40093e+06
SP_566,arboles,3,,UPFls,6.31784e+06
SP_567,arboles,5,,UPFls,4.96829e+06
SP_568,arboles,13,0.961111,SDM,1.08982e+07
SP_569,aves,101,0.997593,SDM,0.000578766
SP_570,aves,4,,UPFls,0.000412269
SP_571,aves,154,0.974535,SDM,0.000234907
SP_572,arboles,17,0.975278,SDM,5.82942e+06
SP_573,aves,47,1,SDM,0.000743317
SP_574,arboles,22,0.959,SDM,1.04507e+07
SP_575,arboles,40,0.946599,SDM,1.00988e+07
SP_576,arboles,1,,UPFls,4.12697e+06
SP_577,arboles,10,0.985,SDM,3.83e+06
SP_578,arboles,8,,UPFls,1.21759e+07
SP_579,arboles,5,,UPFls,7.84e+06
SP_580,aves,2,,UPFls,0.000184238
SP_581,arboles,3,,UPFls,1.02e+07
SP_582,arboles,36,0.990538,SDM,1.05512e+07
SP_583,arboles,3,,UPFls,7.61e+06
SP_584,arboles,19,0.979861,SDM,8.3346e+06
SP_585,arboles,1,,UPFls,1.01e+07
SP_586,arboles,9,,UPFls,7.41729e+06
SP_587,arboles,8,,UPFls,8.94e+06
SP_588,aves,28,0.957239,SDM,0.000213363
SP_589,arboles,12,0.988889,SDM,1.45068e+07
SP_590,arboles,1,,UPFls,1.36e+07
SP_591,arboles,46,0.969931,SDM,9.08758e+06
SP_592,arboles,1,,UPFls,3.83267e+06
SP_593,arboles,78,0.99767,SDM,8.3346e+06
SP_595,arboles,23,1,SDM,5.66935e+06
SP_596,arboles,2,,UPFls,1.11e+07
SP_597,arboles,4,,UPFls,1.16562e+07
SP_598,arboles,44,0.986601,SDM,1.24614e+07
SP_599,arboles,24,1,SDM,6.79025e+06
SP_600,arboles,2,,UPFls,8.9881e+06
SP_601,arboles,3,,UPFls,4.27199e+06
SP_602,arboles,9,,UPFls,9.47e+06
SP_603,arboles,19,0.996296,SDM,6.47e+06
SP_604,arboles,1,,UPFls,7.12e+06
SP_605,arboles,23,0.996296,SDM,8.58744e+06
SP_606,arboles,11,1,SDM,1.04875e+07
SP_607,arboles,1,,UPFls,1.10403e+07
SP_608,arboles,8,,UPFls,7.88364e+06
SP_609,arboles,32,0.996627,SDM,6.73e+06
SP_610,aves,12,1,SDM,0.000517253
SP_611,arboles,27,0.985648,SDM,4.06131e+06
SP_612,arboles,12,0.98,SDM,1.1014e+07
SP_613,arboles,35,0.964773,SDM,9.36e+06
SP_614,arboles,1,,UPFls,5.41784e+06
SP_615,arboles,6,,UPFls,5.12354e+06
SP_616,arboles,4,,UPFls,3.83267e+06
SP_617,arboles,10,1,SDM,3.83267e+06
SP_618,arboles,19,0.990909,SDM,1.03405e+07
SP_619,arboles,47,0.956381,SDM,1.43098e+07
SP_620,arboles,13,0.9875,SDM,1.16572e+07
SP_621,arboles,5,,UPFls,9e+06
SP_622,arboles,2,,UPFls,8.32903e+06
SP_623,arboles,5,,UPFls,9.21506e+06
SP_624,arboles,1,,UPFls,1.35816e+07
SP_625,arboles,7,,UPFls,1.1036e+07
SP_626,arboles,2,,UPFls,1.37583e+07
SP_627,arboles,6,,UPFls,2.46852e+06
SP_628,arboles,5,,UPFls,6.25916e+06
SP_629,arboles,12,1,SDM,1.23819e+07
SP_630,arboles,8,,UPFls,1.54e+07
SP_631,arboles,8,,UPFls,1.1896e+07
SP_632,arboles,11,1,SDM,1.06284e+07
SP_633,aves,28,1,SDM,0.000154535
SP_634,aves,2,,UPFls,0.000430338
SP_635,aves,33,0.996635,SDM,0.0010382
SP_636,aves,4,,UPFls,0.00100255
SP_637,aves,26,1,SDM,0.000357624
SP_638,arboles,9,,UPFls,5.05192e+06
SP_639,arboles,15,0.971429,SDM,1.0562e+07
SP_640,arboles,63,0.999158,SDM,1.22426e+07
SP_641,arboles,17,1,SDM,8.52262e+06
SP_642,arboles,33,0.992308,SDM,1.31453e+07
SP_643,aves,6,,UPFls,0.000292897
SP_644,arboles,39,1,SDM,1.24614e+07
SP_645,aves,14,0.975,SDM,0.000211403
SP_646,aves,77,0.973884,SDM,0.000666749
SP_647,aves,68,0.993667,SDM,0.000427582
SP_648,arboles,8,,UPFls,3.83267e+06
SP_649,arboles,13,0.994444,SDM,6.10716e+06
SP_650,arboles,8,,UPFls,4.27199e+06
SP_651,arboles,6,,UPFls,8.11835e+06
SP_652,arboles,5,,UPFls,1.05512e+07
SP_653,arboles,5,,UPFls,9.87338e+06
SP_654,arboles,35,0.966533,SDM,6.31784e+06
SP_655,arboles,1,,UPFls,1.46e+07
SP_656,aves,54,0.97449,SDM,0.000850429
SP_657,aves,9,,UPFls,0.000510495
SP_658,aves,16,0.99,SDM,0.000485982
SP_659,aves,131,0.930662,SDM,0.000713236
SP_660,aves,71,0.992525,SDM,0.00052689
SP_661,aves,5,,UPFls,0.000323329
SP_662,arboles,6,,UPFls,5.00282e+06
SP_663,arboles,25,0.965909,SDM,1.39053e+07
SP_664,arboles,1,,UPFls,8.98511e+06
SP_665,arboles,1,,UPFls,7.61e+06
SP_666,arboles,35,0.957937,SDM,1.71778e+07
SP_667,arboles,21,0.924116,SDM,1.44935e+07
SP_668,arboles,1,,UPFls,1.37e+07
SP_669,aves,40,0.932071,SDM,0.000391754
SP_670,aves,30,0.984444,SDM,0.000372064
SP_671,aves,36,0.979012,SDM,0.000506412
SP_672,aves,48,0.98342,SDM,0.000348188
SP_673,aves,50,0.995833,SDM,0.000417479
SP_674,aves,77,0.994924,SDM,0.000517572
SP_675,aves,1,,UPFls,0.000380462
SP_676,aves,22,0.996875,SDM,0.000217781
SP_677,arboles,78,1,SDM,1.04981e+07
SP_678,arboles,4,,UPFls,9.20164e+06
SP_679,arboles,4,,UPFls,9.43e+06
SP_680,arboles,4,,UPFls,7.80282e+06
SP_681,arboles,57,0.982716,SDM,1.51203e+07
SP_682,arboles,44,0.986778,SDM,1.11638e+07
SP_683,arboles,3,,UPFls,8.12e+06
SP_684,arboles,37,0.999619,SDM,6.98506e+06
SP_685,arboles,68,0.943346,SDM,6.73158e+06
SP_686,arboles,31,0.998453,SDM,1.09599e+07
SP_687,aves,2,,UPFls,0.000723058
SP_688,arboles,47,0.994444,SDM,7.2137e+06
SP_689,arboles,5,,UPFls,1.48884e+06
SP_690,arboles,16,0.992063,SDM,6.21e+06
SP_691,arboles,6,,UPFls,9.18e+06
SP_692,aves,32,1,SDM,0.000431431
SP_693,aves,1,,UPFls,4.28105e-05
SP_694,aves,37,0.936928,SDM,0.000413992
SP_695,aves,1,,UPFls,0.000410814
SP_696,aves,4,,UPFls,0.000271466
SP_697,aves,6,,UPFls,0.000285022
SP_698,aves,16,0.983333,SDM,0.000241055
SP_699,arboles,61,0.991423,SDM,1.35844e+07
SP_700,arboles,16,1,SDM,8.33963e+06
SP_701,arboles,90,0.983958,SDM,1.45436e+07
SP_702,arboles,32,0.987879,SDM,9.07173e+06
SP_703,arboles,1,,UPFls,9.26e+06
SP_704,arboles,5,,UPFls,9.2638e+06
SP_705,arboles,2,,UPFls,1.55754e+07
SP_706,arboles,33,0.947091,SDM,1.16903e+07
SP_707,arboles,1,,UPFls,1.17435e+07
SP_708,arboles,13,1,SDM,8.7145e+06
SP_709,arboles,10,1,SDM,5.37702e+06
SP_710,arboles,19,1,SDM,1.51951e+06
SP_711,arboles,1,,UPFls,6.32e+06
SP_712,arboles,9,,UPFls,5.04222e+06
SP_713,aves,9,,UPFls,0.0006182
SP_714,aves,7,,UPFls,8.635e-05
SP_715,arboles,57,0.973726,SDM,6.31784e+06
SP_716,arboles,48,0.974175,SDM,9.36246e+06
SP_717,arboles,1,,UPFls,6.31784e+06
SP_718,arboles,2,,UPFls,8.62941e+06
SP_719,arboles,1,,UPFls,4.97e+06
SP_720,arboles,7,,UPFls,1.04355e+07
SP_721,arboles,12,0.95,SDM,6.35093e+06
SP_722,aves,18,0.938636,SDM,0.000488201
SP_723,arboles,9,,UPFls,6.68e+06
SP_724,arboles,2,,UPFls,4.27199e+06
SP_725,arboles,23,0.976923,SDM,5.60566e+06
SP_726,arboles,36,0.954412,SDM,9.7692e+06
SP_727,aves,65,0.955006,SDM,0.000548625
SP_728,arboles,1,,UPFls,6.03e+06
SP_729,arboles,1,,UPFls,1.32e+07
SP_730,arboles,7,,UPFls,5.87851e+06
SP_731,arboles,19,0.960648,SDM,1.14809e+07
SP_732,arboles,5,,UPFls,7.43746e+06
SP_733,arboles,1,,UPFls,3.83e+06
SP_734,arboles,4,,UPFls,3.83267e+06
SP_735,arboles,1,,UPFls,5.26856e+06
SP_736,arboles,2,,UPFls,6.26e+06
SP_737,arboles,4,,UPFls,4.27e+06
SP_738,arboles,20,0.995333,SDM,3.83267e+06
SP_739,aves,45,0.995425,SDM,0.000520431
SP_740,aves,20,0.973737,SDM,0.00056496
SP_741,arboles,2,,UPFls,1.65e+07
SP_742,arboles,2,,UPFls,1.01e+07
SP_743,arboles,2,,UPFls,1.19641e+07
SP_744,arboles,1,,UPFls,9.56e+06
SP_745,arboles,1,,UPFls,1.30153e+07
SP_746,arboles,13,0.95,SDM,8.69524e+06
SP_747,arboles,9,,UPFls,2.64337e+07
SP_748,arboles,9,,UPFls,6.58154e+06
SP_749,aves,2,,UPFls,0.000149013
SP_750,arboles,20,0.995833,SDM,4.06131e+06
SP_751,arboles,17,0.9525,SDM,4.04335e+06
SP_752,arboles,11,0.8875,SDM,1.0562e+07
SP_753,arboles,28,1,SDM,1.30632e+07
SP_754,arboles,23,0.998148,SDM,8.3346e+06
SP_755,arboles,6,,UPFls,5.18221e+06
SP_756,arboles,4,,UPFls,1.1e+07
SP_757,arboles,13,0.976,SDM,9.47e+06
SP_758,arboles,15,0.993143,SDM,1.2e+07
SP_759,aves,61,0.992857,SDM,0.000543238
SP_760,aves,22,1,SDM,0.000542366
SP_761,arboles,8,,UPFls,9.06874e+06
SP_762,arboles,11,0.998214,SDM,1.06768e+07
SP_763,arboles,15,0.972222,SDM,3.83649e+07
SP_764,arboles,1,,UPFls,1.0412e+07
SP_765,arboles,4,,UPFls,7.25787e+06
SP_766,arboles,1,,UPFls,7.54e+06
SP_767,arboles,4,,UPFls,7.60871e+06
SP_768,arboles,13,0.94,SDM,9.56752e+06
SP_769,aves,9,,UPFls,0.000321014
SP_770,arboles,21,1,SDM,1.02202e+07
SP_771,arboles,4,,UPFls,3.83e+06
SP_772,arboles,3,,UPFls,6.32e+06
SP_773,arboles,11,0.977778,SDM,1.14809e+07
SP_774,aves,19,0.983333,SDM,0.000410488
SP_775,arboles,1,,UPFls,8.85806e+06
SP_776,arboles,31,0.982778,SDM,9.34666e+06
SP_777,aves,9,,UPFls,7.10688e-05
SP_778,arboles,10,1,SDM,1.27443e+07
SP_779,aves,15,1,SDM,6.75502e-05
SP_780,aves,5,,UPFls,0.000222801
SP_781,aves,85,0.987853,SDM,0.000208758
SP_783,arboles,7,,UPFls,1.28229e+07
SP_784,arboles,3,,UPFls,8.32e+06
SP_785,arboles,35,0.999455,SDM,7.62797e+06
SP_786,arboles,13,1,SDM,5.03719e+06
SP_787,aves,26,1,SDM,0.000443974
SP_788,aves,9,,UPFls,0.000247325
SP_789,aves,14,0.966667,SDM,0.00035268
SP_790,aves,34,0.964799,SDM,0.000318907
SP_791,aves,11,0.988889,SDM,0.000112849
SP_792,aves,5,,UPFls,6.49729e-05
SP_793,aves,89,0.890921,SDM,0.00112448
SP_794,aves,8,,UPFls,0.000395299
SP_795,arboles,4,,UPFls,6.28166e+06
SP_796,aves,7,,UPFls,0.000711405
SP_797,aves,28,0.970255,SDM,0.000530512
SP_798,aves,10,0.977551,SDM,0.000103279
SP_799,aves,21,1,SDM,0.000162694
SP_800,aves,54,0.981891,SDM,0.000151833
SP_801,aves,126,0.901512,SDM,0.000687304
SP_802,aves,99,0.987431,SDM,0.000278703
SP_803,aves,29,0.996875,SDM,0.000582378
SP_804,arboles,14,1,SDM,5.45507e+06
SP_805,arboles,17,0.9375,SDM,9.06714e+06
SP_806,aves,23,1,SDM,0.000451755
SP_807,aves,7,,UPFls,0.000245434
SP_808,arboles,10,1,SDM,5.87851e+06
SP_809,arboles,1,,UPFls,4.28e+06
SP_810,arboles,18,0.970437,SDM,9.87289e+06
SP_811,aves,7,,UPFls,0.000277893
SP_812,arboles,3,,UPFls,7.68324e+06
SP_813,arboles,4,,UPFls,1.04875e+07
SP_814,arboles,2,,UPFls,1.12847e+07
SP_815,arboles,76,0.999537,SDM,1.35844e+07
SP_816,arboles,4,,UPFls,1.14117e+07
SP_817,arboles,3,,UPFls,1.14e+07
SP_818,arboles,6,,UPFls,5.81634e+06
SP_819,arboles,57,0.994907,SDM,4.74289e+06
SP_820,arboles,16,1,SDM,1.30197e+07
SP_821,arboles,6,,UPFls,8.79812e+06
SP_822,arboles,89,0.987689,SDM,1.38431e+07
SP_823,arboles,5,,UPFls,3.83267e+06
SP_824,arboles,75,0.988523,SDM,1.03033e+07
SP_825,arboles,35,0.993321,SDM,6.57077e+06
SP_826,arboles,5,,UPFls,4.74289e+06
SP_827,arboles,11,1,SDM,1.28974e+07
SP_828,arboles,84,0.995675,SDM,4.82651e+06
SP_829,arboles,2,,UPFls,1.01e+07
SP_830,arboles,9,,UPFls,8.46659e+06
SP_831,arboles,20,0.9992,SDM,6.31784e+06
SP_832,arboles,8,,UPFls,3.83267e+06
SP_833,arboles,9,,UPFls,6.31784e+06
SP_834,arboles,39,0.951797,SDM,9.80466e+06
SP_835,arboles,2,,UPFls,1.67e+07
SP_836,arboles,62,0.975309,SDM,7.39803e+06
SP_837,arboles,98,0.99697,SDM,1.36639e+07
SP_838,arboles,11,0.966667,SDM,6.45797e+06
SP_839,arboles,11,1,SDM,1.36639e+07
SP_840,arboles,40,0.982407,SDM,3.91629e+06
SP_841,arboles,24,0.996875,SDM,6.25916e+06
SP_842,arboles,19,0.960938,SDM,5.89247e+06
SP_843,arboles,122,0.953582,SDM,1.16509e+07
SP_844,arboles,1,,UPFls,5.87851e+06
SP_845,arboles,7,,UPFls,3.98e+06
SP_846,arboles,3,,UPFls,229000
SP_847,arboles,2,,UPFls,5.12354e+06
SP_848,arboles,26,0.997326,SDM,3.83267e+06
SP_849,arboles,2,,UPFls,3.83267e+06
SP_850,arboles,1,,UPFls,9.95924e+06
SP_851,arboles,7,,UPFls,1.29087e+06
SP_852,arboles,6,,UPFls,6.05482e+06
SP_853,arboles,7,,UPFls,7.68324e+06
SP_854,arboles,7,,UPFls,1.07244e+07
SP_855,arboles,42,1,SDM,1.41536e+07
SP_856,arboles,3,,UPFls,5.05192e+06
SP_857,arboles,1,,UPFls,8.12e+06
SP_858,arboles,4,,UPFls,5.2626e+06
SP_859,arboles,2,,UPFls,1.01629e+07
SP_860,arboles,30,0.989992,SDM,8.79e+06
SP_861,arboles,2,,UPFls,6.25916e+06
SP_862,arboles,5,,UPFls,4.12697e+06
SP_863,arboles,2,,UPFls,3.49569e+06
SP_864,arboles,2,,UPFls,6.34e+06
SP_865,arboles,1,,UPFls,5.18221e+06
SP_866,arboles,28,0.998545,SDM,9.52063e+06
SP_867,arboles,26,0.998154,SDM,1.07611e+07
SP_868,arboles,1,,UPFls,1.01955e+07
SP_869,arboles,44,0.983654,SDM,9.00607e+06
SP_870,arboles,11,1,SDM,6.08919e+06
SP_871,arboles,91,0.958304,SDM,9.15306e+06
SP_872,arboles,11,1,SDM,6.72656e+06
SP_873,arboles,10,1,SDM,8.77742e+06
SP_874,arboles,7,,UPFls,1.24494e+07
SP_875,arboles,7,,UPFls,7.71159e+06
SP_876,arboles,63,0.982353,SDM,6.75151e+06
SP_877,arboles,4,,UPFls,8.77742e+06
SP_878,arboles,17,0.8875,SDM,3.91629e+06
SP_879,arboles,14,1,SDM,1.00988e+07
SP_880,arboles,71,0.99375,SDM,1.16369e+07
SP_881,arboles,53,0.987042,SDM,1.08097e+07
SP_882,arboles,7,,UPFls,1.25804e+07
SP_883,arboles,1,,UPFls,7.71159e+06
SP_884,arboles,54,1,SDM,9.83556e+06
SP_885,arboles,57,0.996943,SDM,1.1009e+07
SP_886,arboles,10,0.9675,SDM,1.03225e+07
SP_887,aves,17,1,SDM,1.19291e-05
SP_888,aves,36,1,SDM,0.000401808
SP_889,arboles,4,,UPFls,2.32141e+06
SP_890,aves,1,,UPFls,0.00069722
SP_891,arboles,5,,UPFls,7.38006e+06
SP_892,arboles,11,0.985714,SDM,1.3348e+07
SP_893,arboles,12,0.995,SDM,1.05512e+07
SP_895,arboles,48,0.9939,SDM,5.40762e+06
SP_896,arboles,76,0.98853,SDM,6.56771e+06
SP_897,arboles,3,,UPFls,3.91629e+06
SP_898,arboles,4,,UPFls,3.83e+06
SP_899,arboles,1,,UPFls,7.64e+06
SP_900,aves,2,,UPFls,8.28736e-05
SP_901,aves,1,,UPFls,1.8555e-05
SP_902,arboles,1,,UPFls,2.46852e+06
SP_903,arboles,1,,UPFls,1.14754e+07
SP_904,arboles,1,,UPFls,1.47e+07
SP_905,arboles,5,,UPFls,1.03778e+07
SP_906,arboles,1,,UPFls,8.77742e+06
SP_907,arboles,34,0.997,SDM,1.47477e+07
SP_908,arboles,9,,UPFls,1.93e+07
SP_909,aves,85,0.970769,SDM,0.000274258
SP_910,aves,27,0.980769,SDM,6.78189e-05
SP_911,aves,28,0.996825,SDM,0.000245202
SP_912,arboles,5,,UPFls,3.83267e+06
SP_913,aves,30,0.98125,SDM,0.000383278
SP_914,aves,89,0.954358,SDM,0.000164253
SP_915,aves,8,,UPFls,7.23178e-05
SP_916,aves,16,1,SDM,2.88887e-05
SP_917,aves,21,0.956916,SDM,4.46732e-05
SP_918,arboles,4,,UPFls,1.03225e+07
SP_919,arboles,41,1,SDM,7.85661e+06
SP_920,aves,55,0.999778,SDM,0.000461508
SP_921,arboles,13,0.995,SDM,9.41232e+06
SP_922,arboles,25,0.99375,SDM,6.98506e+06
SP_923,aves,97,0.987294,SDM,0.00019283
SP_924,aves,90,0.97452,SDM,0.00014236
SP_925,aves,103,0.963531,SDM,0.000750669
SP_926,aves,1,,UPFls,0.000188564
SP_927,aves,14,0.952381,SDM,0.000551283
SP_928,arboles,5,,UPFls,7.4e+06
SP_929,arboles,13,1,SDM,5.88003e+06
SP_930,aves,5,,UPFls,1.28631e-05
SP_931,arboles,2,,UPFls,1.42145e+07
SP_932,arboles,1,,UPFls,6.01e+06
SP_933,aves,86,0.990559,SDM,0.000604995
SP_934,arboles,1,,UPFls,1.36e+07
SP_935,arboles,3,,UPFls,7.39803e+06
SP_936,arboles,13,1,SDM,1.1009e+07
SP_937,arboles,101,0.990825,SDM,1.24161e+07
SP_938,arboles,68,1,SDM,8.24284e+06
SP_939,arboles,6,,UPFls,1.05e+07
SP_940,arboles,53,0.986022,SDM,8.77742e+06
SP_941,arboles,71,0.977664,SDM,6.73159e+06
SP_942,arboles,10,0.84,SDM,1.03405e+07
SP_943,arboles,4,,UPFls,1.01763e+07
SP_944,arboles,2,,UPFls,9.2e+06
SP_945,arboles,2,,UPFls,924175
SP_946,arboles,18,1,SDM,4.04335e+06
SP_947,arboles,2,,UPFls,7.60871e+06
SP_948,arboles,1,,UPFls,8.78e+06
SP_949,arboles,3,,UPFls,1.24e+07
SP_950,arboles,31,0.991397,SDM,1.02396e+07
SP_951,arboles,2,,UPFls,9.2e+06
SP_952,arboles,99,0.969767,SDM,9.19662e+06
SP_953,arboles,1,,UPFls,8.3607e+06
SP_954,arboles,6,,UPFls,1.16202e+07
SP_955,arboles,2,,UPFls,725492
SP_956,aves,70,0.994772,SDM,0.000487769
SP_957,arboles,4,,UPFls,3.12052e+07
SP_958,arboles,58,0.949468,SDM,1.74462e+07
SP_959,arboles,13,0.939667,SDM,7.5936e+06
SP_960,arboles,13,1,SDM,9.70287e+06
SP_961,aves,2,,UPFls,0.00119491
SP_962,aves,26,1,SDM,0.000458831
SP_963,arboles,1,,UPFls,3.83e+06
SP_964,aves,12,1,SDM,0.000449887
SP_965,aves,3,,UPFls,0.000521583
SP_966,aves,5,,UPFls,0.000434075
SP_967,aves,32,0.998769,SDM,0.000157754
SP_968,arboles,10,1,SDM,7.43746e+06
SP_969,arboles,4,,UPFls,7.59e-05
SP_970,arboles,67,0.969976,SDM,7.89814e+06
SP_971,arboles,1,,UPFls,9.72e+06
SP_972,arboles,18,0.97963,SDM,7.34569e+06
SP_973,arboles,8,,UPFls,9.15306e+06
SP_974,arboles,74,0.94375,SDM,1.17443e+07
SP_975,arboles,9,,UPFls,9.19662e+06
SP_976,arboles,1,,UPFls,4.95357e+06
SP_977,arboles,13,0.994792,SDM,6.71629e+06
SP_978,arboles,49,0.986788,SDM,1.43e+07
SP_979,arboles,30,0.994136,SDM,1.06768e+07
SP_980,arboles,44,0.995238,SDM,1.05512e+07
SP_981,arboles,10,0.977185,SDM,6.98506e+06
SP_982,arboles,116,0.957291,SDM,1.42419e+07
SP_983,arboles,11,1,SDM,1.1023e+07
SP_984,aves,15,0.942857,SDM,0.000913134
SP_985,arboles,4,,UPFls,1.27718e+07
SP_986,arboles,15,0.977778,SDM,1.22008e+07
SP_987,arboles,55,0.976562,SDM,6.80109e+06
SP_988,arboles,37,0.981768,SDM,1.38431e+07
SP_989,arboles,1,,UPFls,8.33963e+06
SP_990,arboles,2,,UPFls,8.33963e+06
SP_991,arboles,4,,UPFls,1.52173e+07
SP_992,arboles,2,,UPFls,8.94e+06
SP_993,arboles,5,,UPFls,1.20955e+07
SP_994,arboles,1,,UPFls,5.41784e+06
SP_995,arboles,7,,UPFls,1.23e+07
SP_996,arboles,1,,UPFls,6.73e+06
SP_997,arboles,4,,UPFls,1.39675e+07
SP_998,arboles,47,0.975481,SDM,1.52e+07
SP_999,arboles,1,,UPFls,1.61e+07
SP_1000,arboles,2,,UPFls,9.53e+06
SP_1002,arboles,23,0.9875,SDM,8.81945e+06
SP_1003,arboles,7,,UPFls,4.95357e+06
SP_1004,arboles,17,0.993923,SDM,8.71e+06
SP_1005,aves,3,,UPFls,0.000617435
SP_1006,arboles,14,1,SDM,5.91165e+06
SP_1007,arboles,111,0.979888,SDM,9.46968e+06
SP_1008,arboles,1,,UPFls,5.89e+06
SP_1009,arboles,8,,UPFls,1.24323e+07
SP_1010,aves,3,,UPFls,0.000607071
SP_1011,aves,1,,UPFls,0.000841311
SP_1012,arboles,1,,UPFls,1.05512e+07
SP_1013,arboles,2,,UPFls,7.17e+06
SP_1014,arboles,2,,UPFls,1.15264e+07
SP_1015,arboles,5,,UPFls,9.10895e+06
SP_1016,arboles,4,,UPFls,1.05e+07
SP_1017,arboles,1,,UPFls,8.47389e+06
SP_1018,arboles,67,0.97861,SDM,4.96829e+06
SP_1019,arboles,20,0.997222,SDM,6.72656e+06
SP_1020,arboles,27,0.975,SDM,1.05512e+07
SP_1021,arboles,16,0.944444,SDM,3.83e+06
SP_1022,arboles,4,,UPFls,1.05261e+07
SP_1023,arboles,14,1,SDM,5.44071e+06
SP_1024,arboles,22,0.9625,SDM,7.19574e+06
SP_1025,arboles,31,0.98254,SDM,2.42796e+07
SP_1026,arboles,1,,UPFls,6.20721e+06
SP_1027,arboles,2,,UPFls,2.46852e+06
SP_1028,arboles,27,0.917824,SDM,2.46852e+06
SP_1029,arboles,1,,UPFls,6.32e+06
SP_1030,arboles,15,0.999687,SDM,1.24e+07
SP_1031,arboles,4,,UPFls,9.07e+06
SP_1032,arboles,9,,UPFls,9.07377e+06
SP_1033,arboles,19,0.975,SDM,5.5877e+06
SP_1034,arboles,67,0.977674,SDM,8.50382e+06
SP_1035,arboles,113,0.992111,SDM,7.27936e+06
SP_1036,arboles,33,0.990463,SDM,1.18476e+07
SP_1037,arboles,31,0.990869,SDM,6.76379e+06
SP_1038,arboles,12,0.9875,SDM,8.99576e+06
SP_1039,aves,13,0.990741,SDM,6.9936e-05
SP_1040,arboles,11,0.956481,SDM,7.32836e+06
SP_1041,arboles,38,0.984242,SDM,6.69849e+06
SP_1042,arboles,5,,UPFls,1.085e+07
SP_1043,arboles,3,,UPFls,4.27199e+06
SP_1044,arboles,63,0.987566,SDM,5.19694e+06
SP_1045,arboles,79,0.969309,SDM,9.39081e+06
SP_1046,arboles,15,1,SDM,4.06131e+06
SP_1047,arboles,35,1,SDM,5.60566e+06
SP_1048,arboles,25,0.935051,SDM,1.0712e+07
SP_1049,arboles,1,,UPFls,8.69524e+06
SP_1050,arboles,2,,UPFls,1.49217e+07
SP_1051,aves,20,0.987415,SDM,0.00032233
SP_1052,aves,20,1,SDM,0.000208076
SP_1053,aves,4,,UPFls,9.96104e-05
SP_1054,aves,10,0.951667,SDM,0.000402099
SP_1055,arboles,5,,UPFls,1.30197e+07
SP_1056,arboles,3,,UPFls,3.91629e+06
SP_1057,arboles,3,,UPFls,9.15e+06
SP_1058,arboles,28,0.981818,SDM,6.30119e+06
SP_1059,arboles,3,,UPFls,6.65e+06
SP_1060,arboles,14,0.945455,SDM,1.15142e+07
SP_1061,arboles,13,0.968254,SDM,9.95924e+06
SP_1062,arboles,2,,UPFls,1.16e+07
SP_1063,arboles,2,,UPFls,1.18509e+07
SP_1064,aves,5,,UPFls,0.000731058
SP_1065,arboles,26,0.969255,SDM,1.24e+07
SP_1066,arboles,78,0.993651,SDM,1.18476e+07
SP_1067,arboles,33,0.998857,SDM,1.10482e+07
SP_1068,arboles,3,,UPFls,1.40926e+07
SP_1069,aves,25,1,SDM,0.000932896
SP_1070,aves,118,0.98772,SDM,0.000495308
SP_1071,aves,97,0.994289,SDM,0.000405462
SP_1072,aves,75,0.907183,SDM,0.000506815
SP_1073,aves,82,0.964692,SDM,0.000327969
SP_1074,arboles,90,0.96981,SDM,1.02727e+07
SP_1075,arboles,17,1,SDM,9.26031e+06
SP_1076,aves,14,1,SDM,0.000324956
SP_1077,aves,8,,UPFls,0.000314302
SP_1078,aves,29,1,SDM,0.00041746
SP_1079,aves,5,,UPFls,0.000932182
SP_1080,aves,12,1,SDM,0.000565992
SP_1081,aves,48,0.994158,SDM,0.000480137
SP_1082,aves,7,,UPFls,0.00103478
SP_1083,arboles,2,,UPFls,4.04e+06
SP_1084,arboles,3,,UPFls,1.12e+07
SP_1085,arboles,1,,UPFls,7.32074e+06
SP_1086,arboles,23,1,SDM,6.72656e+06
SP_1087,arboles,6,,UPFls,9.01e+06
SP_1088,arboles,1,,UPFls,4.74289e+06
SP_1089,arboles,1,,UPFls,7.86e+06
SP_1090,arboles,1,,UPFls,1.12e+07
SP_1091,arboles,5,,UPFls,1.18476e+07
SP_1092,arboles,65,0.964756,SDM,1.21701e+07
SP_1093,arboles,1,,UPFls,1.50551e+07
SP_1094,arboles,18,1,SDM,4.95357e+06
SP_1095,arboles,65,0.994713,SDM,1.05562e+07
SP_1096,arboles,9,,UPFls,1.32734e+07
SP_1097,arboles,12,1,SDM,1.03225e+07
SP_1098,arboles,14,1,SDM,9.21675e+06
SP_1099,arboles,7,,UPFls,1.0684e+07
SP_1100,aves,50,1,SDM,0.000531607
SP_1101,aves,39,1,SDM,0.000551678
SP_1102,aves,48,0.981833,SDM,0.000597491
SP_1103,aves,100,0.950027,SDM,0.000649206
