ecosystem,plotID,site,Tmean_GS_B_CRU,ThermGS05_abundance,ThermGSMedian_abundance,ThermGS95_abundance,debt_GSMedian_ab
forest,EU_005_1,EU_005,14.28000032,-0.584961602,-0.016059436,0.206099978,0.306535622
forest,EU_005_10,EU_005,14.28000032,-0.295989934,0.029193443,0.134859149,0.261282743
forest,EU_005_11,EU_005,14.28000032,0.15462566,0.205287071,0.429692437,0.085189115
forest,EU_005_12,EU_005,14.28000032,-0.371542607,0.099951838,0.274697474,0.190524348
forest,EU_005_13,EU_005,14.28000032,-0.790087949,0.12990809,0.989381843,0.160568096
forest,EU_005_14,EU_005,14.28000032,-0.338737776,-0.07561341,0.005479163,0.366089596
forest,EU_005_15,EU_005,14.28000032,0.046222139,0.007616905,0.035779365,0.282859281
forest,EU_005_16,EU_005,14.28000032,-0.327079928,-0.128967071,-0.177854428,0.419443257
forest,EU_005_17,EU_005,14.28000032,0.134340165,0.058417552,0.010232755,0.232058634
forest,EU_005_18,EU_005,14.28000032,-0.266065275,0.009117814,0.440223699,0.281358372
forest,EU_005_19,EU_005,14.28000032,0.144431484,0.051248317,0.033692823,0.239227869
forest,EU_005_2,EU_005,14.28000032,-0.626295126,0.030559167,0.382362728,0.259917019
forest,EU_005_20,EU_005,14.28000032,-0.832050674,0.042866198,0.845655258,0.247609988
forest,EU_005_21,EU_005,14.28000032,-1.452202225,0.031032383,1.500641255,0.259443803
forest,EU_005_22,EU_005,14.28000032,-0.046066766,-0.074283688,-0.107377291,0.364759874
forest,EU_005_23,EU_005,14.28000032,-0.894405164,-0.156681955,-0.014748684,0.447158141
forest,EU_005_24,EU_005,14.28000032,0.259809007,-0.171690395,-0.429851734,0.462166581
forest,EU_005_25,EU_005,14.28000032,0.093137325,-0.169555983,-0.244947187,0.460032169
forest,EU_005_26,EU_005,14.28000032,-0.095168585,-0.181860595,-0.531194707,0.472336781
forest,EU_005_3,EU_005,14.28000032,-0.026612166,0.173205733,0.348317308,0.117270453
forest,EU_005_4,EU_005,14.28000032,0.046998018,-0.048228133,-0.428154285,0.338704319
forest,EU_005_5,EU_005,14.28000032,-0.773042043,0.160859507,1.208084135,0.129616679
forest,EU_005_6,EU_005,14.28000032,0.395614455,0.224795786,0.021224817,0.0656804
forest,EU_005_7,EU_005,14.28000032,-0.350792035,-0.02537405,0.141692371,0.315850236
forest,EU_005_8,EU_005,14.28000032,0.327964962,0.126855117,0.064029886,0.163621069
forest,EU_005_9,EU_005,14.28000032,0.278823953,0.22298931,0.214873625,0.067486876
forest,EU_006_1,EU_006,15.1400003,-0.027375195,-0.095843791,-0.177376948,0.162510445
forest,EU_006_10,EU_006,15.1400003,-0.110166811,-0.060642809,-0.088933688,0.127309463
forest,EU_006_11,EU_006,15.1400003,-0.09783145,0.072249636,0.120785433,-0.005582982
forest,EU_006_12,EU_006,15.1400003,-0.009129574,0.064554532,0.051562446,0.002112122
forest,EU_006_13,EU_006,15.1400003,-0.088800948,0.059798863,0.224816014,0.006867791
forest,EU_006_14,EU_006,15.1400003,0.083363675,0.002490187,-0.035753898,0.064176467
forest,EU_006_15,EU_006,15.1400003,-0.236505991,0.050876108,0.184351997,0.015790546
forest,EU_006_16,EU_006,15.1400003,0.147081356,0.022584089,-0.008336004,0.044082565
forest,EU_006_17,EU_006,15.1400003,-0.030818043,-0.005398843,0.059359942,0.072065497
