seagrass_area_km2,grid_center_latitude_deg,grid_center_longitude_deg
198.7673,16.5,-88.5
1976.9688,23.5,-75.5
197.5701,29.5,-84.5
197.1108,45.5,33.5
196.1176,45.5,50.5
195.9702,27.5,-77.5
195.9617,-27.5,153.5
195.9229,27.5,-82.5
192.5055,-7.5,131.5
190.3388,-10.5,40.5
19.9816,36.5,15.5
19.8696,29.5,-88.5
19.8631,12.5,125.5
19.7677,36.5,31.5
19.7323,13.5,42.5
19.5781,30.5,17.5
19.4882,-12.5,131.5
19.4571,43.5,51.5
19.4539,-33.5,138.5
19.4199,-18.5,-178.5
19.3456,48.5,-66.5
19.2611,-8.5,146.5
19.2212,-38.5,174.5
19.1435,32.5,19.5
19.1236,40.5,27.5
19.0989,-1.5,135.5
19.0443,31.5,32.5
189.5597,9.5,79.5
188.3521,55.5,10.5
187.7151,35.5,11.5
184.7153,26.5,-79.5
183.0175,46.5,32.5
182.0754,54.5,13.5
181.1607,14.5,122.5
180.8577,22.5,-80.5
180.2930,58.5,22.5
180.2581,54.5,8.5
18.9914,16.5,41.5
18.9543,27.5,-113.5
18.8695,62.5,5.5
18.8412,12.5,120.5
18.8016,0.5,122.5
18.7632,-13.5,-171.5
18.7362,9.5,98.5
18.7174,36.5,28.5
18.6175,-1.5,175.5
18.5789,45.5,51.5
18.4929,18.5,-77.5
18.4923,36.5,21.5
18.4354,-17.5,122.5
18.4086,54.5,-159.5
18.3671,1.5,128.5
18.3330,-9.5,39.5
18.3260,35.5,23.5
18.3187,49.5,-55.5
18.2115,47.5,-59.5
18.1844,-37.5,174.5
18.1746,8.5,116.5
18.1247,40.5,22.5
18.1108,12.5,54.5
18.0877,64.5,35.5
1779.1565,25.5,-76.5
1772.8315,-25.5,113.5
176.2391,27.5,-97.5
175.2133,-11.5,153.5
174.1811,27.5,-114.5
170.7881,38.5,21.5
170.0823,27.5,48.5
17.8771,61.5,21.5
17.8068,-10.5,151.5
17.5769,55.5,-6.5
17.4894,56.5,15.5
17.4748,-2.5,147.5
17.4078,16.5,107.5
17.3296,-25.5,32.5
17.3232,59.5,28.5
17.2155,58.5,-2.5
17.1947,37.5,20.5
17.1160,0.5,98.5
17.0345,22.5,-72.5
17.0337,-38.5,140.5
169.7160,54.5,10.5
169.2477,19.5,85.5
167.9327,-21.5,35.5
1663.1875,44.5,50.5
166.7774,-20.5,164.5
163.9699,21.5,-89.5
163.8431,11.5,123.5
163.7138,16.5,-61.5
162.4027,-4.5,39.5
161.7609,17.5,-61.5
161.7171,-20.5,116.5
1608.6850,26.5,-78.5
1607.3814,21.5,-82.5
160.9654,24.5,51.5
16.8738,-8.5,114.5
16.8538,38.5,22.5
16.7792,-3.5,128.5
16.6567,-15.5,137.5
16.6553,63.5,11.5
16.6532,60.5,18.5
16.6432,-16.5,-151.5
16.6376,45.5,37.5
16.6256,53.5,140.5
16.5938,56.5,14.5
16.5455,49.5,-57.5
16.5357,57.5,19.5
16.5290,-16.5,124.5
16.5216,11.5,-63.5
16.4731,51.5,-57.5
16.4631,37.5,-75.5
16.4055,35.5,25.5
16.3056,-33.5,114.5
16.2958,26.5,-81.5
16.2501,42.5,27.5
16.2457,55.5,-5.5
16.1965,68.5,15.5
16.1835,-5.5,112.5
16.1630,-22.5,167.5
16.1026,-13.5,-38.5
16.0494,-35.5,136.5
159.4586,-36.5,139.5
159.2181,58.5,23.5
159.1151,-16.5,139.5
158.3715,-5.5,39.5
154.9432,20.5,-77.5
1532.8272,25.5,-80.5
153.5818,-33.5,115.5
1520.4976,22.5,-84.5
152.4356,57.5,18.5
15.9043,36.5,11.5
15.8450,40.5,3.5
15.7329,2.5,73.5
15.7112,40.5,4.5
15.7059,7.5,116.5
15.6492,1.5,120.5
15.6458,34.5,130.5
15.6425,0.5,120.5
15.5469,-35.5,174.5
15.4765,-43.5,147.5
15.4517,-9.5,-35.5
15.4494,55.5,-1.5
15.4261,35.5,-5.5
15.3930,24.5,-74.5
15.3916,69.5,16.5
15.3818,38.5,0.5
15.3650,70.5,24.5
15.3598,32.5,21.5
15.2795,36.5,23.5
15.2695,2.5,125.5
15.0854,-11.5,143.5
15.0703,63.5,178.5
15.0328,30.5,-87.5
148.5605,-38.5,144.5
146.5165,-15.5,123.5
142.2457,18.5,56.5
141.6748,-8.5,151.5
140.5021,42.5,9.5
140.0004,20.5,58.5
14.9882,-8.5,152.5
14.9717,-3.5,123.5
14.9618,57.5,17.5
14.8767,-3.5,132.5
14.8114,-8.5,118.5
14.7956,-21.5,43.5
14.7417,47.5,-55.5
14.7326,48.5,-2.5
14.7156,38.5,27.5
14.6991,46.5,38.5
14.6207,-8.5,124.5
14.6117,55.5,-161.5
14.5818,-3.5,120.5
14.5314,38.5,49.5
14.5219,56.5,11.5
14.5143,35.5,14.5
14.4980,14.5,-61.5
14.4771,33.5,35.5
14.4458,4.5,108.5
14.3568,44.5,143.5
14.3492,-14.5,126.5
14.3474,-6.5,131.5
14.2779,36.5,53.5
14.2682,39.5,118.5
14.2448,5.5,73.5
139.7246,39.5,8.5
139.4269,-9.5,152.5
138.6231,-8.5,39.5
137.9174,14.5,-82.5
137.1070,39.5,25.5
136.7738,-40.5,148.5
1353.7522,22.5,-81.5
133.3112,-30.5,114.5
133.1811,35.5,-75.5
132.3242,24.5,54.5
131.7413,-21.5,165.5
131.3749,-2.5,41.5
13.8740,43.5,-70.5
13.8576,67.5,14.5
13.8104,48.5,-123.5
13.7225,44.5,-62.5
13.5931,41.5,-70.5
13.5556,59.5,-144.5
13.5454,59.5,26.5
13.5424,-7.5,158.5
13.5409,-45.5,170.5
13.4944,57.5,16.5
13.4925,37.5,7.5
13.3756,38.5,-8.5
13.3646,-31.5,-51.5
13.2925,10.5,103.5
13.2737,28.5,-112.5
13.2225,-13.5,-172.5
13.2178,49.5,-66.5
13.2001,-3.5,40.5
13.1963,2.5,97.5
13.1700,50.5,-61.5
13.1187,61.5,174.5
13.0840,43.5,28.5
128.6022,21.5,-87.5
127.9356,57.5,-7.5
126.2639,38.5,26.5
1255.0697,28.5,-82.5
1252.9690,24.5,-81.5
125.2228,55.5,-162.5
121.1639,39.5,26.5
1205.6088,21.5,-83.5
120.5943,18.5,-68.5
120.3958,-5.5,132.5
12.9972,22.5,68.5
12.9871,-19.5,148.5
12.9575,47.5,-57.5
12.9005,-34.5,150.5
12.8931,25.5,55.5
12.8203,34.5,33.5
12.7765,23.5,-97.5
12.7507,-8.5,159.5
12.7475,65.5,36.5
12.6401,-3.5,127.5
12.5981,-11.5,154.5
12.5851,57.5,-3.5
12.5804,-37.5,140.5
12.4900,45.5,-123.5
12.4897,58.5,-161.5
12.4520,47.5,-56.5
12.4503,6.5,118.5
12.4315,1.5,73.5
12.1340,-35.5,150.5
12.1217,68.5,14.5
12.1138,40.5,-73.5
12.0887,5.5,72.5
12.0627,-20.5,165.5
12.0070,17.5,55.5
119.9940,-13.5,48.5
119.6596,-7.5,39.5
119.6592,48.5,-122.5
118.6653,21.5,-86.5
118.4357,7.5,134.5
117.6992,-15.5,124.5
117.0978,-14.5,136.5
116.7240,48.5,-69.5
116.0786,47.5,-64.5
114.9292,40.5,23.5
113.0755,37.5,-0.5
112.5666,46.5,-64.5
112.0073,17.5,-71.5
111.6825,45.5,48.5
110.8221,7.5,-12.5
11.9448,-0.5,134.5
11.9377,20.5,109.5
11.9268,-20.5,44.5
11.9234,2.5,128.5
11.8890,41.5,1.5
11.8861,46.5,-56.5
11.8724,11.5,43.5
11.8309,43.5,-64.5
11.8237,43.5,4.5
11.7718,2.5,95.5
11.7236,-17.5,-179.5
11.6811,19.5,110.5
11.4892,-21.5,113.5
11.4874,-5.5,149.5
11.4643,15.5,-88.5
11.4449,32.5,35.5
11.4032,49.5,-125.5
11.4013,8.5,98.5
11.2921,54.5,-8.5
11.2881,11.5,-60.5
11.2188,-11.5,43.5
11.2121,43.5,-8.5
11.1893,-1.5,130.5
11.1292,18.5,37.5
11.0943,42.5,17.5
11.0624,-33.5,121.5
11.0593,-2.5,146.5
11.0502,-11.5,130.5
11.0394,62.5,-72.5
11.0385,57.5,23.5
11.0175,-11.5,133.5
109.2211,33.5,10.5
108.9000,20.5,-16.5
108.4679,-13.5,136.5
108.3223,4.5,118.5
1079.7587,25.5,-79.5
106.3569,-23.5,35.5
106.2635,20.5,116.5
105.4697,18.5,-73.5
105.0446,38.5,20.5
104.9437,39.5,19.5
104.9354,-25.5,152.5
103.6019,22.5,-73.5
103.3208,41.5,9.5
103.1220,57.5,9.5
103.0548,25.5,51.5
102.1698,-32.5,127.5
101.7253,-34.5,136.5
101.4906,-20.5,148.5
101.2816,-22.5,113.5
101.0200,-6.5,39.5
1001.7939,22.5,-79.5
10.9795,-25.5,44.5
10.9789,27.5,34.5
10.9484,-9.5,149.5
10.9016,16.5,53.5
10.8597,60.5,166.5
10.8500,30.5,-115.5
10.8161,42.5,2.5
10.7928,49.5,-2.5
10.7824,-7.5,157.5
10.7810,43.5,15.5
10.7767,19.5,-77.5
10.7729,-0.5,127.5
10.7333,-26.5,153.5
10.7255,-5.5,148.5
10.7062,-3.5,119.5
10.7046,63.5,22.5
10.6999,34.5,25.5
10.6896,-12.5,48.5
10.6709,-34.5,118.5
10.6255,54.5,-0.5
10.6170,10.5,122.5
10.6136,12.5,122.5
10.5780,-15.5,145.5
10.5001,48.5,-67.5
10.4925,60.5,19.5
10.4879,-41.5,148.5
10.4557,36.5,-6.5
10.3707,7.5,124.5
10.3389,23.5,-73.5
10.2931,50.5,-60.5
10.2918,38.5,-75.5
10.2701,13.5,-59.5
10.2524,-4.5,133.5
10.2152,-19.5,178.5
10.2125,39.5,49.5
10.2072,35.5,-76.5
10.2067,19.5,-95.5
10.1761,-4.5,131.5
10.1531,36.5,2.5
10.1355,-14.5,-171.5
10.1074,28.5,-96.5
10.0824,26.5,49.5
10.0396,30.5,20.5
10.0238,21.5,-76.5
10.0172,-9.5,144.5
1.9904,-10.5,47.5
1.9860,53.5,-8.5
1.9822,-2.5,149.5
1.9772,-2.5,99.5
1.9753,48.5,-59.5
1.9748,55.5,-8.5
1.9665,2.5,131.5
1.9602,-2.5,140.5
1.9562,9.5,100.5
1.9484,41.5,37.5
1.9302,51.5,-128.5
1.9281,-7.5,72.5
1.9265,55.5,-7.5
1.9136,58.5,7.5
1.9026,-7.5,107.5
1.9011,37.5,-7.5
1.8901,-17.5,168.5
1.8896,53.5,-129.5
1.8869,54.5,-3.5
1.8857,46.5,-52.5
1.8721,51.5,-4.5
1.8692,-24.5,44.5
1.8667,43.5,-69.5
1.8658,49.5,-58.5
1.8598,21.5,-75.5
1.8497,30.5,-89.5
1.8391,36.5,3.5
1.8311,54.5,15.5
1.8297,24.5,124.5
1.8210,70.5,26.5
1.8202,44.5,-124.5
1.8129,63.5,20.5
1.7873,12.5,100.5
1.7859,59.5,19.5
1.7751,55.5,15.5
1.7692,45.5,-59.5
1.7691,13.5,98.5
1.7647,-5.5,150.5
1.7490,41.5,34.5
1.7443,-2.5,127.5
1.7441,8.5,122.5
1.7434,49.5,-126.5
1.7416,-33.5,119.5
1.7326,9.5,165.5
1.7195,41.5,27.5
1.7053,23.5,-83.5
1.7030,-17.5,118.5
1.6993,68.5,17.5
1.6823,47.5,-58.5
1.6776,68.5,16.5
1.6737,9.5,97.5
1.6461,61.5,5.5
1.6263,14.5,98.5
1.6224,-6.5,157.5
1.6217,-4.5,129.5
1.6142,-11.5,150.5
1.6116,-7.5,155.5
1.6106,57.5,-136.5
1.6080,1.5,122.5
1.6073,58.5,16.5
1.6014,43.5,27.5
1.5909,38.5,9.5
1.5728,59.5,11.5
1.5651,7.5,158.5
1.5579,21.5,-17.5
1.5360,65.5,12.5
1.5358,12.5,-82.5
1.5349,14.5,-81.5
1.5280,-36.5,136.5
1.5259,18.5,-62.5
1.5247,45.5,137.5
1.5233,44.5,29.5
1.5193,41.5,33.5
1.5067,42.5,28.5
1.5031,-3.5,118.5
1.5005,54.5,14.5
1.4985,42.5,33.5
1.4981,-12.5,141.5
1.4969,-20.5,169.5
1.4958,37.5,122.5
1.4914,-20.5,43.5
1.4733,45.5,-66.5
1.4649,3.5,95.5
1.4538,58.5,8.5
1.4513,11.5,93.5
1.4352,22.5,39.5
1.4165,58.5,-4.5
1.4152,16.5,122.5
1.4139,10.5,73.5
1.3981,-4.5,156.5
1.3888,8.5,125.5
1.3882,43.5,-6.5
1.3867,-8.5,158.5
1.3862,37.5,-76.5
1.3855,-12.5,122.5
1.3790,-16.5,44.5
1.3717,6.5,169.5
1.3655,56.5,23.5
1.3644,59.5,-161.5
1.3479,52.5,-6.5
1.3371,15.5,-87.5
1.3368,55.5,-131.5
1.3343,12.5,98.5
1.3290,8.5,168.5
1.3281,37.5,11.5
1.3258,42.5,130.5
1.3083,18.5,41.5
1.3056,-17.5,42.5
1.3026,-3.5,154.5
1.2924,67.5,13.5
1.2902,-4.5,159.5
1.2857,17.5,38.5
1.2819,5.5,118.5
1.2789,54.5,-160.5
1.2778,-3.5,143.5
1.2679,26.5,-80.5
1.2552,52.5,4.5
1.2355,20.5,39.5
1.2314,-7.5,132.5
1.2195,-18.5,-159.5
1.2174,5.5,80.5
1.2150,60.5,24.5
1.2108,-37.5,149.5
1.2090,2.5,127.5
1.1906,54.5,-6.5
1.1775,-8.5,148.5
1.1750,8.5,-81.5
1.1727,6.5,157.5
1.1572,-10.5,161.5
1.1460,36.5,-7.5
1.1442,35.5,-1.5
1.1393,-9.5,118.5
1.1291,41.5,0.5
1.1270,11.5,-61.5
1.1229,-35.5,118.5
1.1078,-7.5,156.5
1.1042,12.5,45.5
1.1021,10.5,108.5
1.0943,41.5,17.5
1.0823,18.5,-76.5
1.0737,-14.5,143.5
1.0646,38.5,-123.5
1.0586,44.5,-69.5
1.0566,60.5,5.5
1.0562,53.5,4.5
1.0556,20.5,-72.5
1.0489,44.5,135.5
1.0485,6.5,72.5
1.0423,31.5,130.5
1.0417,6.5,124.5
1.0323,-6.5,150.5
1.0180,-2.5,119.5
1.0178,-34.5,122.5
1.0071,-16.5,50.5
1.0052,45.5,52.5
0.9973,42.5,6.5
0.9971,18.5,110.5
0.9958,9.5,166.5
0.9932,29.5,34.5
0.9913,49.5,-56.5
0.9884,44.5,28.5
0.9845,57.5,8.5
0.9818,-1.5,119.5
0.9701,4.5,95.5
0.9635,-1.5,131.5
0.9616,9.5,92.5
0.9615,5.5,163.5
0.9589,-2.5,128.5
0.9586,8.5,-82.5
0.9440,5.5,168.5
0.9355,12.5,-68.5
0.9318,23.5,38.5
0.9285,8.5,170.5
0.9251,-17.5,49.5
0.9043,-9.5,160.5
0.9042,44.5,-68.5
0.9009,35.5,133.5
0.8976,-18.5,-174.5
0.8946,8.5,167.5
0.8880,31.5,26.5
0.8850,4.5,168.5
0.8788,-14.5,167.5
0.8765,29.5,-95.5
0.8599,44.5,-66.5
0.8599,15.5,109.5
0.8585,37.5,13.5
0.8578,51.5,-58.5
0.8567,51.5,-7.5
0.8561,18.5,40.5
0.8543,-40.5,146.5
0.8513,-7.5,129.5
0.8484,-0.5,122.5
0.8344,58.5,-136.5
0.8279,7.5,81.5
0.8106,39.5,15.5
0.8058,7.5,113.5
0.8045,-15.5,49.5
0.7971,34.5,137.5
0.7859,18.5,121.5
0.7832,20.5,93.5
0.7814,70.5,18.5
0.7794,45.5,-64.5
0.7632,60.5,4.5
0.7613,10.5,165.5
0.7558,12.5,-69.5
0.7503,-4.5,130.5
0.7378,36.5,0.5
0.7355,15.5,-85.5
0.7266,2.5,117.5
0.7169,-1.5,116.5
0.7139,-32.5,151.5
0.7081,-27.5,-71.5
0.7054,52.5,-4.5
0.7006,-1.5,98.5
0.6932,58.5,10.5
0.6930,-28.5,113.5
0.6876,34.5,26.5
0.6865,36.5,12.5
0.6767,-16.5,138.5
0.6724,53.5,-6.5
0.6703,-19.5,57.5
0.6696,22.5,-109.5
0.6693,44.5,12.5
0.6647,30.5,-116.5
0.6464,12.5,170.5
0.6378,43.5,135.5
0.6296,17.5,42.5
0.6124,7.5,157.5
0.6087,62.5,17.5
0.5996,36.5,-4.5
0.5960,31.5,28.5
0.5877,16.5,121.5
0.5835,-16.5,168.5
0.5810,21.5,-16.5
0.5730,10.5,166.5
0.5694,6.5,73.5
0.5617,-3.5,129.5
0.5595,-5.5,131.5
0.5538,15.5,122.5
0.5497,-7.5,126.5
0.5480,1.5,123.5
0.5456,45.5,14.5
0.5339,10.5,-66.5
0.5219,38.5,16.5
0.5206,60.5,22.5
0.5185,63.5,23.5
0.5176,-6.5,149.5
0.5109,6.5,172.5
0.5018,4.5,127.5
0.5011,-6.5,159.5
0.4903,58.5,-7.5
0.4885,57.5,-135.5
0.4856,37.5,-122.5
0.4853,1.5,131.5
0.4834,26.5,34.5
0.4718,-8.5,149.5
0.4667,19.5,-79.5
0.4640,-0.5,133.5
0.4620,19.5,-80.5
0.4553,37.5,22.5
0.4527,0.5,124.5
0.4477,38.5,141.5
0.4471,35.5,-120.5
0.4462,-17.5,-38.5
0.4446,45.5,34.5
0.4415,43.5,-68.5
0.4398,-16.5,-150.5
0.4377,-5.5,108.5
0.4304,36.5,30.5
0.4258,-7.5,106.5
0.4232,-6.5,116.5
0.4223,4.5,126.5
0.4208,64.5,36.5
0.4199,52.5,-128.5
0.4187,28.5,35.5
0.4163,-1.5,176.5
0.4149,47.5,-60.5
0.4136,6.5,99.5
0.4120,51.5,-5.5
0.4028,-4.5,134.5
0.4011,27.5,56.5
0.4007,37.5,140.5
0.3999,-7.5,147.5
0.3980,5.5,95.5
0.3977,44.5,34.5
0.3960,-34.5,22.5
0.3868,-9.5,167.5
0.3836,53.5,5.5
0.3815,35.5,0.5
0.3802,-42.5,145.5
0.3745,44.5,-67.5
0.3737,52.5,-3.5
0.3736,14.5,169.5
0.3685,-10.5,165.5
0.3675,-14.5,-178.5
0.3608,29.5,33.5
0.3579,59.5,20.5
0.3563,63.5,18.5
0.3551,52.5,-127.5
0.3528,35.5,140.5
0.3520,51.5,-127.5
0.3458,26.5,55.5
0.3374,-21.5,55.5
0.3371,-3.5,152.5
0.3364,57.5,7.5
0.3362,-18.5,169.5
0.3344,33.5,134.5
0.3304,-1.5,109.5
0.3299,-10.5,153.5
0.3295,8.5,165.5
0.3258,64.5,10.5
0.3256,22.5,38.5
0.3241,19.5,108.5
0.3238,8.5,118.5
0.3237,-12.5,142.5
0.3216,-6.5,111.5
0.3209,48.5,-52.5
0.3145,31.5,29.5
0.3109,8.5,166.5
0.3082,-6.5,155.5
0.3015,41.5,41.5
0.3008,45.5,-67.5
0.2991,-3.5,151.5
0.2955,0.5,107.5
0.2943,3.5,106.5
0.2896,18.5,57.5
0.2855,23.5,-109.5
0.2841,-17.5,-149.5
0.2839,34.5,132.5
0.2838,-1.5,120.5
0.2828,-14.5,-170.5
0.2802,37.5,8.5
0.2688,0.5,72.5
0.2615,-8.5,161.5
0.2593,48.5,-1.5
0.2553,-19.5,169.5
0.2486,5.5,172.5
0.2454,-1.5,137.5
0.2446,16.5,39.5
0.2399,21.5,39.5
0.2352,31.5,-116.5
0.2322,51.5,178.5
0.2322,-41.5,174.5
0.2273,24.5,35.5
0.2258,52.5,1.5
0.2230,34.5,133.5
0.2188,46.5,50.5
0.2172,-15.5,-173.5
0.2118,36.5,-121.5
0.2062,52.5,-169.5
0.2016,42.5,131.5
0.1967,-2.5,131.5
0.1958,-13.5,45.5
0.1950,5.5,102.5
0.1911,12.5,97.5
0.1902,55.5,-132.5
0.1892,14.5,145.5
0.1826,-3.5,153.5
0.1807,-3.5,125.5
0.1729,10.5,170.5
0.1640,-9.5,148.5
0.1633,-11.5,49.5
0.1629,-15.5,-179.5
0.1626,69.5,20.5
0.1622,44.5,49.5
0.1590,43.5,-1.5
0.1577,59.5,6.5
0.1576,15.5,108.5
0.1547,34.5,135.5
0.1540,49.5,-5.5
0.1526,41.5,12.5
0.1477,1.5,107.5
0.1440,25.5,56.5
0.1409,6.5,123.5
0.1406,29.5,48.5
0.1392,-16.5,-152.5
0.1378,52.5,-7.5
0.1359,53.5,-166.5
0.1346,52.5,0.5
0.1303,9.5,-77.5
0.1276,-2.5,152.5
0.1251,61.5,7.5
0.1249,-4.5,132.5
0.1228,-17.5,-39.5
0.1222,-4.5,146.5
0.1167,-19.5,177.5
0.1157,33.5,-118.5
0.1130,2.5,107.5
0.1128,54.5,-162.5
0.1114,65.5,11.5
0.1110,32.5,11.5
0.1066,-6.5,147.5
0.1058,11.5,42.5
0.1057,10.5,168.5
0.1052,-6.5,106.5
0.1040,24.5,34.5
0.1020,1.5,97.5
0.1014,59.5,9.5
0.1002,-4.5,115.5
0.0617,-7.5,122.5
0.0554,8.5,114.5
0.0431,50.5,-64.5
0.0395,9.5,119.5
0.0366,64.5,9.5
0.0303,9.5,103.5
0.0271,-5.5,146.5
0.0264,-2.5,116.5
0.0242,40.5,52.5
0.0240,48.5,-125.5
0.0188,41.5,25.5
0.0162,2.5,104.5
0.0138,-4.5,117.5
0.0137,15.5,-83.5
0.0113,40.5,53.5
0.0108,57.5,-4.5
2225.9903,23.5,-80.5
1262.5742,22.5,-75.5
209.2144,-15.5,136.5
208.6086,45.5,47.5
113.4782,-1.5,41.5
106.4358,13.5,123.5
97.2337,24.5,52.5
95.3164,-33.5,134.5
95.2304,24.5,-82.5
87.3305,18.5,-91.5
86.5609,-6.5,120.5
82.8766,36.5,27.5
81.8538,18.5,-64.5
81.2654,37.5,24.5
81.2561,8.5,117.5
79.0850,8.5,79.5
78.4415,54.5,12.5
76.9654,13.5,80.5
76.6351,37.5,26.5
76.3701,-6.5,121.5
73.4420,46.5,35.5
72.5258,31.5,33.5
71.6562,44.5,-1.5
68.5205,-31.5,128.5
66.0759,20.5,-79.5
58.8880,56.5,10.5
57.0797,-5.5,119.5
54.6783,-7.5,114.5
52.6817,-34.5,173.5
51.9420,56.5,-154.5
49.5719,-18.5,146.5
48.8191,-21.5,164.5
47.0040,39.5,23.5
44.6950,41.5,8.5
42.8851,32.5,13.5
41.1261,2.5,108.5
39.1105,18.5,-63.5
38.5317,-19.5,146.5
34.9461,7.5,117.5
34.4320,38.5,25.5
33.6389,6.5,116.5
33.3930,41.5,28.5
32.3937,-14.5,125.5
30.9529,-25.5,153.5
28.6209,16.5,119.5
25.3608,35.5,26.5
24.8198,49.5,-68.5
23.9135,11.5,121.5
23.6454,12.5,43.5
21.5670,48.5,-54.5
19.5772,9.5,117.5
18.9751,-12.5,43.5
18.9227,7.5,-13.5
18.3941,-34.5,117.5
18.2080,59.5,-3.5
17.8292,35.5,34.5
17.0626,46.5,-60.5
16.9048,52.5,-9.5
15.5305,-3.5,134.5
15.3464,16.5,-85.5
12.7910,30.5,-86.5
12.0885,-1.5,122.5
11.4641,40.5,-124.5
10.5566,15.5,-61.5
9.9493,-9.5,119.5
9.7081,-28.5,-48.5
9.6388,15.5,40.5
9.5559,13.5,92.5
9.4558,18.5,38.5
9.4273,12.5,93.5
9.2034,39.5,24.5
9.1893,59.5,29.5
9.1261,-16.5,167.5
8.9715,67.5,11.5
8.9555,-5.5,133.5
8.8249,11.5,166.5
8.8094,46.5,-55.5
8.5117,24.5,37.5
8.3288,13.5,-16.5
8.1429,7.5,98.5
8.1215,-12.5,135.5
7.7384,40.5,14.5
7.7297,28.5,34.5
7.7234,37.5,-8.5
7.6517,16.5,54.5
6.8657,66.5,12.5
6.7581,62.5,7.5
6.7432,50.5,-2.5
6.5120,15.5,117.5
6.3204,58.5,19.5
6.1798,38.5,-9.5
5.9055,4.5,73.5
5.6827,17.5,56.5
5.3379,11.5,122.5
5.1241,39.5,1.5
4.8652,-34.5,151.5
4.6739,12.5,109.5
4.6642,13.5,144.5
4.5872,-6.5,156.5
4.4942,36.5,33.5
4.4842,-1.5,149.5
4.2709,9.5,99.5
3.5916,63.5,8.5
2.8897,60.5,26.5
2.8473,19.5,-68.5
2.7734,-1.5,147.5
2.0636,57.5,21.5
1.8021,51.5,-9.5
1.4556,-13.5,127.5
1.2538,-24.5,43.5
0.9643,5.5,169.5
0.9396,-46.5,167.5
0.9086,45.5,35.5
0.8988,-0.5,132.5
0.8802,42.5,19.5
0.8221,38.5,14.5
0.8216,-34.5,123.5
0.8093,-8.5,156.5
0.8021,37.5,28.5
0.7959,53.5,8.5
0.7842,44.5,-61.5
0.7465,33.5,12.5
0.7313,33.5,131.5
0.7203,18.5,109.5
0.6678,25.5,34.5
0.6296,19.5,121.5
0.6103,-4.5,157.5
0.5640,6.5,134.5
0.5215,1.5,119.5
0.5052,12.5,102.5
0.3627,43.5,144.5
0.3271,-1.5,142.5
0.2535,19.5,92.5
0.1288,51.5,-8.5
0.0967,12.5,-71.5
0.0914,-10.5,136.5
0.0912,24.5,38.5
0.0906,-0.5,123.5
0.0900,59.5,-160.5
0.0897,-2.5,-39.5
0.0857,50.5,-65.5
0.0856,-2.5,176.5
0.0815,30.5,28.5
0.0806,62.5,4.5
0.0796,57.5,-153.5
0.0787,13.5,97.5
0.0768,10.5,-68.5
0.0694,41.5,-8.5
0.0681,-13.5,160.5
0.0664,61.5,6.5
0.0654,3.5,126.5
0.0631,-3.5,142.5
0.0573,10.5,-67.5
0.0572,56.5,-135.5
0.0563,34.5,34.5
0.0560,-1.5,143.5
0.0544,42.5,34.5
0.0540,34.5,126.5
0.0488,-16.5,-178.5
0.0427,9.5,104.5
0.0402,11.5,-74.5
0.0372,15.5,-82.5
0.0339,-15.5,167.5
0.0337,7.5,121.5
0.0325,3.5,131.5
0.0319,-1.5,126.5
0.0245,-47.5,168.5
0.0220,-4.5,153.5
0.0214,44.5,47.5
0.0086,-4.5,145.5
0.0074,28.5,49.5
0.0069,-0.5,166.5
0.0068,57.5,24.5
0.0057,-2.5,126.5
0.0055,-10.5,119.5
0.0054,40.5,40.5
0.0054,-11.5,167.5
0.0052,41.5,36.5
0.0050,41.5,15.5
0.0042,45.5,30.5
0.0033,40.5,38.5
0.0023,41.5,40.5
0.0020,46.5,30.5
0.0012,-3.5,-38.5
0.0007,71.5,23.5
0.0002,56.5,-4.5
0.0001,41.5,11.5
