year,gamma,surface_temp_C,deep_ocean_temp_C,heat_uptake_Wm2
2152,20,1.2226,0.451,0.3886
2153,20,1.2191,0.4533,0.387
2154,20,1.2157,0.4556,0.3854
2155,20,1.2124,0.4579,0.3838
2156,20,1.2093,0.4602,0.3822
2157,20,1.2062,0.4624,0.3806
2158,20,1.2033,0.4647,0.3791
2159,20,1.2005,0.4669,0.3776
2160,20,1.1978,0.4691,0.3761
2161,20,1.1952,0.4713,0.3746
2162,20,1.1927,0.4735,0.3732
2163,20,1.1903,0.4757,0.3718
2164,20,1.188,0.4779,0.3705
2165,20,1.1858,0.48,0.3692
2166,20,1.1836,0.4821,0.3679
2167,20,1.1816,0.4843,0.3667
2168,20,1.1796,0.4864,0.3655
2169,20,1.1777,0.4884,0.3644
2170,20,1.1759,0.4905,0.3633
2171,20,1.1742,0.4926,0.3622
2172,20,1.1726,0.4947,0.3612
2173,20,1.1711,0.4967,0.3602
2174,20,1.1696,0.4987,0.3593
2175,20,1.1683,0.5008,0.3585
2176,20,1.167,0.5028,0.3576
2177,20,1.1657,0.5048,0.3568
2178,20,1.1646,0.5068,0.3561
2179,20,1.1636,0.5088,0.3554
2180,20,1.1626,0.5107,0.3547
2181,20,1.1617,0.5127,0.3541
2182,20,1.1609,0.5146,0.3535
2183,20,1.1601,0.5166,0.353
2184,20,1.1594,0.5185,0.3525
2185,20,1.1589,0.5205,0.3521
2186,20,1.1583,0.5224,0.3517
2187,20,1.1579,0.5243,0.3513
2188,20,1.1575,0.5262,0.351
2189,20,1.1573,0.5281,0.3507
2190,20,1.157,0.53,0.3505
2191,20,1.1569,0.5319,0.3503
2192,20,1.1568,0.5338,0.3502
2193,20,1.1569,0.5357,0.35
2194,20,1.1569,0.5375,0.3497
2195,20,1.1571,0.5394,0.3493
2196,20,1.1573,0.5412,0.3488
2197,20,1.1575,0.5431,0.3481
2198,20,1.1577,0.5449,0.3474
2199,20,1.158,0.5468,0.3466
2200,20,1.1582,0.5486,0.3458
2201,20,1.1585,0.5505,0.345
2202,20,1.1588,0.5523,0.3441
2203,20,1.159,0.5541,0.3431
2204,20,1.1593,0.5559,0.3422
2205,20,1.1596,0.5578,0.3412
2206,20,1.1598,0.5596,0.3402
2207,20,1.16,0.5614,0.3392
2208,20,1.1603,0.5632,0.3381
2209,20,1.1605,0.565,0.3371
2210,20,1.1607,0.5668,0.3361
2211,20,1.1609,0.5685,0.335
2212,20,1.1611,0.5703,0.334
2213,20,1.1612,0.5721,0.333
2214,20,1.1614,0.5739,0.3319
2215,20,1.1615,0.5756,0.3309
2216,20,1.1617,0.5774,0.3298
2217,20,1.1618,0.5792,0.3288
2218,20,1.1619,0.5809,0.3278
2219,20,1.162,0.5827,0.3267
2220,20,1.1622,0.5844,0.3257
2221,20,1.1622,0.5861,0.3247
2222,20,1.1623,0.5879,0.3236
2223,20,1.1624,0.5896,0.3226
2224,20,1.1625,0.5913,0.3216
2225,20,1.1625,0.5931,0.3206
2226,20,1.1626,0.5948,0.3195
2227,20,1.1626,0.5965,0.3185
2228,20,1.1627,0.5982,0.3175
2229,20,1.1627,0.5999,0.3165
2230,20,1.1627,0.6016,0.3155
2231,20,1.1628,0.6033,0.3145
2232,20,1.1628,0.6049,0.3135
2233,20,1.1628,0.6066,0.3125
2234,20,1.1628,0.6083,0.3115
2235,20,1.1628,0.61,0.3105
2236,20,1.1628,0.6116,0.3095
2237,20,1.1628,0.6133,0.3085
2238,20,1.1628,0.6149,0.3075
2239,20,1.1628,0.6166,0.3065
2240,20,1.1627,0.6182,0.3056
2241,20,1.1627,0.6199,0.3046
2242,20,1.1627,0.6215,0.3036
2243,20,1.1627,0.6231,0.3026
2244,20,1.1626,0.6248,0.3017
2245,20,1.1626,0.6264,0.3007
2246,20,1.1626,0.628,0.2997
2247,20,1.1625,0.6296,0.2988
2248,20,1.1625,0.6312,0.2978
2249,20,1.1624,0.6328,0.2968
2250,20,1.1624,0.6344,0.2959
2251,20,1.1623,0.636,0.2949
2252,20,1.1623,0.6376,0.294
2253,20,1.1622,0.6392,0.293
2254,20,1.1621,0.6407,0.2921
2255,20,1.1621,0.6423,0.2911
2256,20,1.162,0.6439,0.2902
2257,20,1.1619,0.6454,0.2892
2258,20,1.1619,0.647,0.2883
2259,20,1.1618,0.6485,0.2873
2260,20,1.1617,0.6501,0.2863
2261,20,1.1616,0.6516,0.2854
2262,20,1.1616,0.6531,0.2844
2263,20,1.1615,0.6547,0.2835
2264,20,1.1614,0.6562,0.2825
2265,20,1.1613,0.6577,0.2815
2266,20,1.1612,0.6592,0.2806
2267,20,1.1611,0.6608,0.2796
2268,20,1.161,0.6623,0.2787
2269,20,1.1608,0.6638,0.2777
2270,20,1.1607,0.6653,0.2768
2271,20,1.1606,0.6667,0.2758
2272,20,1.1605,0.6682,0.2749
2273,20,1.1604,0.6697,0.2739
2274,20,1.1602,0.6712,0.273
2275,20,1.1601,0.6727,0.2721
2276,20,1.16,0.6741,0.2712
2277,20,1.1598,0.6756,0.2702
2278,20,1.1597,0.6771,0.2693
2279,20,1.1595,0.6785,0.2684
2280,20,1.1594,0.68,0.2675
2281,20,1.1593,0.6814,0.2666
2282,20,1.1591,0.6828,0.2657
2283,20,1.159,0.6843,0.2647
2284,20,1.1588,0.6857,0.2639
2285,20,1.1587,0.6871,0.263
2286,20,1.1585,0.6885,0.2621
2287,20,1.1584,0.69,0.2612
2288,20,1.1582,0.6914,0.2603
2289,20,1.1581,0.6928,0.2594
2290,20,1.1579,0.6942,0.2585
2291,20,1.1578,0.6956,0.2576
2292,20,1.1576,0.697,0.2568
2293,20,1.1575,0.6984,0.2559
2294,20,1.1573,0.6997,0.255
2295,20,1.1571,0.7011,0.2542
2296,20,1.157,0.7025,0.2533
2297,20,1.1568,0.7039,0.2524
2298,20,1.1567,0.7052,0.2516
2299,20,1.1565,0.7066,0.2507
2015,30,0.0,0.0,0.0
2016,30,0.0,0.0,1.1931
2017,30,0.0895,0.0,1.2353
2018,30,0.1822,0.0,1.2702
2019,30,0.2733,0.0003,1.2386
2020,30,0.3578,0.0009,1.2041
2021,30,0.4355,0.0018,1.1704
2022,30,0.5069,0.003,1.1415
2023,30,0.5724,0.0044,1.117
2024,30,0.633,0.0061,1.0963
2025,30,0.689,0.0079,1.0789
2026,30,0.7409,0.01,1.0643
2027,30,0.7893,0.0123,1.0523
2028,30,0.8345,0.0147,1.0425
2029,30,0.8768,0.0172,1.0345
2030,30,0.9165,0.0199,1.0282
2031,30,0.9539,0.0228,1.0233
2032,30,0.9892,0.0257,1.0196
2033,30,1.0227,0.0288,1.0168
2034,30,1.0545,0.032,1.0144
2035,30,1.0846,0.0353,1.0123
2036,30,1.1133,0.0387,1.0104
2037,30,1.1406,0.0421,1.0088
2038,30,1.1666,0.0457,1.0073
2039,30,1.1914,0.0493,1.0059
2040,30,1.2151,0.053,1.0045
2041,30,1.2377,0.0568,1.0032
2042,30,1.2592,0.0606,1.0018
2043,30,1.2798,0.0645,1.0004
2044,30,1.2995,0.0685,0.9988
2045,30,1.3182,0.0725,0.9971
2046,30,1.3361,0.0765,0.9951
2047,30,1.3532,0.0806,0.993
2048,30,1.3695,0.0848,0.9907
2049,30,1.385,0.089,0.9881
2050,30,1.3998,0.0932,0.9853
2051,30,1.4138,0.0975,0.9823
2052,30,1.4271,0.1018,0.979
2053,30,1.4397,0.1062,0.9755
2054,30,1.4517,0.1105,0.9719
2055,30,1.463,0.1149,0.9682
2056,30,1.4736,0.1194,0.9644
2057,30,1.4837,0.1238,0.9604
2058,30,1.4931,0.1283,0.9562
2059,30,1.502,0.1328,0.9519
2060,30,1.5104,0.1373,0.9473
2061,30,1.5182,0.1418,0.9426
2062,30,1.5254,0.1463,0.9376
2063,30,1.5321,0.1509,0.9325
2064,30,1.5384,0.1554,0.9274
2065,30,1.5441,0.16,0.9222
2066,30,1.5494,0.1646,0.9169
2067,30,1.5542,0.1691,0.9115
2068,30,1.5586,0.1737,0.9061
2069,30,1.5626,0.1783,0.9004
2070,30,1.5661,0.1828,0.8947
2071,30,1.5693,0.1874,0.8887
2072,30,1.572,0.192,0.8826
2073,30,1.5744,0.1965,0.8762
2074,30,1.5763,0.2011,0.8693
2075,30,1.5779,0.2056,0.8621
2076,30,1.579,0.2102,0.8544
2077,30,1.5797,0.2147,0.8464
2078,30,1.5799,0.2192,0.8379
2079,30,1.5797,0.2237,0.8291
2080,30,1.579,0.2282,0.82
2081,30,1.5779,0.2327,0.8104
2082,30,1.5762,0.2372,0.8006
2083,30,1.5741,0.2416,0.7906
2084,30,1.5716,0.246,0.7806
2085,30,1.5685,0.2504,0.7707
2086,30,1.5651,0.2548,0.7607
2087,30,1.5613,0.2591,0.7508
2088,30,1.557,0.2635,0.7408
2089,30,1.5524,0.2678,0.7307
2090,30,1.5475,0.272,0.7205
2091,30,1.5422,0.2763,0.7103
2092,30,1.5365,0.2805,0.6999
2093,30,1.5305,0.2847,0.6898
2094,30,1.5242,0.2888,0.6802
2095,30,1.5177,0.2929,0.6711
2096,30,1.5109,0.297,0.6625
2097,30,1.504,0.301,0.6543
2098,30,1.497,0.3051,0.6464
2099,30,1.4899,0.309,0.6389
2100,30,1.4828,0.313,0.6315
2101,30,1.4756,0.3169,0.6245
2102,30,1.4683,0.3207,0.6176
2103,30,1.4611,0.3245,0.6109
2104,30,1.4539,0.3283,0.6045
2105,30,1.4467,0.3321,0.5982
2106,30,1.4396,0.3358,0.5922
2107,30,1.4325,0.3395,0.5864
2108,30,1.4255,0.3431,0.5808
2109,30,1.4186,0.3467,0.5753
2110,30,1.4117,0.3503,0.5699
2111,30,1.4049,0.3538,0.5646
2112,30,1.3982,0.3573,0.5594
2113,30,1.3916,0.3608,0.5543
2114,30,1.3851,0.3642,0.5493
2115,30,1.3787,0.3677,0.5444
2116,30,1.3723,0.371,0.5396
2117,30,1.3661,0.3744,0.5348
2118,30,1.3599,0.3777,0.5301
2119,30,1.3539,0.3809,0.5255
2120,30,1.3479,0.3842,0.521
2121,30,1.342,0.3874,0.5165
2122,30,1.3363,0.3906,0.512
2123,30,1.3305,0.3937,0.5077
2124,30,1.3249,0.3968,0.5033
2125,30,1.3194,0.3999,0.4991
2126,30,1.3139,0.403,0.4948
2127,30,1.3086,0.406,0.4907
2128,30,1.3033,0.409,0.4865
2129,30,1.2981,0.412,0.4825
2130,30,1.293,0.415,0.4784
2131,30,1.2879,0.4179,0.4744
2132,30,1.2829,0.4208,0.4705
2133,30,1.278,0.4237,0.4666
2134,30,1.2732,0.4265,0.4628
2135,30,1.2684,0.4293,0.4589
2136,30,1.2637,0.4321,0.4552
2137,30,1.2591,0.4349,0.4514
2138,30,1.2545,0.4376,0.4478
2139,30,1.25,0.4404,0.4441
2140,30,1.2456,0.4431,0.4405
2141,30,1.2412,0.4457,0.4369
2142,30,1.2369,0.4484,0.4334
2143,30,1.2327,0.451,0.43
2144,30,1.2285,0.4536,0.4268
2145,30,1.2244,0.4562,0.4239
2146,30,1.2204,0.4587,0.4211
2147,30,1.2165,0.4613,0.4185
2148,30,1.2127,0.4638,0.416
2149,30,1.209,0.4663,0.4137
2150,30,1.2054,0.4688,0.4115
2151,30,1.202,0.4712,0.4095
2152,30,1.1986,0.4736,0.4075
2153,30,1.1954,0.4761,0.4057
2154,30,1.1924,0.4785,0.4038
2155,30,1.1894,0.4808,0.402
2156,30,1.1866,0.4832,0.4001
2157,30,1.1838,0.4855,0.3983
2158,30,1.1812,0.4878,0.3966
2159,30,1.1787,0.4901,0.3948
2160,30,1.1763,0.4924,0.3931
2161,30,1.174,0.4947,0.3914
2162,30,1.1717,0.497,0.3898
2163,30,1.1696,0.4992,0.3882
2164,30,1.1675,0.5014,0.3867
2165,30,1.1655,0.5036,0.3852
2166,30,1.1637,0.5058,0.3837
2167,30,1.1619,0.508,0.3823
2168,30,1.1601,0.5102,0.3809
2169,30,1.1585,0.5124,0.3796
2170,30,1.1569,0.5145,0.3783
2171,30,1.1554,0.5166,0.377
2172,30,1.154,0.5188,0.3759
2173,30,1.1527,0.5209,0.3747
2174,30,1.1515,0.523,0.3736
2175,30,1.1503,0.5251,0.3726
2176,30,1.1492,0.5271,0.3716
2177,30,1.1482,0.5292,0.3706
2178,30,1.1473,0.5312,0.3697
2179,30,1.1464,0.5333,0.3689
2180,30,1.1456,0.5353,0.3681
2181,30,1.1449,0.5373,0.3673
2182,30,1.1442,0.5394,0.3666
2183,30,1.1437,0.5414,0.3659
2184,30,1.1432,0.5434,0.3653
2185,30,1.1427,0.5453,0.3647
2186,30,1.1424,0.5473,0.3642
2187,30,1.1421,0.5493,0.3637
2188,30,1.1419,0.5513,0.3633
2189,30,1.1417,0.5532,0.3629
2190,30,1.1417,0.5552,0.3626
2191,30,1.1417,0.5571,0.3623
2192,30,1.1417,0.559,0.362
2193,30,1.1419,0.561,0.3618
2194,30,1.1421,0.5629,0.3614
2195,30,1.1424,0.5648,0.3608
2196,30,1.1427,0.5667,0.3602
2197,30,1.143,0.5686,0.3595
2198,30,1.1434,0.5705,0.3587
2199,30,1.1437,0.5724,0.3578
2200,30,1.1441,0.5743,0.3569
2201,30,1.1445,0.5762,0.3559
2202,30,1.1448,0.5781,0.3549
2203,30,1.1452,0.58,0.3539
2204,30,1.1456,0.5818,0.3529
2205,30,1.1459,0.5837,0.3518
2206,30,1.1463,0.5856,0.3508
2207,30,1.1466,0.5874,0.3497
2208,30,1.1469,0.5893,0.3486
2209,30,1.1472,0.5911,0.3475
2210,30,1.1475,0.593,0.3464
2211,30,1.1478,0.5948,0.3453
2212,30,1.1481,0.5966,0.3441
2213,30,1.1483,0.5984,0.343
2214,30,1.1486,0.6003,0.3419
2215,30,1.1488,0.6021,0.3408
2216,30,1.1491,0.6039,0.3397
2217,30,1.1493,0.6057,0.3386
2218,30,1.1495,0.6075,0.3375
2219,30,1.1497,0.6093,0.3364
2220,30,1.1499,0.6111,0.3353
2221,30,1.1501,0.6129,0.3342
2222,30,1.1502,0.6146,0.3331
2223,30,1.1504,0.6164,0.332
2224,30,1.1505,0.6182,0.3309
2225,30,1.1507,0.6199,0.3298
2226,30,1.1508,0.6217,0.3287
2227,30,1.151,0.6235,0.3276
2228,30,1.1511,0.6252,0.3265
2229,30,1.1512,0.6269,0.3255
2230,30,1.1513,0.6287,0.3244
2231,30,1.1514,0.6304,0.3233
2232,30,1.1515,0.6321,0.3223
2233,30,1.1516,0.6339,0.3212
2234,30,1.1517,0.6356,0.3201
2235,30,1.1518,0.6373,0.3191
2236,30,1.1519,0.639,0.318
2237,30,1.152,0.6407,0.317
2238,30,1.1521,0.6424,0.3159
2239,30,1.1521,0.6441,0.3149
2240,30,1.1522,0.6457,0.3138
2241,30,1.1523,0.6474,0.3128
2242,30,1.1523,0.6491,0.3117
2243,30,1.1524,0.6508,0.3107
2244,30,1.1524,0.6524,0.3096
2245,30,1.1525,0.6541,0.3086
2246,30,1.1525,0.6557,0.3076
2247,30,1.1526,0.6574,0.3066
2248,30,1.1526,0.659,0.3055
2249,30,1.1526,0.6606,0.3045
2250,30,1.1527,0.6623,0.3035
2251,30,1.1527,0.6639,0.3025
2252,30,1.1527,0.6655,0.3014
2253,30,1.1528,0.6671,0.3004
2254,30,1.1528,0.6687,0.2994
2255,30,1.1528,0.6703,0.2984
2256,30,1.1528,0.6719,0.2974
2257,30,1.1528,0.6735,0.2964
2258,30,1.1528,0.6751,0.2954
2259,30,1.1529,0.6767,0.2943
2260,30,1.1529,0.6783,0.2933
2261,30,1.1529,0.6799,0.2923
2262,30,1.1528,0.6814,0.2913
2263,30,1.1528,0.683,0.2902
2264,30,1.1528,0.6845,0.2892
2265,30,1.1528,0.6861,0.2882
2266,30,1.1528,0.6876,0.2872
2267,30,1.1528,0.6892,0.2861
2268,30,1.1527,0.6907,0.2851
2269,30,1.1527,0.6922,0.2841
2270,30,1.1527,0.6938,0.2831
2271,30,1.1526,0.6953,0.2821
2272,30,1.1526,0.6968,0.2811
2273,30,1.1525,0.6983,0.2801
2274,30,1.1525,0.6998,0.2791
2275,30,1.1524,0.7013,0.2781
2276,30,1.1524,0.7028,0.2771
2277,30,1.1523,0.7043,0.2761
2278,30,1.1523,0.7058,0.2751
2279,30,1.1522,0.7073,0.2742
2280,30,1.1521,0.7087,0.2732
2281,30,1.1521,0.7102,0.2722
2282,30,1.152,0.7117,0.2713
2283,30,1.1519,0.7131,0.2703
2284,30,1.1519,0.7146,0.2693
2285,30,1.1518,0.716,0.2684
2286,30,1.1517,0.7175,0.2674
2287,30,1.1516,0.7189,0.2665
2288,30,1.1516,0.7203,0.2655
2289,30,1.1515,0.7218,0.2646
2290,30,1.1514,0.7232,0.2637
2291,30,1.1513,0.7246,0.2627
2292,30,1.1512,0.726,0.2618
2293,30,1.1512,0.7274,0.2609
2294,30,1.1511,0.7288,0.2599
2295,30,1.151,0.7302,0.259
2296,30,1.1509,0.7316,0.2581
2297,30,1.1508,0.733,0.2572
2298,30,1.1508,0.7344,0.2562
2299,30,1.1507,0.7358,0.2553
2015,40,0.0,0.0,0.0
2016,40,0.0,0.0,1.1931
2017,40,0.0895,0.0,1.2353
2018,40,0.1822,0.0,1.2702
2019,40,0.273,0.0003,1.2386
2020,40,0.3567,0.001,1.2041
2021,40,0.4333,0.002,1.1707
2022,40,0.5032,0.0032,1.1424
2023,40,0.5671,0.0048,1.1188
2024,40,0.6259,0.0066,1.0991
2025,40,0.68,0.0086,1.083
2026,40,0.73,0.0108,1.0698
2027,40,0.7764,0.0133,1.0592
2028,40,0.8196,0.0159,1.0509
2029,40,0.86,0.0186,1.0444
2030,40,0.8978,0.0215,1.0396
2031,40,0.9334,0.0245,1.0362
2032,40,0.9669,0.0277,1.034
2033,40,0.9987,0.031,1.0326
2034,40,1.0288,0.0343,1.0315
2035,40,1.0574,0.0378,1.0308
2036,40,1.0846,0.0414,1.0302
2037,40,1.1105,0.0451,1.0297
2038,40,1.1351,0.0488,1.0294
2039,40,1.1587,0.0527,1.0291
2040,40,1.1811,0.0566,1.0288
2041,40,1.2025,0.0606,1.0284
2042,40,1.223,0.0646,1.028
2043,40,1.2425,0.0687,1.0274
2044,40,1.2612,0.0729,1.0267
2045,40,1.2791,0.0771,1.0258
2046,40,1.2961,0.0814,1.0246
2047,40,1.3124,0.0857,1.0232
2048,40,1.3279,0.0901,1.0215
2049,40,1.3427,0.0945,1.0196
2050,40,1.3568,0.099,1.0174
2051,40,1.3702,0.1035,1.0149
2052,40,1.3829,0.108,1.0121
2053,40,1.395,0.1126,1.0091
2054,40,1.4064,0.1172,1.006
2055,40,1.4172,0.1218,1.0027
2056,40,1.4274,0.1264,0.9992
2057,40,1.4371,0.1311,0.9956
2058,40,1.4462,0.1358,0.9918
2059,40,1.4548,0.1405,0.9877
2060,40,1.4628,0.1452,0.9834
2061,40,1.4703,0.1499,0.979
2062,40,1.4773,0.1547,0.9742
2063,40,1.4839,0.1594,0.9693
2064,40,1.4899,0.1642,0.9644
2065,40,1.4955,0.1689,0.9594
2066,40,1.5006,0.1737,0.9542
2067,40,1.5053,0.1785,0.949
2068,40,1.5096,0.1833,0.9436
2069,40,1.5135,0.1881,0.9381
2070,40,1.517,0.1928,0.9324
2071,40,1.5202,0.1976,0.9265
2072,40,1.5229,0.2024,0.9204
2073,40,1.5253,0.2071,0.914
2074,40,1.5273,0.2119,0.9072
2075,40,1.5289,0.2166,0.8999
2076,40,1.5301,0.2214,0.8922
2077,40,1.5308,0.2261,0.8841
2078,40,1.5312,0.2308,0.8756
2079,40,1.5311,0.2355,0.8667
2080,40,1.5306,0.2402,0.8575
2081,40,1.5296,0.2449,0.8479
2082,40,1.5281,0.2495,0.8379
2083,40,1.5262,0.2541,0.8278
2084,40,1.5239,0.2587,0.8177
2085,40,1.5211,0.2633,0.8076
2086,40,1.5179,0.2679,0.7975
2087,40,1.5143,0.2724,0.7873
2088,40,1.5103,0.2769,0.7771
2089,40,1.506,0.2814,0.7669
2090,40,1.5014,0.2858,0.7565
2091,40,1.4964,0.2902,0.746
2092,40,1.4911,0.2946,0.7354
2093,40,1.4854,0.2989,0.725
2094,40,1.4795,0.3033,0.7151
2095,40,1.4733,0.3075,0.7058
2096,40,1.467,0.3118,0.6969
2097,40,1.4605,0.316,0.6884
2098,40,1.4539,0.3201,0.6802
2099,40,1.4472,0.3242,0.6724
2100,40,1.4405,0.3283,0.6647
2101,40,1.4338,0.3324,0.6573
2102,40,1.427,0.3364,0.6501
2103,40,1.4203,0.3403,0.643
2104,40,1.4135,0.3443,0.6363
2105,40,1.4068,0.3482,0.6297
2106,40,1.4001,0.352,0.6234
2107,40,1.3935,0.3558,0.6172
2108,40,1.387,0.3596,0.6112
2109,40,1.3805,0.3633,0.6053
2110,40,1.3741,0.367,0.5995
2111,40,1.3678,0.3707,0.5939
2112,40,1.3616,0.3743,0.5883
2113,40,1.3555,0.3779,0.5829
2114,40,1.3494,0.3815,0.5775
2115,40,1.3435,0.385,0.5722
2116,40,1.3376,0.3885,0.567
2117,40,1.3318,0.3919,0.5619
2118,40,1.3261,0.3953,0.5569
2119,40,1.3205,0.3987,0.5519
2120,40,1.315,0.4021,0.547
2121,40,1.3096,0.4054,0.5422
2122,40,1.3042,0.4087,0.5374
2123,40,1.299,0.4119,0.5327
2124,40,1.2938,0.4152,0.528
2125,40,1.2887,0.4184,0.5234
2126,40,1.2836,0.4215,0.5188
2127,40,1.2787,0.4247,0.5143
2128,40,1.2738,0.4278,0.5099
2129,40,1.269,0.4308,0.5055
2130,40,1.2643,0.4339,0.5011
2131,40,1.2596,0.4369,0.4968
2132,40,1.255,0.4399,0.4926
2133,40,1.2505,0.4429,0.4884
2134,40,1.246,0.4458,0.4842
2135,40,1.2417,0.4487,0.4801
2136,40,1.2373,0.4516,0.4761
2137,40,1.2331,0.4544,0.472
2138,40,1.2289,0.4573,0.4681
2139,40,1.2247,0.4601,0.4641
2140,40,1.2206,0.4628,0.4603
2141,40,1.2166,0.4656,0.4564
2142,40,1.2127,0.4683,0.4526
2143,40,1.2088,0.471,0.449
2144,40,1.2049,0.4737,0.4455
2145,40,1.2011,0.4764,0.4423
2146,40,1.1975,0.479,0.4392
2147,40,1.1939,0.4816,0.4364
2148,40,1.1904,0.4842,0.4336
2149,40,1.187,0.4868,0.4311
2150,40,1.1838,0.4893,0.4287
2151,40,1.1806,0.4918,0.4264
2152,40,1.1776,0.4943,0.4242
2153,40,1.1747,0.4968,0.4221
2154,40,1.1719,0.4993,0.42
2155,40,1.1692,0.5017,0.4179
2156,40,1.1667,0.5041,0.4159
2157,40,1.1642,0.5065,0.4139
2158,40,1.1619,0.5089,0.4119
2159,40,1.1596,0.5113,0.4099
2160,40,1.1575,0.5136,0.408
2161,40,1.1554,0.516,0.4061
2162,40,1.1534,0.5183,0.4043
2163,40,1.1515,0.5206,0.4025
2164,40,1.1497,0.5229,0.4008
2165,40,1.1479,0.5252,0.3991
2166,40,1.1463,0.5274,0.3974
2167,40,1.1447,0.5297,0.3958
2168,40,1.1432,0.5319,0.3943
2169,40,1.1418,0.5341,0.3928
2170,40,1.1404,0.5363,0.3913
2171,40,1.1391,0.5385,0.3899
2172,40,1.1379,0.5407,0.3886
2173,40,1.1368,0.5428,0.3873
2174,40,1.1357,0.545,0.386
2175,40,1.1348,0.5471,0.3849
2176,40,1.1338,0.5492,0.3837
2177,40,1.133,0.5514,0.3826
2178,40,1.1322,0.5535,0.3816
2179,40,1.1315,0.5556,0.3806
2180,40,1.1309,0.5576,0.3796
2181,40,1.1304,0.5597,0.3787
2182,40,1.1299,0.5618,0.3779
2183,40,1.1295,0.5638,0.3771
2184,40,1.1291,0.5659,0.3764
2185,40,1.1288,0.5679,0.3757
2186,40,1.1286,0.5699,0.375
2187,40,1.1285,0.572,0.3744
2188,40,1.1284,0.574,0.3739
2189,40,1.1284,0.576,0.3734
2190,40,1.1284,0.578,0.3729
2191,40,1.1286,0.58,0.3726
2192,40,1.1288,0.5819,0.3722
2193,40,1.129,0.5839,0.3718
2194,40,1.1294,0.5859,0.3713
2195,40,1.1297,0.5879,0.3707
2196,40,1.1302,0.5898,0.37
2197,40,1.1306,0.5918,0.3692
2198,40,1.1311,0.5937,0.3683
2199,40,1.1315,0.5956,0.3673
2200,40,1.132,0.5976,0.3664
2201,40,1.1325,0.5995,0.3653
2202,40,1.1329,0.6014,0.3643
2203,40,1.1334,0.6034,0.3632
2204,40,1.1338,0.6053,0.3621
2205,40,1.1343,0.6072,0.3609
2206,40,1.1347,0.6091,0.3598
2207,40,1.1351,0.611,0.3586
2208,40,1.1355,0.6129,0.3575
2209,40,1.1359,0.6148,0.3563
2210,40,1.1363,0.6166,0.3551
2211,40,1.1367,0.6185,0.354
2212,40,1.137,0.6204,0.3528
2213,40,1.1374,0.6223,0.3516
2214,40,1.1377,0.6241,0.3504
2215,40,1.138,0.626,0.3493
2216,40,1.1383,0.6278,0.3481
2217,40,1.1386,0.6297,0.3469
2218,40,1.1389,0.6315,0.3457
2219,40,1.1392,0.6333,0.3446
2220,40,1.1395,0.6352,0.3434
2221,40,1.1397,0.637,0.3423
2222,40,1.14,0.6388,0.3411
2223,40,1.1402,0.6406,0.3399
2224,40,1.1405,0.6424,0.3388
2225,40,1.1407,0.6442,0.3376
2226,40,1.1409,0.646,0.3365
2227,40,1.1411,0.6478,0.3353
2228,40,1.1413,0.6496,0.3342
2229,40,1.1415,0.6514,0.333
2230,40,1.1417,0.6531,0.3319
2231,40,1.1419,0.6549,0.3308
2232,40,1.1421,0.6567,0.3296
2233,40,1.1423,0.6584,0.3285
2234,40,1.1424,0.6602,0.3274
2235,40,1.1426,0.6619,0.3263
2236,40,1.1428,0.6636,0.3252
2237,40,1.1429,0.6654,0.324
2238,40,1.1431,0.6671,0.3229
2239,40,1.1432,0.6688,0.3218
2240,40,1.1434,0.6705,0.3207
2241,40,1.1435,0.6722,0.3196
2242,40,1.1437,0.6739,0.3185
2243,40,1.1438,0.6756,0.3174
2244,40,1.1439,0.6773,0.3163
2245,40,1.1441,0.679,0.3152
2246,40,1.1442,0.6807,0.3141
2247,40,1.1443,0.6824,0.313
2248,40,1.1444,0.684,0.3119
2249,40,1.1445,0.6857,0.3109
2250,40,1.1446,0.6874,0.3098
2251,40,1.1447,0.689,0.3087
2252,40,1.1449,0.6907,0.3076
2253,40,1.145,0.6923,0.3066
2254,40,1.1451,0.6939,0.3055
2255,40,1.1452,0.6956,0.3044
2256,40,1.1452,0.6972,0.3033
2257,40,1.1453,0.6988,0.3023
2258,40,1.1454,0.7004,0.3012
2259,40,1.1455,0.702,0.3001
2260,40,1.1456,0.7036,0.299
2261,40,1.1457,0.7052,0.2979
2262,40,1.1457,0.7068,0.2968
2263,40,1.1458,0.7084,0.2958
2264,40,1.1459,0.71,0.2947
2265,40,1.1459,0.7116,0.2936
2266,40,1.146,0.7131,0.2925
2267,40,1.146,0.7147,0.2914
2268,40,1.1461,0.7162,0.2904
2269,40,1.1461,0.7178,0.2893
2270,40,1.1461,0.7193,0.2882
2271,40,1.1462,0.7209,0.2872
2272,40,1.1462,0.7224,0.2861
2273,40,1.1462,0.724,0.2851
2274,40,1.1462,0.7255,0.284
2275,40,1.1463,0.727,0.283
2276,40,1.1463,0.7285,0.2819
2277,40,1.1463,0.73,0.2809
2278,40,1.1463,0.7315,0.2798
2279,40,1.1463,0.733,0.2788
2280,40,1.1463,0.7345,0.2778
2281,40,1.1463,0.736,0.2768
2282,40,1.1463,0.7375,0.2757
2283,40,1.1463,0.739,0.2747
2284,40,1.1463,0.7404,0.2737
2285,40,1.1463,0.7419,0.2727
2286,40,1.1463,0.7434,0.2717
2287,40,1.1463,0.7448,0.2707
2288,40,1.1463,0.7463,0.2697
2289,40,1.1463,0.7477,0.2687
