rango_tamano,fraccion,referencia
0.3-1mm,0.45,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495."
1-2mm,0.37,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 21, 43(3): 485-495."
2-3mm,0.11,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 22, 43(1): 485-495."
3-4mm,0.04,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 23, 43(0): 485-495."
4-5mm,0.02,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 24, 43(0): 485-495."
53um-500um,0.31,"Ta A, Babel S. Microplastic pollution in surface water of the chao phraya river in ang thong area[J]. EnvironmentAsia, 2019, 12(Special Issue): 48-53."
500um-1000um,0.29,"Ta A, Babel S. Microplastic pollution in surface water of the chao phraya river in ang thong area[J]. EnvironmentAsia, 2019, 12(Special Issue): 48-500."
1000-5000um,0.39,"Ta A, Babel S. Microplastic pollution in surface water of the chao phraya river in ang thong area[J]. EnvironmentAsia, 2019, 12(Special Issue): 48-1000."
5-100um,0.18,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
100-250um,0.43,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
250-500um,0.28,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
500-1000um,0.1,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
1000-3000um,0.03,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
3000-5000um,0.0,"Bertoldi C, Lara L Z, Mizushima F A L, et al. First evidence of microplastic contamination in the freshwater of Lake Guaíba, Porto Alegre, Brazil[J]. Science of the Total Environment, 2021, 759: 143503."
0.16-0.25mm,0.61,"Fan Y, Zheng K, Zhu Z, et al. Distribution, sedimentary record, and persistence of microplastics in the Pearl River catchment, China[J]. Environmental Pollution, 2019, 251: 862-870."
0.25-0.45mm,0.17,"Fan Y, Zheng K, Zhu Z, et al. Distribution, sedimentary record, and persistence of microplastics in the Pearl River catchment, China[J]. Environmental Pollution, 2019, 251: 862-870."
0.45-1mm,0.12,"Fan Y, Zheng K, Zhu Z, et al. Distribution, sedimentary record, and persistence of microplastics in the Pearl River catchment, China[J]. Environmental Pollution, 2019, 251: 862-870."
1-5mm,0.1,"Fan Y, Zheng K, Zhu Z, et al. Distribution, sedimentary record, and persistence of microplastics in the Pearl River catchment, China[J]. Environmental Pollution, 2019, 251: 862-870."
0.05-0.3mm,0.38,"Ta A T, Babel S. Occurrence and spatial distribution of microplastic contaminated with heavy metals in a tropical river: Effect of land use and population density[J]. Marine Pollution Bulletin, 2023, 191: 114919."
0.3-0.5mm,0.3,"Ta A T, Babel S. Occurrence and spatial distribution of microplastic contaminated with heavy metals in a tropical river: Effect of land use and population density[J]. Marine Pollution Bulletin, 2023, 191: 114919."
0.5-1mm,0.19,"Ta A T, Babel S. Occurrence and spatial distribution of microplastic contaminated with heavy metals in a tropical river: Effect of land use and population density[J]. Marine Pollution Bulletin, 2023, 191: 114919."
1-5mm,0.12,"Ta A T, Babel S. Occurrence and spatial distribution of microplastic contaminated with heavy metals in a tropical river: Effect of land use and population density[J]. Marine Pollution Bulletin, 2023, 191: 114919."
333-500um,0.13,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
1000-500um,0.33,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
2000-1000um,0.33,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
5000-2000um,0.22,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
