Experiment,Event,Syy [MPa],Syy error [MPa],Sxy [MPa],Sxy error [MPa],Lc [m],Lc error [m],A0 [m/sec^2],tc [sec],tc error [sec],A0 error [m/sec^2],slip nucleation [micron],slip nucleation error [micron,slip foreshock [micron],slip foreshock error [micron],Vmin [m/sec],Vmin error [m/sec]
'Nuc_300bar_TopStop_A',3,9.64815763,0.05015856,3.355364613,0.007398008,0.005571844,0.001591956,4982.591183,0.003158696,8.85E-05,470.5346228,2.83E-06,2.31E-07,1.73E-06,5.28E-07,0.000389615,1.44E-05
'Nuc_300bar_TopStop_A',4,9.762409706,0.039955474,3.20814186,0.025576931,0.052954805,0.009456215,3007.302478,0.068302252,0.003539,438.666247,1.02E-05,8.94E-07,9.13E-07,1.07E-06,9.36E-07,3.55E-07
'Nuc_300bar_TopStop_A',5,9.883545192,0.022658846,3.364827176,0.006121619,0.022905055,0.006940926,3204.847923,0.016248507,0.00081825,368.9729211,3.13E-06,1.25E-06,1.21E-06,1.18E-06,1.73E-06,2.56E-06
'Nuc_300bar_TopStop_A',6,9.999751428,0.015550361,3.258192183,0.013053086,0.046650662,0,1950.61833,0.055647484,0,273.3619414,1.49E-05,2.89E-06,-3.09E-07,2.02E-06,1.30E-05,5.74E-07
'Nuc_300bar_TopStop_A',7,10.14520935,0.031199224,3.418355623,0.015159833,0.043937971,0.007615915,1640.202926,0.074121269,0.0006005,265.97725,7.27E-06,5.03E-06,2.14E-07,2.63E-06,2.87E-07,5.88E-07
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
