year,sex,region,obesity_pct,obesity_lo95,obesity_hi95,grupo_edad
2000,Men,"Central Asia, Middle East and north Africa",12.16,11.55,12.78,adultos
2001,Men,"Central Asia, Middle East and north Africa",12.63,12.05,13.22,adultos
2002,Men,"Central Asia, Middle East and north Africa",13.13,12.56,13.68,adultos
2003,Men,"Central Asia, Middle East and north Africa",13.62,13.07,14.17,adultos
2004,Men,"Central Asia, Middle East and north Africa",14.12,13.59,14.66,adultos
2005,Men,"Central Asia, Middle East and north Africa",14.62,14.09,15.15,adultos
2006,Men,"Central Asia, Middle East and north Africa",15.13,14.6,15.65,adultos
2007,Men,"Central Asia, Middle East and north Africa",15.65,15.13,16.18,adultos
2008,Men,"Central Asia, Middle East and north Africa",16.18,15.67,16.72,adultos
2009,Men,"Central Asia, Middle East and north Africa",16.7,16.17,17.26,adultos
2010,Men,"Central Asia, Middle East and north Africa",17.2,16.67,17.77,adultos
2011,Men,"Central Asia, Middle East and north Africa",17.69,17.14,18.27,adultos
2012,Men,"Central Asia, Middle East and north Africa",18.18,17.61,18.77,adultos
2013,Men,"Central Asia, Middle East and north Africa",18.66,18.06,19.27,adultos
2014,Men,"Central Asia, Middle East and north Africa",19.13,18.51,19.77,adultos
2015,Men,"Central Asia, Middle East and north Africa",19.59,18.94,20.27,adultos
2016,Men,"Central Asia, Middle East and north Africa",20.03,19.33,20.77,adultos
2017,Men,"Central Asia, Middle East and north Africa",20.38,19.61,21.17,adultos
2018,Men,"Central Asia, Middle East and north Africa",20.64,19.8,21.48,adultos
2019,Men,"Central Asia, Middle East and north Africa",20.88,19.94,21.83,adultos
2020,Men,"Central Asia, Middle East and north Africa",21.13,20.06,22.21,adultos
2021,Men,"Central Asia, Middle East and north Africa",21.37,20.15,22.62,adultos
2022,Men,"Central Asia, Middle East and north Africa",21.66,20.25,23.12,adultos
2023,Men,"Central Asia, Middle East and north Africa",21.96,20.34,23.66,adultos
2024,Men,"Central Asia, Middle East and north Africa",22.24,20.35,24.2,adultos
1980,Men,East and southeast Asia and the Pacific,0.39,0.29,0.51,adultos
1981,Men,East and southeast Asia and the Pacific,0.41,0.32,0.53,adultos
1982,Men,East and southeast Asia and the Pacific,0.44,0.35,0.55,adultos
1983,Men,East and southeast Asia and the Pacific,0.47,0.39,0.57,adultos
1984,Men,East and southeast Asia and the Pacific,0.51,0.42,0.61,adultos
1985,Men,East and southeast Asia and the Pacific,0.55,0.46,0.64,adultos
1986,Men,East and southeast Asia and the Pacific,0.59,0.51,0.68,adultos
1987,Men,East and southeast Asia and the Pacific,0.64,0.56,0.73,adultos
1988,Men,East and southeast Asia and the Pacific,0.69,0.61,0.78,adultos
1989,Men,East and southeast Asia and the Pacific,0.75,0.67,0.84,adultos
1990,Men,East and southeast Asia and the Pacific,0.81,0.73,0.9,adultos
1991,Men,East and southeast Asia and the Pacific,0.88,0.8,0.97,adultos
1992,Men,East and southeast Asia and the Pacific,0.95,0.87,1.05,adultos
1993,Men,East and southeast Asia and the Pacific,1.03,0.94,1.13,adultos
1994,Men,East and southeast Asia and the Pacific,1.11,1.01,1.21,adultos
1995,Men,East and southeast Asia and the Pacific,1.19,1.09,1.3,adultos
1996,Men,East and southeast Asia and the Pacific,1.28,1.18,1.4,adultos
1997,Men,East and southeast Asia and the Pacific,1.38,1.27,1.5,adultos
1998,Men,East and southeast Asia and the Pacific,1.48,1.36,1.61,adultos
1999,Men,East and southeast Asia and the Pacific,1.59,1.47,1.73,adultos
2000,Men,East and southeast Asia and the Pacific,1.72,1.58,1.86,adultos
2001,Men,East and southeast Asia and the Pacific,1.85,1.71,1.99,adultos
2002,Men,East and southeast Asia and the Pacific,1.98,1.84,2.14,adultos
2003,Men,East and southeast Asia and the Pacific,2.13,1.98,2.29,adultos
2004,Men,East and southeast Asia and the Pacific,2.3,2.15,2.46,adultos
2005,Men,East and southeast Asia and the Pacific,2.48,2.32,2.64,adultos
2006,Men,East and southeast Asia and the Pacific,2.67,2.51,2.83,adultos
2007,Men,East and southeast Asia and the Pacific,2.88,2.71,3.05,adultos
2008,Men,East and southeast Asia and the Pacific,3.11,2.94,3.29,adultos
2009,Men,East and southeast Asia and the Pacific,3.35,3.17,3.53,adultos
2010,Men,East and southeast Asia and the Pacific,3.59,3.41,3.78,adultos
2011,Men,East and southeast Asia and the Pacific,3.85,3.65,4.05,adultos
2012,Men,East and southeast Asia and the Pacific,4.12,3.92,4.33,adultos
2013,Men,East and southeast Asia and the Pacific,4.42,4.2,4.64,adultos
2014,Men,East and southeast Asia and the Pacific,4.74,4.5,4.98,adultos
2015,Men,East and southeast Asia and the Pacific,5.09,4.82,5.37,adultos
2016,Men,East and southeast Asia and the Pacific,5.46,5.15,5.79,adultos
2017,Men,East and southeast Asia and the Pacific,5.84,5.48,6.25,adultos
2018,Men,East and southeast Asia and the Pacific,6.25,5.8,6.74,adultos
2019,Men,East and southeast Asia and the Pacific,6.68,6.12,7.28,adultos
2020,Men,East and southeast Asia and the Pacific,7.14,6.46,7.9,adultos
2021,Men,East and southeast Asia and the Pacific,7.63,6.77,8.56,adultos
2022,Men,East and southeast Asia and the Pacific,8.15,7.1,9.3,adultos
2023,Men,East and southeast Asia and the Pacific,8.7,7.42,10.12,adultos
2024,Men,East and southeast Asia and the Pacific,9.29,7.76,11.0,adultos
1980,Men,High-income western,8.32,7.43,9.3,adultos
1981,Men,High-income western,8.63,7.81,9.52,adultos
1982,Men,High-income western,8.95,8.19,9.77,adultos
1983,Men,High-income western,9.29,8.57,10.05,adultos
1984,Men,High-income western,9.64,8.95,10.37,adultos
1985,Men,High-income western,10.01,9.35,10.72,adultos
1986,Men,High-income western,10.4,9.75,11.08,adultos
1987,Men,High-income western,10.79,10.15,11.45,adultos
1988,Men,High-income western,11.21,10.59,11.86,adultos
1989,Men,High-income western,11.66,11.05,12.3,adultos
1990,Men,High-income western,12.14,11.52,12.79,adultos
1991,Men,High-income western,12.64,12.04,13.28,adultos
1992,Men,High-income western,13.18,12.56,13.81,adultos
1993,Men,High-income western,13.74,13.13,14.35,adultos
1994,Men,High-income western,14.34,13.72,14.93,adultos
1995,Men,High-income western,14.97,14.35,15.57,adultos
1996,Men,High-income western,15.63,15.02,16.23,adultos
1997,Men,High-income western,16.31,15.71,16.92,adultos
1998,Men,High-income western,17.02,16.42,17.62,adultos
1999,Men,High-income western,17.74,17.15,18.35,adultos
2000,Men,High-income western,18.47,17.88,19.09,adultos
2001,Men,High-income western,19.22,18.63,19.82,adultos
2002,Men,High-income western,19.95,19.36,20.56,adultos
2003,Men,High-income western,20.68,20.09,21.28,adultos
2004,Men,High-income western,21.38,20.78,21.97,adultos
2005,Men,High-income western,22.05,21.44,22.64,adultos
2006,Men,High-income western,22.67,22.07,23.27,adultos
2007,Men,High-income western,23.24,22.65,23.85,adultos
2008,Men,High-income western,23.75,23.15,24.35,adultos
2009,Men,High-income western,24.19,23.59,24.78,adultos
2010,Men,High-income western,24.55,23.95,25.16,adultos
2011,Men,High-income western,24.85,24.23,25.46,adultos
2012,Men,High-income western,25.1,24.47,25.75,adultos
2013,Men,High-income western,25.33,24.66,26.0,adultos
2014,Men,High-income western,25.54,24.85,26.23,adultos
2015,Men,High-income western,25.73,25.02,26.46,adultos
2016,Men,High-income western,25.91,25.15,26.69,adultos
2017,Men,High-income western,26.08,25.26,26.91,adultos
2018,Men,High-income western,26.21,25.33,27.11,adultos
2019,Men,High-income western,26.33,25.33,27.31,adultos
2020,Men,High-income western,26.42,25.3,27.56,adultos
2021,Men,High-income western,26.5,25.2,27.82,adultos
2022,Men,High-income western,26.58,25.07,28.11,adultos
2023,Men,High-income western,26.67,24.92,28.46,adultos
2024,Men,High-income western,26.78,24.72,28.85,adultos
1980,Men,Latin America and the Caribbean,4.57,3.26,6.21,adultos
1981,Men,Latin America and the Caribbean,4.77,3.52,6.29,adultos
1982,Men,Latin America and the Caribbean,4.99,3.79,6.47,adultos
1983,Men,Latin America and the Caribbean,5.23,4.07,6.61,adultos
1984,Men,Latin America and the Caribbean,5.48,4.36,6.79,adultos
1985,Men,Latin America and the Caribbean,5.74,4.67,6.96,adultos
1986,Men,Latin America and the Caribbean,6.01,4.99,7.16,adultos
1987,Men,Latin America and the Caribbean,6.3,5.31,7.39,adultos
1988,Men,Latin America and the Caribbean,6.6,5.65,7.62,adultos
1989,Men,Latin America and the Caribbean,6.92,6.02,7.89,adultos
1990,Men,Latin America and the Caribbean,7.25,6.4,8.17,adultos
1991,Men,Latin America and the Caribbean,7.6,6.77,8.48,adultos
1992,Men,Latin America and the Caribbean,7.96,7.16,8.8,adultos
1993,Men,Latin America and the Caribbean,8.34,7.56,9.15,adultos
1994,Men,Latin America and the Caribbean,8.73,7.98,9.53,adultos
1995,Men,Latin America and the Caribbean,9.14,8.41,9.92,adultos
1996,Men,Latin America and the Caribbean,9.57,8.86,10.31,adultos
1997,Men,Latin America and the Caribbean,10.01,9.32,10.72,adultos
1998,Men,Latin America and the Caribbean,10.47,9.79,11.16,adultos
1999,Men,Latin America and the Caribbean,10.93,10.28,11.61,adultos
2000,Men,Latin America and the Caribbean,11.41,10.77,12.05,adultos
2001,Men,Latin America and the Caribbean,11.88,11.26,12.49,adultos
2002,Men,Latin America and the Caribbean,12.37,11.76,12.95,adultos
2003,Men,Latin America and the Caribbean,12.85,12.26,13.44,adultos
2004,Men,Latin America and the Caribbean,13.34,12.75,13.94,adultos
2005,Men,Latin America and the Caribbean,13.84,13.24,14.43,adultos
2006,Men,Latin America and the Caribbean,14.34,13.74,14.93,adultos
2007,Men,Latin America and the Caribbean,14.85,14.26,15.43,adultos
2008,Men,Latin America and the Caribbean,15.38,14.78,15.97,adultos
2009,Men,Latin America and the Caribbean,15.92,15.33,16.51,adultos
2010,Men,Latin America and the Caribbean,16.49,15.89,17.07,adultos
2011,Men,Latin America and the Caribbean,17.07,16.48,17.67,adultos
2012,Men,Latin America and the Caribbean,17.67,17.1,18.28,adultos
2013,Men,Latin America and the Caribbean,18.29,17.7,18.9,adultos
2014,Men,Latin America and the Caribbean,18.91,18.32,19.53,adultos
2015,Men,Latin America and the Caribbean,19.55,18.95,20.18,adultos
2016,Men,Latin America and the Caribbean,20.19,19.56,20.84,adultos
2017,Men,Latin America and the Caribbean,20.84,20.17,21.52,adultos
2018,Men,Latin America and the Caribbean,21.49,20.74,22.26,adultos
2019,Men,Latin America and the Caribbean,22.15,21.31,23.02,adultos
2020,Men,Latin America and the Caribbean,22.83,21.83,23.85,adultos
2021,Men,Latin America and the Caribbean,23.52,22.34,24.75,adultos
2022,Men,Latin America and the Caribbean,24.23,22.82,25.67,adultos
2023,Men,Latin America and the Caribbean,24.95,23.26,26.63,adultos
2024,Men,Latin America and the Caribbean,25.69,23.75,27.7,adultos
1980,Men,Pacific island nations,11.05,7.88,15.11,adultos
1981,Men,Pacific island nations,11.34,8.29,15.18,adultos
1982,Men,Pacific island nations,11.65,8.71,15.25,adultos
1983,Men,Pacific island nations,11.98,9.13,15.37,adultos
1984,Men,Pacific island nations,12.32,9.57,15.54,adultos
1985,Men,Pacific island nations,12.68,10.0,15.77,adultos
1986,Men,Pacific island nations,13.04,10.42,16.02,adultos
1987,Men,Pacific island nations,13.42,10.86,16.31,adultos
1988,Men,Pacific island nations,13.82,11.29,16.67,adultos
1989,Men,Pacific island nations,14.21,11.72,17.04,adultos
1990,Men,Pacific island nations,14.58,12.07,17.41,adultos
1991,Men,Pacific island nations,14.93,12.35,17.79,adultos
1992,Men,Pacific island nations,15.27,12.66,18.2,adultos
1993,Men,Pacific island nations,15.6,12.92,18.6,adultos
1994,Men,Pacific island nations,15.92,13.14,19.05,adultos
1995,Men,Pacific island nations,16.23,13.35,19.48,adultos
1996,Men,Pacific island nations,16.53,13.55,19.95,adultos
1997,Men,Pacific island nations,16.83,13.74,20.4,adultos
1998,Men,Pacific island nations,17.13,13.95,20.81,adultos
1999,Men,Pacific island nations,17.43,14.12,21.24,adultos
2000,Men,Pacific island nations,17.73,14.29,21.73,adultos
2001,Men,Pacific island nations,18.03,14.48,22.17,adultos
2002,Men,Pacific island nations,18.34,14.66,22.61,adultos
2003,Men,Pacific island nations,18.66,14.86,23.07,adultos
2004,Men,Pacific island nations,18.98,15.07,23.54,adultos
2005,Men,Pacific island nations,19.31,15.22,23.96,adultos
2006,Men,Pacific island nations,19.63,15.41,24.41,adultos
2007,Men,Pacific island nations,19.94,15.63,24.86,adultos
2008,Men,Pacific island nations,20.25,15.77,25.32,adultos
2009,Men,Pacific island nations,20.54,15.94,25.8,adultos
2010,Men,Pacific island nations,20.81,16.09,26.22,adultos
2011,Men,Pacific island nations,21.06,16.25,26.7,adultos
2012,Men,Pacific island nations,21.31,16.34,27.2,adultos
2013,Men,Pacific island nations,21.56,16.4,27.63,adultos
2014,Men,Pacific island nations,21.82,16.5,28.1,adultos
2015,Men,Pacific island nations,22.08,16.62,28.53,adultos
2016,Men,Pacific island nations,22.36,16.79,29.03,adultos
2017,Men,Pacific island nations,22.64,16.85,29.61,adultos
2018,Men,Pacific island nations,22.93,16.91,30.17,adultos
2019,Men,Pacific island nations,23.24,16.99,30.85,adultos
2020,Men,Pacific island nations,23.57,17.01,31.67,adultos
2021,Men,Pacific island nations,23.91,17.02,32.45,adultos
2022,Men,Pacific island nations,24.27,16.98,33.32,adultos
2023,Men,Pacific island nations,24.64,17.04,34.17,adultos
2024,Men,Pacific island nations,25.03,16.98,35.14,adultos
1980,Men,South Asia,0.24,0.15,0.36,adultos
1981,Men,South Asia,0.26,0.17,0.38,adultos
1982,Men,South Asia,0.27,0.19,0.39,adultos
1983,Men,South Asia,0.3,0.21,0.41,adultos
1984,Men,South Asia,0.32,0.23,0.43,adultos
1985,Men,South Asia,0.35,0.25,0.46,adultos
1986,Men,South Asia,0.37,0.28,0.49,adultos
1987,Men,South Asia,0.4,0.31,0.52,adultos
1988,Men,South Asia,0.44,0.34,0.55,adultos
1989,Men,South Asia,0.47,0.38,0.59,adultos
1990,Men,South Asia,0.51,0.41,0.63,adultos
1991,Men,South Asia,0.56,0.45,0.67,adultos
1992,Men,South Asia,0.6,0.5,0.72,adultos
1993,Men,South Asia,0.65,0.55,0.78,adultos
1994,Men,South Asia,0.71,0.6,0.84,adultos
1995,Men,South Asia,0.77,0.66,0.9,adultos
1996,Men,South Asia,0.84,0.73,0.98,adultos
1997,Men,South Asia,0.92,0.8,1.06,adultos
1998,Men,South Asia,1.01,0.88,1.16,adultos
1999,Men,South Asia,1.11,0.97,1.26,adultos
2000,Men,South Asia,1.22,1.08,1.37,adultos
2001,Men,South Asia,1.34,1.19,1.5,adultos
2002,Men,South Asia,1.46,1.31,1.63,adultos
2003,Men,South Asia,1.6,1.44,1.78,adultos
2004,Men,South Asia,1.75,1.58,1.94,adultos
2005,Men,South Asia,1.91,1.73,2.11,adultos
2006,Men,South Asia,2.08,1.88,2.28,adultos
2007,Men,South Asia,2.26,2.05,2.47,adultos
2008,Men,South Asia,2.44,2.23,2.67,adultos
2009,Men,South Asia,2.64,2.42,2.88,adultos
2010,Men,South Asia,2.84,2.61,3.08,adultos
2011,Men,South Asia,3.05,2.81,3.3,adultos
2012,Men,South Asia,3.27,3.02,3.52,adultos
2013,Men,South Asia,3.5,3.25,3.76,adultos
2014,Men,South Asia,3.74,3.48,4.01,adultos
2015,Men,South Asia,4.0,3.73,4.29,adultos
2016,Men,South Asia,4.27,3.98,4.58,adultos
2017,Men,South Asia,4.56,4.23,4.91,adultos
2018,Men,South Asia,4.86,4.48,5.26,adultos
2019,Men,South Asia,5.16,4.72,5.64,adultos
2020,Men,South Asia,5.48,4.95,6.06,adultos
2021,Men,South Asia,5.81,5.16,6.52,adultos
2022,Men,South Asia,6.15,5.37,7.01,adultos
2023,Men,South Asia,6.5,5.56,7.54,adultos
2024,Men,South Asia,6.86,5.74,8.08,adultos
1980,Men,Sub-Saharan Africa,0.58,0.34,0.91,adultos
1981,Men,Sub-Saharan Africa,0.62,0.38,0.95,adultos
1982,Men,Sub-Saharan Africa,0.67,0.43,0.99,adultos
1983,Men,Sub-Saharan Africa,0.72,0.48,1.03,adultos
1984,Men,Sub-Saharan Africa,0.78,0.54,1.08,adultos
1985,Men,Sub-Saharan Africa,0.84,0.61,1.14,adultos
1986,Men,Sub-Saharan Africa,0.91,0.68,1.21,adultos
1987,Men,Sub-Saharan Africa,0.99,0.75,1.28,adultos
1988,Men,Sub-Saharan Africa,1.07,0.84,1.35,adultos
1989,Men,Sub-Saharan Africa,1.16,0.93,1.44,adultos
1990,Men,Sub-Saharan Africa,1.26,1.03,1.53,adultos
1991,Men,Sub-Saharan Africa,1.37,1.14,1.64,adultos
1992,Men,Sub-Saharan Africa,1.47,1.24,1.73,adultos
1993,Men,Sub-Saharan Africa,1.6,1.37,1.87,adultos
1994,Men,Sub-Saharan Africa,1.73,1.49,1.99,adultos
1995,Men,Sub-Saharan Africa,1.83,1.6,2.09,adultos
1996,Men,Sub-Saharan Africa,1.94,1.71,2.21,adultos
1997,Men,Sub-Saharan Africa,2.07,1.83,2.33,adultos
1998,Men,Sub-Saharan Africa,2.23,1.98,2.5,adultos
1999,Men,Sub-Saharan Africa,2.39,2.14,2.67,adultos
2000,Men,Sub-Saharan Africa,2.56,2.31,2.84,adultos
2001,Men,Sub-Saharan Africa,2.74,2.48,3.02,adultos
2002,Men,Sub-Saharan Africa,2.92,2.66,3.2,adultos
2003,Men,Sub-Saharan Africa,3.1,2.85,3.39,adultos
2004,Men,Sub-Saharan Africa,3.29,3.03,3.58,adultos
2005,Men,Sub-Saharan Africa,3.47,3.21,3.76,adultos
2006,Men,Sub-Saharan Africa,3.65,3.38,3.94,adultos
2007,Men,Sub-Saharan Africa,3.81,3.54,4.1,adultos
2008,Men,Sub-Saharan Africa,3.96,3.69,4.25,adultos
2009,Men,Sub-Saharan Africa,4.1,3.83,4.38,adultos
2010,Men,Sub-Saharan Africa,4.21,3.94,4.49,adultos
2011,Men,Sub-Saharan Africa,4.31,4.04,4.59,adultos
2012,Men,Sub-Saharan Africa,4.4,4.12,4.68,adultos
2013,Men,Sub-Saharan Africa,4.49,4.21,4.79,adultos
2014,Men,Sub-Saharan Africa,4.58,4.29,4.89,adultos
2015,Men,Sub-Saharan Africa,4.68,4.38,5.01,adultos
2016,Men,Sub-Saharan Africa,4.79,4.46,5.14,adultos
2017,Men,Sub-Saharan Africa,4.91,4.56,5.29,adultos
2018,Men,Sub-Saharan Africa,5.06,4.67,5.47,adultos
2019,Men,Sub-Saharan Africa,5.22,4.79,5.67,adultos
2020,Men,Sub-Saharan Africa,5.4,4.92,5.91,adultos
2021,Men,Sub-Saharan Africa,5.59,5.05,6.17,adultos
2022,Men,Sub-Saharan Africa,5.8,5.18,6.46,adultos
2023,Men,Sub-Saharan Africa,6.01,5.31,6.78,adultos
2024,Men,Sub-Saharan Africa,6.25,5.46,7.13,adultos
1980,Girls,Central and eastern Europe,2.29,1.05,4.37,ninos
1981,Girls,Central and eastern Europe,2.31,1.14,4.21,ninos
1982,Girls,Central and eastern Europe,2.36,1.25,4.09,ninos
1983,Girls,Central and eastern Europe,2.41,1.35,4.02,ninos
1984,Girls,Central and eastern Europe,2.48,1.47,3.93,ninos
1985,Girls,Central and eastern Europe,2.54,1.59,3.88,ninos
1986,Girls,Central and eastern Europe,2.61,1.73,3.84,ninos
1987,Girls,Central and eastern Europe,2.69,1.86,3.79,ninos
1988,Girls,Central and eastern Europe,2.77,2.0,3.75,ninos
1989,Girls,Central and eastern Europe,2.85,2.14,3.74,ninos
1990,Girls,Central and eastern Europe,2.94,2.29,3.74,ninos
1991,Girls,Central and eastern Europe,3.03,2.42,3.75,ninos
1992,Girls,Central and eastern Europe,3.11,2.56,3.77,ninos
1993,Girls,Central and eastern Europe,3.2,2.68,3.81,ninos
1994,Girls,Central and eastern Europe,3.29,2.79,3.86,ninos
1995,Girls,Central and eastern Europe,3.38,2.9,3.92,ninos
1996,Girls,Central and eastern Europe,3.47,3.0,4.0,ninos
1997,Girls,Central and eastern Europe,3.56,3.09,4.07,ninos
1998,Girls,Central and eastern Europe,3.65,3.2,4.15,ninos
1999,Girls,Central and eastern Europe,3.75,3.29,4.26,ninos
2000,Girls,Central and eastern Europe,3.87,3.4,4.38,ninos
2001,Girls,Central and eastern Europe,4.01,3.54,4.52,ninos
2002,Girls,Central and eastern Europe,4.17,3.69,4.7,ninos
2003,Girls,Central and eastern Europe,4.34,3.85,4.86,ninos
2004,Girls,Central and eastern Europe,4.52,4.03,5.06,ninos
2005,Girls,Central and eastern Europe,4.71,4.2,5.26,ninos
2006,Girls,Central and eastern Europe,4.9,4.37,5.47,ninos
2007,Girls,Central and eastern Europe,5.08,4.55,5.68,ninos
2008,Girls,Central and eastern Europe,5.26,4.71,5.87,ninos
2009,Girls,Central and eastern Europe,5.42,4.86,6.07,ninos
2010,Girls,Central and eastern Europe,5.58,5.0,6.25,ninos
2011,Girls,Central and eastern Europe,5.73,5.13,6.42,ninos
2012,Girls,Central and eastern Europe,5.86,5.25,6.54,ninos
2013,Girls,Central and eastern Europe,5.96,5.34,6.65,ninos
2014,Girls,Central and eastern Europe,6.05,5.42,6.75,ninos
2015,Girls,Central and eastern Europe,6.13,5.5,6.82,ninos
2016,Girls,Central and eastern Europe,6.22,5.59,6.89,ninos
2017,Girls,Central and eastern Europe,6.3,5.69,6.96,ninos
2018,Girls,Central and eastern Europe,6.4,5.8,7.04,ninos
2019,Girls,Central and eastern Europe,6.5,5.9,7.14,ninos
2020,Girls,Central and eastern Europe,6.61,5.99,7.26,ninos
2021,Girls,Central and eastern Europe,6.71,6.05,7.4,ninos
2022,Girls,Central and eastern Europe,6.86,6.13,7.63,ninos
2023,Girls,Central and eastern Europe,7.02,6.2,7.89,ninos
2024,Girls,Central and eastern Europe,7.14,6.21,8.17,ninos
1980,Girls,"Central Asia, Middle East and north Africa",3.18,1.28,6.44,ninos
1981,Girls,"Central Asia, Middle East and north Africa",3.26,1.39,6.34,ninos
1982,Girls,"Central Asia, Middle East and north Africa",3.36,1.51,6.31,ninos
1983,Girls,"Central Asia, Middle East and north Africa",3.46,1.65,6.28,ninos
1984,Girls,"Central Asia, Middle East and north Africa",3.59,1.81,6.28,ninos
1985,Girls,"Central Asia, Middle East and north Africa",3.72,1.96,6.3,ninos
1986,Girls,"Central Asia, Middle East and north Africa",3.87,2.14,6.33,ninos
1987,Girls,"Central Asia, Middle East and north Africa",4.02,2.34,6.37,ninos
1988,Girls,"Central Asia, Middle East and north Africa",4.19,2.57,6.41,ninos
1989,Girls,"Central Asia, Middle East and north Africa",4.37,2.79,6.46,ninos
1990,Girls,"Central Asia, Middle East and north Africa",4.54,3.0,6.51,ninos
1991,Girls,"Central Asia, Middle East and north Africa",4.71,3.22,6.57,ninos
1992,Girls,"Central Asia, Middle East and north Africa",4.9,3.47,6.64,ninos
1993,Girls,"Central Asia, Middle East and north Africa",5.09,3.7,6.72,ninos
1994,Girls,"Central Asia, Middle East and north Africa",5.27,3.95,6.83,ninos
1995,Girls,"Central Asia, Middle East and north Africa",5.46,4.2,6.95,ninos
1996,Girls,"Central Asia, Middle East and north Africa",5.66,4.45,7.09,ninos
1997,Girls,"Central Asia, Middle East and north Africa",5.88,4.69,7.25,ninos
1998,Girls,"Central Asia, Middle East and north Africa",6.1,4.95,7.42,ninos
1999,Girls,"Central Asia, Middle East and north Africa",6.34,5.22,7.62,ninos
2000,Girls,"Central Asia, Middle East and north Africa",6.58,5.49,7.84,ninos
2001,Girls,"Central Asia, Middle East and north Africa",6.83,5.76,8.08,ninos
2002,Girls,"Central Asia, Middle East and north Africa",7.08,6.01,8.33,ninos
2003,Girls,"Central Asia, Middle East and north Africa",7.33,6.26,8.57,ninos
2004,Girls,"Central Asia, Middle East and north Africa",7.59,6.51,8.8,ninos
2005,Girls,"Central Asia, Middle East and north Africa",7.84,6.77,9.07,ninos
2006,Girls,"Central Asia, Middle East and north Africa",8.09,7.01,9.33,ninos
2007,Girls,"Central Asia, Middle East and north Africa",8.34,7.26,9.59,ninos
2008,Girls,"Central Asia, Middle East and north Africa",8.6,7.49,9.84,ninos
2009,Girls,"Central Asia, Middle East and north Africa",8.86,7.74,10.09,ninos
2010,Girls,"Central Asia, Middle East and north Africa",9.1,7.99,10.34,ninos
2011,Girls,"Central Asia, Middle East and north Africa",9.36,8.24,10.6,ninos
2012,Girls,"Central Asia, Middle East and north Africa",9.62,8.47,10.88,ninos
2013,Girls,"Central Asia, Middle East and north Africa",9.89,8.69,11.16,ninos
2014,Girls,"Central Asia, Middle East and north Africa",10.15,8.96,11.45,ninos
2015,Girls,"Central Asia, Middle East and north Africa",10.4,9.19,11.72,ninos
2016,Girls,"Central Asia, Middle East and north Africa",10.65,9.41,12.0,ninos
2017,Girls,"Central Asia, Middle East and north Africa",10.87,9.59,12.28,ninos
2018,Girls,"Central Asia, Middle East and north Africa",11.08,9.73,12.57,ninos
2019,Girls,"Central Asia, Middle East and north Africa",11.27,9.83,12.85,ninos
2020,Girls,"Central Asia, Middle East and north Africa",11.44,9.88,13.15,ninos
2021,Girls,"Central Asia, Middle East and north Africa",11.62,9.88,13.44,ninos
2022,Girls,"Central Asia, Middle East and north Africa",11.81,9.9,13.85,ninos
2023,Girls,"Central Asia, Middle East and north Africa",12.0,9.89,14.25,ninos
2024,Girls,"Central Asia, Middle East and north Africa",12.2,9.88,14.73,ninos
1980,Girls,East and southeast Asia,0.42,0.26,0.67,ninos
1981,Girls,East and southeast Asia,0.46,0.3,0.69,ninos
1982,Girls,East and southeast Asia,0.49,0.34,0.72,ninos
1983,Girls,East and southeast Asia,0.54,0.38,0.76,ninos
1984,Girls,East and southeast Asia,0.59,0.43,0.8,ninos
1985,Girls,East and southeast Asia,0.65,0.49,0.86,ninos
1986,Girls,East and southeast Asia,0.71,0.55,0.92,ninos
1987,Girls,East and southeast Asia,0.78,0.62,0.99,ninos
1988,Girls,East and southeast Asia,0.86,0.69,1.07,ninos
1989,Girls,East and southeast Asia,0.95,0.77,1.15,ninos
1990,Girls,East and southeast Asia,1.03,0.85,1.24,ninos
1991,Girls,East and southeast Asia,1.12,0.93,1.32,ninos
1992,Girls,East and southeast Asia,1.2,1.01,1.41,ninos
1993,Girls,East and southeast Asia,1.29,1.1,1.51,ninos
1994,Girls,East and southeast Asia,1.38,1.18,1.6,ninos
1995,Girls,East and southeast Asia,1.46,1.27,1.69,ninos
1996,Girls,East and southeast Asia,1.55,1.35,1.78,ninos
1997,Girls,East and southeast Asia,1.65,1.44,1.88,ninos
1998,Girls,East and southeast Asia,1.75,1.53,2.0,ninos
1999,Girls,East and southeast Asia,1.87,1.64,2.13,ninos
2000,Girls,East and southeast Asia,1.99,1.75,2.27,ninos
2001,Girls,East and southeast Asia,2.14,1.88,2.42,ninos
2002,Girls,East and southeast Asia,2.3,2.03,2.59,ninos
2003,Girls,East and southeast Asia,2.48,2.2,2.79,ninos
2004,Girls,East and southeast Asia,2.67,2.38,2.99,ninos
2005,Girls,East and southeast Asia,2.87,2.57,3.2,ninos
2006,Girls,East and southeast Asia,3.08,2.78,3.42,ninos
2007,Girls,East and southeast Asia,3.31,2.99,3.66,ninos
2008,Girls,East and southeast Asia,3.54,3.21,3.9,ninos
2009,Girls,East and southeast Asia,3.79,3.45,4.15,ninos
2010,Girls,East and southeast Asia,4.04,3.69,4.41,ninos
2011,Girls,East and southeast Asia,4.3,3.94,4.67,ninos
2012,Girls,East and southeast Asia,4.56,4.19,4.94,ninos
2013,Girls,East and southeast Asia,4.83,4.45,5.24,ninos
2014,Girls,East and southeast Asia,5.13,4.72,5.56,ninos
2015,Girls,East and southeast Asia,5.46,5.0,5.92,ninos
2016,Girls,East and southeast Asia,5.81,5.31,6.33,ninos
