subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest10,248.26599000000002
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont1,39.26664
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont2,66.33333
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont3,135.46710000000002
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont4,13.86666
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont5,63.266580000000005
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont6,73.06659
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont7,65.26656
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont8,44.86661999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont9,39.99996
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,4,Cont10,48.86657999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema1,135.5328
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema2,220.6656
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema3,144.8667
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema4,255.0663
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema5,281.133
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema6,400.1328
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema7,193.93290000000005
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema8,230.3334
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema9,265.3326
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,4,Sema10,118.4004
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest1,59.533289999999994
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest2,45.0
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest3,114.06689999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest4,84.19986
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest5,159.00029999999998
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest6,120.267
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest7,93.79979999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest8,124.53300000000002
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest9,176.7996
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,4,Rest10,144.7326
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont1,4.24854
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont2,12.688
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont3,7.68823
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,0,Cont4,13.3428
