analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
UHTJM,Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,experimental,0.5911,0.49,misma,misma
QL2M7,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,2.597,misma,misma
Y2GLE,Bruner_ExpEco_2017_amYY,economia,experimental,1.0432,0.958,misma,misma
NZHZ7,Pastötter_Cognition_2013_EQxa,psicologia,experimental,0.5047,0.475,misma,misma
CCBE4,Hurst_EvoHumanBehavior_2017_yypJ,psicologia,observational,1.1965,0.929,misma,misma
2LKVO,Zunick_JournExpSocPsych_2017_zlw,psicologia,experimental,0.6551,0.655,misma,misma
RI9S7,Axt_JournExpSocPsych_2018_zK2,psicologia,experimental,0.3958,0.297,misma,misma
25N5D,Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,experimental,0.3204,0.289,sin_efecto,misma
PZ6UU,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,0.517,misma,misma
ZCGMF,Benjamin_AmEcoRev_2010_WaYe,economia,experimental,0.8249,0.755,misma,misma
TTCIR,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,,misma,misma
8LJZE,Lu_JournLabEco_2015_vaWE,economia,experimental,1.6699,0.336,misma,misma
CY454,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.206,sin_efecto,misma
LPVN9,Adida_CompPolitStu_2016_G0Kb,ciencia_politica,experimental,0.4418,,misma,misma
MJR3D,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,0.19,misma,misma
PRM3D,Petersen_Cognition_2017_yJwG,psicologia,experimental,1.8121,2.279,misma,misma
VU58A,Beaman_JournLabEco_2018_7ybJ,economia,observational,0.4344,0.431,misma,misma
8VZDI,Savani_PsychologSci_2010_88xa,psicologia,experimental,1.0296,0.789,misma,misma
