sid,temporada,basin_cod,cuenca,nombre,viento_max_kt,presion_min_mb,categoria,n_observaciones,duracion_dias
2023271N16316,2023,NA,Atlántico Norte,RINA,45.0,999.0,Tormenta tropical,28,3.38
2023276N11254,2023,EP,Pacífico Nororiental,LIDIA,120.0,942.0,Cat 4,68,8.38
2023279N08157,2023,WP,Pacífico Noroccidental,BOLAVEN,165.0,897.0,Cat 5,58,7.12
2023281N14260,2023,EP,Pacífico Nororiental,MAX,60.0,990.0,Tormenta tropical,11,1.25
2023284N10330,2023,NA,Atlántico Norte,SEAN,40.0,1005.0,Tormenta tropical,38,4.62
2023289N15111,2023,WP,Pacífico Noroccidental,SANBA,45.0,996.0,Tormenta tropical,32,3.88
2023290N12256,2023,EP,Pacífico Nororiental,NORMA,115.0,939.0,Cat 4,50,5.94
2023292N11063,2023,NI,Índico Norte,TEJ,105.0,958.0,Cat 3,38,4.62
2023292N13309,2023,NA,Atlántico Norte,TAMMY,95.0,965.0,Cat 2,83,10.12
2023292S03172,2024,SP,Pacífico Sur,LOLA,125.0,937.0,Cat 4,42,5.12
2023293N12089,2023,NI,Índico Norte,HAMOON,90.0,970.0,Cat 2,31,3.75
2023294N09264,2023,EP,Pacífico Nororiental,OTIS,145.0,922.0,Cat 5,28,3.25
2023302N10267,2023,EP,Pacífico Nororiental,PILAR,55.0,995.0,Tormenta tropical,66,8.12
2023316S08168,2024,SP,Pacífico Sur,MAL,75.0,975.0,Cat 1,39,4.75
2023317N10094,2023,NI,Índico Norte,MIDHILI,40.0,995.0,Tormenta tropical,19,2.25
2023326N10240,2023,EP,Pacífico Nororiental,RAMON,40.0,1002.0,Tormenta tropical,38,4.62
2023334N08088,2023,NI,Índico Norte,MICHAUNG,65.0,985.0,Cat 1,33,4.0
2023337S08165,2024,SP,Pacífico Sur,JASPER,120.0,937.0,Cat 4,93,12.38
2023364S19035,2024,SI,Índico Sur,ALVARO,65.0,986.0,Cat 1,34,4.88
2024012S09093,2024,SI,Índico Sur,ANGGREK,115.0,948.0,Cat 4,142,17.62
2024012S12059,2024,SI,Índico Sur,BELAL,90.0,969.0,Cat 2,56,6.88
2024017S15151,2024,SP,Pacífico Sur,KIRRILY,55.0,985.0,Tormenta tropical,90,16.38
2024022S16058,2024,SI,Índico Sur,CANDICE,50.0,984.0,Tormenta tropical,36,4.38
2024029S15063,2024,SI,Índico Sur,UNNAMED,35.0,994.0,Tormenta tropical,30,3.62
2024031S24154,2024,SP,Pacífico Sur,UNNAMED,40.0,995.0,Tormenta tropical,66,12.38
2024035S16188,2024,SP,Pacífico Sur,NAT,55.0,989.0,Tormenta tropical,45,5.75
2024037S09184,2024,SP,Pacífico Sur,OSAI,50.0,992.0,Tormenta tropical,22,2.62
2024044S14066,2024,SI,Índico Sur,DJOUNGOU,140.0,923.0,Cat 5,43,6.62
2024044S15134,2024,SI,Índico Sur,LINCOLN,35.0,997.0,Tormenta tropical,56,8.25
2024044S15134,2024,SP,Pacífico Sur,LINCOLN,45.0,991.0,Tormenta tropical,26,3.12
2024045S15192,2024,SP,Pacífico Sur,UNNAMED,55.0,989.0,Tormenta tropical,22,2.62
2024049S17052,2024,SI,Índico Sur,ELEANOR,60.0,990.0,Tormenta tropical,46,5.62
2024061S11062,2024,SI,Índico Sur,FILIPO,55.0,993.0,Tormenta tropical,50,11.38
2024067S10090,2024,SI,Índico Sur,NEVILLE,115.0,947.0,Cat 4,148,18.38
2024073S14128,2024,SP,Pacífico Sur,MEGAN,90.0,960.0,Cat 2,39,4.62
2024082S08054,2024,SI,Índico Sur,GAMANE,85.0,971.0,Cat 2,40,4.88
2024096S11120,2024,SI,Índico Sur,OLGA,115.0,944.0,Cat 4,56,7.0
2024100S11152,2024,SP,Pacífico Sur,PAUL,50.0,993.0,Tormenta tropical,22,2.62
2024121S07047,2024,SI,Índico Sur,HIDAYA,80.0,977.0,Cat 1,33,4.0
2024134S07055,2024,SI,Índico Sur,IALY,65.0,982.0,Cat 1,62,7.62
2024139S02072,2024,SI,Índico Sur,UNNAMED,40.0,995.0,Tormenta tropical,20,2.38
2024141N03142,2024,WP,Pacífico Noroccidental,EWINIAR,90.0,961.0,Cat 2,50,6.12
2024145N14087,2024,NI,Índico Norte,REMAL,60.0,977.0,Tormenta tropical,27,3.25
2024170N20267,2024,NA,Atlántico Norte,ALBERTO,45.0,992.0,Tormenta tropical,9,1.0
2024181N09320,2024,NA,Atlántico Norte,BERYL,145.0,932.0,Cat 5,92,10.88
2024183N20265,2024,NA,Atlántico Norte,CHRIS,40.0,1005.0,Tormenta tropical,5,0.5
2024186N15256,2024,EP,Pacífico Nororiental,ALETTA,35.0,1005.0,Tormenta tropical,14,1.62
2024198N08130,2024,WP,Pacífico Noroccidental,PRAPIROON,60.0,981.0,Tormenta tropical,50,6.75
2024201N12133,2024,WP,Pacífico Noroccidental,GAEMI,125.0,919.0,Cat 4,73,9.75
