anio,clase_2y3,clase_3,clase_2,clase_1,series_con_crecida
1744,7,2,5,14,21
1745,9,1,8,13,22
1746,3,0,3,5,8
1747,12,0,12,15,27
1748,8,4,4,23,31
1749,8,0,8,15,23
1750,22,8,14,12,34
1751,13,4,9,15,28
1752,13,4,9,16,29
1753,1,0,1,8,9
1754,2,1,1,8,10
1755,11,3,8,12,23
1756,7,1,6,6,13
1757,4,2,2,9,13
1758,9,2,7,10,19
1759,1,0,1,4,5
1760,7,1,6,12,19
1761,8,2,6,7,15
1762,15,8,7,4,19
1763,10,1,9,15,25
1764,14,8,6,10,24
1765,3,0,3,9,12
1766,8,6,2,4,12
1767,5,0,5,11,16
1768,8,3,5,13,21
1769,6,1,5,14,20
1770,20,7,13,19,39
1771,14,8,6,17,31
1772,14,8,6,14,28
1773,2,1,1,8,10
1774,12,3,9,13,25
1775,13,3,10,6,19
1776,12,2,10,14,26
1777,14,2,12,12,26
1778,17,4,13,18,35
1779,6,3,3,11,17
1780,5,0,5,13,18
1781,4,1,3,19,23
1782,3,1,2,6,9
1783,15,7,8,21,36
1784,33,21,12,11,44
1785,9,4,5,16,25
1786,21,8,13,16,37
1787,16,5,11,10,26
1788,9,2,7,9,18
1789,29,17,12,23,52
1790,5,4,1,4,9
1791,7,1,6,8,15
1792,5,1,4,13,18
1793,5,2,3,9,14
1794,5,0,5,4,9
1795,9,2,7,16,25
1796,5,2,3,7,12
1797,5,1,4,5,10
1798,4,1,3,2,6
1799,25,12,13,14,39
1800,7,1,6,6,13
1801,9,5,4,17,26
1802,7,2,5,24,31
1803,10,1,9,12,22
1804,10,2,8,7,17
1805,9,5,4,17,26
1806,6,0,6,15,21
1807,10,2,8,14,24
1808,7,3,4,4,11
1809,7,4,3,13,20
1810,4,1,3,12,16
1811,5,1,4,15,20
1812,8,1,7,10,18
1813,13,3,10,13,26
1814,11,5,6,16,27
1815,5,1,4,11,16
1816,20,7,13,20,40
1817,19,7,12,15,34
1818,2,0,2,6,8
1819,4,1,3,13,17
1820,11,1,10,15,26
1821,14,7,7,19,33
1822,7,2,5,4,11
1823,9,1,8,8,17
1824,13,5,8,15,28
1825,5,2,3,12,17
1826,12,6,6,15,27
1827,18,7,11,16,34
1828,3,1,2,17,20
1829,13,5,8,20,33
1830,31,9,22,18,49
1831,22,3,19,24,46
1832,4,1,3,7,11
1833,7,2,5,20,27
1834,12,6,6,20,32
1835,8,2,6,7,15
1836,8,1,7,22,30
1837,15,6,9,17,32
1838,7,1,6,14,21
1839,11,4,7,33,44
1840,16,5,11,22,38
1841,16,3,13,25,41
1842,4,1,3,10,14
1843,20,7,13,26,46
1844,22,5,17,23,45
1845,47,22,25,27,74
1846,36,14,22,26,62
1847,9,0,9,32,41
1848,6,2,4,14,20
1849,13,2,11,11,24
1850,22,6,16,29,51
1851,19,4,15,19,38
1852,13,4,9,23,36
1853,26,7,19,29,55
1854,6,3,3,20,26
1855,24,11,13,29,53
1856,24,9,15,23,47
1857,5,2,3,9,14
1858,7,3,4,10,17
1859,2,1,1,11,13
1860,17,7,10,27,44
1861,8,2,6,18,26
1862,23,8,15,18,41
1863,3,1,2,11,14
1864,10,2,8,11,21
1865,4,1,3,22,26
1866,13,6,7,7,20
1867,11,1,10,19,30
1868,20,6,14,11,31
1869,7,1,6,14,21
1870,3,3,0,7,10
1871,15,7,8,16,31
1872,24,6,18,25,49
1873,7,1,6,11,18
1874,14,1,13,16,30
1875,10,5,5,13,23
1876,23,7,16,29,52
1877,17,7,10,12,29
1878,10,3,7,17,27
1879,21,9,12,24,45
1880,14,4,10,25,39
1881,21,7,14,24,45
1882,12,5,7,29,41
1883,7,3,4,12,19
1884,3,2,1,9,12
1885,11,4,7,15,26
1886,10,3,7,15,25
1887,3,1,2,11,14
1888,26,7,19,23,49
1889,8,0,8,16,24
1890,9,4,5,27,36
1891,14,2,12,16,30
1892,8,0,8,13,21
1893,8,2,6,13,21
1894,3,0,3,6,9
1895,11,1,10,18,29
1896,13,0,13,16,29
1897,19,6,13,35,54
1898,5,0,5,7,12
1899,13,5,8,19,32
1900,7,3,4,27,34
1901,10,1,9,21,31
1902,11,1,10,10,21
1903,11,3,8,10,21
1904,7,1,6,8,15
1905,6,0,6,7,13
1906,6,0,6,18,24
1907,21,5,16,20,41
1908,7,0,7,9,16
1909,12,5,7,11,23
1910,32,16,16,18,50
1911,3,1,2,10,13
1912,5,1,4,15,20
1913,5,0,5,18,23
1914,5,0,5,23,28
1915,5,2,3,19,24
1916,10,4,6,20,30
1917,11,3,8,20,31
1918,6,3,3,13,19
1919,8,1,7,21,29
1920,15,5,10,22,37
1921,0,0,0,6,6
1922,3,0,3,13,16
1923,6,1,5,10,16
1924,15,3,12,25,40
