estado,pais,ibd_medio_cm,grupo_ancestria
Kafr ash Shaykh,Egypt,0.0440242924079095,All
Somerset,United Kingdom,0.0438956739832204,All
Caerphilly,United Kingdom,0.0436797773588858,All
Connecticut,United States,0.0435715459035825,All
Rhode Island,United States,0.0435700461270233,All
Stockton-on-Tees,United Kingdom,0.0435686749519674,All
Inarajan,Guam,0.0433602964429009,All
Glasgow,United Kingdom,0.0432936937962507,All
Nordjylland,Denmark,0.0432903385645089,All
Nairobi,Kenya,0.043284093926851,All
Massachusetts,United States,0.0432744002038186,All
Iles du Vent,French Polynesia,0.0432198743319737,All
Tasmania,Australia,0.0430162984248262,All
Taranaki,New Zealand,0.0428097825779821,All
Durham,United Kingdom,0.0427290025506129,All
Hampshire,United Kingdom,0.0426968603379646,All
Tuamasaga,Samoa,0.0424052618552121,All
Redcar and Cleveland,United Kingdom,0.042372354103333,All
West Sussex,United Kingdom,0.0420369520237079,All
Blaenau Gwent,United Kingdom,0.0418225788023402,All
Tamaulipas,Mexico,0.0417653176679847,All
Imereti,Georgia,0.0414350093269788,All
Kent,United Kingdom,0.0413232874488053,All
Bath and North East Somerset,United Kingdom,0.0411144715731175,All
West Berkshire,United Kingdom,0.0410054414011186,All
Zug,Switzerland,0.0409155463217338,All
Blackburn with Darwen,United Kingdom,0.0409113128230047,All
Hartlepool,United Kingdom,0.0407959375609223,All
Wisconsin,United States,0.0406564390604939,All
Caguas,Puerto Rico,0.0405085048846921,All
Essex,United Kingdom,0.0398464585944211,All
North Eleuthera,Bahamas,0.0396881762192893,All
Nakhon Ratchasima,Thailand,0.0395173250245257,All
East Sussex,United Kingdom,0.0392436039429759,All
Minnesota,United States,0.038953534002427,All
Phetchabun,Thailand,0.0386740509090607,All
Telemark,Norway,0.038539002636295,All
Kanagawa,Japan,0.038433553308081,All
Aomori,Japan,0.0384291674586441,All
Palauli,Samoa,0.0383486801951548,All
Juana Diaz,Puerto Rico,0.0383095515175984,All
Soldanesti,Moldova,0.0377334722108914,All
West Midlands,United Kingdom,0.0376627545584019,All
Federal Capital Territory,Nigeria,0.0376260144315151,All
Rivers,Nigeria,0.0375736058439519,All
Jonkoping,Sweden,0.0375329139829805,All
Guanica,Puerto Rico,0.0372814429535899,All
Hessen,Germany,0.0372708061987773,All
Quebradillas,Puerto Rico,0.0370564813228611,All
Syddanmark,Denmark,0.0369644064584962,All
Western,American Samoa,0.0368507039232816,All
Tolna,Hungary,0.0368406347495417,All
Schleswig-Holstein,Germany,0.0367441317765762,All
Kronoberg,Sweden,0.0367123854252276,All
Hertfordshire,United Kingdom,0.0366274459972774,All
Bayern,Germany,0.0366064402872518,All
Berlin,Germany,0.0366029741559005,All
Rheinland-Pfalz,Germany,0.0363108172022764,All
Newport,United Kingdom,0.0360610871036368,All
Jamtland,Sweden,0.0359654740528786,All
West Grand Bahama,Bahamas,0.0359603479396099,All
Tyne and Wear,United Kingdom,0.0357367898611579,All
Miyagi,Japan,0.0354489546667124,All
Kalmar,Sweden,0.0349310013241812,All
Timis,Romania,0.0348831665322804,All
Gotland,Sweden,0.0348655839600393,All
Northern Territory,Australia,0.0348650320288035,All
Drenthe,Netherlands,0.034836415443098,All
Santa Isabel,Puerto Rico,0.0347883464498615,All
Caska,Macedonia,0.0346887876217297,All
Southern Highlands,Papua New Guinea,0.0345350157938885,All
Uttarakhand,India,0.034517484153977,All
Phra Nakhon Si Ayutthaya,Thailand,0.0343914396365353,All
Somogy,Hungary,0.0342626450614076,All
Norrbotten,Sweden,0.0342394307999482,All
Haifa,Israel,0.0341798937042624,All
Lusaka,Zambia,0.0340690097682031,All
Gisborne,New Zealand,0.0340434299902046,All
Hatillo,Puerto Rico,0.0339584734243077,All
Hhohho,Swaziland,0.0338755730484955,All
Skane,Sweden,0.0338359598812103,All
Kalimantan Tengah,Indonesia,0.0337145335388477,All
Halland,Sweden,0.0335891314820931,All
Nordland,Norway,0.0335447629770146,All
Masvingo,Zimbabwe,0.0334759170377012,All
Baja California,Mexico,0.0334571154427315,All
Hordaland,Norway,0.033422503915826,All
Si Sa Ket,Thailand,0.0332565493195683,All
Quintana Roo,Mexico,0.033209744281941,All
Niedersachsen,Germany,0.0331903795978303,All
Bern,Switzerland,0.0331629030275054,All
Nagano,Japan,0.0329707973522209,All
Saint Thomas,Barbados,0.0329645549091431,All
Stockholm,Sweden,0.0328740019962574,All
Thuringia,Germany,0.0328677387452361,All
Hedmark,Norway,0.0327587516685105,All
Luxembourg,Luxembourg,0.0324676970974792,All
Eastern Cape,South Africa,0.0324517395359289,All
Rogaland,Norway,0.0324316985870844,All
Bristol,United Kingdom,0.032416250151992,All
Baden-Wurttemberg,Germany,0.0323666231776347,All
Gangwon-do,South Korea,0.0322381072388225,All
Vastmanland,Sweden,0.0322144544400731,All
Oued el Dahab,Western Sahara,0.032209741656251,All
Soer-Troendelag,Norway,0.0321577228774765,All
Sanma,Vanuatu,0.0318682751317661,All
!Karas,Namibia,0.0318321516134477,All
Ma`an,Jordan,0.0317963117281495,All
Montserrado,Liberia,0.0317369203423271,All
Upper Austria,Austria,0.0317036630577265,All
Eschen,Liechtenstein,0.0316800062155359,All
