depth_m,age_AD,CH4
110.207,1787.93,783.6
110.212,1787.91,783
110.217,1787.89,784.3
110.222,1787.87,782.1
110.227,1787.86,781.8
110.232,1787.84,782.3
110.237,1787.82,782.1
110.242,1787.8,781.9
110.247,1787.78,782
110.252,1787.76,783
110.257,1787.75,782.3
110.263,1787.73,784.2
110.268,1787.71,783.9
110.273,1787.69,785
110.278,1787.67,785.2
110.283,1787.65,785.8
110.288,1787.63,786
110.293,1787.62,787.6
110.298,1787.6,787.2
110.304,1787.58,786.4
110.308,1787.56,786.5
110.314,1787.54,785
110.319,1787.52,785.2
110.324,1787.5,783.8
110.329,1787.49,783.8
110.334,1787.47,783.4
110.339,1787.45,782.1
110.344,1787.43,784.4
110.349,1787.41,783.2
110.354,1787.39,784.2
110.359,1787.37,785.9
110.364,1787.36,784
110.369,1787.34,784
110.375,1787.32,784.3
110.38,1787.3,784.2
110.385,1787.28,786
110.39,1787.26,786.6
110.395,1787.24,786.4
110.4,1787.23,788.3
110.405,1787.21,788.5
110.41,1787.19,787.5
110.415,1787.17,788.2
110.42,1787.15,787
110.426,1787.13,786.5
110.431,1787.12,785.7
110.436,1787.1,784.2
110.441,1787.08,784.6
110.446,1787.06,784.5
110.451,1787.04,784.3
110.456,1787.02,783.9
110.461,1787,784
110.466,1786.98,783.2
110.472,1786.95,782.8
110.477,1786.92,783
110.482,1786.9,783.8
110.487,1786.87,783.3
110.492,1786.84,784.1
110.712,1785.78,778.5
110.717,1785.76,779.5
110.722,1785.74,777.7
110.727,1785.73,780
110.732,1785.71,780.1
110.737,1785.69,778.7
110.742,1785.67,781.9
110.748,1785.66,781.5
110.753,1785.64,781.9
110.758,1785.62,782.8
110.763,1785.6,782.7
110.768,1785.58,782.5
110.773,1785.57,782.6
110.778,1785.55,782.5
110.783,1785.53,783.9
110.788,1785.51,782.4
110.794,1785.49,781.4
110.799,1785.48,780.7
110.804,1785.46,780.7
110.809,1785.44,780.2
110.814,1785.42,779.5
110.819,1785.4,779.6
110.824,1785.39,778.6
110.83,1785.37,779.5
110.835,1785.35,779.1
110.84,1785.33,779.6
110.845,1785.32,781.1
110.85,1785.3,780
110.855,1785.28,780.5
110.86,1785.26,779.8
110.865,1785.24,780
110.871,1785.23,779.9
110.876,1785.21,781
110.881,1785.19,780.7
110.886,1785.17,780.5
110.891,1785.16,782.2
110.896,1785.14,780.8
110.901,1785.12,780.5
110.906,1785.1,781.1
110.911,1785.08,781.2
110.917,1785.07,780.6
110.922,1785.05,780
110.927,1785.03,781.2
110.932,1785.01,781.3
110.937,1784.99,781.1
110.942,1784.97,780.6
110.947,1784.94,780.3
110.953,1784.91,779.7
110.958,1784.89,780.7
110.963,1784.86,781
110.968,1784.83,781.2
110.973,1784.81,780.4
110.978,1784.78,778.8
110.983,1784.76,780.6
110.988,1784.73,779.7
110.993,1784.7,780
110.998,1784.68,779.9
111.004,1784.65,780.1
111.009,1784.62,779.9
111.014,1784.6,780
111.019,1784.57,780
111.024,1784.55,780.9
111.029,1784.52,782.1
111.034,1784.49,781.7
111.039,1784.47,780.8
111.045,1784.44,781.7
111.05,1784.42,781.8
111.055,1784.39,782
111.06,1784.36,782
111.065,1784.34,782.5
111.07,1784.31,782.5
111.075,1784.28,782.5
111.08,1784.26,783.9
111.085,1784.23,783.7
111.091,1784.21,784.2
111.096,1784.18,784.5
111.101,1784.15,785.8
111.106,1784.13,786.9
111.111,1784.1,786.5
111.116,1784.07,787.3
111.121,1784.05,787.7
111.127,1784.02,787.8
111.132,1784,787.7
111.137,1783.97,788.4
111.142,1783.95,788.3
111.147,1783.93,787.8
111.152,1783.91,786.4
111.157,1783.89,786.6
111.162,1783.86,785.6
111.167,1783.84,786.6
111.173,1783.82,787
111.178,1783.8,786
111.183,1783.77,785.7
111.188,1783.75,785.5
111.193,1783.73,786.1
111.198,1783.71,785.5
111.203,1783.68,785.8
111.209,1783.66,785.2
111.214,1783.64,784.6
111.219,1783.62,785.2
111.224,1783.6,785.3
111.229,1783.57,785
111.234,1783.55,784.9
111.239,1783.53,784.6
111.244,1783.51,785.5
111.249,1783.48,785.6
111.254,1783.46,785.9
111.26,1783.44,787.2
