snapshot,variable,correlacion,rmse
36,u_m_s,0.9724248428939752,0.08082664757966995
36,v_m_s,0.9692590672572121,0.11916207522153854
37,vorticidad_zeta_sobre_f,0.7737850586697016,0.1529184728860855
37,divergencia_delta_sobre_f,0.14043884627768433,0.11018355935811996
37,deformacion_alpha_sobre_f,0.5692822674460785,0.13476724922657013
37,u_m_s,0.9733432006763846,0.07863545417785645
37,v_m_s,0.9710230088394941,0.13196583092212677
38,vorticidad_zeta_sobre_f,0.7718575192764685,0.15121528506278992
38,divergencia_delta_sobre_f,0.13681186450637198,0.11083555966615677
38,deformacion_alpha_sobre_f,0.5610357418984633,0.13349808752536774
38,u_m_s,0.974171034778305,0.07644294947385788
38,v_m_s,0.9726387298091079,0.14191533625125885
39,vorticidad_zeta_sobre_f,0.7740902531193359,0.14897088706493378
39,divergencia_delta_sobre_f,0.1365649502338127,0.11227632313966751
39,deformacion_alpha_sobre_f,0.5602468674444828,0.13235299289226532
39,u_m_s,0.9748730532142859,0.07529620081186295
39,v_m_s,0.9737825682011211,0.1466551423072815
40,vorticidad_zeta_sobre_f,0.7802801582014062,0.14661340415477753
40,divergencia_delta_sobre_f,0.14339543514159633,0.11417628079652786
40,deformacion_alpha_sobre_f,0.5677568094439187,0.13154391944408417
40,u_m_s,0.9755884154215768,0.07531717419624329
40,v_m_s,0.9745290776414466,0.14736220240592957
