site_code,lat,lon,proteccion,proteccion_detallada,edad_mpa,biomasa_piscivoros,riqueza_peces
CAN82,27.649040000000003,-18.009610000000002,protección parcial,parcial,19.0,0.09300272183043043,-1.9424800938381919
CAN83,27.652140000000003,-18.0128,protección parcial,parcial,19.0,0.292913523337371,-1.6275411253373384
CAN84,27.67466,-18.029420000000002,protección parcial,parcial,19.0,0.36183671266902157,-1.6561719406555977
CAN85,27.639259999999997,-17.976570000000002,sin protección,sin protección,,-0.6647606440196875,-1.9138492785199324
CAN86,28.456570000000003,-17.849729999999997,protección parcial,parcial,4.0,-0.37318656802238886,-1.9138492785199324
CAN87,28.519990000000004,-17.87712,protección total,total (grande y antigua),14.0,-0.24171036566671747,-1.7993260172468948
CAN88,28.51114,-17.876839999999998,protección total,total (grande y antigua),14.0,0.7918670388286917,-1.7706952019286353
CAN89,28.48221,-17.87105,protección parcial,parcial,14.0,0.4367066215108658,-1.8565876478834136
CAN9,28.41944,-16.53035,sin protección,sin protección,,-0.114570003349613,-1.7134335712921165
CAN90,27.816959999999998,-15.761320000000001,sin protección,sin protección,,-2.4821733557870593,-1.8565876478834136
CAN91,27.75495,-15.68283,sin protección,sin protección,,0.14134113008509933,-1.742064386610376
CAN93,28.005609999999997,-15.81666,sin protección,sin protección,,-1.0857611979653685,-1.9997417244747107
CAR1,24.62056,-82.86406,protección parcial,parcial,10.0,0.04350865723499677,-1.1408172649269281
CAR10,13.374789999999999,-81.34405,protección parcial,parcial,6.0,0.41605019906389784,-0.44413409218261574
CAR12,13.37159,-81.40394,protección parcial,parcial,6.0,0.3912818504804299,-0.19600035942436755
CAR12,13.37159,-81.40394,protección parcial,parcial,6.0,-1.3111749528794243,-0.9690323730173718
CAR13,13.3895,-81.38481,protección parcial,parcial,6.0,0.6611523343249971,-0.5204829330313077
CAR14,13.40015,-81.37399,protección parcial,parcial,6.0,-0.951929627012806,-0.6827242198347776
CAR15,13.3987,-81.39579,protección parcial,parcial,6.0,0.7966491703303302,-0.3868724615460971
CAR16,12.518839999999999,-81.73215,protección parcial,parcial,6.0,-0.08212612526935836,-0.4823085126069617
CAR17,12.58681,-81.71718,protección parcial,parcial,6.0,0.6277801774824219,-0.22463117474262698
CAR18,12.58415,-81.68365,protección parcial,parcial,6.0,0.3906398488029193,-0.06238988793915683
CAR19,12.58619,-81.6887,protección parcial,parcial,6.0,0.3396494232859442,-0.3868724615460971
CAR2,24.609,-82.87406,protección total,total (grande y antigua),10.0,0.018818531681199555,-0.911770742380853
CAR20,12.58338,-81.68528,protección parcial,parcial,6.0,0.5696505679272322,-0.3868724615460971
CAR21,9.55746,-78.95040999999999,sin protección,sin protección,,-0.14448754099345043,-0.7686166657895559
CAR22,9.558769999999999,-78.95136,sin protección,sin protección,,0.08533208529170144,-0.19600035942436755
CAR23,9.55787,-78.95204,sin protección,sin protección,,-0.8772044116319768,-0.6540934045165182
CAR24,9.58772,-78.88924,sin protección,sin protección,,-0.3696967723040478,-0.5968317738799994
CAR25,9.58341,-78.87863,sin protección,sin protección,,-0.377385844446155,-0.911770742380853
CAR26,9.5847,-78.86837,sin protección,sin protección,,0.6935884253302343,-0.5395701432434805
CAR28,14.3648,-80.27538,protección parcial,parcial,11.0,0.33314820689144414,0.03304616312170775
CAR29,14.35256,-80.21694000000001,protección parcial,parcial,11.0,0.431522886441204,-0.024215467514811077
CAR3,24.62429,-82.94296,protección total,total (grande y antigua),10.0,1.2578498640078932,-0.4823085126069617
CAR30,14.360829999999998,-80.22832,protección parcial,parcial,11.0,0.07500739544464649,-0.31052362069740524
CAR31,14.41114,-80.19104,protección parcial,parcial,11.0,-0.19046925762877162,-0.13873872878784874
CAR32,14.457370000000001,-80.25896999999999,protección parcial,parcial,11.0,0.8274086923824051,0.4338775775773396
CAR33,14.464789999999999,-80.23952,protección parcial,parcial,11.0,1.0813967406114973,-0.8258782964260747
CAR34,14.304870000000001,-80.35566,protección parcial,parcial,11.0,0.48750822949582373,0.3193543163043019
CAR35,19.706920623779297,-80.01217651367188,sin protección,sin protección,,-0.6984310986780483,-0.7686166657895559
CAR35,19.706920623779297,-80.01217651367188,sin protección,sin protección,,-0.2745448747039515,-0.36778525133392403
CAR35,19.706920623779297,-80.01217651367188,sin protección,sin protección,,0.3237535629655984,-0.31052362069740524
CAR36,19.664859771728516,-80.11119079589844,sin protección,sin protección,,0.8184248274759705,-0.13873872878784874
CAR36,19.664859771728516,-80.11119079589844,sin protección,sin protección,,-0.14210956230322683,-0.2532619900608864
CAR36,19.664859771728516,-80.11119079589844,sin protección,sin protección,,0.4798481215511562,-0.4823085126069617
CAR37,19.671470642089844,-80.1021499633789,sin protección,sin protección,,0.2612373368660664,-0.2532619900608864
CAR38,19.696500778198242,-80.06098175048828,sin protección,sin protección,,0.43468021018431585,-0.6540934045165182
CAR38,19.696500778198242,-80.06098175048828,sin protección,sin protección,,0.4326049787884166,-0.36778525133392403
CAR38,19.696500778198242,-80.06098175048828,sin protección,sin protección,,-0.345941686165178,-0.6540934045165182
CAR39,19.689550399780273,-80.0699462890625,sin protección,sin protección,,0.6701645216162828,-0.36778525133392403
CAR39,19.689550399780273,-80.0699462890625,sin protección,sin protección,,0.31866923457363483,-0.6540934045165182
CAR39,19.689550399780273,-80.0699462890625,sin protección,sin protección,,0.6158203347005696,-0.36778525133392403
CAR4,19.3066,-81.38695,protección parcial,parcial,25.0,0.7717883384774109,-0.5777445636678264
CAR40,19.68737030029297,-80.07257080078125,sin protección,sin protección,,0.4696855274740105,-0.5395701432434805
CAR40,19.68737030029297,-80.07257080078125,sin protección,sin protección,,0.011740221905164603,-0.5395701432434805
CAR41,19.70088005065918,-80.05583190917969,sin protección,sin protección,,-0.06757383492824101,-0.2532619900608864
CAR41,19.70088005065918,-80.05583190917969,sin protección,sin protección,,0.2250579933916023,-0.19600035942436755
CAR41,19.70088005065918,-80.05583190917969,sin protección,sin protección,,-0.15411468659338176,-0.5395701432434805
CAR43,19.69,-80.07,sin protección,sin protección,,1.0837459988891618,-0.36778525133392403
CAR45,19.67,-80.1,sin protección,sin protección,,0.6394566279109898,-0.2532619900608864
CAR46,19.68,-80.09,sin protección,sin protección,,0.23585684621569697,-0.5395701432434805
CAR46,19.68,-80.09,sin protección,sin protección,,0.921892228548727,0.03304616312170775
CAR48,19.66,-80.09,sin protección,sin protección,,0.37833538282236917,-0.36778525133392403
CAR49,19.66,-80.08,sin protección,sin protección,,0.4931927875157789,-0.5968317738799994
CAR5,13.458279999999998,-81.36453,protección parcial,parcial,6.0,0.06305541614877477,-0.5204829330313077
CAR6,13.45645,-81.36713,protección parcial,parcial,6.0,-0.14873106516175663,-0.5586573534556534
CAR7,13.364479999999999,-81.40478,protección parcial,parcial,6.0,0.04758720913298694,-0.3964160666521835
CAR8,13.327929999999999,-81.41154,protección parcial,parcial,6.0,0.4932736008690491,-0.19600035942436755
CAR9,13.3803,-81.33894000000001,protección parcial,parcial,6.0,0.3247027675216451,-1.0692402266312797
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.9469982818264757,-0.4250468819704429
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.6663259377873227,-0.3821006589930538
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.7325572203611516,-0.8258782964260747
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.6186671177853401,-0.36778525133392403
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.3916094453564837,-0.36778525133392403
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,0.18537319412365794,-0.5395701432434805
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,-0.6474275026492882,-0.36778525133392403
CBC1,16.77618,-88.0754,protección parcial,parcial,19.0,0.36357339346336665,-0.4250468819704429
CBC10,16.82878,-88.10478,protección total,total (grande y antigua),26.0,0.41086849079197396,-1.398494602791263
CBC11,16.78728,-88.08506,protección parcial,parcial,26.0,-1.5437753177157436,-1.7993260172468948
CBC11,16.78728,-88.08506,protección parcial,parcial,26.0,-2.4821733557870593,-1.9711109091564514
CBC12,16.78734016418457,-88.09378814697266,protección parcial,parcial,26.0,-0.17592271664086842,-1.8565876478834136
