time_bjd,flux_ppm
10273.083725862864,441.89992709164903
10273.084186510085,441.25878586198655
10273.084647157284,440.6187192926847
10273.085107804476,439.97972933595975
10273.085568451661,439.3418179666764
10273.08648974606,438.0692387826457
10273.08695039328,437.43457487877004
10273.087411040466,436.80099744425326
10273.087871687687,436.1685083322797
10273.088332334872,435.5371095878802
10273.088792982064,434.9068030917724
10273.089253629263,434.27759078618067
10273.08971427647,433.64947460489134
10273.090174923676,433.0224564836893
10273.090635570876,432.39653835991373
10273.091096218075,431.77172214425855
10273.091556865274,431.14800975563304
10273.092017512474,430.5254031058414
10273.09247815968,429.9039040924768
10273.092938806873,429.2835146528784
10273.093399454072,428.66423665466334
10273.093860101271,428.0460720014201
10273.094320748463,427.4290225994015
10273.094781395655,426.8130903231082
10273.095242042855,426.19827704593047
10273.095702690054,425.58458465702387
10273.096163337254,424.97201503177706
10273.096623984453,424.36057003913953
10273.097084631652,423.7502515422875
10273.097545278852,423.1410614070619
10273.098005926051,422.5330014879791
10273.098466573243,421.9260736491037
10273.098927220442,421.3202797169746
10273.099387867642,420.715621549439
10273.099848514827,420.11210100256767
10273.10030916204,419.5097198540498
10273.10076980924,418.90847999304094
10273.101230456447,418.30838321765816
10273.101691103624,417.7094313977392
10273.102151750823,417.11162628588204
10273.102612398045,416.5149696957471
10273.103073045222,415.9194635182661
10273.103533692414,415.3251094860533
10273.10399433962,414.73190939789185
10273.104454986813,414.13986508831437
10273.104915634012,413.5489783190227
10273.105376281212,412.95925088769
10273.105836928404,412.3706845891029
10273.106297575603,411.7832811778577
10273.106758222795,411.1970424478528
10273.107218869995,410.61197015146433
10273.107679517194,410.0280660603861
10273.108140164393,409.44533193876254
10273.108600811593,408.86376953852556
10273.109061458792,408.28338061582593
10273.109522105984,407.70416692237353
10273.109982753183,407.1261301843432
10273.110443400383,406.54927214855974
10273.110904047582,405.97359454808134
10273.11136469476,405.3990991408352
10273.111825341966,404.8257875877148
10273.112285989166,404.2536616528647
10273.112746636343,403.6827230691209
10273.113207283543,403.1129734956007
10273.113667930735,402.5444146724677
10273.114128577934,401.9770482848184
10273.114589225133,401.4108760408419
10273.115049872325,400.8458996380693
10273.11597116671,399.71954108852793
10273.116431813902,399.1581623024043
10273.116892461094,398.5979860769984
10273.117353108293,398.03901407275964
10273.117813755493,397.4812479634604
10273.118274402692,396.92468941132654
10273.118735049891,396.36934007503123
10273.119195697083,395.81520161013907
10273.119656344275,395.26227565533924
10273.12011699146,394.710563864642
10273.12057763866,394.1600678476487
10273.121038285844,393.6107892734686
10273.121498933044,393.06272973393953
10273.121959580236,392.51589088418194
10273.122420227435,391.97027431936425
10273.122880874635,391.4258816679617
10273.123802169026,390.3407745398102
10273.12426281621,389.8000632791554
10273.12472346341,389.26058232569005
10273.125184110595,388.72233330500273
10273.125644757794,388.1853177667427
10273.126105404986,387.6495373200672
10273.126566052164,387.11499355148504
10273.127026699363,386.58168799110547
10273.127487346555,386.0496222396481
10273.12794799374,385.5187978609731
10273.12840864094,384.98921638985274
10273.128869288124,384.46087941013116
10273.129329935331,383.9337884319338
10273.129790582523,383.4079450404371
10273.130251229715,382.88335075664645
10273.1307118769,382.36000712710273
10273.131172524092,381.8379156621532
10273.131633171291,381.3170778912411
10273.132093818484,380.79749534847275
10273.132554465676,380.27916954064267
10273.133015112875,379.76210197299133
10273.13347576006,379.2462941747399
10273.133936407245,378.7317476311447
10273.134397054422,378.2184638490005
10273.134857701622,377.7064442866962
10273.13531834882,377.1956904563556
10273.135778996013,376.6862038461216
10273.13670029039,375.6710381817019
10273.137160937596,375.1653620447382
10273.137621584774,374.6609590338235
10273.138082231952,374.15783057892503
10273.138542879165,373.65597809002617
10273.139003526365,373.1554030725892
10273.139464173542,372.65610697923
10273.13992482072,372.158091225705
10273.140385467927,371.6613572128935
10273.140846115126,371.1659064122852
10273.141306762303,370.67174026228497
10273.141767409496,370.1788601435663
10273.14222805668,369.68726749342375
10273.142688703872,369.19696370874
10273.14314935105,368.7079502150414
10273.143609998257,368.2202283681324
10273.144070645441,367.73379961663187
10273.144531292633,367.24866532167334
10273.144991939826,366.7648268745882
10273.145452587003,366.28228567026076
10273.14591323418,365.80104307293306
10273.14637388138,365.32110042686304
10273.146834528572,364.8424591322641
10273.147295175786,364.3651205165188
10273.147755822964,363.88908599760407
10273.148216470156,363.41435687448075
