material,temperature_K,mass_pct
HOPG,999.623,96.78041
HD,1000.56,98.11028
HOPG,1000.623,96.75181
HD,1001.56,98.10925
HOPG,1001.623,96.72358
HD,1002.56,98.10253
HOPG,1002.623,96.6987
HD,1003.56,98.08754
HOPG,1003.623,96.6745
HD,1004.56,98.06366
HOPG,1004.623,96.64809
HD,1005.56,98.05831
HOPG,1005.623,96.62049
HD,1006.56,98.0545
HOPG,1006.623,96.5972
HD,1007.56,98.04673
HOPG,1007.623,96.58311
HD,1008.56,98.03841
HOPG,1008.623,96.57847
HD,1009.56,98.03287
HOPG,1009.623,96.57912
HD,1010.56,98.02751
HOPG,1010.623,96.58085
HD,1011.56,98.01153
HOPG,1011.623,96.58029
HD,1012.56,98.00242
HOPG,1012.623,96.57383
HD,1013.56,97.99586
HOPG,1013.623,96.55885
HD,1014.56,97.98574
HOPG,1014.623,96.53415
HD,1015.56,97.97396
HOPG,1015.623,96.49929
HD,1016.56,97.965
HOPG,1016.623,96.45689
HD,1017.56,97.94602
HOPG,1017.623,96.41509
HD,1018.56,97.92238
HOPG,1018.623,96.38149
HD,1019.56,97.90043
HOPG,1019.623,96.35726
HD,1020.56,97.87659
HOPG,1020.623,96.3394
HD,1021.56,97.84746
HOPG,1021.623,96.32473
HD,1022.56,97.81133
HOPG,1022.623,96.30717
HD,1023.56,97.77749
HOPG,1023.623,96.27932
HD,1024.56,97.73683
HOPG,1024.623,96.23948
HD,1025.56,97.69337
HOPG,1025.623,96.19083
HD,1026.56,97.64884
HOPG,1026.623,96.13504
HD,1027.56,97.60635
HOPG,1027.623,96.07347
HD,1028.56,97.56177
HOPG,1028.623,96.01183
HD,1029.56,97.50539
HOPG,1029.623,95.96046
HD,1030.56,97.45598
HOPG,1030.623,95.92384
HD,1031.56,97.39541
HOPG,1031.623,95.89961
HD,1032.56,97.33486
HOPG,1032.623,95.8823
HD,1033.56,97.27492
HOPG,1033.623,95.86583
HD,1034.56,97.2212
HOPG,1034.623,95.84406
HD,1035.56,97.16429
HOPG,1035.623,95.81184
HD,1036.56,97.11793
HOPG,1036.623,95.7679
HD,1037.56,97.0707
HOPG,1037.623,95.71643
HD,1038.56,97.02283
HOPG,1038.623,95.66407
HD,1039.56,96.96423
HOPG,1039.623,95.61513
HD,1040.56,96.90146
HOPG,1040.623,95.57362
HD,1041.56,96.84197
HOPG,1041.623,95.54122
HD,1042.56,96.77842
HOPG,1042.623,95.51121
HD,1043.56,96.7128
HOPG,1043.623,95.47331
HD,1044.56,96.64428
HOPG,1044.623,95.42801
HD,1045.56,96.5645
HOPG,1045.623,95.38467
HD,1046.56,96.48289
HOPG,1046.623,95.34595
HD,1047.56,96.40455
HOPG,1047.623,95.30403
HD,1048.56,96.31014
HOPG,1048.623,95.25153
HD,1049.56,96.21442
HOPG,1049.623,95.18964
HD,1050.56,96.10897
HOPG,1050.623,95.12935
HD,1051.56,95.99573
HOPG,1051.623,95.07902
HD,1052.56,95.88278
HOPG,1052.623,95.03222
HD,1053.56,95.75745
HOPG,1053.623,94.97605
HD,1054.56,95.63119
HOPG,1054.623,94.90893
HD,1055.56,95.51381
HOPG,1055.623,94.84054
HD,1056.56,95.39534
HOPG,1056.623,94.77864
HD,1057.56,95.28197
HOPG,1057.623,94.72424
HD,1058.56,95.14731
HOPG,1058.623,94.67742
HD,1059.56,95.00141
HOPG,1059.623,94.63846
HD,1060.56,94.85704
HOPG,1060.623,94.60214
HD,1061.56,94.70032
HOPG,1061.623,94.5552
HD,1062.56,94.54499
HOPG,1062.623,94.48637
HD,1063.56,94.38644
HOPG,1063.623,94.3973
HD,1064.56,94.20802
HOPG,1064.623,94.30159
HD,1065.56,94.02341
HOPG,1065.623,94.21042
HD,1066.56,93.83622
HOPG,1066.623,94.12331
HD,1067.56,93.64263
HOPG,1067.623,94.03288
HD,1068.56,93.44336
HOPG,1068.623,93.93754
HD,1069.56,93.2414
HOPG,1069.623,93.84523
HD,1070.56,93.04058
HOPG,1070.623,93.76476
HD,1071.56,92.82734
HOPG,1071.623,93.69767
HD,1072.56,92.61587
HOPG,1072.623,93.63795
HD,1073.56,92.39491
HOPG,1073.623,93.57283
HD,1074.56,92.16245
HOPG,1074.623,93.48832
HD,1075.56,91.93467
HOPG,1075.623,93.38211
HD,1076.56,91.70901
HOPG,1076.623,93.26886
HD,1077.56,91.46259
HOPG,1077.623,93.16558
HD,1078.56,91.20966
HOPG,1078.623,93.07951
HD,1079.56,90.93507
HOPG,1079.623,93.00359
HD,1080.56,90.64862
HOPG,1080.623,92.92233
HD,1081.56,90.34892
HOPG,1081.623,92.82576
HD,1082.56,90.04105
HOPG,1082.623,92.71854
HD,1083.56,89.73492
HOPG,1083.623,92.61263
HD,1084.56,89.4103
HOPG,1084.623,92.51332
HD,1085.56,89.07928
HOPG,1085.623,92.4191
HD,1086.56,88.73849
HOPG,1086.623,92.3264
HD,1087.56,88.38436
HOPG,1087.623,92.23178
HD,1088.56,88.01805
HOPG,1088.623,92.13406
HD,1089.56,87.6586
HOPG,1089.623,92.03359
HD,1090.56,87.29261
HOPG,1090.623,91.93299
HD,1091.56,86.92335
HOPG,1091.623,91.8337
HD,1092.56,86.55046
HOPG,1092.623,91.73504
HD,1093.56,86.16663
HOPG,1093.623,91.63383
HD,1094.56,85.7735
HOPG,1094.623,91.52629
HD,1095.56,85.37839
HOPG,1095.623,91.4091
HD,1096.56,84.98743
HOPG,1096.623,91.28063
HD,1097.56,84.58563
HOPG,1097.623,91.14277
HD,1098.56,84.17837
HOPG,1098.623,91.00425
HD,1099.56,83.75164
HOPG,1099.623,90.87671
HD,1100.56,83.30993
HOPG,1100.623,90.76312
HD,1101.56,82.86368
HOPG,1101.623,90.65336
HD,1102.56,82.4116
HOPG,1102.623,90.53129
HD,1103.56,81.94913
HOPG,1103.623,90.38588
HD,1104.56,81.4815
HOPG,1104.623,90.21571
HD,1105.56,81.01434
HOPG,1105.623,90.03155
HD,1106.56,80.53645
HOPG,1106.623,89.85479
HD,1107.56,80.05102
HOPG,1107.623,89.69843
HD,1108.56,79.56474
HOPG,1108.623,89.55704
HD,1109.56,79.07119
HOPG,1109.623,89.41945
HD,1110.56,78.56905
HOPG,1110.623,89.27932
HD,1111.56,78.08627
HOPG,1111.623,89.13499
HD,1112.56,77.60245
HOPG,1112.623,88.98766
HD,1113.56,77.10677
HOPG,1113.623,88.8393
HD,1114.56,76.595
HOPG,1114.623,88.69156
HD,1115.56,76.06719
HOPG,1115.623,88.54445
HD,1116.56,75.53817
HOPG,1116.623,88.39432
HD,1117.56,74.99664
HOPG,1117.623,88.23744
HD,1118.56,74.44565
HOPG,1118.623,88.07342
HD,1119.56,73.8609
HOPG,1119.623,87.90285
HD,1120.56,73.23539
HOPG,1120.623,87.72363
HD,1121.56,72.59211
HOPG,1121.623,87.53012
HD,1122.56,71.94513
HOPG,1122.623,87.31737
HD,1123.56,71.27991
HOPG,1123.623,87.08728
HD,1124.56,70.60988
HOPG,1124.623,86.8486
HD,1125.56,69.92069
