year_ce,mgca_mmol_mol
1774,84.829
1775,84.151
1776,79.318
1777,85.616
1778,82.361
1779,80.103
1780,83.274
1781,83.087
1782,84.078
1783,79.022
1784,82.648
1785,81.162
1786,79.869
1787,83.634
1788,81.872
1789,81.454
1790,78.858
1791,87.974
1792,82.785
1793,82.664
1794,81.129
1795,76.503
1796,83.131
1797,82.336
1798,84.977
1799,84.103
1800,79.862
1801,79.301
1802,86.182
1803,80.726
1804,84.26
1805,83.266
1806,86.968
1807,82.246
1808,79.496
1809,79.776
1810,79.193
1811,83.141
1812,78.82
1813,83.686
1814,81.857
1815,80.357
1816,77.259
1817,79.932
1818,82.837
1819,79.331
1820,82.376
1821,80.39
1822,80.195
1823,77.118
1824,77.573
1825,81.289
1826,80.152
1827,79.735
1828,75.987
1829,81.57
1830,74.551
1831,78.415
1832,77.066
1833,74.629
1834,77.641
1835,76.417
1836,80.952
1837,75.245
1838,81.599
1839,80.8
1840,79.4
1841,78.028
1842,79.345
1843,76.414
1844,77.399
1845,78.106
1846,77.155
1847,78.339
1848,74.96
1849,79.118
1850,78.8
1851,78.6
1852,78.0
1853,77.5
1854,77.0
1855,76.5
1856,75.929
1857,76.571
1858,78.743
1859,77.933
1860,75.45
1861,75.646
1862,78.139
1863,76.106
1864,76.043
1865,76.494
1866,77.114
1867,75.718
1868,76.688
1869,77.247
1870,75.765
1871,77.851
1872,78.479
1873,74.632
1874,76.3
1875,77.844
1876,77.375
1877,79.004
1878,76.494
1879,77.4
1880,78.278
1881,78.912
1882,77.881
1883,77.5
1884,77.283
1885,80.863
1886,76.473
1887,76.8
1888,77.271
1889,79.808
1890,77.346
1891,80.166
1892,79.181
1893,76.616
1894,78.594
1895,81.012
1896,81.388
1897,81.062
1898,75.245
1899,79.608
1900,79.479
1901,80.391
1902,78.688
1903,77.809
1904,80.197
1905,80.134
1906,77.523
1907,79.377
1908,78.986
1909,79.683
1910,77.564
1911,78.119
1912,75.05
1913,74.114
1914,76.976
1915,76.379
1916,75.275
1917,76.266
1918,78.141
1919,76.861
1920,78.03
1921,77.215
1922,76.2
1923,78.02
1924,78.776
1925,78.359
1926,78.321
1927,75.71
1928,81.096
1929,73.391
1930,77.548
1931,77.437
1932,75.331
1933,76.594
1934,75.389
1935,76.189
1936,78.251
1937,77.438
1938,75.441
1939,73.138
1940,77.472
1941,79.521
1942,77.409
1943,74.197
1944,79.37
1945,77.806
1946,76.934
1947,76.28
1948,78.061
1949,77.912
1950,77.618
1951,75.484
1952,75.464
1953,74.403
1954,77.231
1955,76.251
1956,73.205
1957,75.667
1958,76.459
1959,78.359
1960,81.868
1961,75.933
1962,77.781
1963,76.483
1964,75.023
1965,73.639
1966,77.024
1967,78.719
1968,75.957
1969,78.345
1970,78.377
1971,73.669
1972,72.211
1973,77.498
1974,75.399
1975,77.711
1976,72.543
1977,76.6
1978,76.325
1979,74.209
1980,73.993
1981,75.679
1982,74.872
1983,90.483
1984,77.038
1985,74.994
1986,74.343
1987,76.565
1988,75.469
1989,76.058
1990,75.541
1991,76.657
1992,73.118
1993,76.784
1994,76.794
1995,74.206
1996,78.081
1997,75.347
1998,73.51
1999,76.118
2000,76.403
2001,79.351
2002,76.918
2003,76.85
2004,77.004
2005,75.875
2006,75.518
2007,78.376
2008,76.464
2009,76.129
2010,77.12
2011,78.036
