Species,disp,scenario,Lat50,Ele50
Stachys spinosa,Autochor,15,0.965,2.833
Isidrogalvia falcata,Autochor,16,0.422,3.347
Sarcocornia pacifica,Autochor,11,0.292,4.181
Pinus pinea,Autochor,4,3.435,3.643
Psychotria variegata,Zoochor,3,8.319,8.092
Cirsium canovirens,Zoochor,11,0.413,-3.229
Cuphea inaequalifolia,Autochor,12,6.293,6.201
Sedum anglicum,Autochor,1,0.109,2.889
Chomelia brasiliana,Zoochor,15,1.534,3.201
Lindsaea pulchella,Anemochor,4,-8.097,5.573
Psychotria manillensis,Zoochor,11,3.156,4.782
Salix gooddingii,Anemochor,11,2.081,2.851
Melaleuca acacioides,Anemochor,10,-0.549,5.645
Ericameria brachylepis,Anemochor,2,-4.152,2.921
Pultenaea tarik,Zoochor,9,-0.144,3.004
Rhynchospora tuerckheimii,Autochor,12,-3.921,3.561
Portulaca hereroensis,Autochor,6,1.546,5.71
Ficus calyptroceras,Zoochor,13,0.905,4.213
Micromyrtus hymenonema,Zoochor,16,2.831,6.115
Ptilotus mollis,Anemochor,14,5.328,4.848
Senna rizzinii,Autochor,13,-0.109,3.251
Columnea tessmannii,Anemochor,8,8.008,6.074
Vochysia herbacea,Anemochor,4,13.744,7.333
Eucalyptus corrugata,Anemochor,16,1.688,6.061
Senecio legionensis,Anemochor,5,2.185,2.692
Sagina caespitosa,Anemochor,13,3.543,3.37
Aconitum lamarckii,Hemerochor,5,-0.375,2.742
Palicourea grandiflora,Zoochor,10,0.199,5.794
Metalasia dregeana,Anemochor,1,2.411,2.822
Hieracium anglicum,Zoochor,5,-1.551,2.527
Ambrosia divaricata,Hemerochor,12,2.684,5.786
Calycophyllum multiflorum,Anemochor,1,8.228,5.786
Fimbristylis sericea,Anemochor,13,-0.61,3.854
Atriplex prostrata,Autochor,7,-1.521,3.997
Carex vallicola,Autochor,10,1.297,0.846
Premna acuminata,Zoochor,14,0.388,5.459
Cryptocarya velutinosa,Zoochor,16,1.376,3.172
Premna chrysoclada,Zoochor,2,4.704,6.426
Bulbine alata,Anemochor,10,3.88,5.32
Mansoa paganuccii,Anemochor,14,0.016,3.908
Salpichroa scandens,Zoochor,14,0.706,3.739
Linaria depauperata,Anemochor,14,1.075,2.487
Wurmbea dioica,Zoochor,8,1.209,4.522
Gonocarpus simplex,Zoochor,2,-5.945,5.603
Maytenus spinosa,Zoochor,9,0.733,4.791
Verbena carolina,Anemochor,6,-0.257,3.06
Triplaris dugandii,Anemochor,4,-35.256,7.888
Sporobolus spiciformis,Autochor,1,2.34,3.193
Vellozia hirsuta,Autochor,15,0.469,3.358
Brahea pimo,Zoochor,2,4.676,4.141
Sclerolaena muelleri,Anemochor,11,7.202,5.776
Stellaria humifusa,Anemochor,16,-6.408,-6.458
Dysoxylum mollissimum,Zoochor,8,0.319,4.144
Gymnocarpos decander,Autochor,1,3.503,3.863
Mimosa antioquensis,Autochor,6,2.621,4.058
Lindera thomsonii,Zoochor,12,4.511,2.699
Mitrasacme laxiceps,Anemochor,8,-0.416,7.236
Cinnamomum parthenoxylon,Zoochor,15,3.702,3.006
Pseuderanthemum latifolium,Autochor,3,5.565,5.583
Porophyllum amplexicaule,Anemochor,12,1.937,3.785
Philodendron corcovadense,Zoochor,12,5.681,4.427
Bacopa scabra,Autochor,13,-0.233,4.819
Citharexylum montevidense,Zoochor,14,1.305,4.858
Taeniatherum caput-medusae,Zoochor,7,1.394,2.092
Carex pallescens,Autochor,8,-3.304,2.226
Psathyrostachys juncea,Autochor,16,-2.365,-5.032
Carex saxatilis,Autochor,14,-0.507,-0.936
Dichondra repens,Zoochor,3,-0.06,3.76
Delphinium alabamicum,Anemochor,16,4.546,4.773
Bromus maritimus,Zoochor,10,-0.237,2.362
Campanula cana,Anemochor,15,2.605,2.057
Glyceria melicaria,Autochor,11,-0.036,1.408
Aphelandra gracilis,Autochor,10,3.578,3.162
Nicolasia nitens,Autochor,16,-0.271,5.594
Aciotis polystachya,Autochor,1,-10.798,5.732
Mattfeldanthus mutisioides,Anemochor,15,3.841,4.441
Geonoma triglochin,Zoochor,5,-8.126,4.473
Coprosma moorei,Zoochor,10,-1.641,3.336
Guatteria meliodora,Zoochor,3,2.442,7.832
Xyris asperula,Autochor,15,3.991,4.533
Rumex crystallinus,Anemochor,5,4.046,5.446
Astragalus crotalariae,Nautochor,5,-1.411,3.155
Eriochrysis brachypogon,Anemochor,2,-5.463,5.07
Ranunculus hyperboreus,Zoochor,7,-6.776,-8.841
Carpobrotus modestus,Zoochor,10,-1.515,5.475
Strychnos atlantica,Zoochor,11,0.753,4.682
Phacelia saxicola,Anemochor,16,2.512,2.872
Chamaedorea deneversiana,Zoochor,4,-2.755,4.428
Carex rugata,Autochor,8,3.085,1.923
Tricalysia analamazaotrensis,Zoochor,13,-1.773,2.614
Dyschoriste ovata,Autochor,3,7.001,4.197
Clidemia strigillosa,Anemochor,2,2.014,6.944
Craspedia costiniana,Anemochor,7,-2.005,3.527
Cambessedesia eichleri,Autochor,6,-2.241,2.948
Microtea maypurensis,Autochor,15,0.877,4.278
Ipomoea brownii,Autochor,9,0.208,5.015
Clibadium grandifolium,Anemochor,2,-0.958,3.871
Axonopus aureus,Autochor,14,1.361,4.989
Alania cunninghamii,Autochor,9,-2.092,4.167
Psidium oligospermum,Zoochor,14,1.4,4.412
Eucalyptus rudis,Anemochor,8,0.196,5.661
Eucalyptus guilfoylei,Anemochor,9,-2.53,5.448
Astragalus uniflorus,Nautochor,8,-1.833,2.041
Myriopus candidulus,Zoochor,4,-1.811,5.046
Agathisanthemum globosum,Autochor,10,-0.278,4.674
Phacelia robusta,Anemochor,16,2.779,3.192
Solanum nigrum,Autochor,2,0.434,3.029
Fadogia ancylantha,Zoochor,15,0.26,4.978
Citharexylum altamiranum,Zoochor,14,-0.985,3.071
Turnera calyptrocarpa,Autochor,5,0.057,3.775
Blepharodon salicinum,Anemochor,15,5.41,5.033
Bactris caudata,Zoochor,11,-4.184,4.748
Coccocypselum herbaceum,Zoochor,4,0.203,6.062
Cissus paulliniifolia,Autochor,14,1.416,3.508
Camissonia multijuga,Autochor,5,2.727,2.048
Aconitum pendulum,Hemerochor,10,0.76,1.739
Gasteria brachyphylla,Anemochor,6,-0.757,2.744
Heterosperma pinnatum,Zoochor,4,1.16,3.018
Artabotrys modestus,Zoochor,10,4.428,5.155
Primula denticulata,Anemochor,15,4.044,2.584
Machaerium lunatum,Anemochor,15,1.014,6.474
Pinus luchuensis,Anemochor,14,3.942,2.769
Aechmea angustifolia,Autochor,10,-0.346,5.406
Eriogonum fasciculatum,Anemochor,10,2.542,2.509
Carex divisa,Autochor,13,1.204,2.819
Crepidomanes bipunctatum,Anemochor,4,-4.928,5.752
Erica glandulipila,Autochor,3,7.051,2.851
Calytrix microcoma,Zoochor,16,1.632,6.499
Calamagrostis lahulensis,Autochor,16,-0.406,0.988
Cupaniopsis serrata,Zoochor,10,-1.131,3.438
Sabal mauritiiformis,Zoochor,9,-0.256,4.475
Cuphea lutescens,Autochor,3,1.2,4.777
Adelobotrys fuscescens,Anemochor,11,-13.827,5.593
Halocnemum strobilaceum,Autochor,6,3.434,4.807
Pycnandra controversa,Zoochor,4,-5.458,3.759
Polystichum munitum,Anemochor,3,-1.004,0.535
Caesalpinia pringlei,Autochor,8,5.571,5.348
Gossypium harknessii,Autochor,7,3.909,5.45
Fingerhuthia africana,Autochor,1,0.96,4.132
Rhodocoma fruticosa,Autochor,8,0.646,3.154
Pteris elongatiloba,Anemochor,1,-1.266,2.953
Mikania hemisphaerica,Anemochor,15,1.633,3.471
Conostylis angustifolia,Autochor,14,-4.277,5.775
Atriplex minuscula,Anemochor,5,-0.288,4.604
Trisetum spicatum,Anemochor,13,2.275,3.217
Boerhavia diffusa,Zoochor,9,0.967,4.311
Abarema barnebyana,Autochor,15,6.294,4.77
Carex incomitata,Autochor,2,-0.566,2.889
Murdannia vaginata,Autochor,15,1.791,4.897
Eryngium heterophyllum,Autochor,15,-0.743,2.868
Cymopterus purpurascens,Anemochor,1,0.709,1.978
Haloragodendron monospermum,Autochor,2,10.331,2.723
Micranthes calycina,Autochor,15,-0.911,-6.702
Erica reenensis,Autochor,10,0.096,2.925
Pandorea linearis,Anemochor,12,1.713,3.271
Liabum stipulatum,Zoochor,11,-0.961,3.442
Sersalisia sericea,Zoochor,3,0.737,6.269
Dichanthium sericeum,Anemochor,16,8.927,5.811
Nuxia involucrata,Autochor,7,-10.178,3.339
Podolobium scandens,Zoochor,11,0.408,3.49
Sonchus crassifolius,Zoochor,16,1.171,3.428
Ipomoea ramosissima,Autochor,16,4.419,5.362
Prunus alabamensis,Zoochor,3,6.749,5.176
Bupleurum microcephalum,Autochor,7,5.401,2.3
Cirsium horridulum,Zoochor,11,7.154,6.205
Bulbine angustifolia,Anemochor,10,0.758,4.195
Triadenum walteri,Zoochor,8,6.791,5.495
Fothergilla gardenii,Zoochor,10,3.48,6.102
Lepidosperma neesii,Zoochor,9,-1.408,3.994
Plagiobothrys arizonicus,Hemerochor,15,2.063,2.491
Pilea pteropodon,Autochor,8,2.242,4.224
Barkleyanthus salicifolius,Anemochor,5,0.433,2.939
Cyclocodon lancifolius,Anemochor,16,5.928,2.926
Struthanthus uraguensis,Zoochor,12,6.948,4.911
Pteronia leucoclada,Anemochor,15,4.214,5.111
Jatropha ribifolia,Autochor,10,0.572,4.136
Ficus sansibarica,Zoochor,8,-1.602,5.691
Tarenna vignei,Zoochor,13,-2.092,4.841
Hypenia salzmannii,Autochor,2,0.106,4.288
Allocasuarina humilis,Anemochor,2,-1.605,5.685
Genista tinctoria,Autochor,14,0.526,3.319
Hypochaeris meyeniana,Anemochor,1,-1.254,3.051
Galium multiflorum,Zoochor,7,-1.713,1.276
Artemisia rubripes,Anemochor,2,0.513,-4.76
Thyridolepis xerophila,Anemochor,16,4.552,6.062
Spyridium eriocephalum,Zoochor,7,0.95,5.617
Manihot pentaphylla,Autochor,1,5.046,5.018
Saxifraga nipponica,Anemochor,15,9.867,1.75
Astragalus jejunus,Nautochor,3,0.931,-1.81
Syzygium endophloium,Zoochor,2,0.756,3.069
Desmodium neomexicanum,Zoochor,11,0.297,2.79
Grevillea pulchella,Autochor,15,-2.409,5.141
Buddleja dysophylla,Anemochor,12,-0.532,3.086
Syngonanthus biformis,Anemochor,13,-0.854,4.851
Garcinia pervillei,Zoochor,2,-3.165,4.056
Ternstroemia pungens,Zoochor,15,-16.908,5.587
Maripa densiflora,Zoochor,2,-21.598,6.957
Danhatchia australis,Anemochor,9,-2.151,4.337
Tristaniopsis laurina,Zoochor,1,-0.145,3.144
Utricularia menziesii,Autochor,16,-2.086,5.588
Syzygium legatii,Zoochor,2,0.972,4.356
Blennosperma nanum,Anemochor,2,0.228,2.857
Monteiroa glomerata,Anemochor,16,-1.317,3.443
Bursera penicillata,Zoochor,7,6.179,3.508
Coccinia sessilifolia,Zoochor,1,2.351,5.056
Critoniopsis foliosa,Anemochor,3,2.945,3.501
Vaccinium poasanum,Zoochor,3,-3.008,3.781
Valeriana excelsa,Anemochor,7,-1.155,2.843
Amaranthus undulatus,Zoochor,5,1.764,5.121
Eremospatha wendlandiana,Zoochor,10,1.298,5.578
Hohenbergia castellanosii,Anemochor,1,-2.483,4.597
Begonia biserrata,Autochor,13,1.645,2.694
Cremastosperma monospermum,Zoochor,12,6.873,7.398
Erica distorta,Autochor,5,-2.171,3.099
Saxifraga losae,Anemochor,9,0.083,2.694
Ranunculus macounii,Zoochor,9,0.866,2.521
Stipa barbata,Anemochor,7,2.354,3.554
Ixia trifolia,Autochor,15,3.599,2.619
Pavonia flavoferruginea,Autochor,9,-2.036,4.207
Gnetum leyboldii,Anemochor,7,-3.363,6.925
Anaphalis triplinervis,Hemerochor,10,1.433,2.692
Salvia barrelieri,Autochor,15,0.179,3.187
Dasispermum suffruticosum,Anemochor,5,-2.258,3.576
Gardenia ovularis,Zoochor,15,-8.987,3.424
Lathyrus subulatus,Autochor,1,0.991,4.863
Cynanchum altiscandens,Anemochor,3,4.22,5.647
Microlicia tenuifolia,Autochor,4,-13.633,4.193
Perotis patens,Anemochor,2,-3.569,5.443
Eucalyptus mimica,Anemochor,9,-1.898,5.64
Ligularia hookeri,Anemochor,16,0.506,1.603
Acacia riceana,Zoochor,4,-2.359,2.243
Goyazia rupicola,Autochor,13,-1.78,3.213
Maireana villosa,Anemochor,10,3.416,5.248
Carex aphyllopus,Autochor,13,5.118,2.321
Viola nephrophylla,Zoochor,3,-1.232,-2.204
Hibiscus furcellatus,Autochor,6,2.63,6.068
Fuchsia excorticata,Zoochor,2,-2.654,4.543
Jacquemontia sphaerostigma,Autochor,8,6.358,6.25
Eucalyptus petraea,Anemochor,6,1.418,5.655
Setaria setosa,Autochor,11,1.108,4.194
Eremogone dianthoides,Zoochor,15,0.084,0.981
Yucca baileyi,Zoochor,15,0.086,2.156
Drosanthemum cymiferum,Ombrochor,3,2.07,3.424
Rubus sprengelii,Zoochor,15,-2.68,5.029
Miconia brittonii,Zoochor,1,-1.927,3.282
Pachyptera kerere,Anemochor,6,0.246,6.082
Odontonema glabrum,Autochor,3,7.851,4.607
Gomphrena debilis,Autochor,12,-0.313,4.663
Erisma laurifolium,Anemochor,8,-9.776,8.189
Dicrastylis brunnea,Autochor,4,6.374,7.185
Drymaria holosteoides,Zoochor,5,0.386,3.593
Manihot breviloba,Autochor,3,-6.894,6.185
Lennea modesta,Anemochor,14,-0.003,4.176
Panicum lachnophyllum,Anemochor,3,-4.718,3.291
Eucalyptus beyeri,Anemochor,12,-1.254,2.914
Eragrostis tenuifolia,Autochor,6,-1.836,3.948
Solanum lycocarpum,Autochor,14,1.693,4.612
Artemisia franserioides,Anemochor,1,-2.664,1.846
Mnesithea granularis,Autochor,14,1.298,3.26
Abutilon palmeri,Anemochor,11,0.123,3.79
Cryptantha microstachys,Zoochor,12,-0.526,2.612
Holodiscus discolor,Hemerochor,6,1.542,1.499
Sphaeralcea ambigua,Anemochor,7,-2.365,2.707
Caesia occidentalis,Zoochor,8,-0.975,5.393
Philodendron hatschbachii,Zoochor,7,2.206,3.824
Syngonanthus densiflorus,Anemochor,1,3.16,5.505
Bahia ambrosioides,Anemochor,2,-5.978,2.537
Tsuga chinensis,Anemochor,15,3.068,2.283
Muhlenbergia rigida,Zoochor,3,-0.257,3.025
Ceratosanthes hilariana,Zoochor,11,3.618,5.776
Swartzia schomburgkii,Zoochor,14,-7.815,5.481
Ocotea smithiana,Zoochor,9,1.623,3.125
Alyssum diffusum,Hemerochor,5,1.553,3.179
Cedrela angustifolia,Anemochor,15,15.085,4.488
Teucrium eremaeum,Autochor,10,-2.581,5.525
Barleria macrostegia,Autochor,16,1.352,5.526
Cryptantha cycloptera,Zoochor,4,4.03,3.762
Eucalyptus tetragona,Anemochor,10,-2.64,5.788
Bauhinia microstachya,Autochor,14,-5.631,5.868
Artocarpus nitidus,Zoochor,12,-4.875,4.326
Lessingianthus farinosus,Anemochor,16,0.736,3.359
Siparuna cuspidata,Zoochor,4,-2.154,8.107
Cnidoscolus megacanthus,Autochor,4,4.453,6.579
Bahiopsis parishii,Zoochor,4,1.629,4.457
Catalpa speciosa,Anemochor,14,0.785,4.841
Ziziphus thyrsiflora,Zoochor,5,1.479,4.007
Ocotea gracilis,Zoochor,14,1.387,5.895
Leptospermum spinescens,Zoochor,9,-1.685,5.701
Couepia macrophylla,Zoochor,6,-9.047,5.868
Psychotria pyrrotricha,Zoochor,7,-3.704,4.296
Rhynchospora patuligluma,Autochor,11,1.133,4.085
Rotheca hirsuta,Autochor,8,0.103,3.484
Oxalis umbraticola,Autochor,10,0.418,3.292
Bomarea involucrosa,Zoochor,4,-0.335,1.413
Cantinoa plectranthoides,Autochor,4,2.626,4.086
Schultesia benthamiana,Autochor,15,1.287,5.995
Polygonum ferrugineum,Anemochor,3,9.352,6.106
Asterolasia asteriscophora,Autochor,3,-1.318,2.43
Plantago argyrea,Zoochor,1,-1.038,2.13
Verbascum densiflorum,Hemerochor,15,-1.556,4.665
Wahlenbergia saxicola,Anemochor,2,-1.628,2.76
Murdannia cryptantha,Autochor,11,-0.335,5.401
Kraussia floribunda,Autochor,12,3.935,3.646
Physalis hispida,Zoochor,16,2.856,4.288
Cecropia utcubambana,Zoochor,15,9.918,5.104
Lonicera dioica,Zoochor,11,-1.275,-0.699
Paspalum pubiflorum,Autochor,14,2.977,4.675
Laxmannia ramosa,Zoochor,11,-1.226,5.658
Annona edulis,Zoochor,12,-9.152,6.491
Gynoxys psilophylla,Anemochor,5,4.166,3.586
Baccharis tridentata,Anemochor,6,1.217,3.494
Cryptantha circumscissa,Zoochor,4,1.104,1.676
Townsendia scapigera,Anemochor,15,0.94,1.398
Calliandra erythrocephala,Autochor,16,6.976,4.595
Carex ormostachya,Autochor,16,-0.49,0.835
Paullinia brenesii,Anemochor,16,2.936,4.555
Pycnanthemum virginianum,Anemochor,3,-1.471,3.486
Clerodendrum parvulum,Autochor,5,-0.003,5.091
Stapelianthus decaryi,Anemochor,14,-1.716,4.11
Coronilla repanda,Autochor,2,2.002,3.036
Aristida behriana,Zoochor,2,2.586,4.975
Nertera ciliata,Zoochor,16,-2.906,4.309
Cnidoscolus vitifolius,Autochor,16,5.189,5.753
Wilkiea austroqueenslandica,Zoochor,5,-1.624,2.652
Quararibea wittii,Zoochor,6,1.606,5.579
Triodia pascoeana,Anemochor,11,3.39,6.011
Carex intumescens,Autochor,5,-0.013,3.666
Jasminum grandiflorum,Zoochor,16,3.539,3.711
Pectis multiflosculosa,Anemochor,15,-2.086,4.659
Epacris glacialis,Anemochor,2,-2.101,3.609
Astraea comosa,Zoochor,2,-17.156,3.284
Antigonon cinerascens,Anemochor,3,-0.753,5.753
Podocarpus matudae,Zoochor,16,13.421,3.658
Alpinia zerumbet,Zoochor,11,4.025,3.397
Damnacanthus macrophyllus,Zoochor,14,2.648,2.303
Passiflora miniata,Zoochor,15,6.164,6.007
Cotula barbata,Zoochor,13,-1.357,3.043
Monolena primuliflora,Anemochor,15,-1.078,4.094
Agave salmiana,Anemochor,11,4.51,3.405
Eryngium bourgatii,Autochor,8,0.286,1.629
Babiana attenuata,Autochor,9,-0.403,2.741
Ipomoea paludosa,Autochor,3,11.156,5.235
Citharexylum myrianthum,Zoochor,2,2.374,4.492
Pyrrosia eleagnifolia,Anemochor,7,-2.549,4.591
Elliottia paniculata,Anemochor,14,-1.644,2.058
Lepidosperma striatum,Zoochor,2,-1.362,5.572
Marina diffusa,Anemochor,14,-0.921,2.947
Achillea clypeolata,Anemochor,15,1.275,2.328
Oenothera arizonica,Autochor,5,-0.233,2.831
Tanacetum vulgare,Hemerochor,15,-3.659,-3.14
Acacia thoma,Zoochor,14,2.022,5.283
Bulbinella barkerae,Autochor,11,-1.866,3.873
Coccocypselum bahiense,Zoochor,6,-8.344,5.081
Aldama pilosa,Anemochor,15,1.189,3.798
Bunchosia ursana,Zoochor,12,-0.823,4.034
Artabotrys madagascariensis,Zoochor,13,-0.056,2.927
Calytrix watsonii,Zoochor,16,8.086,6.092
Arctostaphylos glandulosa,Anemochor,10,8.039,2.686
Dalea carthagenensis,Anemochor,6,3.001,3.856
Macrocarpaea rubra,Anemochor,4,1.34,3.367
Lavandula coronopifolia,Anemochor,6,4.649,4.677
Bromus lanatus,Zoochor,14,-0.81,3.336
Eriogonum ochrocephalum,Anemochor,11,0.875,1.378
Parthenocissus laetevirens,Zoochor,7,3.043,2.534
Potentilla litoralis,Zoochor,16,-3.632,-6.385
Tetratheca affinis,Zoochor,8,-2.209,5.329
Strophanthus thollonii,Anemochor,10,-1.723,4.677
Calliandra hirtiflora,Autochor,6,0.473,3.16
Ornithoglossum parviflorum,Zoochor,4,5.962,3.578
Coronopus didymus,Anemochor,9,0.813,3.5
Indigofera platycarpa,Autochor,9,1.527,2.74
Hydrangea macrophylla,Zoochor,7,3.358,1.718
Ceanothus caeruleus,Anemochor,1,3.465,2.927
Myrianthus preussii,Anemochor,15,0.885,5.738
Qualea acuminata,Anemochor,4,-7.162,9.376
Aster tsarungensis,Anemochor,4,6.955,4.291
Polianthes geminiflora,Anemochor,11,2.494,3.176
Waltheria bracteosa,Autochor,3,4.317,5.935
Potamogeton hillii,Zoochor,3,0.007,0.676
Helianthemum caput-felis,Anemochor,4,-0.848,4.29
Inga capitata,Zoochor,9,-0.126,4.798
Piper coruscans,Zoochor,12,-0.239,6.655
Diplopterys cabrerana,Anemochor,3,-6.232,8.995
Plagiobothrys arizonicus,Hemerochor,1,1.986,2.384
Haploesthes greggii,Anemochor,2,3.345,4.635
Mimosa affinis,Autochor,3,-3.172,4.712
Citharexylum rosei,Zoochor,2,-0.799,3.374
Acacia angustissima,Zoochor,8,4.488,3.405
Lonicera albiflora,Zoochor,3,4.066,3.587
Streptanthus bernardinus,Hemerochor,12,2.759,2.146
Oemleria cerasiformis,Zoochor,3,-0.718,1.919
Papaver pavoninum,Anemochor,3,2.82,2.367
Lobelia tomentosa,Zoochor,4,-3.302,3.455
Acalypha apodanthes,Autochor,11,-1.568,4.172
Alyogyne pinoniana,Autochor,1,3.325,5.61
Sclerolaena decurrens,Anemochor,2,8.943,5.9
Peucedanum cervaria,Autochor,3,-0.215,2.54
Mesembryanthemum splendens,Ombrochor,1,-1.697,2.877
Phoradendron crassifolium,Zoochor,8,5.689,6.124
Lepidonia salvinae,Anemochor,2,4.873,3.837
Clidemia urceolata,Anemochor,9,0.471,2.729
Thymus sibiricus,Zoochor,8,-7.709,-12.184
Tabernaemontana cerea,Zoochor,2,1.427,6.104
Nectandra lineata,Zoochor,1,-0.492,4.099
Chaunochiton kappleri,Anemochor,10,-0.865,5.63
Dombeya laurifolia,Anemochor,4,-10.967,3.979
Albuca fastigiata,Anemochor,4,1.281,3.534
Tragus australianus,Zoochor,6,5.878,5.508
Lantana lundiana,Zoochor,16,3.129,3.682
Lechea intermedia,Autochor,6,-0.464,2.858
Solidago arguta,Anemochor,7,2.252,2.954
Lepisorus longifolius,Anemochor,9,0.569,2.477
Philodendron blanchetianum,Zoochor,2,0.632,4.452
Desmoncus myriacanthos,Zoochor,1,-1.187,5.602
Faucaria felina,Ombrochor,12,-0.199,3.032
Maresia nana,Anemochor,3,2.922,3.737
Carex kobomugi,Autochor,14,2.464,2.538
Axonopus schultesii,Autochor,7,-22.369,7.006
Browallia speciosa,Zoochor,15,-0.605,3.694
Merostachys fistulosa,Autochor,1,-3.541,3.045
Pomaderris vellea,Zoochor,13,0.105,2.875
Xylopia aethiopica,Zoochor,8,4.657,6.814
Iris spuria,Autochor,4,-1.164,2.688
Schoenus subflavus,Autochor,5,-1.954,5.729
Rhytachne gonzalezii,Autochor,7,6.907,6.699
Rhopaloblaste ledermanniana,Zoochor,14,-4.26,3.746
Baccharis sarothroides,Anemochor,2,0.997,2.988
Piper polytrichum,Zoochor,1,-1.134,3.963
Scleranthus perennis,Anemochor,10,-1.005,4.049
Gaultheria poeppigii,Zoochor,6,5.724,4.288
Euchiton traversii,Anemochor,2,-1.636,2.961
Hanburia mexicana,Autochor,4,9.827,4.891
Lobelia oligophylla,Zoochor,3,-1.61,2.338
Grossera perrieri,Autochor,3,-0.058,6.081
Conium maculatum,Anemochor,1,-0.121,3.264
Sporobolus rigidifolius,Autochor,8,-2.449,3.914
Bromus commutatus,Zoochor,14,0.22,3.035
Ranunculus chlorellus,Zoochor,7,-1.588,3.63
Trillium rugelii,Zoochor,6,2.469,3.733
Leucadendron spissifolium,Anemochor,14,-1.901,3.21
Ilex cornuta,Zoochor,16,4.269,3.393
Salvia sagittata,Autochor,10,2.073,3.501
Coffea canephora,Zoochor,13,-1.701,3.889
Psorospermum chionanthifolium,Zoochor,6,-1.562,3.327
Decaisnina signata,Zoochor,3,-0.961,7.209
Solanum wrightii,Autochor,11,17.593,5.702
Myrcia amazonica,Zoochor,9,0.087,4.555
Dalea dorycnioides,Anemochor,11,-0.945,3.4
Krameria erecta,Zoochor,8,3.604,3.556
Copernicia alba,Zoochor,16,16.754,7.445
Paranomus bracteolaris,Anemochor,14,1.273,3.221
Adromischus cristatus,Anemochor,9,-0.808,2.985
Sedum stenopetalum,Anemochor,5,-0.391,1.573
Artemisia lagopus,Anemochor,5,-1.243,-2.163
Stromanthe ramosissima,Autochor,12,5.904,4.632
Bouvardia dictyoneura,Anemochor,15,3.298,3.806
Lepidosperma striatum,Zoochor,10,-1.704,5.508
Oenothera californica,Autochor,11,2.286,2.139
Boehmeria zollingeriana,Autochor,14,4.359,2.718
Hypericum pubescens,Zoochor,7,0.42,2.992
Abutilon sonneratianum,Anemochor,1,-0.846,3.161
Chaetocarpus schomburgkianus,Zoochor,11,3.356,6.474
Adenostemma macrophyllum,Autochor,14,-5.055,2.755
Hakea gibbosa,Anemochor,4,-4.485,3.997
Podocoma notobellidiastrum,Anemochor,5,2.213,3.84
Leptospermum parvifolium,Zoochor,10,-0.45,3.08
Najas microcarpa,Autochor,7,7.251,6.557
Faramea paniculata,Zoochor,12,0.913,6.86
Ichnanthus nemorosus,Autochor,3,2.543,4.436
Lycopodiella appressa,Anemochor,6,2.819,4.547
Anthurium umbricola,Zoochor,10,-4.105,3.221
Poiretia coriifolia,Autochor,3,-0.595,4.929
Hedeoma mandoniana,Anemochor,7,10.284,4.268
Columnea sanguinea,Anemochor,1,-0.675,3.343
Conospermum eatoniae,Autochor,13,-1.206,5.693
Calytrix praecipua,Zoochor,9,0.031,5.087
Eucalyptus agglomerata,Anemochor,6,-0.142,2.94
Schlechteranthus connatus,Ombrochor,11,5.885,3.039
Solanum lanceifolium,Autochor,1,0.342,4.165
Asperugo procumbens,Zoochor,13,1.275,4.056
Stenophalium chionaeum,Anemochor,7,12.593,3.271
Adonis aestivalis,Hemerochor,2,1.001,2.706
Melaleuca spathulata,Anemochor,3,-2.484,5.685
Ambrosia microcephala,Hemerochor,9,-2.872,5.008
Myrcia vittoriana,Zoochor,12,-0.449,4.359
Pentagramma pallida,Anemochor,2,0.776,2.501
Asparagus denudatus,Zoochor,15,3.388,3.504
Brasiliopuntia brasiliensis,Zoochor,7,4.968,4.803
Triplochiton scleroxylon,Anemochor,1,0.017,5.537
Vitis arizonica,Zoochor,12,3.865,2.582
Ocotea effusa,Zoochor,12,-17.804,4.331
Coffea humbertii,Zoochor,4,-0.028,5.941
Calytrix habrantha,Zoochor,11,0.318,5.742
Verbesina gigantea,Autochor,12,1.674,6.664
Clidemia semijuga,Anemochor,9,-6.038,4.205
Croton mollis,Autochor,4,0.624,7.908
Polystichum platylepis,Anemochor,4,1.891,3.908
Dendrophthoe pentandra,Zoochor,9,2.568,3.316
Persoonia amaliae,Zoochor,16,-3.077,3.237
Halgania glabra,Zoochor,2,9.143,6.045
Trema micrantha,Zoochor,1,2.05,4.629
Centaurea debeauxii,Zoochor,13,0.729,3.395
Festuca ovina,Zoochor,14,-1.134,-0.385
Pappophorum mucronulatum,Zoochor,14,1.38,3.868
Cirsium drummondii,Zoochor,2,-0.25,-3.535
Clematis integrifolia,Anemochor,3,-3.848,3.664
Trichomanes curtii,Anemochor,10,0.351,4.001
Stryphnodendron coriaceum,Autochor,10,1.53,5.515
Columnea magnifica,Anemochor,7,-8.11,3.497
Calliandra magdalenae,Autochor,9,3.376,4.046
Wahlenbergia linarioides,Anemochor,6,2.953,4.534
Manulea crassifolia,Anemochor,13,-0.975,2.748
Gentianopsis lanceolata,Anemochor,16,-0.167,3.176
Arctostaphylos rubra,Anemochor,16,-3.612,-7.549
Asplenium megalura,Anemochor,14,0.902,4.431
Lindsaea kingii,Anemochor,13,-0.716,2.793
Protium calanense,Zoochor,13,-3.004,4.816
Coccoloba uvifera,Zoochor,5,0.153,4.654
Dissocarpus fontinalis,Anemochor,14,3.999,5.348
