Species,disp,scenario,Lat50,Ele50
Sinningia aghensis,Anemochor,2,-1.123,3.089
Piper holdridgeanum,Zoochor,8,1.607,4.311
Oxera robusta,Zoochor,16,-0.531,3.84
Tetraulacium veroniciforme,Autochor,5,-0.133,4.707
Gayophytum diffusum,Anemochor,6,0.272,1.426
Mimosa minutifolia,Autochor,10,-0.064,3.041
Dicranostigma leptopodum,Anemochor,1,2.647,2.946
Blechnum werckleanum,Anemochor,8,1.724,3.741
Stylidium schizanthum,Autochor,10,-1.584,5.382
Tradescantia hirta,Autochor,15,0.481,3.198
Sannantha leratii,Zoochor,1,-0.428,3.699
Astragalus danicus,Autochor,2,-1.455,3.146
Campylospermum dependens,Zoochor,5,-1.635,3.206
Endlicheria robusta,Zoochor,16,2.016,5.96
Achillea arabica,Anemochor,8,3.646,1.906
Bactris glassmanii,Zoochor,8,-2.702,5.605
Cissus pulcherrima,Autochor,8,10.905,5.369
Cryptantha nevadensis,Zoochor,2,-2.037,2.532
Muhlenbergia bushii,Zoochor,4,6.053,4.368
Ayapanopsis cuchabensis,Anemochor,9,-3.649,3.272
Allium cyathophorum,Anemochor,1,1.977,2.102
Pycnandra decandra,Zoochor,8,9.531,4.377
Doliocarpus spraguei,Zoochor,15,1.306,6.428
Forsskaolea angustifolia,Zoochor,12,-0.105,5.369
Dianella amoena,Zoochor,8,-1.336,3.647
Solanum echidnaeforme,Autochor,14,3.094,2.728
Pauridiantha talbotii,Zoochor,11,-10.385,4.075
Rosa gymnocarpa,Zoochor,3,-2.098,0.33
Unonopsis stipitata,Zoochor,10,-1.788,5.723
Coussarea talamancana,Anemochor,1,-9.492,3.412
Arcytophyllum capitatum,Anemochor,4,0.874,2.734
Palicourea gomezii,Zoochor,16,-2.939,3.865
Agrostis turrialbae,Anemochor,14,-0.931,3.494
Berkheya decurrens,Autochor,1,-1.82,2.893
Schoenobiblus crassisepala,Zoochor,16,2.391,5.644
Suaeda palmeri,Anemochor,13,0.168,2.895
Bakeridesia exalata,Anemochor,9,-0.109,3.123
Elaphoglossum macrophyllum,Anemochor,13,-0.216,2.907
Hypolytrum longifolium,Autochor,12,0.674,6.918
Glossoloma bolivianum,Anemochor,9,5.307,3.854
Pisonia ambigua,Zoochor,4,4.902,4.771
Leersia lenticularis,Zoochor,7,6.491,5.946
Oxalis sellowii,Autochor,3,7.031,5.643
Dyckia tuberosa,Anemochor,11,1.325,3.776
Coptis trifolia,Zoochor,4,-2.707,-5.564
Verbena pinetorum,Anemochor,7,9.115,2.761
Taraxacum mongolicum,Anemochor,4,-1.731,-6.038
Sporobolus pungens,Autochor,13,1.44,3.265
Panicum aquaticum,Anemochor,4,3.368,5.296
Micromyrtus sessilis,Zoochor,8,1.334,4.581
Sindechites henryi,Anemochor,2,4.223,2.705
Rhizophora mucronata,Nautochor,1,0.912,4.487
Gentiana panthaica,Anemochor,5,3.402,2.45
Mimosa emoryana,Autochor,16,3.163,3.297
Mikania phaeoclados,Anemochor,1,1.189,3.26
Orlaya grandiflora,Hemerochor,14,1.031,3.349
Mascagnia bierosa,Anemochor,6,3.263,4.582
Antrophyum semicostatum,Anemochor,13,0.108,2.655
Columnea rosea,Anemochor,7,-10.275,6.238
Veronica catenata,Zoochor,12,-1.087,3.946
Senecio laevigatus,Anemochor,1,0.816,3.677
Senecio aquaticus,Anemochor,16,-0.414,3.436
Veronica pulvinaris,Zoochor,14,-2.955,5.119
Salix bonplandiana,Anemochor,13,-1.031,2.575
Elaphoglossum rubescens,Anemochor,11,-0.101,4.096
Psychotria graciliflora,Zoochor,2,1.753,4.778
Erica canaliculata,Autochor,7,0.26,3.346
Ludovia integrifolia,Zoochor,6,-0.877,4.23
Hymenophyllum melanosorum,Anemochor,5,3.641,3.244
Barringtonia asiatica,Nautochor,10,-1.208,4.037
Circaea erubescens,Zoochor,1,1.591,2.042
Catopsis berteroniana,Anemochor,15,6.657,5.274
Felicia merxmuelleri,Anemochor,15,2.883,3.63
Cestrum humboldtii,Zoochor,15,-18.542,3.464
Lundia helicocalyx,Anemochor,14,0.072,5.181
Aspidosperma desmanthum,Anemochor,6,0.378,5.99
Crepis occidentalis,Anemochor,6,1.17,2.147
Carex albursina,Autochor,9,0.138,4.24
Ocotea argyrophylla,Zoochor,3,-13.246,8.374
Leptocarydion vulpiastrum,Autochor,13,-2.521,4.559
Eremophila tetraptera,Zoochor,12,12.848,6.588
Alstroemeria longistaminea,Autochor,5,0.028,3.557
Plantago indica,Hemerochor,3,6.48,4.541
Fraxinus sieboldiana,Anemochor,2,3.476,1.936
Arctotis erosa,Anemochor,7,3.99,4.2
Weinmannia auriculifera,Anemochor,8,7.534,3.186
Viola macloskeyi,Zoochor,5,0.364,2.995
Pentagonia nuciformis,Autochor,1,-3.928,3.327
Lessertia frutescens,Nautochor,2,-0.342,3.292
Muhlenbergia bushii,Zoochor,10,3.11,4.937
Cuphea annulata,Autochor,4,-12.525,8.486
Rumex confertus,Zoochor,13,-0.799,4.641
Attalea racemosa,Zoochor,11,-5.034,7.988
Eriogonum sphaerocephalum,Anemochor,14,0.597,2.28
Trattinnickia peruviana,Zoochor,14,0.599,5.66
Mucronea californica,Zoochor,1,1.864,2.837
Litsea acutivena,Zoochor,9,4.187,2.577
Styrax redivivus,Zoochor,7,26.494,2.415
Carex ivanoviae,Autochor,3,-0.209,-1.048
Sesbania drummondii,Autochor,1,3.774,5.179
Prostanthera cineolifera,Autochor,7,0.442,3.017
Himalaiella albescens,Anemochor,7,4.565,1.133
Conostegia polyandra,Zoochor,4,-4.09,8.105
Erica labialis,Autochor,5,-1.366,3.278
Swartzia argentea,Zoochor,1,-3.04,6.686
Alexgeorgea nitens,Autochor,11,1.21,5.634
Saussurea stella,Anemochor,12,-3.003,0.177
Adesmia spinosissima,Chamaechor,9,-2.551,3.4
Oxandra xylopioides,Zoochor,4,2.272,9.352
Calandrinia pickeringii,Anemochor,2,0.389,4.203
Astrocaryum chambira,Zoochor,8,-6.064,8.369
Solanum rixosum,Autochor,13,-0.112,2.477
Cyphostemma simulans,Zoochor,11,0.631,3.192
Diastatea tenera,Autochor,14,0.301,3.093
Eichhornia diversifolia,Autochor,1,2.753,5.645
Cenchrus nervosus,Anemochor,5,4.778,5.558
Erica eustacei,Autochor,10,-0.321,2.675
Dendrophorbium longilinguae,Anemochor,2,11.625,5.596
Licaria armeniaca,Zoochor,13,-1.559,5.026
Astragalus sesquiflorus,Nautochor,13,-0.007,2.214
Trisetum clarkei,Anemochor,12,2.628,-0.552
Waltheria brachypetala,Autochor,6,0.688,4.284
Parkinsonia aculeata,Nautochor,4,18.698,5.872
Crinum venosum,Anemochor,8,4.337,6.72
Melaleuca nesophila,Anemochor,8,-1.174,4.43
Sclerochloa dura,Zoochor,4,3.249,3.131
Ilex micrococca,Zoochor,1,3.364,2.464
Dodonaea amblyophylla,Zoochor,4,3.551,5.982
Sorghastrum incompletum,Anemochor,7,-4.541,5.812
