sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR271,1,Medium,XY,unrelated,K2b1,H2a1,"=IFERROR(-VLOOKUP(A103,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR272,2,High,XX,unrelated,J1c3,,"=IFERROR(-VLOOKUP(A104,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR273,1,High,Not Assigned,pedigree_1.G,H1c,,"=IFERROR(-VLOOKUP(A105,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR274,1,High,XX,pedigree_1.A,K1b1a,,"=IFERROR(-VLOOKUP(A106,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR275,1,High,XY,pedigree_1.A,J2b1a2,H2a1,"=IFERROR(-VLOOKUP(A107,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR276,2,High,XY,pedigree_2.A,K1a+195,I2a1a1,"=IFERROR(-VLOOKUP(A108,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR277,1,Medium,XY,no_data,J1c1b,,"=IFERROR(-VLOOKUP(A109,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR278,1,High,XY,pedigree_1.A,K1a3,H2a1,"=IFERROR(-VLOOKUP(A110,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR279,1,High,XY,pedigree_1.A,H3p,H2a1,"=IFERROR(-VLOOKUP(A111,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR280,2,High,XY,unrelated,K1b1a,I2a1a1,"=IFERROR(-VLOOKUP(A112,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR281,2,Low,XX,unrelated,K1a4a1,,"=IFERROR(-VLOOKUP(A113,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR282,2,Medium,XY,unrelated,H1,G2a2b2,"=IFERROR(-VLOOKUP(A114,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR283,1,High,XY,pedigree_1.A,K1a2a,H2a1,"=IFERROR(-VLOOKUP(A115,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
