modelo,tipo_top,familia,presion_pa,presion_hpa,tendencia_k_decada
ACCESS-CM2,high-top,CMIP6,85000.0,850.0,0.22922986804370174
ACCESS-CM2,high-top,CMIP6,70000.0,700.0,0.2429615502290017
ACCESS-CM2,high-top,CMIP6,60000.0,600.0,0.244441683895493
ACCESS-CM2,high-top,CMIP6,50000.0,500.0,0.270352271945674
ACCESS-CM2,high-top,CMIP6,40000.0,400.0,0.3006656804244898
ACCESS-CM2,high-top,CMIP6,30000.0,300.0,0.30316963379549816
ACCESS-CM2,high-top,CMIP6,25000.0,250.0,0.2638630245896239
ACCESS-CM2,high-top,CMIP6,20000.0,200.0,0.15280666985879787
ACCESS-CM2,high-top,CMIP6,15000.0,150.0,0.10035891122830627
ACCESS-CM2,high-top,CMIP6,10000.0,100.0,-0.014037216010352583
ACCESS-CM2,high-top,CMIP6,7000.0,70.0,-0.25604238430034476
ACCESS-CM2,high-top,CMIP6,5000.0,50.0,-0.37070257067422385
ACCESS-CM2,high-top,CMIP6,3000.0,30.0,-0.47363242662102356
ACCESS-CM2,high-top,CMIP6,2000.0,20.0,-0.510044676430962
ACCESS-CM2,high-top,CMIP6,1000.0,10.0,-0.5634429850794686
ACCESS-CM2,high-top,CMIP6,500.0,5.0,-0.7086370883615573
ACCESS-CM2,high-top,CMIP6,100.0,1.0,-0.8660315641328474
KACE-1-0-G,high-top,CMIP6,100000.0,1000.0,0.21631784105722046
KACE-1-0-G,high-top,CMIP6,92500.0,925.0,0.24269305848368564
KACE-1-0-G,high-top,CMIP6,85000.0,850.0,0.26280536452985215
KACE-1-0-G,high-top,CMIP6,70000.0,700.0,0.27185030903889496
KACE-1-0-G,high-top,CMIP6,60000.0,600.0,0.26809444827935186
KACE-1-0-G,high-top,CMIP6,50000.0,500.0,0.28957857840456563
KACE-1-0-G,high-top,CMIP6,40000.0,400.0,0.32032198435888565
KACE-1-0-G,high-top,CMIP6,30000.0,300.0,0.3268172424767138
KACE-1-0-G,high-top,CMIP6,25000.0,250.0,0.29718106223841745
KACE-1-0-G,high-top,CMIP6,20000.0,200.0,0.206947978887897
KACE-1-0-G,high-top,CMIP6,15000.0,150.0,0.14290577790498438
KACE-1-0-G,high-top,CMIP6,10000.0,100.0,-0.0077413694669535476
KACE-1-0-G,high-top,CMIP6,7000.0,70.0,-0.2371972372487388
KACE-1-0-G,high-top,CMIP6,5000.0,50.0,-0.366904865059836
KACE-1-0-G,high-top,CMIP6,3000.0,30.0,-0.4665560030025747
KACE-1-0-G,high-top,CMIP6,2000.0,20.0,-0.5048268018413526
KACE-1-0-G,high-top,CMIP6,1000.0,10.0,-0.5459179900001785
KACE-1-0-G,high-top,CMIP6,500.0,5.0,-0.7035189595573381
KACE-1-0-G,high-top,CMIP6,100.0,1.0,-0.9081724335222299
MIROC6,high-top,CMIP6,100000.0,1000.0,0.17007911290114286
MIROC6,high-top,CMIP6,92500.0,925.0,0.18799866980238364
MIROC6,high-top,CMIP6,85000.0,850.0,0.20363732783385088
MIROC6,high-top,CMIP6,70000.0,700.0,0.2419836903986463
MIROC6,high-top,CMIP6,60000.0,600.0,0.23503783373524234
MIROC6,high-top,CMIP6,50000.0,500.0,0.2635068016305046
MIROC6,high-top,CMIP6,40000.0,400.0,0.296802611420818
MIROC6,high-top,CMIP6,30000.0,300.0,0.3083870430524197
