numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
2139.4296090578937,-3.966281688963986e-06,-3.973430379968115e-06
2145.7579271828367,-3.046581670623176e-06,-3.037607652365604e-06
2152.0862453077793,-3.3931474973157684e-06,-3.426185501008346e-06
2158.414563432722,-3.942189031089917e-06,-4.0113204637333495e-06
2164.742881557665,-4.8104607076716935e-06,-4.858101235039032e-06
2171.0711996826076,-3.4819169668035213e-06,-3.5509571036621815e-06
2177.3995178075506,-4.101934111663275e-06,-4.156252154825625e-06
2183.7278359324932,-4.29795934822077e-06,-4.365957533209048e-06
2190.056154057436,-5.978931919143108e-06,-6.036111182635858e-06
2196.384472182379,-8.36264351856009e-06,-8.424577530716673e-06
2202.7127903073215,-1.1725821359346558e-05,-1.1743027362104262e-05
2209.0411084322645,-1.8803362980621654e-05,-1.8776021808683824e-05
2215.369426557207,-4.0908128385011886e-05,-4.061165398072619e-05
2221.6977446821497,-6.542002084812231e-05,-6.622440854369763e-05
2228.0260628070923,-7.846591242927293e-05,-7.935677510887347e-05
2234.3543809320354,-7.10947047424374e-05,-7.28569684688994e-05
2240.6826990569784,-4.0912584236570354e-05,-4.247411227587669e-05
2247.011017181921,-1.8380459142154015e-05,-2.082383532757885e-05
2253.3393353068636,-2.551980703237466e-06,-6.405249503088263e-06
2259.6676534318067,2.0475755615638735e-06,-1.8498907539290567e-06
2265.9959715567493,3.1861482152709328e-06,-2.086014406491068e-06
2272.3242896816923,4.782201254086614e-06,-1.3379781306516553e-06
2278.652607806635,3.664405645786917e-06,-1.6207467545755421e-06
2284.9809259315775,4.0021226818358595e-06,-3.4767321703737818e-06
2291.3092440565206,5.641184177603553e-06,-3.7405267158558845e-06
2297.637562181463,6.312202323477025e-06,-4.243597104958612e-06
2303.9658803064062,4.932242383327092e-06,-7.058875862598928e-06
2310.294198431349,6.319201251267082e-06,-5.387020169806583e-06
2316.6225165562914,6.101190621960787e-06,-7.628784925550773e-06
2322.950834681234,7.249479245935835e-06,-9.724379685209046e-06
2329.279152806177,7.501562029755074e-06,-1.047687257918958e-05
2335.60747093112,5.983293646377209e-06,-1.1067533625572733e-05
2341.9357890560627,7.957744221531525e-06,-1.0552261312041841e-05
2348.2641071810053,5.307609157547827e-06,-9.21155521081795e-06
2354.592425305948,5.88777829463579e-06,-9.669812775907753e-06
2360.920743430891,6.4159290743713935e-06,-1.0078520736534104e-05
2367.249061555834,6.579163743425705e-06,-8.685839724481497e-06
2373.5773796807766,5.5322016734229504e-06,-5.675685906527616e-06
2379.9056978057192,4.085986689533123e-06,-1.8316031156442507e-06
2386.234015930662,-1.1850897034890714e-06,-2.7712367720397964e-06
2392.562334055605,-2.7983055220579174e-05,-2.8070869831865248e-05
2398.890652180548,-5.760111510289269e-05,-5.762185092554771e-05
2405.2189703054905,-5.3285886387917724e-05,-5.33019249554385e-05
2411.547288430433,-4.396990619698869e-05,-4.398342143961678e-05
2417.875606555376,-3.5111553087506414e-05,-3.511931263236524e-05
2424.203924680319,-2.766883130639869e-05,-2.7677864324374015e-05
2430.532242805262,-2.170878574350249e-05,-2.1712731798961088e-05
2436.8605609302044,-1.790341235934217e-05,-1.7905358068727635e-05
2443.188879055147,-1.4747418337756656e-05,-1.4741974319578102e-05
2449.51719718009,-1.1827411940499274e-05,-1.1806890154624533e-05
2455.8455153050327,-9.018225496961606e-06,-9.017436856943524e-06
2462.1738334299757,-7.2044362444689265e-06,-7.206045433768449e-06
2468.5021515549183,-5.972107223552077e-06,-5.973976181339076e-06
2474.830469679861,-5.257986198495501e-06,-5.260580926030225e-06
2481.1587878048035,-4.911398874338533e-06,-4.919013414148696e-06
2487.4871059297466,-4.683370824339903e-06,-4.69467175782847e-06
