id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,4857.0
tight weibull weighted,weibull,tight,weighted,4950.0
tight weibull weighted,weibull,tight,weighted,4845.0
tight weibull weighted,weibull,tight,weighted,5093.0
tight weibull weighted,weibull,tight,weighted,5190.0
tight weibull weighted,weibull,tight,weighted,5210.0
tight weibull weighted,weibull,tight,weighted,5378.0
tight weibull weighted,weibull,tight,weighted,5414.0
tight weibull weighted,weibull,tight,weighted,3056.0
tight weibull weighted,weibull,tight,weighted,3185.0
tight weibull weighted,weibull,tight,weighted,3264.0
tight weibull weighted,weibull,tight,weighted,3162.0
tight weibull weighted,weibull,tight,weighted,3416.0
tight weibull weighted,weibull,tight,weighted,3319.0
tight weibull weighted,weibull,tight,weighted,3603.0
tight weibull weighted,weibull,tight,weighted,3481.0
tight weibull weighted,weibull,tight,weighted,3718.0
tight weibull weighted,weibull,tight,weighted,3769.0
tight weibull weighted,weibull,tight,weighted,3783.0
tight weibull weighted,weibull,tight,weighted,3801.0
tight weibull weighted,weibull,tight,weighted,3895.0
tight weibull weighted,weibull,tight,weighted,4027.0
tight weibull weighted,weibull,tight,weighted,4173.0
tight weibull weighted,weibull,tight,weighted,4055.0
tight weibull weighted,weibull,tight,weighted,4211.0
tight weibull weighted,weibull,tight,weighted,4235.0
tight weibull weighted,weibull,tight,weighted,4229.0
tight weibull weighted,weibull,tight,weighted,4467.0
tight weibull weighted,weibull,tight,weighted,4416.0
tight weibull weighted,weibull,tight,weighted,4513.0
tight weibull weighted,weibull,tight,weighted,4652.0
tight weibull weighted,weibull,tight,weighted,4723.0
tight weibull weighted,weibull,tight,weighted,4843.0
tight weibull weighted,weibull,tight,weighted,4813.0
tight weibull weighted,weibull,tight,weighted,4968.0
tight weibull weighted,weibull,tight,weighted,2630.0
tight weibull weighted,weibull,tight,weighted,2617.0
tight weibull weighted,weibull,tight,weighted,2824.0
tight weibull weighted,weibull,tight,weighted,2729.0
tight weibull weighted,weibull,tight,weighted,2844.0
tight weibull weighted,weibull,tight,weighted,2975.0
tight weibull weighted,weibull,tight,weighted,2932.0
tight weibull weighted,weibull,tight,weighted,3093.0
tight weibull weighted,weibull,tight,weighted,3010.0
tight weibull weighted,weibull,tight,weighted,3120.0
tight weibull weighted,weibull,tight,weighted,3287.0
tight weibull weighted,weibull,tight,weighted,3261.0
tight weibull weighted,weibull,tight,weighted,3323.0
tight weibull weighted,weibull,tight,weighted,3316.0
tight weibull weighted,weibull,tight,weighted,3519.0
tight weibull weighted,weibull,tight,weighted,3527.0
tight weibull weighted,weibull,tight,weighted,3531.0
tight weibull weighted,weibull,tight,weighted,3587.0
tight weibull weighted,weibull,tight,weighted,3734.0
tight weibull weighted,weibull,tight,weighted,3762.0
tight weibull weighted,weibull,tight,weighted,3788.0
tight weibull weighted,weibull,tight,weighted,3833.0
tight weibull weighted,weibull,tight,weighted,3863.0
tight weibull weighted,weibull,tight,weighted,3953.0
tight weibull weighted,weibull,tight,weighted,4046.0
tight weibull weighted,weibull,tight,weighted,4112.0
tight weibull weighted,weibull,tight,weighted,4147.0
