condicion,ciclo,capacidad_mAhg,desviacion_std
LLO-2/2,87,236.861,3.773
LLO-2/2,88,237.159,3.607
LLO-2/2,89,237.891,3.211
LLO-2/2,90,237.63,2.94
LLO-2/2,91,237.766,3.27
LLO-2/2,92,237.355,3.639
LLO-2/2,93,237.058,3.366
LLO-2/2,94,237.541,2.745
LLO-2/2,95,237.44,3.719
LLO-2/2,96,237.173,3.226
LLO-2/2,97,237.681,2.071
LLO-2/2,98,236.553,2.045
LLO-2/2,99,236.79,3.996
LLO-2/2,100,236.512,4.387
LLO-2/2,101,237.084,3.549
LLO-2/2,102,237.187,3.343
LLO-2/2,103,237.408,3.499
LLO-2/2,104,237.136,4.123
LLO-2/2,105,236.77,3.43
LLO-2/2,106,237.085,3.541
LLO-2/2,107,237.058,3.209
LLO-2/2,108,237.294,3.337
LLO-2/2,109,236.687,2.92
LLO-2/2,110,236.287,2.618
LLO-2/2,111,236.641,3.884
LLO-2/2,112,236.303,3.895
LLO-2/2,113,236.917,3.274
LLO-2/2,114,236.61,2.673
LLO-2/2,115,236.347,3.242
LLO-2/2,116,236.426,4.296
LLO-2/2,117,236.451,4.174
LLO-2/2,118,236.324,3.739
LLO-2/2,119,236.299,3.518
LLO-2/2,120,236.538,3.572
LLO-2/2,121,236.535,3.754
LLO-2/2,122,236.733,3.759
LLO-2/2,123,236.792,3.774
LLO-2/2,124,236.35,3.59
LLO-2/2,125,236.279,3.793
LLO-2/2,126,236.455,3.395
LLO-2/2,127,236.473,3.735
LLO-2/2,128,236.333,3.742
LLO-2/2,129,236.487,3.627
LLO-2/2,130,236.245,3.648
LLO-2/2,131,235.924,3.154
LLO-2/2,132,236.356,3.726
LLO-2/2,133,236.21,3.882
LLO-2/2,134,236.291,3.752
LLO-2/2,135,236.089,3.407
LLO-2/2,136,235.972,3.879
LLO-2/2,137,236.29,3.221
LLO-2/2,138,235.959,3.439
LLO-2/2,139,235.636,3.57
LLO-2/2,140,235.837,3.816
LLO-2/2,141,235.738,3.284
LLO-2/2,142,235.813,4.017
LLO-2/2,143,235.588,3.737
LLO-2/2,144,235.693,3.572
LLO-2/2,145,235.884,4.019
LLO-2/2,146,235.758,4.193
LLO-2/2,147,235.895,3.721
LLO-2/2,148,235.683,3.735
LLO-2/2,149,235.514,4.073
LLO-2/2,150,235.288,3.431
LLO-2/2,151,235.553,3.669
LLO-2/2,152,235.236,3.642
LLO-2/2,153,234.975,3.772
LLO-2/2,154,234.963,3.628
LLO-2/2,155,234.819,3.669
LLO-2/2,156,234.973,3.7
LLO-2/2,157,234.756,3.728
LLO-2/2,158,234.881,3.424
LLO-2/2,159,234.547,3.422
LLO-2/2,160,234.534,3.678
LLO-2/2,161,234.273,3.525
LLO-2/2,162,234.481,4.181
LLO-2/2,163,234.503,4.065
LLO-2/2,164,234.136,3.88
LLO-2/2,165,234.108,3.35
LLO-2/2,166,234.382,3.757
LLO-2/2,167,234.257,4.071
LLO-2/2,168,233.899,3.859
LLO-2/2,169,234.031,3.897
LLO-2/2,170,234.007,3.991
LLO-2/2,171,234.132,3.717
LLO-2/2,172,233.874,3.667
LLO-2/2,173,233.491,4.036
LLO-2/2,174,233.547,3.596
LLO-2/2,175,233.635,3.377
LLO-2/2,176,233.753,3.437
LLO-2/2,177,233.582,3.479
LLO-2/2,178,233.319,4.038
LLO-2/2,179,233.461,3.807
LLO-2/2,180,233.241,4.075
LLO-2/2,181,233.197,3.689
LLO-2/2,182,233.298,3.93
LLO-2/2,183,233.399,3.838
LLO-2/2,184,233.193,3.919
LLO-2/2,185,232.911,3.549
LLO-2/2,186,232.945,3.303
LLO-2/2,187,232.498,3.69
LLO-2/2,188,232.805,3.379
LLO-2/2,189,232.41,3.497
LLO-2/2,190,232.44,3.421
LLO-2/2,191,232.043,3.753
LLO-2/2,192,231.894,3.64
LLO-2/2,193,232.001,3.841
LLO-2/2,194,232.385,3.952
LLO-2/2,195,231.848,4.074
LLO-2/2,196,231.945,3.653
LLO-2/2,197,231.946,3.987
LLO-2/2,198,231.829,4.274
LLO-2/2,199,231.564,3.683
LLO-2/2,200,231.56,3.579
