tipo_medida,unidad,poblacion,indicador,media,ic95_inf,ic95_sup
transactional,binary,clientes_banco,Benefits/Employment and Support Allowance/Other,0.0307466288892387,0.0283881324096901,0.0332943556580892
transactional,binary,clientas_banco,Benefits/Employment and Support Allowance/Other,0.0327409288056702,0.0302970271231541,0.0353747756227822
transactional,binary,clientes_banco,Benefits/Housing Benefit/Other,0.0176819350438113,0.0159049154601658,0.0196535318115138
transactional,binary,clientas_banco,Benefits/Housing Benefit/Other,0.0172432032159103,0.0154824565290867,0.0192002861570575
transactional,binary,clientes_banco,Benefits/Income Support/Other,0.0003672805498714,0.0001751049297307,0.000770204201372
transactional,binary,clientas_banco,Benefits/Income Support/Other,0.0009520787051729,0.0005999294794505,0.0015106215791114
transactional,binary,clientes_banco,Benefits/Industrial Injurys Benefit/Other,0.0184164961435542,0.0166016486963566,0.0204256170820336
transactional,binary,clientas_banco,Benefits/Industrial Injurys Benefit/Other,0.0211044112980006,0.0191500173663274,0.0232535361766808
transactional,binary,clientes_banco,Benefits/Job Seekers Allowance/Other,0.0052468649981636,0.0043148159387999,0.0063789573382489
transactional,binary,clientas_banco,Benefits/Job Seekers Allowance/Other,0.0048661800486618,0.0039684341762761,0.0059657990874651
transactional,binary,clientes_banco,Benefits/Other/Other,0.16002938244399,0.154892538339996,0.165303262392698
transactional,binary,clientas_banco,Benefits/Other/Other,0.191156246694171,0.185613915398926,0.196824072480584
transactional,binary,clientes_banco,Benefits/Social Fund/Other,0.0071357363975024,0.0060348754973871,0.0084357081925197
transactional,binary,clientas_banco,Benefits/Social Fund/Other,0.0096265735745266,0.0083298814461637,0.0111228545334925
transactional,binary,clientes_banco,Benefits/State Pension/Other,0.19980061913007,0.194184376873567,0.205537863776843
transactional,binary,clientas_banco,Benefits/State Pension/Other,0.215434253676082,0.209631778226134,0.22135235749762
transactional,binary,clientes_banco,Benefits/Universal Credit/Other,0.0981688441156409,0.0940248540234209,0.102474815375442
transactional,binary,clientas_banco,Benefits/Universal Credit/Other,0.119644557283402,0.11509509694338,0.124348577842575
transactional,binary,clientes_banco,Benefits/Winter Fuel Payment/Other,0.177553911537856,0.172193528386766,0.183044265430563
transactional,binary,clientas_banco,Benefits/Winter Fuel Payment/Other,0.189410769068021,0.183888416009344,0.195059325966449
transactional,binary,clientes_banco,Benefits/Working Families Tax Credit/Other,0.0287003515399549,0.0264226224868014,0.0311681434539093
transactional,binary,clientas_banco,Benefits/Working Families Tax Credit/Other,0.0423146091187983,0.0395363190809933,0.0452789307723151
transactional,binary,clientes_banco,Communication/Audiovisual/Repair,0.0167374993441419,0.015010346294927,0.0186596210252101
