mjd,year,mag,magerr,filter
59308.51047449978,2021.2567,19.914185255182474,0.3288583912519507,ZTF_r
59308.51245369995,2021.2567,19.740637127945565,0.24665209597804197,ZTF_r
59309.50469909981,2021.2594,20.182318943948378,0.40475446938481957,ZTF_r
59309.5066550998,2021.2594,19.781697526958595,0.2913701550706484,ZTF_r
59309.50862269988,2021.2594,19.849686077403796,0.23123642613270212,ZTF_r
59309.510590299964,2021.2594,19.95114552907702,0.4119486156093992,ZTF_r
59309.51254629996,2021.2594,19.963888130659214,0.3756631542255505,ZTF_r
59310.50491899997,2021.2622,19.99490355772904,0.29145079220381653,ZTF_r
59310.5069213002,2021.2622,20.11678081010803,0.32379203832260106,ZTF_r
59310.50893520005,2021.2622,19.92072604930252,0.27239884163568484,ZTF_r
59310.5109490999,2021.2622,20.002991621800682,0.26716894025817123,ZTF_r
59310.51296300022,2021.2622,19.934423020310298,0.3051068847222649,ZTF_r
59311.5035184999,2021.2649,19.9564982033963,0.26199044327136406,ZTF_r
59311.50553240022,2021.2649,19.87975250658739,0.249702138480178,ZTF_r
59311.50754630007,2021.2649,19.97572406364972,0.2438554298239361,ZTF_r
59311.50956019992,2021.2649,20.0182898470294,0.30244734060947376,ZTF_r
59311.51157409977,2021.2649,20.17453577674911,0.3257349041650363,ZTF_r
59312.502071800176,2021.2676,19.99936852425624,0.31104933672734014,ZTF_r
59312.50408559991,2021.2676,19.810057798766763,0.21037251271438512,ZTF_r
59312.50609950023,2021.2676,19.894000609328085,0.30054675808310344,ZTF_r
59312.50811340008,2021.2676,19.937899682447245,0.26553263322926823,ZTF_r
59312.51012729993,2021.2677,20.025837637585077,0.248932116198667,ZTF_r
59313.50165509991,2021.2704,20.104298349069477,0.42617606319953416,ZTF_r
59313.503622699995,2021.2704,20.14258779799274,0.31771779983201254,ZTF_r
59313.505590300076,2021.2704,20.02471639155555,0.2858807537814239,ZTF_r
59313.50754630007,2021.2704,20.061699849549758,0.3299065826180791,ZTF_r
59313.50951390015,2021.2704,19.810318773251588,0.22989690322187542,ZTF_r
59314.50060189981,2021.2731,19.858742011744745,0.2247723041400321,ZTF_r
