gen,cluster,unstim_media,suero_2h_media,suero_5h_media,tif_2h_media,tif_5h_media,log2fc_tif_vs_suero_2h,log2fc_tif_vs_suero_5h
Gart,4,6.0351,5.9816,5.9473,5.6693,5.3405,-0.3123,-0.6068
Tmem50b,3,3.7708,3.657,3.2503,4.2609,3.783,0.604,0.5326
Ifngr2,2,2.0754,1.8314,0.9619,3.4102,3.0517,1.5788,2.0898
Ifnar1,3,6.1316,5.2691,5.1723,6.518,6.0321,1.2489,0.8597
Il10rb,3,5.8878,4.6823,4.2264,5.4001,5.0782,0.7178,0.8518
Ifnar2,3,6.5726,5.6141,5.1502,6.3016,6.3307,0.6875,1.1805
1110004E09Rik,4,5.6448,5.5365,5.6234,5.3432,5.1073,-0.1933,-0.5161
Sod1,4,9.5421,9.3029,9.4874,9.4465,9.1315,0.1436,-0.3559
Srsf15,1,4.941,5.7402,6.2427,5.1917,5.7215,-0.5485,-0.5212
Wnt10b,1,2.6326,4.973,4.7786,3.5915,4.4009,-1.3815,-0.3777
Wnt1,1,0.0227,1.1585,1.769,0.119,1.2124,-1.0395,-0.5566
Fmnl3,2,3.1314,3.7301,3.1914,3.2807,3.5784,-0.4494,0.387
Racgap1,3,7.5207,6.8984,6.4882,7.2112,7.1002,0.3127,0.6121
Larp4,1,4.3582,5.4559,6.0347,4.7759,5.1071,-0.6799,-0.9275
Slc4a8,3,2.4317,2.0633,1.0594,1.866,1.6804,-0.1973,0.621
Pcdhga11,3,3.0116,2.7226,2.5023,3.072,2.8846,0.3494,0.3824
Calcoco1,3,4.6216,4.2521,4.0144,4.6145,4.8859,0.3625,0.8716
Cdkn1a,1,5.125,7.7705,7.8107,6.3689,7.0818,-1.4016,-0.7288
Nus1,1,5.2177,5.677,6.256,5.1976,5.2651,-0.4794,-0.9909
Ccdc123,3,4.5055,3.7869,3.4459,4.2438,4.094,0.4569,0.6481
Gtf2ird1,3,2.0786,1.7919,1.3388,1.9639,2.0112,0.172,0.6724
Ndufa5,4,7.4053,6.8147,6.8961,6.8267,6.3775,0.0119,-0.5186
Msrb2,3,3.3157,2.0281,1.5497,3.0891,2.8503,1.061,1.3006
Rfc2,3,6.542,5.9295,5.2729,6.2395,5.9488,0.3101,0.6758
Denr,4,7.2107,6.8499,7.2186,6.86,6.7702,0.0101,-0.4484
Ivns1abp,1,5.6362,6.0201,6.494,5.3482,5.4699,-0.6719,-1.0241
Rpp14,1,3.507,3.8339,4.35,3.4193,3.402,-0.4147,-0.9479
Gps2,2,6.5386,6.602,6.5958,6.7115,7.1384,0.1095,0.5426
Il15ra,1,3.5681,4.6785,4.6215,3.891,3.7952,-0.7875,-0.8262
Creld2,1,4.9516,5.3059,6.7217,5.2059,5.8135,-0.1,-0.9082
Twf2,3,5.9084,5.1147,4.4233,5.1189,4.7974,0.0042,0.3741
2005-03-01 00:00:00,1,5.4577,5.6809,6.053,5.554,5.6675,-0.1269,-0.3854
Poc1a,3,4.7617,4.2321,3.9618,4.5993,4.4466,0.3672,0.4848
Agap3,2,4.7452,4.833,4.4596,5.0147,5.1229,0.1817,0.6633
Pisd,1,3.9742,4.7111,5.0052,4.2574,4.4027,-0.4537,-0.6025
Pcbp4,3,3.0505,2.3197,1.4294,2.516,2.1569,0.1963,0.7275
Cdca3,3,8.6648,7.7257,6.9408,7.9748,7.6912,0.2492,0.7504
Ogfod2,2,2.8686,3.0833,3.072,3.3472,3.6682,0.2639,0.5961
Pigx,3,5.8781,5.2056,4.9339,5.6742,5.5709,0.4687,0.637
Synj2,1,2.4541,3.9701,4.8522,3.3273,4.0503,-0.6428,-0.8019
Agpat4,1,3.5697,5.4049,5.6003,4.4189,4.6965,-0.986,-0.9038
Acat2,3,4.2064,2.634,2.214,3.3559,2.8424,0.7219,0.6284
Chd1,1,4.7337,6.1003,6.2492,5.4346,5.7359,-0.6656,-0.5133
1700010I14Rik,3,2.2096,1.9849,1.6765,2.1703,2.2324,0.1854,0.5559
Phf10,1,5.7322,6.1914,7.5724,5.9992,7.0365,-0.1921,-0.5359
Hcfc1r1,3,4.9751,4.5426,3.8959,4.6822,4.496,0.1396,0.6
Tnfrsf21,1,1.7797,2.747,2.5959,1.6121,1.6214,-1.1349,-0.9744
Satb1,3,7.5794,6.9609,6.2975,7.7829,6.9364,0.822,0.6389
Slc29a1,1,6.5764,8.3439,8.9667,6.9462,7.2173,-1.3977,-1.7494
Nfkbie,1,3.1799,4.5239,3.985,3.8086,3.5886,-0.7153,-0.3965
Vegfa,1,2.3453,5.9615,6.6736,4.2405,5.613,-1.721,-1.0606
Enpp4,3,1.8868,1.6127,1.3019,1.9076,1.7258,0.2949,0.4239
Cyp39a1,3,1.1077,0.7362,0.5305,1.035,1.2159,0.2989,0.6854
Bysl,1,3.9127,4.5842,4.7745,3.8748,4.0429,-0.7095,-0.7316
Foxp4,1,4.566,6.203,6.4205,4.8644,5.5813,-1.3386,-0.8392
Nfya,1,5.6826,5.7822,5.9049,5.5074,5.2805,-0.2748,-0.6245
Stk38,3,6.7523,6.1335,5.705,6.4153,6.3365,0.2818,0.6315
Pim1,1,6.0949,7.784,8.2494,6.5749,7.4756,-1.2092,-0.7738
Abcg1,3,3.6967,4.3411,2.8586,4.3552,3.8152,0.014,0.9566
Wdr4,1,3.8988,4.4626,4.5899,3.9916,3.8584,-0.471,-0.7315
Sik1,2,3.5179,3.7563,3.4098,4.4655,4.5961,0.7092,1.1864
2900073G15Rik,4,9.3889,8.864,8.976,8.8283,8.2158,-0.0357,-0.7602
Ndc80,3,6.0926,5.5989,5.6815,6.2501,6.6204,0.6512,0.9389
Ehd3,3,5.2655,4.236,3.5544,4.7179,4.2807,0.4819,0.7262
Xdh,3,4.4711,3.8927,2.6128,4.321,3.8182,0.4283,1.2054
Prkd3,1,3.9907,4.0878,4.2991,3.6739,3.7218,-0.4139,-0.5773
Crim1,1,2.9791,3.5392,4.0577,3.1876,3.2283,-0.3516,-0.8294
Ttc27,1,3.2328,3.619,4.6108,3.4472,3.6849,-0.1718,-0.9259
Cebpz,1,4.9656,5.7601,6.2865,5.3241,5.7946,-0.436,-0.4919
Vapa,1,5.3896,5.9725,6.547,5.5023,5.7909,-0.4702,-0.7561
Hnrpll,1,4.2534,5.1418,5.6468,4.1529,4.5694,-0.9888,-1.0774
Srsf7,1,6.1274,6.6996,7.3434,6.2551,6.4558,-0.4445,-0.8876
Twsg1,1,3.1364,4.0327,4.0844,3.6274,3.5964,-0.4053,-0.488
ORF19,2,4.2228,4.3493,3.7636,4.5731,4.5016,0.2238,0.738
D6Wsu116e,3,4.5228,4.2381,4.0915,4.2863,4.5709,0.0482,0.4794
Lrpprc,1,5.0116,5.1424,5.5687,5.0618,5.0834,-0.0806,-0.4854
Atp6v0c,1,6.4791,6.7668,6.8692,6.5413,6.4506,-0.2255,-0.4186
Prss30,2,1.8396,1.7131,0.9174,2.1546,1.7555,0.4415,0.838
Dnase1l2,3,1.6224,1.5489,1.0689,1.8552,1.824,0.3063,0.755
E4f1,2,3.2063,3.1796,3.1359,3.6142,3.85,0.4346,0.7142
Mcfd2,1,3.6741,4.0761,5.0116,4.144,4.4464,0.068,-0.5652
Msh2,3,5.4943,4.9665,4.4304,5.255,5.1359,0.2885,0.7055
Pot1b,3,2.2497,2.0235,2.0902,2.1232,2.4542,0.0997,0.3639
Tmem8,3,2.4621,2.0201,1.2585,2.1065,1.9777,0.0863,0.7192
Itfg3,3,2.6943,2.1625,1.3361,2.6074,2.3611,0.4449,1.0251
Luc7l,1,4.8563,5.3981,6.023,4.9827,5.2495,-0.4154,-0.7735
Phf1,3,2.2406,2.0447,1.5367,1.9213,2.1346,-0.1233,0.5979
Cuta,3,5.6189,5.6227,4.8145,5.7278,5.7048,0.1051,0.8902
Plin3,3,4.4834,3.9557,3.0533,4.2265,4.2159,0.2708,1.1626
Rfx2,3,2.2572,1.6614,0.9791,1.7691,1.5726,0.1077,0.5935
2900010M23Rik,4,5.7868,5.4984,5.7209,5.402,5.1641,-0.0964,-0.5568
Anks1,2,2.2365,2.622,2.1932,2.4665,2.6219,-0.1555,0.4287
Map3k8,1,3.1777,5.8215,4.7293,4.1336,3.7428,-1.6879,-0.9865
Zeb1,2,3.8612,4.4985,4.8164,5.7523,5.3966,1.2538,0.5802
Thumpd2,3,2.2907,2.1601,2.0558,2.307,2.4652,0.1469,0.4095
Cox7a2l,4,7.9739,7.5853,7.829,7.8237,7.4241,0.2384,-0.4049
Slc25a46,1,4.5974,4.837,5.2071,4.9375,4.8857,0.1005,-0.3214
5730494M16Rik,3,3.4374,2.5076,2.052,2.8613,2.5341,0.3537,0.4821
Zfp397,1,2.6871,3.4283,4.0124,2.8285,3.0525,-0.5999,-0.9599
Mapre2,4,5.1131,5.7217,5.2163,4.9711,4.731,-0.7507,-0.4853
Thoc1,1,4.654,4.9169,5.6025,4.5411,4.8776,-0.3758,-0.7248
Mib1,1,3.0692,3.3799,3.8358,3.217,3.3044,-0.1629,-0.5314
Adamts10,3,2.9018,2.5445,2.009,2.4804,2.5257,-0.064,0.5167
Myo1f,3,6.1272,5.0576,3.3227,5.2692,4.7,0.2116,1.3773
Tapbp,3,6.7225,6.5944,5.5781,6.6507,6.171,0.0562,0.5929
Wdr46,1,4.919,5.2525,5.2622,4.7896,4.8223,-0.463,-0.4398
Rnf138,1,4.3717,4.6903,5.1774,4.8247,4.7963,0.1344,-0.3811
Psmb8,3,8.3123,7.6559,6.5729,7.7926,7.1015,0.1366,0.5286
Pfdn1,4,6.2979,5.7124,5.7861,5.849,5.4354,0.1366,-0.3507
Tmem173,3,6.2992,5.8102,4.8958,5.8194,5.7265,0.0092,0.8307
Hspa9,1,7.2953,8.0694,9.1769,7.5267,8.2033,-0.5427,-0.9736
Etf1,1,6.2507,7.1728,7.7187,6.5988,6.742,-0.5741,-0.9767
Bin1,3,5.1857,4.844,4.6134,5.0261,5.0599,0.1822,0.4465
Iws1,1,3.5896,4.0903,4.5268,3.7955,4.006,-0.2948,-0.5208
Bat3,2,5.7949,6.0979,5.6902,6.0169,6.076,-0.081,0.3857
Tnf,1,4.1342,10.3268,9.2578,8.3829,7.8491,-1.9439,-1.4087
Lta,1,5.6938,7.9158,7.6082,4.9593,5.84,-2.9566,-1.7682
Npc1,3,4.5796,4.6941,4.1249,4.9209,4.6812,0.2268,0.5562
Ttc39c,2,4.2836,4.5761,4.8211,5.7651,5.7276,1.1889,0.9066
Ndfip1,1,7.3849,8.0485,8.5051,7.6882,7.8666,-0.3603,-0.6385
Spry4,1,0.0537,1.4904,1.9374,0.5923,1.1599,-0.8981,-0.7775
Gnl1,1,4.4685,4.9346,5.21,4.4521,4.6472,-0.4825,-0.5628
Mrps18b,1,5.5872,6.3188,6.7108,5.938,6.1918,-0.3809,-0.519
Rpp21,3,6.1361,5.9217,5.4719,5.9217,5.9519,0.0,0.48
Diap1,3,6.2033,6.006,5.5483,6.0591,5.9326,0.0532,0.3843
Gabbr1,3,2.4251,1.8248,1.1988,1.7377,1.8787,-0.0871,0.6799
Hbegf,1,0.8157,4.4645,4.0598,1.4303,2.2079,-3.0342,-1.8519
Yipf5,1,4.2865,4.722,5.5217,4.7159,5.0678,-0.006,-0.454
Rbm27,1,4.658,5.2212,5.3831,4.9655,4.9655,-0.2557,-0.4176
Lars,1,4.6215,5.6277,6.4867,5.3595,5.9052,-0.2682,-0.5815
Tcerg1,1,5.6283,5.958,6.2237,5.5612,5.6536,-0.3968,-0.5701
Dtwd2,1,1.5973,2.0182,2.817,1.9741,1.8763,-0.044,-0.9407
Gnal,3,2.0969,1.6659,1.2272,2.1633,1.9114,0.4973,0.6842
Impa2,3,5.6561,4.7472,3.3786,5.1778,4.7791,0.4306,1.4005
Srfbp1,1,4.6261,5.5894,5.9464,5.1804,5.4591,-0.4091,-0.4873
Spire1,1,1.8745,1.9129,2.4356,1.6124,1.7647,-0.3006,-0.6709
Ptpn2,1,6.4074,6.6267,7.156,6.6461,6.8586,0.0194,-0.2974
D18Ertd653e,2,2.173,4.1767,2.9256,3.9044,3.8814,-0.2723,0.9558
Gm16286,1,5.9839,6.3422,6.3721,6.1729,5.9731,-0.1693,-0.399
Txnl1,1,5.498,5.5593,5.9924,5.6736,5.514,0.1143,-0.4784
Nars,1,6.1966,7.7134,8.6803,7.2569,7.8742,-0.4565,-0.8061
Fech,3,4.1968,4.0901,3.4684,4.2545,4.0276,0.1644,0.5592
Prrc1,1,2.8362,3.5228,4.4093,3.339,3.8798,-0.1838,-0.5295
Slc12a2,1,2.2284,2.6155,2.7083,2.2878,2.3402,-0.3277,-0.3681
Isoc1,3,3.9359,3.5844,2.6822,3.8794,3.203,0.295,0.5208
Cd74,1,3.1546,3.7379,4.2493,3.4137,3.3872,-0.3241,-0.862
Hmgxb3,1,2.937,4.1752,4.2942,3.412,3.7151,-0.7632,-0.5792
Psat1,1,7.1117,7.5548,8.0258,7.4499,7.5445,-0.1049,-0.4813
Cyb5,3,8.2896,7.0326,6.4498,7.4413,7.1373,0.4087,0.6875
Incenp,3,7.1258,6.3522,6.4561,6.9034,7.0048,0.5512,0.5487
Fth1,2,9.272,9.1203,8.8414,9.7405,9.6934,0.6202,0.852
Fads2,3,4.5333,3.8582,2.0966,3.6569,2.5135,-0.2013,0.4169
Cd5,1,6.7008,6.815,6.8802,6.3596,6.2568,-0.4554,-0.6234
Cd6,1,6.9076,6.624,7.3687,6.5615,6.7753,-0.0626,-0.5934
Ms4a6b,3,9.1371,8.1272,7.7385,8.5648,8.2332,0.4376,0.4948
Mrpl16,4,4.8245,4.6354,4.9016,4.5164,4.3075,-0.119,-0.5941
Fam111a,3,6.678,5.2317,5.0774,5.9953,5.7091,0.7636,0.6318
Zfp91,1,4.884,5.2482,5.7318,5.0135,5.3186,-0.2347,-0.4132
Lpxn,2,6.2582,6.369,5.9559,6.6096,6.6586,0.2407,0.7028
Rfk,1,4.2023,4.4936,4.9,4.5864,4.3516,0.0928,-0.5483
Ostf1,3,7.2684,6.7906,5.9785,7.4227,7.1158,0.6321,1.1372
2410127L17Rik,1,4.842,4.8847,5.3197,4.9016,4.9834,0.0169,-0.3363
Ccdc86,1,3.6567,5.0303,5.0693,3.7616,4.3733,-1.2688,-0.696
Prpf19,1,6.3461,6.4416,6.6025,6.2868,6.2274,-0.1548,-0.3751
Atg2a,2,3.5313,3.2697,3.0706,3.6938,3.6312,0.4241,0.5605
Ppp2r5b,3,2.2099,1.7158,1.4712,2.0339,2.1254,0.3181,0.6542
Fas,1,4.1331,4.283,5.2886,3.6811,4.1792,-0.6019,-1.1094
Cdc37l1,1,4.0805,4.2641,4.7145,3.9159,4.1766,-0.3482,-0.538
Rcl1,1,4.4403,5.6238,5.9944,4.7314,4.9369,-0.8924,-1.0574
Jak2,1,5.2349,6.5771,8.0485,5.3403,6.4477,-1.2368,-1.6009
Cdca5,2,4.9365,4.7322,4.7642,5.2006,5.1135,0.4684,0.3493
Syvn1,1,3.9673,4.9298,5.7822,4.4803,4.7465,-0.4495,-1.0357
Tjp2,1,3.0919,3.6354,3.9291,2.7167,3.1947,-0.9186,-0.7343
Frmd8,3,4.9824,4.3084,3.351,4.7989,4.9492,0.4905,1.5982
Slc25a45,3,4.0829,3.7193,2.44,3.897,4.2843,0.1777,1.8444
Pola2,3,6.1082,5.5724,5.1084,5.8368,5.9175,0.2644,0.8091
Eif1ad,1,4.738,5.2765,5.449,4.9724,5.0321,-0.3041,-0.4169
Banf1,4,7.9308,7.777,7.682,7.6975,7.3709,-0.0796,-0.3111
Pacs1,3,4.5715,4.2605,3.3969,4.3065,4.0524,0.046,0.6555
Cdk2ap2,3,6.6139,6.1803,6.1983,6.5249,6.6981,0.3446,0.4998
Adrbk1,3,8.1557,7.8512,6.9471,7.7913,7.7075,-0.0599,0.7603
Cnih2,1,0.8023,1.9148,2.9735,1.1915,2.0581,-0.7233,-0.9154
Yif1a,1,3.9211,4.0197,4.5395,3.6785,3.4216,-0.3412,-1.1179
Cbwd1,1,3.5693,4.4497,4.9443,3.8705,4.2475,-0.5792,-0.6968
Rce1,1,3.9263,4.4108,4.8298,4.1234,4.1309,-0.2874,-0.6989
Slc29a2,1,0.9531,2.1411,1.632,0.9103,1.1373,-1.2308,-0.4947
Pcx,3,2.0585,1.9558,1.2293,1.893,1.7664,-0.0628,0.5371
Cpt1a,3,5.038,4.7988,4.641,5.0002,5.1511,0.2014,0.5101
Mrpl11,4,5.6263,5.1409,5.2485,5.1934,4.8398,0.0525,-0.4087
Ctsw,4,6.7153,6.7972,6.5504,6.211,5.9993,-0.5862,-0.5511
Fosl1,1,0.0,3.5159,3.8278,1.6921,2.4184,-1.8238,-1.4093
Smarca2,3,4.2513,3.6687,3.43,3.9624,4.3481,0.2937,0.9181
Rela,1,5.2367,7.009,7.4031,6.1008,6.6179,-0.9082,-0.7852
Ehbp1l1,3,3.8687,3.5227,3.1398,3.6081,3.7525,0.0854,0.6127
Mtvr2,3,5.1193,4.5143,3.6896,4.801,4.8013,0.2867,1.1117
Capn1,3,5.9446,5.4085,4.5275,5.5557,5.2186,0.1472,0.691
Arl2,3,3.7287,2.7401,2.1857,2.7498,2.7519,0.0097,0.5662
Bad,3,4.4209,3.9982,3.0398,4.0441,4.0898,0.0459,1.0501
Vegfb,3,3.9392,3.4201,2.492,3.315,3.0672,-0.1051,0.5752
Dnajc4,2,3.1628,2.8988,3.1351,3.2437,3.6535,0.345,0.5184
Fermt3,3,6.8125,6.4037,5.8212,6.4527,6.4743,0.049,0.6531
Stip1,4,7.7748,7.5541,7.6541,7.3269,7.2865,-0.2272,-0.3676
Pdcd4,3,7.1562,6.0883,5.4772,6.8263,6.673,0.738,1.1959
Gpam,1,1.9372,2.3804,2.5858,2.3335,2.1433,-0.0468,-0.4425
Acsl5,4,6.9112,6.6607,6.6569,6.4315,6.186,-0.2292,-0.4709
Vti1a,3,3.6062,3.4397,3.5554,3.5364,3.9019,0.0967,0.3465
Eif3a,1,7.6199,8.1093,8.5552,7.8168,8.1151,-0.2925,-0.44
Prdx3,1,5.3368,5.5708,5.8727,5.3285,5.2324,-0.2424,-0.6402
Noc3l,1,3.6996,4.8295,5.565,3.9801,4.5025,-0.8495,-1.0625
Ccnj,1,1.5107,1.8012,1.9649,1.3573,1.3341,-0.4439,-0.6309
Tm9sf3,1,6.2841,6.5702,6.999,6.2323,6.3107,-0.3379,-0.6884
Pik3ap1,1,2.8312,3.6256,3.9905,2.91,3.1909,-0.7157,-0.7996
Mxi1,2,3.1386,3.0415,2.6335,4.0851,3.9642,1.0436,1.3307
Add3,3,6.2947,5.69,5.4413,5.7878,5.8503,0.0978,0.409
Trim8,1,4.7434,6.4706,6.0476,5.0424,5.6539,-1.4282,-0.3937
Nt5c2,3,3.9792,4.0131,3.6911,4.2635,4.1885,0.2505,0.4974
Pdcd11,1,3.9854,4.9268,5.1853,4.1366,4.4165,-0.7901,-0.7688
Pcgf6,1,2.817,3.2675,3.9037,3.1199,3.4357,-0.1476,-0.468
5430427O19Rik,3,2.6152,1.7458,1.3395,2.1442,2.1435,0.3984,0.804
Nhlrc2,1,3.0353,3.4174,3.7131,3.3213,3.3805,-0.0961,-0.3326
Ablim1,3,7.7614,7.3853,6.236,7.7463,7.4909,0.361,1.2548
Trub1,1,2.0245,2.2239,2.7753,2.1158,2.2791,-0.1081,-0.4961
Hdgfrp3,1,4.0081,4.1871,4.232,3.9548,3.8836,-0.2323,-0.3485
P4hb,1,7.9142,7.8964,8.4037,7.8363,7.8383,-0.0601,-0.5654
Ints4,1,4.448,4.6263,5.2245,4.5423,4.7742,-0.0839,-0.4502
Anapc11,3,6.8507,6.3355,5.4271,6.4099,5.9286,0.0744,0.5015
Pcyt2,3,5.0729,4.1742,3.6855,4.2341,4.3076,0.0599,0.622
Pycr1,1,1.0886,2.2475,3.2473,1.5005,2.3443,-0.747,-0.9029
Lrrc45,3,3.3606,2.9055,2.3483,2.7377,3.067,-0.1678,0.7187
2700078K21Rik,2,4.408,4.3731,4.1996,4.956,4.7001,0.5829,0.5004
Arhgap19,3,4.6099,3.775,2.0931,4.0069,3.4948,0.2319,1.4017
Cd7,3,6.1078,5.4265,4.2485,6.0024,5.6539,0.5759,1.4054
Pi4k2a,2,2.902,3.1607,3.1492,3.4532,3.5726,0.2925,0.4234
Got1,1,5.0878,6.0217,6.6833,5.7139,5.9369,-0.3078,-0.7465
Chuk,1,4.3971,5.074,5.3402,4.6815,4.8315,-0.3926,-0.5087
Scd2,3,6.4426,5.9329,4.8571,6.2442,5.8539,0.3113,0.9968
Sfxn3,3,3.9131,3.4325,2.5014,3.7347,3.0082,0.3023,0.5068
Btrc,3,1.7823,1.5312,1.6802,1.8173,2.0749,0.286,0.3946
Poll,3,3.4497,3.1079,2.6117,3.2787,3.2894,0.1708,0.6777
Kcnip2,2,1.0374,1.7642,1.0323,1.6735,2.3061,-0.0906,1.2738
Nfkb2,1,4.5263,6.6325,7.094,6.0233,6.3135,-0.6093,-0.7804
Actr1a,3,5.6904,5.4579,5.1334,5.7596,5.6147,0.3018,0.4812
Hexa,3,4.2564,4.0293,3.5433,4.1099,3.9659,0.0806,0.4225
Adpgk,1,3.458,4.3559,4.8703,3.5637,3.856,-0.7922,-1.0143
Parp6,2,3.216,3.4376,3.6946,3.6154,4.2048,0.1777,0.5102
Ribc1,2,1.5242,1.6578,1.3327,1.7215,1.9176,0.0637,0.5849
Tsr2,1,4.0742,4.756,5.5123,4.4831,4.6936,-0.2729,-0.8187
Abhd6,3,3.1418,2.6872,2.5525,3.0543,3.0643,0.3671,0.5118
Sat1,1,6.0118,6.4921,7.475,5.8668,6.4679,-0.6253,-1.0071
Ptprj,1,3.5322,3.9896,4.0926,3.7807,3.538,-0.2089,-0.5546
Banp,2,3.7451,3.5578,3.4264,3.5502,4.1608,-0.0076,0.7344
Atp10a,1,4.9764,5.7334,6.2182,5.5536,5.689,-0.1798,-0.5292
Ube3a,1,3.9745,4.8614,5.3311,4.4662,4.7773,-0.3952,-0.5538
Rdh5,2,0.9162,0.4126,0.5113,1.5781,1.5978,1.1655,1.0864
Cd63,1,0.421,2.266,4.1783,1.3311,2.8516,-0.9349,-1.3267
Dgka,3,7.7063,7.131,6.0883,7.1364,7.0637,0.0054,0.9754
Cdk2,3,5.0299,4.4972,4.1473,4.7872,4.6359,0.29,0.4886
Pa2g4,4,8.9992,8.795,9.1006,8.5978,8.3223,-0.1971,-0.7782
Chmp6,4,5.4407,5.0116,5.3528,5.0128,4.5975,0.0012,-0.7553
Cnpy2,1,5.5892,5.1,6.0106,5.4369,5.5055,0.3368,-0.5051
Il23a,1,0.0917,3.6135,7.1132,2.0218,4.4821,-1.5917,-2.6311
Prim1,3,6.2395,5.7204,5.4546,5.9165,5.9513,0.1961,0.4967
Shmt2,1,6.4993,7.7332,8.6228,7.3518,8.1577,-0.3815,-0.4651
Ddit3,1,4.3406,7.6558,8.6856,7.2554,7.9624,-0.4004,-0.7232
Mbd6,2,2.9748,3.6135,3.3972,3.6074,3.8691,-0.0061,0.4719
Dctn2,3,6.0691,5.7048,5.7145,6.0229,6.2218,0.3181,0.5073
Paip1,1,4.6277,5.0532,5.2192,4.6227,4.8868,-0.4306,-0.3325
Sigirr,1,4.182,4.3415,4.7127,4.05,4.2784,-0.2915,-0.4343
Lrdd,3,3.6066,3.3772,2.7284,3.4965,3.6392,0.1193,0.9108
Rplp2,4,11.0742,10.9914,10.9855,10.9632,10.6589,-0.0282,-0.3266
Cd151,3,2.1259,1.7748,1.428,2.0582,2.2067,0.2834,0.7787
Tm9sf2,1,5.3992,5.4422,5.6266,5.4484,5.2592,0.0062,-0.3675
Clybl,3,4.8391,4.0383,3.078,4.1127,3.6858,0.0744,0.6078
Dock9,3,3.0109,2.8283,2.4621,3.043,3.1047,0.2147,0.6426
Tk1,3,6.0868,5.1216,4.2493,5.6846,5.1952,0.5631,0.9458
Cant1,3,4.139,4.115,3.6084,4.1885,4.1494,0.0735,0.541
Cbx2,3,2.9254,2.2072,1.4114,2.9386,2.6501,0.7314,1.2386
1810029B16Rik,1,4.6176,5.6346,6.6872,4.9021,5.501,-0.7325,-1.1862
Zfp202,1,0.7675,1.7769,2.3115,1.2695,1.5339,-0.5074,-0.7777
Bach1,1,2.1014,4.1974,4.424,3.4423,3.957,-0.7552,-0.467
Cct8,4,7.4733,7.4787,7.6889,7.3344,7.1589,-0.1443,-0.53
Hprt,4,7.3926,7.0406,6.9799,7.1362,6.5031,0.0956,-0.4768
Shisa5,3,10.9078,10.3171,9.105,10.391,9.7032,0.0739,0.5983
Pfkfb4,2,1.1144,0.7493,0.8138,1.2528,1.5681,0.5034,0.7543
Sec11a,1,7.2099,7.1216,7.4756,7.2544,7.1228,0.1328,-0.3528
Sdc3,4,1.2774,1.4899,1.6609,1.1384,0.4125,-0.3515,-1.2484
Rassf3,4,3.2966,2.7564,3.3017,2.8538,2.9445,0.0974,-0.3572
Nrp1,1,1.9721,3.785,4.4203,1.8941,2.9248,-1.8909,-1.4955
Zfp282,3,3.5136,3.4587,3.1879,3.6716,3.5515,0.2129,0.3635
Pdia4,1,6.4588,6.0765,7.1628,6.1027,6.4508,0.0262,-0.712
Pdgfa,1,0.2568,1.0109,1.8037,0.3674,0.6159,-0.6435,-1.1877
Higd2a,3,7.045,6.4498,5.9427,6.5892,6.3819,0.1394,0.4391
Nop16,1,5.8576,6.381,6.6655,5.2979,5.4145,-1.083,-1.251
Aasdhppt,1,3.1538,3.5208,4.1331,3.3612,3.6275,-0.1596,-0.5056
Alkbh8,1,3.816,3.6907,4.6142,4.0104,4.2696,0.3197,-0.3446
Ube2w,1,2.9931,3.9871,4.5202,3.3826,3.7337,-0.6044,-0.7865
Fastkd2,1,3.4021,4.2715,4.8808,3.7471,4.0178,-0.5244,-0.8629
Eef1b2,1,10.0209,9.929,10.4518,9.9372,9.8314,0.0082,-0.6204
Hspd1,1,8.4587,8.695,9.1752,8.2844,8.286,-0.4106,-0.8892
Coq10b,1,2.5589,4.6745,5.1192,3.7094,3.9517,-0.9651,-1.1675
Wdr75,1,5.7238,6.7532,7.468,6.0196,6.5169,-0.7336,-0.9511
Ikzf2,2,2.7154,2.5837,1.4967,3.6372,2.8688,1.0535,1.3721
Lancl1,3,5.2714,4.9941,4.3312,5.1688,4.9363,0.1746,0.6051
Acadl,3,7.0016,6.3955,5.9064,6.6763,6.4108,0.2808,0.5044
Rpe,1,4.4827,4.5327,4.8636,4.3993,4.3413,-0.1335,-0.5223
Icos,3,4.9128,4.2579,4.0443,4.9252,4.3815,0.6673,0.3372
Ctla4,3,7.8683,6.6595,4.8774,8.7347,8.0453,2.0752,3.1679
Raph1,1,2.7094,3.2215,3.6287,2.6725,3.0218,-0.549,-0.6069
Ica1l,3,1.0681,0.6181,0.2341,0.8947,0.9379,0.2766,0.7038
Wdr12,1,5.4518,5.3771,6.0256,5.2339,5.2448,-0.1432,-0.7808
Nop58,1,6.4238,7.1604,8.0269,6.6019,7.0038,-0.5585,-1.0231
Sumo1,4,7.2346,6.9347,7.0635,7.0076,6.749,0.0729,-0.3145
Trak2,1,3.8142,4.5764,4.5111,4.0876,4.1183,-0.4889,-0.3928
Cflar,1,4.8013,5.8372,6.6116,4.9414,5.3015,-0.8958,-1.31
Sgol2,3,4.8169,3.5619,4.1261,4.3926,4.5791,0.8307,0.453
Ercc5,3,4.3468,3.8443,3.9217,4.5017,4.6648,0.6573,0.7432
Ptp4a1,1,4.6006,5.4853,5.8716,5.2592,5.2481,-0.2261,-0.6235
Il1rl1,1,1.1018,4.2176,4.5086,2.5695,3.2634,-1.648,-1.2451
Il18r1,1,6.2709,7.1104,6.865,6.3683,6.2521,-0.7421,-0.6129
Il1r2,1,0.1864,1.3482,2.4506,0.6841,1.2711,-0.6641,-1.1795
