comparacion,gen,log2fc,pvalue,padj
PRDX1_estimulado,Dact2,-0.1601,3.597e-02,9.552e-02
PRDX1_estimulado,Klhl17,-0.16,4.590e-02,1.154e-01
PRDX1_estimulado,Ccdc97,-0.16,4.785e-04,2.741e-03
PRDX1_estimulado,Rps18,-0.16,5.546e-09,1.217e-07
PRDX1_estimulado,Rpl18,-0.1599,6.697e-08,1.142e-06
PRDX1_estimulado,Smarca4,-0.1599,5.384e-06,5.602e-05
PRDX1_estimulado,Dph5,-0.1599,1.196e-02,3.963e-02
PRDX1_estimulado,Phf5a,-0.1599,1.899e-03,8.797e-03
PRDX1_estimulado,Rpl13,-0.1598,7.866e-06,7.823e-05
PRDX1_estimulado,Ift57,-0.1598,1.613e-02,5.038e-02
PRDX1_estimulado,Il23a,-0.1598,6.058e-03,2.299e-02
PRDX1_estimulado,Supt16,-0.1597,3.576e-06,3.937e-05
PRDX1_estimulado,Got2,-0.1597,1.785e-06,2.147e-05
PRDX1_estimulado,Nol12,-0.1596,4.048e-03,1.645e-02
PRDX1_estimulado,Ascc2,-0.1595,1.643e-04,1.107e-03
PRDX1_estimulado,Dna2,-0.1595,1.988e-02,5.955e-02
PRDX1_estimulado,Sdhaf2,-0.1594,1.169e-03,5.856e-03
PRDX1_estimulado,Gdi1,-0.1594,6.104e-03,2.314e-02
PRDX1_estimulado,Creg1,-0.1593,1.494e-02,4.731e-02
PRDX1_estimulado,Mir682,-0.1592,2.972e-02,8.218e-02
PRDX1_estimulado,0610010K14Rik,-0.1589,2.400e-03,1.072e-02
PRDX1_estimulado,Nmd3,-0.1589,1.160e-03,5.820e-03
PRDX1_estimulado,Rbpj,-0.1589,2.278e-05,1.986e-04
PRDX1_estimulado,Rasgrp4,-0.1589,3.941e-03,1.610e-02
PRDX1_estimulado,Clpb,-0.1589,1.331e-03,6.528e-03
PRDX1_estimulado,Drg1,-0.1589,1.197e-04,8.393e-04
PRDX1_estimulado,Rps15,-0.1588,2.491e-06,2.864e-05
PRDX1_estimulado,Actn4,-0.1588,3.014e-06,3.406e-05
PRDX1_estimulado,Cfl1,-0.1586,1.339e-07,2.162e-06
PRDX1_estimulado,Dicer1,-0.1586,4.325e-04,2.525e-03
PRDX1_estimulado,Smyd1,-0.1586,4.979e-02,1.231e-01
