gen,uniprot,descripcion,abundancia_tif,abundancia_suero,es_antioxidante,log2fc_tif_vs_suero,foldchange_tif_vs_suero
Itih3,E9PVS1,Inter-alpha-trypsin inhibitor heavy chain H3,3207846.5078125,206244.526123047,No,3.959170831818998,15.55360798229707
Itih4,E9Q5L2,"Inter alpha-trypsin inhibitor, heavy chain 4",13536227.9049479,206244.526123047,No,6.036319235540471,65.63193777502772
Jup,Q02257,Junction plakoglobin,57360921.4322917,12873173.2213542,No,2.155700392471669,4.455849420028048
Kars,Q8C1V4,Lysine--tRNA ligase,2107357.6875,206244.526123047,No,3.35300116217881,10.21776299770853
Kng1,D3YTY9,Kininogen-1,35248659.4479167,206244.526123047,No,7.417061796937187,170.9071271393991
Krt14,Q61781,"Keratin, type I cytoskeletal 14",68498887.15625,206244.526123047,No,8.375573936084105,332.124631106006
Krt76,Q3UV17,"Keratin, type II cytoskeletal 2 oral",159248447.38151,172373910.102214,No,-0.1142621223438525,0.923854702182477
Krt82,Q99M74,"Keratin, type II cuticular Hb2",206244.526123047,73575891.1679688,No,-8.478726496141704,0.002803153626127404
Lap3,Q9CPY7,Cytosol aminopeptidase,1460250.55859375,206244.526123047,No,2.823782194758376,7.080190616659343
Lars,Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic",14251450.1875,206244.526123047,No,6.110602197580139,69.09977421169219
Lcn2,P11672,Neutrophil gelatinase-associated lipocalin,44150716.1497396,206244.526123047,No,7.741930237085331,214.0697597152177
Lcp1,Q3TJX0,Putative uncharacterized protein,1646872.53125,206244.526123047,No,2.997295040218578,7.985048438412682
Ldha,Q3UDU4,L-lactate dehydrogenase,147963746.635417,206244.526123047,No,9.486665206609118,717.4190239945606
Ldhb,P16125,L-lactate dehydrogenase B chain,37254487.0052083,206244.526123047,No,7.496907600862922,180.632609774002
Lgals1,P16045,Galectin-1,23029379.8125,1947115.828125,No,3.56406426783084,11.82743187634422
Lmna,B3RH24,Lamin C,3774409.61458333,206244.526123047,No,4.193816651037054,18.30065352780073
Lrg1,Q91XL1,Leucine-rich HEV glycoprotein (Precursor),206244.526123047,3199882.328125,No,-3.955584573672194,0.06445378453772638
Lta4h,P24527,Leukotriene A-4 hydrolase,3257667.97005208,206244.526123047,No,3.981405281129792,15.79517299823284
Lum,P51885,Lumican,206244.526123047,3517366.609375,No,-4.092061392833852,0.05863606186893738
Lyve1,Q8BHC0,Lymphatic vessel endothelial hyaluronic acid receptor 1,206244.526123047,2910575.13378906,No,-3.818870025693471,0.07086040271860382
Map4,E9QPW8,Microtubule-associated protein,206244.526123047,1728942.9375,No,-3.067456359229581,0.1192893771388837
Mapk1,O35558,ERK2,714180.15625,206244.526123047,No,1.791927243991466,3.462783568975377
Mb,P04247,Myoglobin,4975951.30403646,18510588.7851563,No,-1.895306301156278,0.2688164791401282
Mblac1,Q8BWY4,Metallo-beta-lactamase domain-containing protein 1,3064961.41796875,206244.526123047,No,3.893434654074444,14.86081340234054
Mdh1,P14152,"Malate dehydrogenase, cytoplasmic",2507702.57421875,206244.526123047,No,3.603932093032359,12.15888063241318
Mela,P70356,Envelope protein,5605190.8046875,206244.526123047,No,4.764329011742237,27.17740397795286
Mif,P34884,Macrophage migration inhibitory factor,466755027.880208,8060609.5703125,No,5.855632632802365,57.90567373456255
Mri1,Q9CQT1,Methylthioribose-1-phosphate isomerase,624150.234375,206244.526123047,No,1.597532817540028,3.026263271601339
Msn,P26041,Moesin,18383228.3177083,206244.526123047,No,6.477883587100695,89.13316955981043
Mtap,Q9CQ65,S-methyl-5'-thioadenosine phosphorylase,4534033.43098958,206244.526123047,No,4.458360616920881,21.98377584229577
Mtpn,P62774,Myotrophin,40179828.5677083,206244.526123047,No,7.605964809561144,194.8164604559576
Mug1,P28665,Murinoglobulin-1,24908168.5520833,206244.526123047,No,6.916112369922946,120.7700830674309
Mup1,A2CEL1,Major urinary protein 1,206244.526123047,3833614981.82031,No,-14.18205500648424,5.379896705879321e-05
Mup13,A2CEK6,Major urinary protein 11,969610426.927083,4185154258.57292,No,-2.109803679852494,0.2316785396717269
Mup14,B8JI96,Protein Mup14 (Fragment),206244.526123047,3846364071.39323,No,-14.18684488027582,5.362064596457743e-05
Mup14,A2CEK7,Major urinary protein 12,969610426.927083,4185154258.57292,No,-2.109803679852494,0.2316785396717269
Mup2,A2AKN9,Major urinary protein 2,206244.526123047,4185154258.57292,No,-14.30863035448322,4.928002969079891e-05
Mup2,P11589,Major urinary protein 2,901561470.385417,3833614981.82031,No,-2.088207683947509,0.2351726698327253
Mup20,Q5FW60,Major urinary protein 20,589316661.333333,2132354013.875,No,-1.855332012577385,0.2763690538713142
Mup21,A9R9V7,MCG132777,206244.526123047,175988326.104167,No,-9.736901201332142,0.001171921630761869
Mup21,Q80YX8,Major urinary protein 26,206244.526123047,165436623.664063,No,-9.647700116245655,0.001246667887407137
Mup3,P04939,Major urinary protein 3,122752360.484375,206244.526123047,No,9.217172238971834,595.1787559740618
Mup6,A2AV72,MCG140531,387795860.466146,1428597045.11458,No,-1.881229731123781,0.2714522347587826
Mup7,Q58EV3,Major urinary protein 1,206244.526123047,3833614981.82031,No,-14.18205500648424,5.379896705879321e-05
Myg1,Q9JK81,"UPF0160 protein MYG1, mitochondrial",206244.526123047,62254734.9322917,No,-8.23767695714945,0.003312913087612673
Myg1,F8WGG3,"UPF0160 protein MYG1, mitochondrial (Fragment)",3658589.078125,206244.526123047,No,4.148853050002057,17.73908450759202
Myh3,P13541,Myosin-3,206244.526123047,65348953.9296875,No,-8.30765752941987,0.003156049389022458
Myh9,Q8VDD5,Myosin-9,2312259.76302083,206244.526123047,No,3.486869375705563,11.21125397355428
Naca,Q3UK68,Putative uncharacterized protein,2009247.03125,206244.526123047,No,3.284220938409117,9.742062342305601
Nagpa,Q3U273,Putative uncharacterized protein (Fragment),206244.526123047,1724975.48046875,No,-3.064141961438814,0.11956374363478
Nbl1,Q61477,Neuroblastoma suppressor of tumorigenicity 1,206244.526123047,2841523.4609375,No,-3.784230404840855,0.07258237665755574
Ncl,P09405,Nucleolin,4620426.08333333,206244.526123047,No,4.485591481619547,22.40266042540567
Nedd8,P29595,NEDD8,13908514.1484375,206244.526123047,No,6.07546177322082,67.43700989251748
Nme1,Q5NC80,Nucleoside diphosphate kinase (Fragment),7847562.19270833,206244.526123047,No,5.249810011317123,38.04979623084114
Nme2,B0LAA8,Nucleoside diphosphate kinase (Fragment),10849484.7291667,206244.526123047,No,5.717120024863419,52.60495845932812
Nono,Q3TFC2,Putative uncharacterized protein,1459650.234375,206244.526123047,No,2.823188966252548,7.077279876529484
Npc2,Q3TXQ4,Putative uncharacterized protein,21172682.9479167,206244.526123047,No,6.681697528683781,102.6581570232071
Npm1,Q5U438,Nucleophosmin 1,4292507.43684896,206244.526123047,No,4.379386239944953,20.81270963908161
Nras,P08556,GTPase NRas,9631641.09375,206244.526123047,No,5.54534705350359,46.70010533032858
Nucb1,Q02819,Nucleobindin-1,206244.526123047,14295887.7395833,No,-6.115093676503562,0.0144268428711835
Nudcd3,Q8R1N4,NudC domain-containing protein 3,5275445.17447917,206244.526123047,No,4.676858386026041,25.57859485362438
Ola1,Q3TJF2,Putative uncharacterized protein,1278856.5078125,206244.526123047,No,2.632420796090756,6.200680967646748
Orm1,Q60590,Alpha-1-acid glycoprotein 1,5646406.73177083,179344030.958333,No,-4.989252616472157,0.03148366132733272
Orm2,P07361,Alpha-1-acid glycoprotein 2,206244.526123047,107156323.291667,No,-9.021138459282298,0.001924707005499559
OTTMUSG00000000446,Q6B822,Histone H4 (Fragment),12677009.21875,206244.526123047,No,5.941707901404559,61.46591842726921
P4hb,Q3UDR2,Putative uncharacterized protein (Fragment),6816264.42708333,206244.526123047,No,5.046546785687227,33.04943193021616
Pa2g4,D3YVH7,Proliferation-associated protein 2G4 (Fragment),531308.078125,206244.526123047,No,1.365188538628587,2.576107536585081
Pabpc1,P29341,Polyadenylate-binding protein 1,16688958.2708333,206244.526123047,No,6.338387355563661,80.91830888581521
Pafah1b1,Q3UHM0,Platelet-activating factor acetylhydrolase IB subunit alpha,353490.5625,206244.526123047,No,0.7773129549532882,1.713939124324225
Palm,Q3TRX4,Putative uncharacterized protein,5950476.46875,206244.526123047,No,4.850570705629718,28.85156072069473
Pcna-ps2,J3QQ26,Proliferating cell nuclear antigen,3378998.90625,206244.526123047,No,4.034161580597615,16.38345981717869
Pdia3,P27773,Protein disulfide-isomerase A3,2629277.00520833,206244.526123047,No,3.672231962680591,12.74834806350053
Pdia4,P08003,Protein disulfide-isomerase A4,440800.7421875,206244.526123047,No,1.09576710114208,2.137272442927843
Pdia6,Q9DAB4,Putative uncharacterized protein,1006360.421875,206244.526123047,No,2.286713793859775,4.879452758298167
Pex7,F6QU40,Peroxisomal targeting signal 2 receptor (Fragment),11632678.6484375,206244.526123047,No,5.817676832433254,56.40236309349301
Pfdn1,Q8R3R9,Prefoldin 1,53316562.1276042,206244.526123047,No,8.014077149965512,258.5114045441146
Pfdn5,Q9WU28,Prefoldin subunit 5,117065485.916667,206244.526123047,No,9.14873726508618,567.6052989974864
Pfkl,P12382,"6-phosphofructokinase, liver type",3015945.81510417,206244.526123047,No,3.870176257661594,14.62315568707426
Pfn1,P62962,Profilin-1,6931129.70572917,206244.526123047,No,5.070655994849933,33.60636927446989
Pgam1,Q9DBJ1,Phosphoglycerate mutase 1,21110894.3880208,206244.526123047,No,6.677481134811934,102.3585681756513
Pgd,Q3UAG2,"6-phosphogluconate dehydrogenase, decarboxylating",3645807.64583333,206244.526123047,No,4.143804112094998,17.67711228204047
Pgk1,P09411,Phosphoglycerate kinase 1,104429864.71875,206244.526123047,No,8.983955824703731,506.3400550880385
Pgm2,Q5RJV4,Phosphoglucomutase 2,17031295.8854167,206244.526123047,No,6.367681661384825,82.57817167596345
Phgdh,Q61753,D-3-phosphoglycerate dehydrogenase,3716245.0078125,206244.526123047,No,4.171411278437958,18.01863582840187
Pianp,Q6P1B3,PILR alpha-associated neural protein,3064175.2421875,206244.526123047,No,3.893064549245697,14.85700153981003
Pkm,P52480,Pyruvate kinase PKM,144382807.770833,206244.526123047,No,9.451320434965655,700.0564353630076
Plec,E9Q3W4,Plectin,9667693.28385417,206244.526123047,No,5.550737122401305,46.87490846708025
Plg,P20918,Plasminogen,7819532.86458333,206244.526123047,No,5.244647878768767,37.91389285123689
Pmel,Q9CZB2,Melanocyte protein PMEL,1151710.44140625,1800258.28710938,No,-0.6444254112881076,0.6397473349535396
Pomp,Q9CQT5,Proteasome maturation protein,3195590.859375,206244.526123047,No,3.953648429310288,15.49418507945509
Ppa1,Q3UA53,Putative uncharacterized protein,206244.526123047,357661.9921875,No,-0.7942380239306104,0.5766464724463252
Ppbp,Q9EQI5,"Chemokine (C-X-C motif) ligand 7, isoform CRA_b",206244.526123047,646965915.59375,No,-11.61511117017396,0.0003187873134456659
Ppia,P17742,Peptidyl-prolyl cis-trans isomerase A,25177207.4270833,206244.526123047,No,6.931611695261129,122.0745485970493
Ppid,Q3UB60,Putative uncharacterized protein,23792963.703125,206244.526123047,No,6.850028413823285,115.3628857472316
Prdx1,P35700,Peroxiredoxin-1,43538353.4739583,206244.526123047,Si,7.721780247109109,211.100649759708
Prdx2,Q61171,Peroxiredoxin-2,13398820.1875,206244.526123047,Si,6.021599444667089,64.96570085698258
Prep,Q3TQ97,Putative uncharacterized protein (Fragment),935500.15625,206244.526123047,No,2.181376611828806,4.535878715597396
Prl,Q9CPQ0,Prolactin,206244.526123047,4042757.03125,No,-4.292905127563671,0.05101581038108472
Psap,Q3TWM9,Putative uncharacterized protein (Fragment),515963041.958333,206244.526123047,No,11.28868919289116,2501.705386597779
Psap,Q3UAS4,Putative uncharacterized protein,206244.526123047,208472519.03125,No,-9.981278686122149,0.0009893127740838157
Psat1,Q3U6K9,Phosphoserine aminotransferase,1546346.49804688,206244.526123047,No,2.906429830896055,7.497636553633032
Psma1,Q9R1P4,Proteasome subunit alpha type-1,4276180.20442708,206244.526123047,Si,4.373888259100649,20.73354519904145
Psma2,Q8BKE0,Putative uncharacterized protein (Fragment),2972895.64453125,206244.526123047,No,3.849434577629168,14.414422047534
Psma3,O70435,Proteasome subunit alpha type-3,3232964.265625,206244.526123047,No,3.970423277624516,15.67539428268845
Psma4,E9PW69,Proteasome subunit alpha type (Fragment),5638404.03125,206244.526123047,No,4.772852386837538,27.33844207766313
Psma5,Q3TUI9,Proteasome subunit alpha type,25295703.7135417,31435011,No,-0.3134798820758711,0.8046984209275989
Psma6,Q9QUM9,Proteasome subunit alpha type-6,3590631.3125,206244.526123047,No,4.121803196004752,17.4095835656642
Psma7,Q3THL2,Putative uncharacterized protein,4627917.09375,206244.526123047,No,4.487928601555254,22.4389814398708
Psmb1,O09061,Proteasome subunit beta type-1,1087405.03125,206244.526123047,No,2.398456005239119,5.272406747906833
Psmb2,Q9R1P3,Proteasome subunit beta type-2,10414715.8854167,206244.526123047,No,5.658116986572928,50.49693236078035
Psmb3,Q9R1P1,Proteasome subunit beta type-3,3187051.0625,206244.526123047,No,3.949787856762487,15.45277890477725
Psmb4,P99026,Proteasome subunit beta type-4,2120271.67773438,206244.526123047,No,3.361815084684462,10.28037794549471
Psmb5,Q8BTY5,Putative uncharacterized protein,3536672.546875,206244.526123047,No,4.099958327149025,17.14795836455313
Psmb6,Q60692,Proteasome subunit beta type-6,3263676.66796875,206244.526123047,Si,3.984063848944352,15.8243068522537
Psmc2,P46471,26S protease regulatory subunit 7,999481.010416667,206244.526123047,No,2.276817775506284,4.846097150817808
Psmc5,Q99KR1,Psmc5 protein (Fragment),1538759,206244.526123047,No,2.899333502562399,7.460847707938513
Psmd2,Q3TIP0,Putative uncharacterized protein,3193227.265625,206244.526123047,No,3.952580956734554,15.48272492681768
Psmd3,P14685,26S proteasome non-ATPase regulatory subunit 3,890653.528645833,206244.526123047,No,2.110503116007035,4.318434750188049
Psmd6,Q99JI4,26S proteasome non-ATPase regulatory subunit 6,2510167.046875,206244.526123047,No,3.605349220864213,12.1708299078804
Psmd9,Q3THC1,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 9",3896162.875,206244.526123047,No,4.23961962944238,18.89098803366796
Psme3,P61290,Proteasome activator complex subunit 3,13113236.4270833,206244.526123047,No,5.990517270509635,63.58101557206831
Ptbp3,G3UY95,Polypyrimidine tract-binding protein 3 (Fragment),7174427.625,206244.526123047,No,5.120429209548895,34.78602685784584
Pter,A2AUR5,Phosphotriesterase-related protein (Fragment),726987.484375,206244.526123047,No,1.817569687019535,3.5248813534148
Ptgds,O09114,Prostaglandin-H2 D-isomerase,2835394.38671875,5344762.16145833,No,-0.9145760919281862,0.5304996370399963
Pts,Q9R1Z7,6-pyruvoyl tetrahydrobiopterin synthase,52690390.2916667,10934125.6458333,No,2.268701902620336,4.818893800781006
Pygb,Q3UZL2,Phosphorylase (Fragment),1111612.75,206244.526123047,No,2.430220855163178,5.389780620586283
Pygm,E9PUM3,Phosphorylase,206244.526123047,59852317.0071615,No,-8.180900487078006,0.003445890425568141
Qsox1,Q8BND5,Sulfhydryl oxidase 1,1047456.54166667,206244.526123047,No,2.344457036082904,5.078711960780718
Rab10,P61027,Ras-related protein Rab-10,3787255.3046875,206244.526123047,No,4.198718329842922,18.36293731465143
Rab14,Q50HX1,RAB14 protein variant,12773973.125,206244.526123047,No,5.952700798310278,61.93605893510577
Rab1b,Q9D1G1,Ras-related protein Rab-1B,19985896.421875,206244.526123047,No,6.598475720206885,96.90388781494869
Rab32,Q3TW01,Putative uncharacterized protein,19644755.5976563,206244.526123047,No,6.573637657646703,95.24982779875619
Rab5c,P35278,Ras-related protein Rab-5C,1815978.19726563,206244.526123047,No,3.138312946224833,8.804976458779826
Rab6a,P35279,Ras-related protein Rab-6A,9137035.79947917,206244.526123047,No,5.469291635863346,44.30195540815443
Rac1,P63001,Ras-related C3 botulinum toxin substrate 1,15766295.203125,206244.526123047,No,6.256337148983572,76.44467225141632
Ran,P62827,GTP-binding nuclear protein Ran,16961577.890625,926554.6796875,No,4.194248986064135,18.30607330842649
Ranbp1,H7BX22,Ran-specific GTPase-activating protein,1496126.21875,206244.526123047,No,2.858798125867729,7.254137827916947
Rars,Q9D0I9,"Arginine--tRNA ligase, cytoplasmic",1608078.81770833,206244.526123047,No,2.962904287183765,7.796952714027127
Rbp4,Q3TF08,Putative uncharacterized protein (Fragment),2706028.125,206244.526123047,No,3.713742637252608,13.12048458142139
Rbp4,Q00724,Retinol-binding protein 4,206244.526123047,37396719.0234375,No,-7.502405105352704,0.005515043338261524
Rbx1,P62878,E3 ubiquitin-protein ligase RBX1,7801771.95507813,206244.526123047,No,5.241367284206252,37.82777706509183
Rdx,P26043,Radixin,11526496.4635417,206244.526123047,No,5.804447555395143,55.88752671508434
Rhoa,Q3TN61,Putative uncharacterized protein,5479133.81510417,206244.526123047,No,4.731513371976629,26.56620235261555
Rpl10,I7HLV2,60S ribosomal protein L10 (Fragment),2892387.41666667,206244.526123047,No,3.809826573854782,14.02406876457439
Rpl10a,Q99JL6,Ribosomal protein,4435068.875,206244.526123047,No,4.426522104643315,21.50393495706163
Rpl11,Q8VC94,Rpl11 protein,4862724.296875,206244.526123047,No,4.559330363852901,23.57747082205645
Rpl13-ps3,D3YX54,60S ribosomal protein L13,4303944,206244.526123047,No,4.383224911973659,20.86816111392084
Rpl13a,P19253,60S ribosomal protein L13a,3906810.9375,206244.526123047,No,4.24355708019668,18.94261637358156
Rpl14,Q9CR57,60S ribosomal protein L14,2412202.85416667,206244.526123047,No,3.547917103964913,11.69583939758737
Rpl17,Q6PHZ1,Rpl17 protein,4499979,206244.526123047,No,4.447483859573428,21.81865906741825
Rpl19,A2A547,Ribosomal protein L19,2284674.5,206244.526123047,No,3.469554539220251,11.07750369402263
Rpl21-ps6,D3YX47,MCG20932,3698583.40625,206244.526123047,No,4.164538470361737,17.9330015480915
Rpl22,P67984,60S ribosomal protein L22,152768798.625,206244.526123047,No,9.532771387941228,740.7168640871323
Rpl26,B1ARA3,60S ribosomal protein L26 (Fragment),965349.5,206244.526123047,No,2.226690027256289,4.680606647587172
Rpl27,P61358,60S ribosomal protein L27,1970469.24869792,206244.526123047,No,3.256105237117463,9.554043861131731
Rpl28,P41105,60S ribosomal protein L28,540316.66796875,206244.526123047,No,1.389445032981705,2.619786707194319
Rpl3,P27659,60S ribosomal protein L3,1652461.11458333,206244.526123047,No,3.002182466074565,8.0121453191803
Rpl4,Q9CSM5,Putative uncharacterized protein,1219856.28515625,206244.526123047,No,2.564277642468078,5.914611689759344
Rpl6,P47911,60S ribosomal protein L6,449597.41796875,206244.526123047,No,1.12427413429868,2.179924124146291
Rpl7,P14148,60S ribosomal protein L7,4212459.54817708,206244.526123047,No,4.352228444912583,20.42458836296046
Rpl7a-ps10,D3YVE6,MCG18601,726624.25,206244.526123047,No,1.816848675061536,3.523120170309348
Rpl8,Q9Z237,Ribosomal protein L8 (Fragment),2310871.828125,206244.526123047,No,3.486003137768904,11.20452441363858
Rpl9,P51410,60S ribosomal protein L9,4145841.68359375,206244.526123047,No,4.329230643708819,20.10158408335313
Rplp0,D3YVM5,60S acidic ribosomal protein P0 (Fragment),2763001.46484375,206244.526123047,No,3.743802119286492,13.3967262878789
Rps10,Q3UW83,40S ribosomal protein S10,2290731.3984375,206244.526123047,No,3.473374204105795,11.10687125374097
Rps11,P62281,40S ribosomal protein S11,3007284.96614583,206244.526123047,No,3.866027332024046,14.58116257762721
Rps12,Q6ZWZ6,40S ribosomal protein S12,17133510.4010417,206244.526123047,No,6.376314217642427,83.07377035946023
Rps14,D3YVF4,40S ribosomal protein S14 (Fragment),3134136.84375,206244.526123047,No,3.925633903067595,15.19621830777778
Rps16,P14131,40S ribosomal protein S16,6404998.9375,206244.526123047,No,4.956763826612423,31.05536451269854
Rps17,P63276,40S ribosomal protein S17,255846.734375,206244.526123047,No,0.3109226330497172,1.240501938084698
Rps2-ps6,D3Z659,Uncharacterized protein,3015553.19140625,206244.526123047,No,3.869988431691869,14.62125200650004
Rps23,P62267,40S ribosomal protein S23,3365915.40625,206244.526123047,No,4.028564617383537,16.32002298204933
Rps27,Q6ZWU9,40S ribosomal protein S27,1966153.83203125,206244.526123047,No,3.252942206556735,9.53312007349096
Rps3,P62908,40S ribosomal protein S3,7809966.6875,206244.526123047,No,5.242881849581494,37.86751015559325
Rps3a2,D3Z6C3,40S ribosomal protein S3a,2566764.95442708,206244.526123047,No,3.637517022685973,12.44525128824864
Rps4x,Q545F8,Putative uncharacterized protein,5158087.38541667,206244.526123047,No,4.644401764481511,25.00957228963894
Rps5,P97461,40S ribosomal protein S5,1011960.25,206244.526123047,No,2.294719317563484,4.906604160714826
Rps6,P62754,40S ribosomal protein S6,2245482.73567708,206244.526123047,No,3.444591542655861,10.88747797523319
Rps9,Q6ZWN5,40S ribosomal protein S9,4222002.22395833,206244.526123047,No,4.355492950463276,20.47085710987283
Rpsa,B2CY77,Laminin receptor (Fragment),991300.1484375,206244.526123047,No,2.26496057710516,4.806431312732553
S100a1,Q9JL08,S100 calcium binding protein A1 (Fragment),15095714.8320313,206244.526123047,No,6.193632535431984,73.19328719068687
S100a10,P08207,Protein S100-A10,2877471.484375,206244.526123047,No,3.802367402878559,13.95174717344149
S100a6,P14069,Protein S100-A6,103693233.608073,206244.526123047,No,8.973743229499707,502.7684155176504
Saa1,P05366,Serum amyloid A-1 protein,206244.526123047,6207116.03255208,No,-4.911488617700332,0.0332271098270816
Sars,A2AFS1,"Serine--tRNA ligase, cytoplasmic (Fragment)",3578984.89322917,206244.526123047,No,4.117116127426534,17.35311457960306
Scgb1a1,Q06318,Uteroglobin,2487214.875,206244.526123047,No,3.592097000145351,12.05954369676754
Scgb2b20,J3QK77,Secretoglobin family 2B member 20,57392586.34375,206244.526123047,No,8.120357779733986,278.274470710118
Scgb2b7,D3YYY1,MCG116526,206244.526123047,2039143.3515625,No,-3.30552917785251,0.1011427303357616
Selenbp1,P17563,Selenium-binding protein 1,3655333.53645833,2868743.26041667,No,0.3495840856797443,1.27419333298143
Sepp1,E0CZC5,Selenoprotein P (Fragment),206244.526123047,3709974.875,No,-4.168975075532465,0.05559189295670014
Serpina1b,Q3KQQ4,Serpina1a protein,219095249.041667,299167320.657552,No,-0.4493943896109194,0.7323502064333386
Serpina1c,Q00896,Alpha-1-antitrypsin 1-3,224351347.140625,310155451.606771,No,-0.4672316347744392,0.7233512936121713
Serpina1d,Q00897,Alpha-1-antitrypsin 1-4,219095249.041667,206244.526123047,No,10.05297966711247,1062.308189022933
Serpina1e,Q00898,Alpha-1-antitrypsin 1-5,243256541.8125,229179838.886719,No,0.08599846828442992,1.061422082300786
Serpina3k,P07759,Serine protease inhibitor A3K,113755261.333333,17220517.8880208,No,2.723732766382096,6.605797925070836
Serpina3m,Q03734,Serine protease inhibitor A3M,85973473.8333333,206244.526123047,No,8.703384982626332,416.8521485124938
Serpina3n,G3X8T9,"Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a",16627838.875,206244.526123047,No,6.333094125094526,80.62196455618759
Serpinb6a,E9PYY0,Serpin B6 (Fragment),674854.8046875,206244.526123047,No,1.71021645208776,3.272110137288573
Serpinc1,P32261,Antithrombin-III,14057612.6822917,206244.526123047,No,6.090845078844072,68.15993106117554
Serpind1,P49182,Heparin cofactor 2,2030879.1640625,206244.526123047,No,3.299670383310609,9.846948194158921
Serpinf2,Q61247,Alpha-2-antiplasmin,8077567.54166667,206244.526123047,No,5.291486357558011,39.16500327794171
Serping1,P97290,Plasma protease C1 inhibitor,3571557.6328125,206244.526123047,No,4.114119075779616,17.31710266425051
Sf3b2,Q9CS24,Putative uncharacterized protein (Fragment),8248062.609375,206244.526123047,No,5.321620728990354,39.9916679701557
Sf3b5,Q8CEW9,Putative uncharacterized protein,18694605.3020833,206244.526123047,No,6.502115454178806,90.64291621941015
Sftpb,S4R239,Pulmonary surfactant-associated protein B,1489370.90234375,4166960.08007813,No,-1.484291579313883,0.3574238470544274
Sh3glb2,A2AWI9,Endophilin-B2,2423565.8984375,206244.526123047,No,3.554697176317323,11.75093440778924
Slc4a1,Q3TA19,Putative uncharacterized protein,766014.03125,206244.526123047,No,1.893009877173487,3.714105996650745
Snd1,Q3TRW3,Putative uncharacterized protein,1477405.46875,206244.526123047,No,2.840632069668782,7.16336814616146
Sod1,P08228,Superoxide dismutase [Cu-Zn],9761663677.66667,352603007.489583,Si,4.791010357783858,27.68457293420862
Sparcl1,P70663,SPARC-like protein 1,1991416.984375,1883902.98583984,No,0.08007062508950114,1.057069816940298
Spg20,Q8R1X6,Spartin,2720833.64453125,206244.526123047,No,3.721614551310829,13.19227082375016
Spink3,P09036,Serine protease inhibitor Kazal-type 3,76230890.2669271,6971322.59375,No,3.45087124266448,10.93492507939173
Sptan1,A3KGU5,"Spectrin alpha chain, non-erythrocytic 1",309486.5859375,206244.526123047,No,0.5855187169352902,1.500580848157192
Srsf11,F6TN80,Protein Srsf11 (Fragment),634048.890625,206244.526123047,No,1.620233539457779,3.074258030231172
St13,Q3TGW8,Putative uncharacterized protein (Fragment),2531249.05664063,206244.526123047,No,3.617415305290478,12.27304842568509
Stip1,Q3THQ5,Putative uncharacterized protein,10313430.9479167,206244.526123047,No,5.644017855849281,50.00584084235832
Swap70,Q6A028,Switch-associated protein 70,3440358.73697917,206244.526123047,No,4.060124696568462,16.68096992269568
Syne2,Q6ZWQ0,Nesprin-2,5101607.8828125,206244.526123047,No,4.628517568425526,24.73572500910324
Tceb2,P62869,Transcription elongation factor B polypeptide 2,6099978.9140625,206244.526123047,No,4.886369762318498,29.57644029991472
Tcp1,P11983,T-complex protein 1 subunit alpha,6734761.55208333,206244.526123047,No,5.029192351524234,32.65425598769745
Ten1,Q9D7K2,CST complex subunit TEN1,8108574.1875,206244.526123047,No,5.297013701148312,39.31534252047187
Tf,Q921I1,Serotransferrin,337894182,5191747.95963542,No,6.024207078493095,65.0829324973102
Timm8b,P62077,Mitochondrial import inner membrane translocase subunit Tim8 B,41001600.21875,206244.526123047,No,7.635173616820488,198.8009136023719
Tkt,P40142,Transketolase,16676807.3333333,206244.526123047,No,6.337336572122602,80.85939368584161
Tln1,P26039,Talin-1,9466837.63020833,206244.526123047,No,5.520448000571825,45.90103702708864
Tnfrsf21,Q3UPV2,Putative uncharacterized protein,206244.526123047,7914900.97395833,No,-5.262136752821856,0.02605775192913144
Tnpo3,Q571K5,MKIAA4133 protein (Fragment),3987013.5,206244.526123047,No,4.272874122270718,19.33148760331859
Tpd52l2,F6VQ81,Tumor protein D54 (Fragment),82596012.2708333,206244.526123047,No,8.64556551259723,400.4761426810228
Tpi1,P17751,Triosephosphate isomerase,22335763.5078125,4474136.47395833,No,2.319674145046879,4.992195396322308
Tpm3,D3Z6I8,Tropomyosin alpha-3 chain,1429144.71875,206244.526123047,No,2.792718294324715,6.929370420708096
Triap1,Q9D8Z2,TP53-regulated inhibitor of apoptosis 1,2521184.625,206244.526123047,No,3.611667612202432,12.22424988625319
Ttr,P07309,Transthyretin,65755369.609375,1204870237.07292,No,-4.195625237249601,0.05457464844439959
Tuba1a,P68369,Tubulin alpha-1A chain,32690016.5260417,206244.526123047,No,7.30834351558563,158.5012564480795
Tubb2a,Q99J49,Tubb2a protein (Fragment),25832900.1875,206244.526123047,No,6.968703040746131,125.2537493872099
Txn,P10639,Thioredoxin,6342058.53125,1349039.1796875,No,2.23301810168412,4.701167042990638
Txnrd1,Q9JMH6,"Thioredoxin reductase 1, cytoplasmic",10543553.9414063,206244.526123047,No,5.675854743525292,51.12161830232498
Tyr,P11344,Tyrosinase,18351574.0625,46334039.796875,No,-1.336168614736998,0.3960710989793237
