caseid,peso,grupo_experimental,rnd_02,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,respuesta_sin_descripcion,respuesta_con_descripcion_tratado,respuesta_con_descripcion_control,genero,edad,edad_grupo,educacion,partido,ideologia,raza_etnia,ingreso_4
3008,3.84155801,control,0.0,0.0,0.0,,No,,No,Male,58,45-59,Less than HS,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
3009,4.0690725579,treated,1.0,0.0,,0.0,,No,,Female,77,60+,HS graduate or equivalent,Lean Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3010,0.7223849178,control,0.0,0.0,0.0,,No,,No,Female,67,60+,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
3012,0.6774643595,treated,1.0,0.0,,0.0,,No,,Male,42,30-44,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3019,1.2726859914,treated,1.0,0.0,,0.0,,No,,Female,27,18-29,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
3020,1.3446533525,control,0.0,0.0,0.0,,No,,No,Female,37,30-44,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3024,1.2003544197,treated,1.0,0.0,,0.0,,No,,Female,71,60+,HS graduate or equivalent,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3025,1.0051601605,control,0.0,0.0,0.0,,No,,No,Male,66,60+,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3028,0.3098314276,control,0.0,0.0,0.0,,No,,No,Male,56,45-59,Some college/ associates degree,Lean Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3034,0.8049626712,control,0.0,0.0,0.0,,No,,No,Male,47,45-59,Post grad study/professional degree,Lean Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3041,0.5623591562,treated,1.0,0.0,,0.0,,No,,Female,36,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3054,0.4126149053,control,0.0,0.0,0.0,,No,,No,Male,61,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3055,2.2147239294,control,0.0,0.0,0.0,,No,,No,Male,56,45-59,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
3057,0.743453295,treated,1.0,0.0,,0.0,,No,,Female,65,60+,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$60,000 to under $100,000"
3059,0.8421799701,control,0.0,0.0,0.0,,No,,No,Female,70,60+,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
3062,0.5399005831,control,0.0,0.0,0.0,,No,,No,Female,72,60+,Some college/ associates degree,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3074,0.1493682317,treated,1.0,0.0,,0.0,,No,,Female,68,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3075,0.4167799001,treated,1.0,0.0,,0.0,,No,,Male,31,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","Less than $30,000"
3077,1.0502686993,treated,1.0,1.0,,1.0,,Yes,,Female,87,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3080,0.6443044085,treated,1.0,0.0,,0.0,,No,,Male,86,60+,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3085,0.7782469717,control,0.0,0.0,0.0,,No,,No,Male,71,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3088,0.4549764135,control,0.0,0.0,0.0,,No,,No,Male,72,60+,Post grad study/professional degree,Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3091,0.2824661358,control,0.0,0.0,0.0,,No,,No,Male,60,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3095,2.0945979843,control,0.0,0.0,0.0,,No,,No,Female,48,45-59,Bachelor's degree,Republican,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3100,0.7532962578,treated,1.0,0.0,,0.0,,No,,Male,28,18-29,Some college/ associates degree,Democrat,Unknown,"White, non-Hispanic","Less than $30,000"
3102,0.1429363197,control,0.0,0.0,0.0,,No,,No,Female,65,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
3108,0.7376892574,control,0.0,0.0,0.0,,No,,No,Female,55,45-59,Some college/ associates degree,Lean Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3120,0.7654024063,control,0.0,0.0,0.0,,No,,No,Male,46,45-59,HS graduate or equivalent,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
3123,1.4957978485,control,0.0,0.0,0.0,,No,,No,Male,56,45-59,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
3129,0.582254991,control,0.0,0.0,0.0,,No,,No,Male,72,60+,Post grad study/professional degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3132,0.6271261372,treated,1.0,0.0,,0.0,,No,,Female,63,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3145,0.8283594704,treated,1.0,0.0,,0.0,,No,,Female,55,45-59,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3150,0.6005223236,control,0.0,0.0,0.0,,No,,No,Male,74,60+,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3151,0.8226141562,treated,1.0,0.0,,0.0,,No,,Female,56,45-59,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","Less than $30,000"
3161,0.8491685665,treated,1.0,0.0,,0.0,,No,,Male,34,30-44,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3167,0.7420204386,control,0.0,0.0,0.0,,No,,No,Female,58,45-59,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3169,0.3697273607,treated,1.0,0.0,,0.0,,No,,Female,56,45-59,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3186,0.4935518928,control,0.0,0.0,0.0,,No,,No,Male,68,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3188,0.3034881915,control,0.0,0.0,0.0,,No,,No,Female,68,60+,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$30,000 to under $60,000"
3191,0.7137191218,treated,1.0,0.0,,0.0,,No,,Male,34,30-44,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3193,1.1380651228,treated,1.0,0.0,,0.0,,No,,Male,43,30-44,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
3198,0.3498345583,treated,1.0,0.0,,0.0,,No,,Female,29,18-29,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
3200,0.4158786266,control,0.0,0.0,0.0,,No,,No,Male,64,60+,Bachelor's degree,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3207,0.2599735465,treated,1.0,0.0,,0.0,,No,,Female,73,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3217,0.3760354141,control,0.0,0.0,0.0,,No,,No,Male,74,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3219,0.4458268454,control,0.0,0.0,0.0,,No,,No,Female,44,30-44,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3224,1.0538928233,control,0.0,0.0,0.0,,No,,No,Male,40,30-44,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3231,1.1277810074,treated,1.0,0.0,,0.0,,No,,Female,65,60+,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3242,1.1898923789,treated,1.0,1.0,,1.0,,Yes,,Female,45,45-59,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3244,1.1264528906,control,0.0,0.0,0.0,,No,,No,Female,71,60+,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3247,0.4090459125,control,0.0,0.0,0.0,,No,,No,Female,71,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3250,0.8963277108,control,0.0,0.0,0.0,,No,,No,Female,58,45-59,Bachelor's degree,Lean Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3252,0.9492396682,treated,1.0,0.0,,0.0,,No,,Male,90,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3254,0.2754162756,treated,1.0,0.0,,0.0,,No,,Female,59,45-59,Bachelor's degree,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3257,1.2477306841,treated,1.0,0.0,,0.0,,No,,Female,43,30-44,Less than HS,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
3259,0.7581177756,control,0.0,0.0,0.0,,No,,No,Male,81,60+,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3266,2.109819109,treated,1.0,0.0,,0.0,,No,,Male,56,45-59,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3270,0.302992776,control,0.0,0.0,0.0,,No,,No,Female,27,18-29,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$60,000 to under $100,000"
3275,1.4239266345,treated,1.0,0.0,,0.0,,No,,Female,61,60+,HS graduate or equivalent,Lean Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3277,0.5453318081,treated,1.0,0.0,,0.0,,No,,Female,56,45-59,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3290,2.1968632016,control,0.0,0.0,0.0,,No,,No,Male,21,18-29,Less than HS,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
3292,0.5894370229,treated,1.0,0.0,,0.0,,No,,Male,51,45-59,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
3293,0.3756934036,control,0.0,0.0,0.0,,No,,No,Male,33,30-44,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3297,0.875983863,treated,1.0,0.0,,0.0,,No,,Male,74,60+,HS graduate or equivalent,Democrat,Somewhat conservative,"White, non-Hispanic","Less than $30,000"
3299,0.2599281511,treated,1.0,0.0,,0.0,,No,,Female,56,45-59,Post grad study/professional degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3301,1.6706957627,control,0.0,0.0,0.0,,No,,No,Female,57,45-59,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3302,0.5699047327,treated,1.0,0.0,,0.0,,No,,Female,77,60+,HS graduate or equivalent,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3308,0.7451373346,treated,1.0,0.0,,0.0,,No,,Female,20,18-29,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3310,0.49621144,control,0.0,0.0,0.0,,No,,No,Female,58,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3317,0.6031216333,control,0.0,0.0,0.0,,No,,No,Male,68,60+,Bachelor's degree,Lean Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3329,1.6447933316,treated,1.0,0.0,,0.0,,No,,Male,72,60+,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3332,0.8488493559,treated,1.0,0.0,,0.0,,No,,Male,64,60+,Bachelor's degree,Lean Democrat,Very liberal,"White, non-Hispanic","Less than $30,000"
3334,0.8213185175,treated,1.0,0.0,,0.0,,No,,Male,54,45-59,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3338,0.8232279399,treated,1.0,0.0,,0.0,,No,,Female,43,30-44,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3339,3.9748247882,treated,1.0,0.0,,0.0,,No,,Female,58,45-59,HS graduate or equivalent,Democrat,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
3350,3.2906396362,control,0.0,0.0,0.0,,No,,No,Male,67,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3357,0.7700956886,treated,1.0,0.0,,0.0,,No,,Female,28,18-29,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3360,0.6244353017,treated,1.0,0.0,,0.0,,No,,Female,65,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3367,0.5580787332,control,0.0,0.0,0.0,,No,,No,Female,74,60+,Bachelor's degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3370,0.5087046968,control,0.0,0.0,0.0,,No,,No,Male,35,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
3378,1.4403995399,control,0.0,0.0,0.0,,No,,No,Female,58,45-59,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3380,1.2039753236,control,0.0,0.0,0.0,,No,,No,Female,62,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3383,0.1795395391,control,0.0,0.0,0.0,,No,,No,Male,64,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3388,1.0049826917,control,0.0,0.0,0.0,,No,,No,Female,65,60+,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
3389,0.5390778112,control,0.0,0.0,0.0,,No,,No,Male,46,45-59,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3397,0.7707919349,control,0.0,0.0,0.0,,No,,No,Female,27,18-29,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3399,3.8368650325,treated,1.0,0.0,,0.0,,No,,Male,23,18-29,Less than HS,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3401,0.9063963465,treated,1.0,0.0,,0.0,,No,,Male,60,60+,HS graduate or equivalent,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","Less than $30,000"
3403,0.3966972367,treated,1.0,0.0,,0.0,,No,,Female,85,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3407,0.5851578901,control,0.0,0.0,0.0,,No,,No,Female,78,60+,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3409,1.0464679997,treated,1.0,0.0,,0.0,,No,,Female,66,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3411,0.456367396,control,0.0,0.0,0.0,,No,,No,Male,75,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3416,1.1587502458,control,0.0,0.0,0.0,,No,,No,Male,58,45-59,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3418,0.3285855552,control,0.0,0.0,0.0,,No,,No,Female,44,30-44,Bachelor's degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
3425,3.1652803598,control,0.0,0.0,0.0,,No,,No,Female,67,60+,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","Less than $30,000"
3429,0.5291223604,control,0.0,0.0,0.0,,No,,No,Female,62,60+,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3430,0.3941333097,treated,1.0,0.0,,0.0,,No,,Female,38,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
3446,0.8672665317,control,0.0,0.0,0.0,,No,,No,Male,29,18-29,Bachelor's degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3451,0.7063812208,control,0.0,0.0,0.0,,No,,No,Female,21,18-29,Some college/ associates degree,Don't Lean/Independent/None,Very liberal,"White, non-Hispanic","$100,000 or more"
3457,0.4577510848,control,0.0,0.0,0.0,,No,,No,Female,20,18-29,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
3461,2.4156190848,control,0.0,0.0,0.0,,No,,No,Male,76,60+,Post grad study/professional degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3466,2.0898882571,control,0.0,0.0,0.0,,No,,No,Male,58,45-59,Post grad study/professional degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3471,0.569969299,treated,1.0,0.0,,0.0,,No,,Male,76,60+,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3472,5.9152616935,treated,1.0,0.0,,0.0,,No,,Male,59,45-59,Less than HS,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3486,0.4064512734,control,0.0,0.0,0.0,,No,,No,Female,80,60+,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3488,2.3928321942,treated,1.0,0.0,,0.0,,No,,Female,58,45-59,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3489,0.9086976961,treated,1.0,0.0,,0.0,,No,,Male,49,45-59,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3493,0.4136351679,treated,1.0,0.0,,0.0,,No,,Male,65,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3502,1.3275996306,treated,1.0,0.0,,0.0,,No,,Male,28,18-29,HS graduate or equivalent,Democrat,Somewhat liberal,"White, non-Hispanic","Less than $30,000"
3503,0.9285135166,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3520,0.8494834023,control,0.0,0.0,0.0,,No,,No,Male,37,30-44,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3523,1.0203551786,treated,1.0,0.0,,0.0,,No,,Male,52,45-59,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3524,0.4067575172,control,0.0,0.0,0.0,,No,,No,Female,19,18-29,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3528,0.7735764402,treated,1.0,0.0,,0.0,,No,,Female,67,60+,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3531,0.6953934371,treated,1.0,0.0,,0.0,,No,,Female,42,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3533,3.2466177786,treated,1.0,0.0,,0.0,,No,,Female,39,30-44,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3540,0.5501020985,treated,1.0,0.0,,0.0,,No,,Female,33,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
3549,0.436773605,control,0.0,0.0,0.0,,No,,No,Female,48,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3551,0.4900275201,control,0.0,0.0,0.0,,No,,No,Female,48,45-59,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
3558,0.3322792521,treated,1.0,0.0,,0.0,,No,,Female,76,60+,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3568,0.5987533281,treated,1.0,0.0,,0.0,,No,,Female,62,60+,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
3572,0.577613123,control,0.0,0.0,0.0,,No,,No,Male,74,60+,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
3576,0.265506197,control,0.0,0.0,0.0,,No,,No,Male,41,30-44,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3579,2.1858124,treated,1.0,0.0,,0.0,,No,,Male,37,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3580,1.2172050588,control,0.0,0.0,0.0,,No,,No,Male,36,30-44,Some college/ associates degree,Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
3581,0.2617977,treated,1.0,0.0,,0.0,,No,,Female,64,60+,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3589,0.1921492297,control,0.0,0.0,0.0,,No,,No,Female,33,30-44,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3594,0.0981361825,treated,1.0,0.0,,0.0,,No,,Female,52,45-59,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3598,0.8795904327,control,0.0,0.0,0.0,,No,,No,Male,45,45-59,Less than HS,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3603,0.846751858,treated,1.0,0.0,,0.0,,No,,Female,39,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
3609,1.100306567,control,0.0,0.0,0.0,,No,,No,Female,41,30-44,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3612,0.8868114543,control,0.0,0.0,0.0,,No,,No,Male,55,45-59,HS graduate or equivalent,Don't Lean/Independent/None,Unknown,"White, non-Hispanic","Less than $30,000"
3613,1.0823256902,control,0.0,0.0,0.0,,No,,No,Female,44,30-44,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3614,0.3001332452,treated,1.0,0.0,,0.0,,No,,Female,31,30-44,Post grad study/professional degree,Lean Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3618,0.3413634097,treated,1.0,0.0,,0.0,,No,,Female,67,60+,Some college/ associates degree,Lean Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3627,0.7278760511,control,0.0,0.0,0.0,,No,,No,Male,56,45-59,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
3628,0.6018903648,control,0.0,0.0,0.0,,No,,No,Male,49,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3629,4.7128336153,treated,1.0,1.0,,1.0,,Yes,,Male,22,18-29,Less than HS,Lean Republican,Moderate,"White, non-Hispanic","Less than $30,000"
3632,0.5011350589,treated,1.0,0.0,,0.0,,No,,Male,45,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
3636,0.8786785611,control,0.0,0.0,0.0,,No,,No,Male,50,45-59,HS graduate or equivalent,Lean Republican,Moderate,"White, non-Hispanic","Less than $30,000"
3638,0.6835462258,treated,1.0,0.0,,0.0,,No,,Male,69,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3649,0.3949360646,treated,1.0,0.0,,0.0,,No,,Female,50,45-59,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3650,1.1256372674,treated,1.0,0.0,,0.0,,No,,Female,64,60+,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$30,000 to under $60,000"
3659,0.8729573549,treated,1.0,0.0,,0.0,,No,,Female,49,45-59,HS graduate or equivalent,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3662,1.836200081,treated,1.0,0.0,,0.0,,No,,Male,42,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3663,0.0713408267,control,0.0,0.0,0.0,,No,,No,Female,33,30-44,Post grad study/professional degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
3664,1.3153432536,treated,1.0,0.0,,0.0,,No,,Male,73,60+,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3670,0.5936981098,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3680,0.2326297065,control,0.0,0.0,0.0,,No,,No,Male,42,30-44,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3686,0.4207573047,treated,1.0,0.0,,0.0,,No,,Female,63,60+,Some college/ associates degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3689,1.3180754507,control,0.0,0.0,0.0,,No,,No,Female,34,30-44,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3692,0.1984497571,treated,1.0,0.0,,0.0,,No,,Female,63,60+,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3698,0.2653991874,control,0.0,0.0,0.0,,No,,No,Female,56,45-59,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3702,0.4564476711,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
3706,0.3448103236,control,0.0,0.0,0.0,,No,,No,Female,44,30-44,Post grad study/professional degree,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3708,0.4272284063,treated,1.0,0.0,,0.0,,No,,Female,31,30-44,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3710,0.4094749925,treated,1.0,0.0,,0.0,,No,,Male,29,18-29,Bachelor's degree,Republican,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
3712,0.3193990203,treated,1.0,0.0,,0.0,,No,,Female,79,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
3714,2.1056593911,treated,1.0,0.0,,0.0,,No,,Male,64,60+,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
3718,0.313200919,treated,1.0,0.0,,0.0,,No,,Female,64,60+,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
3729,0.5204207942,treated,1.0,0.0,,0.0,,No,,Female,71,60+,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
3738,1.3152667579,control,0.0,0.0,0.0,,No,,No,Male,29,18-29,Bachelor's degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
3741,0.0818211533,treated,1.0,0.0,,0.0,,No,,Female,47,45-59,Bachelor's degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
3744,1.3924776156,treated,1.0,0.0,,0.0,,No,,Male,44,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3745,2.1541631222,treated,1.0,0.0,,0.0,,No,,Male,45,45-59,Bachelor's degree,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
3747,0.3065307709,control,0.0,0.0,0.0,,No,,No,Female,67,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
3751,0.5427477645,control,0.0,0.0,0.0,,No,,No,Female,69,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
