caseid,peso,grupo_experimental,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,genero,edad,edad_grupo,educacion,ingreso_percentil,ingreso_quintil,asistencia_religiosa,partido,ideologia,voto_2020,dificultades_personales_n,amigos_solo_online_n,redes_frecuencia,redes_politica_n,identidad_blanca_indice,apoyo_violencia_indice,conspiracion_indice,condado_pct_blanco_2019,condado_cambio_pct_blanco,condado_distress,condado_ruralidad,info_pct_correcto
1648757371,1.17326011359999,control,0,0.0,,Man,58,45-64,High school graduate,86.0,81-100%,Seldom,Republican,Very conservative,Trump,1,0.0,1.0,0.0,89.41523419656569,0.0,41.40453330371697,82.86805725097656,-3.8247222900390625,0.33582356572151184,Non-metro,90.0
1648787763,0.566329376112285,treated,0,,0.0,Man,75,65+,Some college,68.0,61-80%,Never,Republican,Moderate,Trump,2,0.0,5.0,0.0,67.2606830259355,0.0,83.59546669628303,95.67505645751953,-1.6993942260742188,-0.6799576282501221,Non-metro,70.0
1648829549,0.574726328649358,treated,0,,0.0,Man,25,18-29,4-year,,,Seldom,Democrat,Moderate,Biden,0,0.0,2.0,0.0,57.661124017976874,0.0,59.403796680078266,40.02138137817383,-9.712039947509766,-0.7231956720352173,Central metro,80.0
1648847645,0.427295634368187,treated,0,,0.0,Man,65,65+,Some college,43.0,41-60%,Seldom,Democrat,Moderate,Biden,0,0.0,8.0,0.0,50.000000000000014,0.0,50.0,67.44738006591797,-6.0000457763671875,-0.09262759238481522,Central metro,100.0
1648847955,1.60522270148526,treated,0,,0.0,Man,26,18-29,High school graduate,22.0,21-40%,Seldom,Republican,Moderate,Trump,4,0.0,1.0,0.0,58.77651528694345,8.391506587126234,66.40453330371697,93.51952362060547,-1.844451904296875,-0.5632306337356567,Suburban metro,30.0
1648848105,0.488333107463085,control,0,0.0,,Woman,26,18-29,4-year,32.0,21-40%,Never,Independent,Very liberal,Biden,1,2.0,2.0,2.0,9.876033265657055,0.0,0.0,71.08880615234375,-2.88812255859375,-0.2626718580722809,Medium/small metro,20.0
1648873071,1.55224407576691,treated,0,,0.0,Man,38,30-44,2-year,22.0,21-40%,Monthly,Republican,Moderate,Trump,1,2.0,1.0,3.0,8.868752226114458,33.333333333333336,13.297365036322171,45.55858612060547,-5.690952301025391,-0.8244234323501587,Central metro,100.0
1648972369,0.6460519282163,control,0,0.0,,Woman,57,45-64,Some college,68.0,61-80%,Never,Democrat,Liberal,Biden,1,1.0,1.0,2.0,97.17662541469711,0.0,18.807593360156535,56.202144622802734,-4.476093292236328,-0.23980557918548584,Central metro,40.0
1649005537,0.256398608108263,treated,0,,0.0,Woman,42,30-44,Some college,68.0,61-80%,Never,Not sure,Very liberal,Biden,0,0.0,2.0,2.0,9.876033265657055,0.0,57.809066607433934,67.56761932373047,-7.674201965332031,-0.9746545553207397,Suburban metro,20.0
1649053145,0.366043399262349,control,0,0.0,,Woman,61,45-64,High school graduate,22.0,21-40%,Never,Independent,Moderate,Trump,2,0.0,2.0,0.0,50.000000000000014,0.0,50.0,35.319244384765625,-7.162967681884766,-0.562179446220398,Central metro,0.0
1649068181,0.312191661478243,treated,0,,0.0,Man,75,65+,High school graduate,22.0,21-40%,Seldom,Democrat,Liberal,Biden,0,,4.0,0.0,49.92983730489593,0.0,0.0,74.90995025634766,-8.443962097167969,-1.1498987674713135,Suburban metro,100.0
1649085999,0.262636120612829,treated,0,,0.0,Woman,40,30-44,2-year,75.0,61-80%,Weekly,Democrat,Moderate,Biden,4,0.0,1.0,0.0,41.754058039489045,10.845628807702655,25.0,69.83511352539062,0.15595245361328125,0.16429030895233154,Non-metro,40.0
1649079315,0.30733335434871,treated,0,,0.0,Woman,37,30-44,2-year,43.0,41-60%,Never,Independent,Moderate,Biden,0,,2.0,0.0,50.000000000000014,0.0,0.0,70.12751770019531,-4.028495788574219,-0.6734936833381653,Medium/small metro,0.0
1649172733,0.726650923926778,control,0,0.0,,Man,40,30-44,2-year,60.0,41-60%,Never,Democrat,Liberal,Biden,1,2.0,4.0,1.0,68.35400005083517,0.0,32.000736623638694,76.84608459472656,-5.20355224609375,-0.2374342381954193,Medium/small metro,90.0
1649183273,0.721477684202116,treated,0,,0.0,Woman,69,65+,High school graduate,81.0,81-100%,Seldom,Democrat,Very liberal,Biden,1,0.0,5.0,0.0,44.48343530288512,0.0,25.0,67.56761932373047,-7.674201965332031,-0.9746545553207397,Suburban metro,80.0
1649195569,0.605115518024306,control,0,0.0,,Man,37,30-44,High school graduate,52.0,41-60%,Seldom,Democrat,Liberal,Biden,0,0.0,2.0,0.0,50.000000000000014,0.0,50.0,68.82722473144531,-6.2554168701171875,-0.9998795986175537,Central metro,80.0
1649195423,0.442993550844036,treated,0,,0.0,Man,58,45-64,No HS,10.0,0-20%,Never,Democrat,Moderate,Biden,0,0.0,5.0,0.0,22.553065927652675,0.0,54.701898340039136,90.46549987792969,-0.9983367919921875,-0.22292190790176392,Non-metro,100.0
1649210423,4.870975198599,control,0,0.0,,Man,44,30-44,High school graduate,1.0,0-20%,Never,Republican,Conservative,Did not vote,0,1.0,4.0,3.0,51.00552065680681,36.02014856908134,37.48903505252694,80.7716293334961,-4.434394836425781,-1.013400673866272,Non-metro,30.0
1649183339,0.677835675180228,control,0,0.0,,Woman,50,45-64,No HS,22.0,21-40%,Yearly,Independent,Moderate,Trump,1,1.0,1.0,0.0,58.420388635319014,0.0,23.405269927355658,55.245628356933594,-9.022911071777344,0.09490387886762619,Central metro,20.0
