phenotype_id,phenotype_name,source,population,gamma,gamma_se,gamma_p,gamma_z,gamma_sign,gamma_sign_se,gamma_sign_p,gamma_sign_z
Pan-UKBB.3257,Treatment speciality of consultant (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.123591146,0.120808603,0.306292404,-1.023032659,-0.159353467,0.126477981,0.207694431,-1.259930511
Pan-UKBB.3307,Patient classification on admission (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.114033234,0.122306427,0.351152141,-0.932356842,-0.087373788,0.127634625,0.493620484,-0.684561793
Pan-UKBB.3314,Destinations on discharge from hospital (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.507259573,0.105545144,1.54e-06,-4.806091073,-0.569573065,0.109586389,2.02e-07,-5.197480002
Pan-UKBB.3343,Methods of admission to hospital (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.247228548,0.110485936,0.025244069,-2.237647231,-0.261198467,0.113060951,0.020874609,-2.310244733
Pan-UKBB.3360,Methods of discharge from hospital (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.4106608,0.125986967,0.001115892,-3.259549853,-0.433492859,0.128709923,0.000757202,-3.367983211
Pan-UKBB.3370,Sources of admission to hospital (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.331257358,0.109763218,0.002545104,-3.01792681,-0.339949146,0.114075921,0.002882244,-2.980025442
Pan-UKBB.3417,PM: final answer,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.041969639,0.113645352,0.711901435,-0.369303611,0.133039245,0.117884534,0.259085371,1.128555549
Pan-UKBB.3418,Final attempt correct,Pan-UKBB (phenotype-manifest-23-03-01),European,0.026626087,0.085746427,0.756164605,0.310521247,-0.168753957,0.088701375,0.05710642,-1.902495396
Pan-UKBB.3436,FI3 : word interpolation,Pan-UKBB (phenotype-manifest-23-03-01),European,0.221111609,0.112656518,0.049680361,1.962705868,0.338013866,0.118059776,0.004195526,2.863073936
Pan-UKBB.3440,FI7 : synonym,Pan-UKBB (phenotype-manifest-23-03-01),European,0.108142131,0.113381445,0.340189763,0.953790374,0.141710484,0.117574027,0.228092404,1.205287316
Pan-UKBB.3441,FI8 : chained arithmetic,Pan-UKBB (phenotype-manifest-23-03-01),European,0.480896407,0.123320869,9.64e-05,3.899554169,0.517846426,0.124868251,3.37e-05,4.147142451
Pan-UKBB.3481,FI9 : concept interpolation,Pan-UKBB (phenotype-manifest-23-03-01),European,0.516573752,0.097197352,1.07e-07,5.314689585,0.54512634,0.100360904,5.58e-08,5.431660331
Pan-UKBB.3522,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.920580283,0.127934544,6.21e-13,-7.195713188,-0.876902267,0.130320874,1.71e-11,-6.72879361
Pan-UKBB.3523,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,0.692341841,0.128146294,6.56e-08,5.4027457,0.707567714,0.13016778,5.45e-08,5.435813015
Pan-UKBB.3524,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,0.369840786,0.120748224,0.002191969,3.062908692,0.422638119,0.124136905,0.0006625789999999999,3.40461298
Pan-UKBB.3525,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.262419186,0.098911596,0.007976381,-2.653067949,-0.443653814,0.103170467,1.71e-05,-4.300201662
Pan-UKBB.3526,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.119097812,0.125354078,0.342065892,-0.950091244,-0.181107244,0.129353976,0.161486287,-1.400090275
Pan-UKBB.3527,Qualifications,Pan-UKBB (phenotype-manifest-23-03-01),European,0.410245767,0.125397528,0.001069552,3.271561847,0.416195517,0.128541601,0.001204437,3.237827392
