t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
-375.84,1,antes,66.93,1.591,106.49,0.001,31,40
-374.84,1,antes,67.48,1.366,92.18,0.0,31,39
-373.84,1,antes,66.64,1.335,88.96,0.001,31,39
-372.84,1,antes,66.8,1.264,84.44,0.001,31,41
-371.84,1,antes,67.19,1.392,93.53,0.001,31,40
-370.84,1,antes,67.32,1.435,96.6,0.001,31,39
-369.84,1,antes,67.13,1.441,96.73,0.001,31,40
-368.84,1,antes,66.8,1.387,92.65,0.001,31,39
-367.84,1,antes,67.42,1.568,105.71,0.001,31,40
-366.84,1,antes,67.45,1.621,109.34,0.001,31,39
-365.84,1,antes,67.48,1.699,114.65,0.001,31,39
-364.84,1,antes,67.32,1.762,118.62,0.001,31,39
-363.84,1,antes,66.83,1.678,112.14,0.001,31,39
-362.84,1,antes,67.0,1.621,108.61,0.001,31,40
-361.84,1,antes,67.48,1.64,110.67,0.002,31,39
-360.84,1,antes,67.09,1.595,107.01,0.001,31,39
-359.84,1,antes,67.22,1.603,107.75,0.001,31,41
-358.84,1,antes,66.93,1.51,101.06,0.001,31,40
-357.84,1,antes,67.06,1.373,92.07,0.0,31,39
-356.84,1,antes,66.93,1.373,91.89,0.001,31,40
-355.84,1,antes,66.74,1.459,97.37,0.001,31,39
-354.84,1,antes,67.65,1.561,105.6,0.001,31,39
-353.84,1,antes,67.09,1.676,112.44,0.0,31,39
-352.84,1,antes,67.58,1.591,107.52,0.001,31,39
-351.84,1,antes,66.9,1.544,103.29,0.001,31,40
-350.84,1,antes,66.93,1.649,110.37,0.001,31,39
-349.84,1,antes,67.13,1.68,112.78,0.001,31,39
-348.84,1,antes,67.48,1.749,118.02,0.0,31,40
-347.84,1,antes,66.74,1.662,110.92,0.001,31,39
-346.84,1,antes,67.26,1.391,93.56,0.001,31,39
-345.84,1,antes,67.55,1.318,89.03,0.001,31,39
-344.84,1,antes,66.64,1.365,90.96,0.001,31,40
-343.84,1,antes,66.87,1.387,92.75,0.0,31,40
-342.84,1,antes,66.96,1.459,97.69,0.001,31,39
-341.84,1,antes,67.0,1.432,95.94,0.001,31,39
-340.84,1,antes,66.93,1.353,90.56,0.002,31,41
-339.84,1,antes,67.55,1.5,101.32,0.001,31,39
-338.83,1,antes,67.16,1.553,104.3,0.001,31,40
-337.83,1,antes,67.42,1.717,115.76,0.001,31,39
-336.83,1,antes,67.39,1.73,116.58,0.001,31,39
-335.83,1,antes,67.0,1.514,101.44,0.001,32,39
-334.83,1,antes,66.8,1.506,100.6,0.001,31,39
-333.83,1,antes,66.96,1.48,99.1,0.0,31,40
-332.83,1,antes,67.19,1.524,102.4,0.001,32,39
-331.83,1,antes,67.03,1.606,107.65,0.0,31,40
-330.83,1,antes,67.39,1.521,102.5,0.001,32,39
-329.83,1,antes,67.13,1.378,92.51,0.001,32,41
-328.83,1,antes,66.61,1.507,100.38,0.0,31,39
-327.83,1,antes,67.35,1.568,105.6,0.001,31,40
-326.83,1,antes,67.48,1.701,114.78,0.001,32,40
-325.83,1,antes,67.42,1.724,116.23,0.001,32,40
-324.83,1,antes,66.93,1.602,107.22,0.001,32,39
-323.83,1,antes,66.67,1.63,108.67,0.0,32,39
-322.83,1,antes,67.13,1.615,108.41,0.001,32,40
-321.83,1,antes,66.96,1.616,108.21,0.0,31,39
-320.83,1,antes,66.57,1.543,102.72,0.001,32,39
-319.83,1,antes,66.77,1.518,101.36,0.001,32,39
-318.83,1,antes,67.13,1.447,97.14,0.0,32,39
-317.83,1,antes,66.8,1.521,101.6,0.0,32,39
-316.83,1,antes,66.96,1.545,103.45,0.0,32,40
-315.83,1,antes,66.64,1.542,102.76,0.001,32,39
-314.83,1,antes,66.9,1.506,100.75,0.001,32,39
-313.83,1,antes,66.77,1.405,93.81,0.001,32,39
-312.83,1,antes,67.48,1.524,102.84,0.0,32,40
-311.83,1,antes,67.22,1.546,103.92,0.001,32,40
-310.83,1,antes,67.19,1.568,105.35,0.001,32,38
-309.83,1,antes,67.09,1.483,99.49,0.001,32,39
-308.83,1,antes,67.0,1.366,91.52,0.0,32,40
-307.83,1,antes,66.74,1.48,98.78,0.001,32,39
-306.83,1,antes,67.0,1.567,104.99,0.0,32,40
-305.83,1,antes,67.39,1.632,109.98,0.001,32,39
-304.83,1,antes,67.55,1.625,109.77,0.001,32,40
-303.83,1,antes,67.0,1.465,98.16,0.0,32,39
-302.83,1,antes,67.39,1.504,101.35,0.001,32,41
-301.83,1,antes,67.55,1.632,110.24,0.001,32,39
-300.83,1,antes,66.77,1.661,110.9,0.001,32,40
-299.83,1,antes,66.8,1.656,110.62,0.001,32,39
-298.83,1,antes,67.48,1.492,100.68,0.001,32,39
-297.83,1,antes,66.64,1.309,87.23,0.001,32,39
-296.83,1,antes,67.16,1.531,102.82,0.0,32,40
-295.83,1,antes,67.03,1.618,108.45,0.001,32,39
-294.83,1,antes,67.22,1.69,113.6,0.001,32,40
-293.83,1,antes,67.0,1.615,108.2,0.0,32,39
-292.83,1,antes,66.9,1.422,95.13,0.001,32,39
