lat,lon,n_celdas_025,inicio_dias_decada,fin_dias_decada,temporada_dias_decada
71.5,-111.5,16,-3.01,5.155,8.165
71.5,-110.5,16,-0.892,5.335,6.226
71.5,-109.5,16,0.39,5.18,4.79
71.5,-108.5,16,-2.735,5.185,7.919
71.5,-107.5,16,-2.596,4.849,7.445
71.5,-106.5,16,-1.762,6.239,8.001
71.5,-105.5,16,1.222,7.753,6.532
71.5,-104.5,16,2.133,6.56,4.428
71.5,-103.5,12,3.391,2.648,-0.743
71.5,-102.5,1,-0.267,14.16,14.428
71.5,-101.5,4,7.804,23.024,15.22
71.5,-100.5,6,0.117,15.065,14.948
71.5,-99.5,14,-2.863,11.625,14.489
71.5,-98.5,16,-3.624,9.556,13.181
71.5,-97.5,16,-0.796,12.94,13.736
71.5,-96.5,16,-1.151,7.959,9.11
71.5,-95.5,16,-0.948,5.17,6.118
71.5,-94.5,16,2.234,3.854,1.62
71.5,-93.5,16,3.294,6.961,3.667
71.5,-92.5,10,2.46,6.793,4.333
71.5,-91.5,4,0.598,10.66,10.062
71.5,-90.5,12,-2.298,13.501,15.799
71.5,-89.5,16,-4.339,10.542,14.881
71.5,-88.5,16,-3.816,6.079,9.895
71.5,-87.5,16,-1.533,3.815,5.348
71.5,-86.5,16,-2.241,3.316,5.557
71.5,-85.5,16,-3.755,2.704,6.459
71.5,-84.5,16,-4.943,1.892,6.835
71.5,-83.5,16,-6.225,3.95,10.175
71.5,-82.5,16,-3.398,5.157,8.555
71.5,-81.5,16,0.211,6.373,6.162
71.5,-80.5,16,1.762,5.29,3.528
71.5,-79.5,16,3.486,5.924,2.438
71.5,-78.5,16,3.086,7.42,4.335
71.5,-77.5,16,2.955,7.749,4.794
71.5,-76.5,16,2.491,5.295,2.804
71.5,-75.5,16,2.798,2.253,-0.544
71.5,-74.5,16,2.61,2.294,-0.316
71.5,-73.5,16,1.833,4.106,2.273
71.5,-72.5,16,3.629,8.028,4.4
71.5,-71.5,14,3.594,12.209,8.615
71.5,-70.5,9,3.804,15.075,11.271
71.5,-56.5,6,7.701,8.528,0.827
71.5,-55.5,15,6.851,6.506,-0.345
71.5,-54.5,16,9.681,10.589,0.908
71.5,-53.5,16,7.029,10.484,3.455
71.5,-52.5,16,7.084,4.13,-2.954
71.5,-51.5,16,6.124,8.812,2.689
71.5,-50.5,16,2.682,10.418,7.736
71.5,-49.5,16,0.328,10.532,10.204
71.5,-48.5,16,2.605,10.33,7.724
71.5,-47.5,16,4.489,11.856,7.366
71.5,-46.5,16,3.755,12.598,8.843
71.5,-45.5,16,3.863,12.258,8.395
71.5,-44.5,16,2.156,10.74,8.584
71.5,-43.5,16,3.254,11.054,7.8
71.5,-42.5,16,5.266,12.395,7.128
71.5,-41.5,16,5.059,11.073,6.014
71.5,-40.5,16,7.14,11.897,4.757
71.5,-39.5,16,7.709,12.334,4.625
71.5,-38.5,16,6.188,14.175,7.987
71.5,-37.5,16,3.32,13.119,9.799
71.5,-36.5,16,3.449,11.499,8.05
71.5,-35.5,16,4.326,12.213,7.887
71.5,-34.5,16,5.254,16.225,10.971
71.5,-33.5,16,4.6,17.59,12.99
71.5,-32.5,16,2.741,16.403,13.661
71.5,-31.5,16,4.28,17.587,13.307
71.5,-30.5,16,5.268,18.706,13.438
71.5,-29.5,16,5.901,15.429,9.528
71.5,-28.5,16,3.766,15.24,11.473
71.5,-27.5,16,0.491,15.305,14.814
71.5,-26.5,16,-0.197,13.215,13.411
71.5,-25.5,16,1.802,12.206,10.404
71.5,-24.5,16,2.851,10.142,7.291
71.5,-23.5,16,-1.544,10.292,11.836
71.5,-22.5,16,-0.0,18.022,18.022
71.5,-21.5,16,4.252,27.341,23.089
71.5,-20.5,4,8.94,28.242,19.302
71.5,-8.5,5,-11.909,12.877,24.787
71.5,-7.5,8,-15.028,9.19,24.218
71.5,-6.5,4,-20.4,4.183,24.583
71.5,23.5,4,-9.652,-0.081,9.572
71.5,24.5,8,-11.978,1.84,13.818
71.5,25.5,8,-11.512,3.155,14.668
71.5,26.5,8,-10.603,5.53,16.133
71.5,27.5,8,-9.719,5.39,15.109
71.5,28.5,6,-9.909,6.088,15.997
71.5,29.5,1,-8.972,8.571,17.543
71.5,51.5,16,3.007,22.217,19.21
71.5,52.5,16,-0.265,15.659,15.924
71.5,53.5,16,0.536,12.947,12.41
71.5,54.5,16,-2.246,11.77,14.016
71.5,55.5,16,2.299,15.892,13.592
71.5,56.5,13,7.76,24.19,16.43
71.5,57.5,2,3.727,27.508,23.78
71.5,66.5,5,2.999,23.273,20.274
71.5,67.5,11,-4.83,11.593,16.423
71.5,68.5,16,-8.727,4.633,13.36
71.5,69.5,16,-8.214,-0.366,7.848
71.5,70.5,16,-7.777,-0.355,7.422
71.5,71.5,16,-10.804,0.7,11.503
71.5,72.5,16,-2.503,20.291,22.794
71.5,73.5,16,-5.178,16.863,22.041
71.5,74.5,16,-10.162,0.733,10.895
71.5,75.5,16,-9.715,5.173,14.889
71.5,76.5,16,-8.103,10.393,18.496
71.5,77.5,16,-7.607,6.773,14.38
71.5,78.5,16,-7.942,-0.995,6.946
71.5,79.5,16,-6.913,-1.903,5.009
71.5,80.5,16,-8.129,-0.691,7.438
71.5,81.5,16,-8.261,5.945,14.207
71.5,82.5,16,-5.959,7.187,13.146
71.5,83.5,16,-7.511,0.231,7.741
71.5,84.5,16,-10.355,-4.105,6.25
71.5,85.5,16,-9.812,-3.542,6.27
71.5,86.5,16,-9.073,-3.579,5.494
71.5,87.5,16,-10.682,-5.072,5.61
71.5,88.5,16,-12.263,-4.958,7.304
71.5,89.5,16,-12.988,-4.891,8.097
71.5,90.5,16,-13.708,-4.115,9.593
71.5,91.5,16,-14.241,-3.739,10.502
71.5,92.5,16,-14.13,-2.097,12.033
71.5,93.5,16,-12.03,-1.898,10.133
71.5,94.5,16,-13.476,-3.055,10.421
71.5,95.5,16,-14.406,-2.57,11.836
71.5,96.5,16,-13.828,-2.032,11.796
71.5,97.5,16,-13.596,1.392,14.987
71.5,98.5,16,-14.129,0.218,14.347
71.5,99.5,16,-15.693,-1.132,14.561
71.5,100.5,16,-16.19,-1.588,14.602
71.5,101.5,16,-17.25,-1.126,16.125
71.5,102.5,16,-17.936,-0.493,17.443
71.5,103.5,16,-20.186,-1.027,19.159
71.5,104.5,16,-18.413,-0.248,18.164
71.5,105.5,16,-18.781,0.149,18.93
71.5,106.5,16,-18.384,0.472,18.856
71.5,107.5,16,-18.067,0.787,18.854
71.5,108.5,16,-18.363,0.444,18.807
71.5,109.5,16,-16.294,0.579,16.873
71.5,110.5,16,-15.033,1.094,16.127
71.5,111.5,16,-14.392,1.171,15.563
71.5,112.5,16,-13.543,-0.652,12.891
71.5,113.5,16,-14.353,-1.484,12.869
71.5,114.5,16,-12.025,0.104,12.129
71.5,115.5,16,-11.616,0.825,12.441
71.5,116.5,16,-10.455,1.348,11.804
71.5,117.5,16,-8.385,3.227,11.612
71.5,118.5,16,-9.443,1.629,11.072
71.5,119.5,16,-10.569,1.857,12.426
71.5,120.5,16,-9.744,4.736,14.48
71.5,121.5,16,-6.994,6.159,13.153
71.5,122.5,16,-3.812,5.864,9.676
71.5,123.5,16,-2.759,7.007,9.766
71.5,124.5,16,-2.298,6.679,8.978
71.5,125.5,16,-1.049,6.168,7.217
71.5,126.5,16,-1.426,7.756,9.182
71.5,127.5,16,-0.439,7.659,8.097
71.5,128.5,16,-1.868,9.523,11.391
71.5,129.5,16,3.044,16.949,13.905
71.5,130.5,10,7.03,26.587,19.558
71.5,131.5,13,8.488,27.94,19.452
71.5,132.5,16,3.625,16.013,12.388
71.5,133.5,15,1.396,11.181,9.785
71.5,134.5,12,3.243,11.344,8.102
71.5,135.5,15,0.703,9.108,8.405
71.5,136.5,15,-1.363,8.22,9.584
71.5,137.5,12,-3.058,8.582,11.639
71.5,138.5,15,-4.55,12.838,17.388
71.5,139.5,16,-6.962,12.818,19.781
71.5,140.5,16,-10.95,7.566,18.517
71.5,141.5,16,-10.854,5.433,16.287
71.5,142.5,16,-10.242,6.158,16.4
71.5,143.5,16,-6.891,7.251,14.143
71.5,144.5,16,-5.661,8.188,13.85
71.5,145.5,16,-4.096,7.607,11.703
71.5,146.5,16,-3.971,6.378,10.349
71.5,147.5,16,-4.903,7.178,12.081
71.5,148.5,16,-5.307,6.842,12.149
71.5,149.5,16,-6.075,7.127,13.203
71.5,150.5,16,-5.36,10.653,16.013
71.5,151.5,12,-4.019,16.239,20.258
71.5,152.5,6,-3.254,21.234,24.488
71.5,177.5,1,8.547,24.863,16.315
71.5,178.5,6,4.336,16.104,11.768
71.5,179.5,12,0.265,9.341,9.075
70.5,-179.5,16,0.928,15.412,14.484
70.5,-178.5,8,-1.51,9.42,10.93
70.5,-177.5,8,0.091,13.027,12.936
70.5,-176.5,2,1.233,15.431,14.199
70.5,-175.5,4,3.005,13.432,10.427
70.5,-163.5,1,3.478,14.801,11.323
70.5,-162.5,5,6.29,12.585,6.295
70.5,-161.5,8,5.126,7.832,2.705
70.5,-160.5,10,2.144,6.604,4.461
70.5,-159.5,16,3.562,4.323,0.761
70.5,-158.5,16,2.061,1.557,-0.503
70.5,-157.5,16,0.036,-1.653,-1.689
70.5,-156.5,16,-1.669,-2.392,-0.723
70.5,-155.5,16,-6.068,-1.626,4.441
70.5,-154.5,16,-6.96,-0.777,6.183
70.5,-153.5,16,-5.801,-0.517,5.284
70.5,-152.5,16,-5.546,2.161,7.707
70.5,-151.5,15,-3.975,3.636,7.611
70.5,-150.5,9,-1.647,4.471,6.117
70.5,-149.5,12,-0.624,4.826,5.451
70.5,-148.5,9,0.825,5.835,5.009
70.5,-147.5,8,2.049,7.806,5.757
70.5,-146.5,7,0.901,7.38,6.48
70.5,-145.5,4,-1.846,10.796,12.642
70.5,-144.5,4,-4.374,14.434,18.809
70.5,-143.5,4,0.106,14.147,14.041
70.5,-142.5,4,1.062,16.623,15.561
70.5,-131.5,3,0.081,16.355,16.274
70.5,-130.5,5,4.493,18.911,14.418
70.5,-129.5,8,5.499,19.717,14.218
70.5,-128.5,10,1.016,14.742,13.725
70.5,-127.5,11,2.642,15.456,12.814
70.5,-126.5,6,10.062,25.04,14.978
70.5,-125.5,3,4.613,23.363,18.75
70.5,-124.5,4,7.052,15.069,8.017
70.5,-123.5,8,2.082,18.538,16.456
70.5,-122.5,7,0.275,17.313,17.038
70.5,-121.5,3,7.886,21.627,13.74
70.5,-118.5,11,-0.786,18.703,19.489
70.5,-117.5,16,-1.036,11.189,12.226
70.5,-116.5,16,-3.813,7.959,11.771
70.5,-115.5,16,-2.341,8.361,10.702
70.5,-114.5,16,-1.819,9.462,11.281
70.5,-113.5,16,-2.31,13.587,15.897
70.5,-112.5,16,-3.13,7.642,10.772
70.5,-111.5,16,-1.433,4.582,6.015
70.5,-110.5,16,-2.846,6.826,9.671
70.5,-109.5,16,-1.061,7.833,8.894
70.5,-108.5,16,1.416,8.193,6.777
70.5,-107.5,16,-0.741,5.111,5.853
70.5,-106.5,16,1.306,4.965,3.659
70.5,-105.5,16,0.534,6.071,5.537
70.5,-104.5,16,1.76,7.149,5.389
70.5,-103.5,16,1.906,6.702,4.796
70.5,-102.5,12,2.299,5.355,3.056
70.5,-101.5,12,4.205,6.656,2.451
70.5,-100.5,16,2.774,5.534,2.76
70.5,-99.5,12,1.068,10.5,9.432
70.5,-98.5,4,2.742,17.378,14.636
70.5,-97.5,11,-0.131,14.093,14.224
70.5,-96.5,16,-1.529,12.142,13.672
70.5,-95.5,16,-1.236,5.224,6.459
70.5,-94.5,16,0.539,6.508,5.969
70.5,-93.5,16,0.139,6.679,6.539
70.5,-92.5,16,0.008,4.419,4.412
70.5,-91.5,13,-4.148,7.641,11.789
70.5,-90.5,6,-5.552,12.056,17.607
70.5,-89.5,12,-3.929,12.348,16.277
70.5,-88.5,16,-5.506,6.469,11.975
70.5,-87.5,16,-4.867,5.461,10.327
70.5,-86.5,16,-4.075,3.739,7.814
70.5,-85.5,16,-1.788,5.118,6.906
70.5,-84.5,16,-1.599,6.512,8.111
70.5,-83.5,16,-0.326,4.913,5.239
70.5,-82.5,16,0.623,5.775,5.152
70.5,-81.5,16,1.701,7.624,5.924
70.5,-80.5,16,1.215,6.725,5.51
70.5,-79.5,16,2.133,5.356,3.223
70.5,-78.5,16,3.547,4.455,0.907
70.5,-77.5,16,2.851,4.347,1.496
70.5,-76.5,16,1.164,3.613,2.449
70.5,-75.5,16,1.544,3.5,1.956
70.5,-74.5,16,-1.328,2.634,3.962
70.5,-73.5,16,-1.823,0.992,2.814
70.5,-72.5,16,0.53,1.776,1.246
70.5,-71.5,16,2.117,3.782,1.665
70.5,-70.5,16,2.665,3.631,0.966
70.5,-69.5,16,3.37,2.666,-0.704
70.5,-68.5,13,6.244,4.96,-1.284
70.5,-67.5,12,5.477,18.324,12.847
70.5,-66.5,1,1.219,16.565,15.346
70.5,-55.5,5,4.042,5.987,1.945
70.5,-54.5,16,6.456,6.876,0.42
70.5,-53.5,16,3.792,5.268,1.476
70.5,-52.5,16,2.488,6.564,4.076
70.5,-51.5,16,2.771,3.669,0.899
70.5,-50.5,16,3.34,6.588,3.248
70.5,-49.5,16,3.005,8.932,5.927
70.5,-48.5,16,3.043,9.561,6.518
70.5,-47.5,16,5.966,10.594,4.628
70.5,-46.5,16,2.386,9.259,6.873
70.5,-45.5,16,3.014,8.396,5.382
70.5,-44.5,16,5.319,8.645,3.326
70.5,-43.5,16,4.708,7.486,2.778
70.5,-42.5,16,2.82,7.545,4.725
70.5,-41.5,16,3.476,8.568,5.092
70.5,-40.5,16,4.331,9.759,5.428
70.5,-39.5,16,3.658,9.353,5.694
70.5,-38.5,16,2.982,11.393,8.411
70.5,-37.5,16,3.82,12.64,8.819
70.5,-36.5,16,4.031,12.322,8.291
70.5,-35.5,16,2.992,13.636,10.645
70.5,-34.5,16,3.247,15.323,12.076
70.5,-33.5,16,4.313,17.852,13.539
70.5,-32.5,16,3.271,16.984,13.713
70.5,-31.5,16,3.511,16.816,13.305
70.5,-30.5,16,5.52,16.618,11.097
70.5,-29.5,16,3.487,11.809,8.322
70.5,-28.5,16,3.461,14.322,10.862
70.5,-27.5,16,-1.198,15.22,16.418
70.5,-26.5,16,0.815,7.933,7.118
70.5,-25.5,16,5.507,16.168,10.661
70.5,-24.5,16,3.001,16.621,13.62
70.5,-23.5,16,-3.008,7.838,10.845
70.5,-22.5,16,-0.954,13.686,14.64
70.5,-21.5,16,7.465,22.012,14.548
70.5,-20.5,4,13.624,28.628,15.003
70.5,-9.5,6,-12.428,9.551,21.979
70.5,-8.5,12,-12.769,11.903,24.672
70.5,-7.5,8,-12.091,13.017,25.108
70.5,17.5,2,-8.527,5.806,14.333
70.5,18.5,6,-7.025,4.492,11.517
70.5,19.5,8,-5.881,6.263,12.144
70.5,20.5,8,-5.62,6.283,11.903
70.5,21.5,12,-7.007,6.937,13.944
70.5,22.5,14,-7.229,4.793,12.021
70.5,23.5,16,-6.628,3.909,10.538
70.5,24.5,16,-8.999,1.304,10.303
70.5,25.5,16,-10.345,-0.669,9.676
70.5,26.5,16,-10.533,0.574,11.107
70.5,27.5,16,-7.934,3.264,11.198
70.5,28.5,16,-7.973,4.982,12.955
70.5,29.5,16,-5.802,8.51,14.312
70.5,30.5,14,-6.215,9.999,16.214
70.5,31.5,7,-8.777,8.523,17.3
70.5,32.5,4,-4.729,13.536,18.265
70.5,52.5,7,6.366,25.124,18.758
70.5,53.5,12,4.663,23.338,18.675
70.5,54.5,12,0.329,15.494,15.165
70.5,55.5,12,-0.472,14.707,15.179
70.5,56.5,15,2.44,19.66,17.22
70.5,57.5,16,6.952,24.89,17.938
70.5,58.5,12,5.651,27.267,21.616
70.5,59.5,8,-0.024,21.517,21.541
70.5,60.5,2,-0.128,25.478,25.606
70.5,65.5,3,4.742,31.674,26.932
70.5,66.5,15,5.891,30.204,24.312
70.5,67.5,16,-7.136,10.269,17.405
70.5,68.5,16,-11.001,-1.548,9.453
70.5,69.5,16,-10.35,-2.4,7.95
70.5,70.5,16,-11.916,-4.096,7.821
70.5,71.5,16,-9.164,-4.583,4.581
70.5,72.5,16,-1.964,17.373,19.338
70.5,73.5,16,0.214,25.564,25.35
70.5,74.5,16,-6.727,1.574,8.3
70.5,75.5,16,-7.744,-2.512,5.231
70.5,76.5,16,-5.152,-1.386,3.766
70.5,77.5,16,-4.054,-1.344,2.709
70.5,78.5,16,-4.761,-3.352,1.408
70.5,79.5,16,-7.161,-3.646,3.515
70.5,80.5,16,-8.721,-3.236,5.485
70.5,81.5,16,-9.986,-3.609,6.376
70.5,82.5,16,-6.942,-1.458,5.484
70.5,83.5,16,-8.137,-2.591,5.546
70.5,84.5,16,-10.325,-4.696,5.629
70.5,85.5,16,-10.803,-3.957,6.846
70.5,86.5,16,-13.364,-4.892,8.471
70.5,87.5,16,-13.685,-5.678,8.007
70.5,88.5,16,-12.691,-6.552,6.139
70.5,89.5,16,-11.996,-4.693,7.303
70.5,90.5,16,-12.377,-2.795,9.582
70.5,91.5,16,-10.857,-1.644,9.213
70.5,92.5,16,-11.727,-1.1,10.626
70.5,93.5,16,-13.936,0.116,14.052
70.5,94.5,16,-13.258,-0.323,12.934
70.5,95.5,16,-13.946,-0.957,12.989
70.5,96.5,16,-13.657,-1.75,11.907
70.5,97.5,16,-13.67,-2.829,10.841
70.5,98.5,16,-13.184,-4.068,9.116
70.5,99.5,16,-13.855,-3.939,9.915
70.5,100.5,16,-13.803,-3.418,10.385
70.5,101.5,16,-13.87,-3.052,10.818
70.5,102.5,16,-14.612,-2.987,11.625
70.5,103.5,16,-15.081,-2.374,12.706
70.5,104.5,16,-16.961,-2.255,14.706
70.5,105.5,16,-17.677,-1.993,15.684
70.5,106.5,16,-17.584,-1.019,16.565
70.5,107.5,16,-17.448,0.06,17.508
70.5,108.5,16,-17.633,0.736,18.369
70.5,109.5,16,-17.863,0.826,18.689
70.5,110.5,16,-14.268,0.803,15.071
70.5,111.5,16,-12.156,0.172,12.327
70.5,112.5,16,-10.769,0.192,10.961
70.5,113.5,16,-9.424,0.808,10.231
70.5,114.5,16,-9.088,0.531,9.619
70.5,115.5,16,-8.056,2.913,10.968
70.5,116.5,16,-7.216,4.824,12.04
70.5,117.5,16,-8.651,3.846,12.497
70.5,118.5,16,-9.129,4.673,13.802
70.5,119.5,16,-8.226,7.005,15.23
70.5,120.5,16,-6.305,7.356,13.662
70.5,121.5,16,-6.367,6.963,13.33
70.5,122.5,16,-6.295,6.424,12.719
70.5,123.5,16,-4.529,8.533,13.062
70.5,124.5,16,-3.245,7.683,10.928
70.5,125.5,16,-1.697,5.28,6.977
70.5,126.5,16,-3.762,3.391,7.153
70.5,127.5,16,-3.661,2.445,6.106
70.5,128.5,16,-0.408,3.403,3.812
70.5,129.5,16,-2.953,3.541,6.495
70.5,130.5,16,-2.289,7.712,10.001
70.5,131.5,16,-0.846,8.049,8.895
70.5,132.5,16,-1.353,1.361,2.714
70.5,133.5,16,-0.574,0.164,0.738
70.5,134.5,16,1.028,0.264,-0.764
70.5,135.5,16,-1.83,-1.854,-0.024
70.5,136.5,16,-4.61,-0.694,3.916
70.5,137.5,16,-5.532,1.782,7.314
70.5,138.5,16,-8.58,4.167,12.747
70.5,139.5,16,-7.961,6.564,14.524
70.5,140.5,16,-11.02,7.989,19.009
70.5,141.5,16,-13.347,5.429,18.775
70.5,142.5,16,-12.16,5.963,18.123
70.5,143.5,16,-10.836,6.814,17.649
70.5,144.5,16,-7.632,7.908,15.539
70.5,145.5,16,-6.529,9.534,16.063
70.5,146.5,16,-7.898,8.998,16.896
70.5,147.5,16,-7.757,6.054,13.811
70.5,148.5,16,-8.648,6.877,15.525
70.5,149.5,16,-9.614,5.504,15.118
70.5,150.5,16,-9.317,4.065,13.381
70.5,151.5,16,-8.311,5.504,13.815
70.5,152.5,16,-6.407,7.211,13.617
70.5,153.5,16,-6.049,9.273,15.322
70.5,154.5,16,-3.993,10.352,14.345
70.5,155.5,16,-4.651,7.878,12.529
70.5,156.5,16,-7.723,8.082,15.804
70.5,157.5,16,-8.834,7.981,16.814
70.5,158.5,16,-10.28,10.375,20.654
70.5,159.5,16,-11.327,11.915,23.242
70.5,160.5,15,-7.567,18.255,25.822
70.5,161.5,12,-2.07,24.881,26.951
70.5,162.5,10,1.509,27.614,26.106
70.5,163.5,2,0.303,26.31,26.007
70.5,167.5,1,0.221,16.377,16.156
70.5,168.5,4,1.338,17.148,15.81
70.5,169.5,4,-3.025,22.872,25.897
70.5,170.5,4,-2.491,19.847,22.338
70.5,171.5,4,-1.407,17.696,19.103
70.5,172.5,4,2.9,16.538,13.639
70.5,173.5,4,2.446,14.715,12.27
70.5,177.5,1,8.961,23.371,14.41
70.5,178.5,7,8.657,16.32,7.662
70.5,179.5,15,3.538,17.882,14.344
69.5,-179.5,13,-0.58,17.311,17.891
69.5,-178.5,2,-2.314,16.68,18.994
69.5,-166.5,2,1.706,10.84,9.133
69.5,-165.5,4,3.911,11.398,7.487
69.5,-164.5,4,7.041,12.675,5.634
69.5,-163.5,11,7.276,9.47,2.194
69.5,-162.5,16,-3.889,-0.203,3.686
69.5,-161.5,16,-5.56,-1.972,3.587
69.5,-160.5,16,-3.825,-3.858,-0.033
69.5,-159.5,16,-3.489,-5.191,-1.701
69.5,-158.5,16,-3.23,-5.025,-1.795
69.5,-157.5,16,-3.904,-6.088,-2.184
69.5,-156.5,16,-1.182,-6.339,-5.157
69.5,-155.5,16,0.062,-5.904,-5.966
69.5,-154.5,16,0.477,-4.881,-5.358
69.5,-153.5,16,-2.427,-4.709,-2.283
69.5,-152.5,16,-3.106,-5.292,-2.187
69.5,-151.5,16,-1.119,-5.722,-4.603
69.5,-150.5,16,0.375,-4.858,-5.234
69.5,-149.5,16,0.974,-2.492,-3.465
69.5,-148.5,16,-0.273,-1.168,-0.895
69.5,-147.5,16,-0.486,0.698,1.184
69.5,-146.5,16,1.028,2.442,1.414
69.5,-145.5,16,0.7,3.219,2.519
69.5,-144.5,16,-2.068,0.462,2.529
69.5,-143.5,16,-2.904,2.072,4.976
69.5,-142.5,16,-4.004,1.132,5.136
69.5,-141.5,16,-3.933,5.091,9.024
69.5,-140.5,15,-2.732,3.539,6.271
69.5,-139.5,12,-6.435,1.35,7.785
69.5,-138.5,12,-3.602,8.901,12.503
69.5,-137.5,7,5.423,22.966,17.543
69.5,-136.5,9,6.633,22.186,15.553
69.5,-135.5,14,2.627,16.954,14.327
69.5,-134.5,16,-0.375,9.247,9.622
69.5,-133.5,13,-5.42,4.096,9.516
69.5,-132.5,16,-6.942,3.82,10.762
69.5,-131.5,16,-5.751,4.406,10.157
69.5,-130.5,16,-4.55,1.708,6.258
69.5,-129.5,16,-1.394,6.21,7.605
69.5,-128.5,16,-3.901,3.77,7.672
69.5,-127.5,16,-6.214,-0.368,5.846
69.5,-126.5,16,-2.835,5.051,7.886
69.5,-125.5,15,-1.263,8.229,9.491
69.5,-124.5,16,-3.364,2.324,5.688
69.5,-123.5,16,-0.966,8.775,9.741
69.5,-122.5,16,-3.299,5.973,9.272
69.5,-121.5,16,-2.359,6.924,9.284
69.5,-120.5,13,-2.503,0.364,2.867
69.5,-119.5,9,-2.321,-0.66,1.661
69.5,-118.5,10,-2.429,6.04,8.468
69.5,-117.5,15,-0.512,12.397,12.909
69.5,-116.5,16,-0.886,10.402,11.288
69.5,-115.5,16,-1.109,9.87,10.979
69.5,-114.5,16,-2.654,7.397,10.051
69.5,-113.5,16,-4.315,2.305,6.62
69.5,-112.5,16,-4.286,1.918,6.205
69.5,-111.5,16,-2.611,4.885,7.496
69.5,-110.5,16,-0.421,6.788,7.208
69.5,-109.5,16,-0.169,3.872,4.041
69.5,-108.5,16,0.276,3.347,3.072
69.5,-107.5,16,-0.361,4.841,5.202
69.5,-106.5,16,2.252,9.556,7.303
69.5,-105.5,16,2.465,7.146,4.682
69.5,-104.5,16,2.035,6.145,4.11
69.5,-103.5,16,3.737,11.988,8.251
69.5,-102.5,16,3.238,10.967,7.729
69.5,-101.5,16,4.264,10.993,6.728
69.5,-100.5,16,4.378,13.132,8.754
69.5,-99.5,10,3.048,14.412,11.364
69.5,-98.5,14,0.68,6.241,5.561
69.5,-97.5,16,-0.192,6.038,6.23
69.5,-96.5,16,-2.556,9.455,12.011
69.5,-95.5,16,-0.873,15.09,15.963
69.5,-94.5,16,-1.808,14.118,15.926
69.5,-93.5,16,-2.152,6.71,8.862
69.5,-92.5,16,-0.517,6.356,6.873
69.5,-91.5,16,-1.595,4.691,6.286
69.5,-90.5,16,-4.257,5.994,10.251
69.5,-89.5,9,-3.344,2.702,6.046
69.5,-88.5,9,-4.06,3.787,7.848
69.5,-87.5,8,-1.98,8.034,10.015
69.5,-86.5,8,-1.833,7.455,9.287
69.5,-85.5,16,-3.324,5.398,8.722
69.5,-84.5,16,0.013,7.825,7.812
69.5,-83.5,16,-0.091,6.908,6.998
69.5,-82.5,16,-1.24,6.796,8.036
69.5,-81.5,16,0.834,11.211,10.376
69.5,-80.5,16,3.567,17.183,13.616
69.5,-79.5,16,5.025,14.855,9.83
69.5,-78.5,16,4.342,14.191,9.849
69.5,-77.5,16,1.469,12.355,10.887
69.5,-76.5,16,-0.528,7.799,8.327
69.5,-75.5,16,-1.517,3.29,4.807
69.5,-74.5,16,-0.592,-1.874,-1.282
69.5,-73.5,16,-0.375,-0.636,-0.261
69.5,-72.5,16,-0.088,-0.718,-0.63
69.5,-71.5,16,0.161,-3.418,-3.579
69.5,-70.5,16,-0.041,-2.683,-2.642
69.5,-69.5,16,0.333,-0.658,-0.992
69.5,-68.5,16,2.898,2.508,-0.39
69.5,-67.5,16,5.942,5.312,-0.63
69.5,-66.5,15,5.666,12.016,6.351
69.5,-55.5,3,1.047,4.864,3.817
69.5,-54.5,14,1.941,0.818,-1.123
69.5,-53.5,16,-0.64,2.077,2.717
69.5,-52.5,16,-0.136,1.749,1.885
69.5,-51.5,16,-2.624,3.991,6.615
69.5,-50.5,16,-4.315,-1.96,2.355
69.5,-49.5,16,3.636,2.715,-0.92
69.5,-48.5,16,8.564,6.857,-1.707
69.5,-47.5,16,7.057,6.983,-0.074
69.5,-46.5,16,2.566,6.875,4.31
69.5,-45.5,16,2.907,5.514,2.607
69.5,-44.5,16,4.863,7.037,2.174
69.5,-43.5,16,5.034,7.568,2.534
69.5,-42.5,16,4.06,4.519,0.46
69.5,-41.5,16,3.603,6.396,2.793
69.5,-40.5,16,3.645,7.255,3.61
69.5,-39.5,16,-0.238,6.494,6.732
69.5,-38.5,16,0.114,6.834,6.72
69.5,-37.5,16,0.506,6.257,5.751
69.5,-36.5,16,1.38,7.156,5.777
69.5,-35.5,16,2.285,11.309,9.024
69.5,-34.5,16,2.438,12.21,9.773
69.5,-33.5,16,3.783,13.361,9.579
69.5,-32.5,16,4.957,15.279,10.321
69.5,-31.5,16,3.172,14.924,11.751
69.5,-30.5,16,2.936,14.637,11.701
69.5,-29.5,16,-0.112,10.86,10.972
69.5,-28.5,16,-0.237,11.552,11.789
69.5,-27.5,16,0.371,10.401,10.03
69.5,-26.5,16,2.417,9.025,6.609
69.5,-25.5,16,0.642,11.336,10.694
69.5,-24.5,16,1.461,11.891,10.43
69.5,-23.5,12,2.939,15.13,12.19
69.5,-22.5,10,8.564,25.671,17.107
69.5,-21.5,5,12.729,30.982,18.253
69.5,15.5,5,-5.93,10.383,16.312
69.5,16.5,9,-4.894,10.145,15.04
69.5,17.5,14,-4.665,9.078,13.743
69.5,18.5,16,-6.254,7.133,13.387
69.5,19.5,16,-7.388,6.111,13.499
69.5,20.5,16,-4.421,4.636,9.057
69.5,21.5,16,-3.661,5.949,9.61
69.5,22.5,16,-2.919,6.454,9.373
