anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1942,10.25849637146459,191.1978796834144,73.91052052060887,286.3576429356401,49.7370694921141,168.9522420571017,780.4138510603437,74.28954890591453,557.8327581622824,66.69549810595662,222.5810928980613,9.102043207247151,7.678768519038393,0.1563687026969428
1943,12.67266371276865,192.3382249246285,77.45471032040041,302.8008518583091,49.7370694921141,173.9883437502112,808.991864058432,76.0012634770844,586.8102267026428,69.12324812839282,222.1816373557892,9.36412426768148,7.750746497698307,0.1722935027198907
1944,14.73966667133587,193.9347087839364,80.04614547366717,296.4136981003638,49.7370694921141,176.0780062547732,810.9492947761905,74.807660651754,760.2776047806519,88.23331979554352,50.6716899955386,9.626839457507003,7.767162101906498,0.1931763133486485
1945,14.17384056899778,195.531192526839,77.53699002357008,279.911307651616,49.7370694921141,172.1234518972243,789.0138521603612,71.38334452824718,690.8681718299825,78.99317420442064,98.1456803303787,9.882448439820115,7.798957383318842,0.2108274148040178
1946,16.08846253759353,197.1276752076181,82.66636982972253,254.286663717147,49.7370694921141,170.6554317375601,770.5616725217553,68.64230632268983,898.0384398651414,101.1633644322151,-127.4767673433861,10.1320796527367,7.7576600009218275,0.2343467218177202
1947,19.36521402843523,198.7241581927393,86.25043048483994,295.519054155072,49.7370694921141,171.603392033538,821.1993183867386,73.03119764279245,886.5044567733889,98.38824629031686,-65.30513838665036,10.39811544092257,7.73650374375711,0.2559705854669094
1948,19.04858073112151,200.3206417118776,81.92600761458334,281.2004084673903,49.7370694921141,172.5372202687921,804.7699282858789,71.49038137336063,822.2754554816089,89.91115579448923,-17.50552719573,10.658828762750971,7.730832651951683,0.2747014869993645
1949,19.26344071548445,200.7007562950368,83.75336290853298,247.9579713077258,49.7370694921141,170.3027883556174,771.7153890745114,67.58160218817687,852.061501704512,91.7912226477062,-80.34611263000056,10.90883373376206,7.704803719727061,0.2937096753174226
1950,22.64705983667391,210.8371584207706,82.19128502787052,275.1696842969282,49.7370694921141,169.145642190605,809.7278992649623,70.82783816364699,768.0263025064218,81.51551226340459,41.70159675854052,11.17115324021299,7.718313371907562,0.309085355294938
1951,28.1671753316818,222.0527287609039,85.48779203963679,272.2510998061342,49.7370694921141,172.156724305865,829.8525897363359,71.05217623732096,768.7663622810057,80.3882358788527,61.08622745533012,11.43999234278593,7.738102870394124,0.3235919536892189
