anio,potencial_cdr_GtCO2,potencial_cdr_sd_GtCO2,scepter_P_cdr_GtCO2,scepter_PET_cdr_GtCO2,scepter_incert_min_GtCO2,scepter_incert_max_GtCO2,rio_cdr_GtCO2,rio_cdr_sd_GtCO2,IPCC_emision_acum_GtCO2,EEUU_emision_acum_GtCO2
1985,0.2840169,0.03062271,0.196223267371559,0.0616376732092615,0.04537927,0.21991518,0.107607088427488,0.0592504414408802,0.2840169006066932,0.1396804429213245
1986,0.29058901,0.03128977,0.201648683543772,0.0648296129557047,0.04804334,0.22589021,0.118014540490661,0.0602712676870035,0.2905890072698977,0.1429126265261792
1987,0.2975867,0.03198954,0.205355165759431,0.0657168636550448,0.04864603,0.22998504,0.123292253148289,0.0613992060913524,0.2975866987307602,0.1463541141298821
1988,0.30441723,0.03268284,0.20870034225874,0.0665486268599165,0.0492316,0.23367915,0.123440226400372,0.0625403307958201,0.3044172282171597,0.149713390926472
1989,0.31104985,0.03336615,0.213910362506254,0.0692533248627465,0.05144773,0.23941635,0.127252299227844,0.0636403901716637,0.3110498471137135,0.1529753346460886
1990,0.31730299,0.03402003,0.221550674046884,0.076087879578306,0.0573262,0.24784164,0.1365605214184,0.0647148767072032,0.317302990301452,0.1560506509679272
1991,0.32318045,0.03464384,0.229099361971812,0.0828670615585694,0.06318378,0.25617836,0.144952718715109,0.065737910683054,0.3231804543779687,0.1589412070711322
1992,0.32829332,0.03519464,0.236676181438084,0.0892867999524472,0.06873833,0.26453779,0.151146456266584,0.066779314798034,0.3282933163808503,0.1614557293676313
1993,0.3327,0.03567649,0.246060815760563,0.0973022406593905,0.07574696,0.27487019,0.171080567225769,0.0680665590767851,0.3327000046078848,0.163622953085845
1994,0.33753325,0.0362129,0.252726172925519,0.102479585397887,0.0802541,0.28217843,0.181671224267711,0.0690045432882531,0.3375332512341814,0.1659999596233679
1995,0.34264483,0.03678872,0.25971640652951,0.108981297466406,0.08593493,0.28982275,0.189513806628112,0.0699935186231536,0.3426448330158616,0.1685138523028827
1996,0.34770743,0.03736757,0.266115038077212,0.11599574459999,0.09207735,0.29681093,0.196257159115895,0.071063889343936,0.3477074337922303,0.171003655963392
1997,0.35266951,0.03794344,0.272506119830396,0.122758730780588,0.09804809,0.30379062,0.205565381306452,0.0719858483554533,0.3526695120605733,0.1734440223248721
1998,0.35793629,0.03856384,0.278732544092605,0.129307384561261,0.10385573,0.31059437,0.217988088136089,0.0730986314918793,0.357936292187633,0.1760342420594916
1999,0.36304915,0.03917514,0.283162364091355,0.132961504480665,0.10709452,0.31542951,0.228029130241722,0.074162252830528,0.3630491541905145,0.1785487643559908
