paso_modelo,anio,P|solo_acidez|acid_best|sin_cal,P|acidez_cal|acid_best|cal_best,PET|solo_acidez|acid_best|sin_cal,PET|acidez_cal|acid_best|cal_best,P|solo_acidez|acid_+1sd|sin_cal,P|solo_acidez|acid_-1sd|sin_cal,PET|solo_acidez|acid_+1sd|sin_cal,PET|solo_acidez|acid_-1sd|sin_cal,P|acidez_cal|acid_+1sd|cal_best,P|acidez_cal|acid_-1sd|cal_best,PET|acidez_cal|acid_+1sd|cal_best,PET|acidez_cal|acid_-1sd|cal_best,P|acidez_cal|acid_+1sd|cal_+1sd,P|acidez_cal|acid_-1sd|cal_-1sd,PET|acidez_cal|acid_+1sd|cal_+1sd,PET|acidez_cal|acid_-1sd|cal_-1sd,P|acidez_cal|acid_+1sd|cal_-1sd,P|acidez_cal|acid_-1sd|cal_+1sd,PET|acidez_cal|acid_+1sd|cal_-1sd,PET|acidez_cal|acid_-1sd|cal_+1sd
21,1920,9.1243956747175,8.8448452270634,7.02723977543525,7.241649240395,10.281403273252,7.96454766344445,7.901408624494651,6.143677922018596,10.005461556187452,7.6818309655157,8.1231286131222,6.354886079176091,9.94768471393475,7.740428831396601,8.15229111661265,6.325562774214636,10.0632337906455,7.622650303831051,8.09291536521545,6.38067873740337
22,1921,8.658621245892201,8.322102542528901,6.25031687012685,6.4026634076289,9.7388278043634,7.57582629068325,6.99459141587925,5.497661965409345,9.40569362079095,7.236228079769801,7.152405693661301,5.641055997561351,9.338443496011951,7.3041769521822,7.168322411483551,5.624927976486656,9.472528309092802,7.16823859979175,7.132904261233651,5.65530152767687
23,1922,9.3495427667281,8.77866141286085,8.508771935047701,8.29769207922565,10.5107483170429,8.18667764017305,9.54615013368275,7.462094269406601,9.9434243698863,7.61284734614025,9.3408226011715,7.241915629018311,9.83852766062205,7.718751710119351,9.295926723435802,7.28946382993108,10.04853726261645,7.50693686484065,9.3892402687295,7.192009320758631
24,1923,9.3304324951374,8.823623929781451,8.175627994569101,8.018438458045251,10.4804142058463,8.178611121314251,9.16334599663075,7.179078372892101,9.9766666816543,7.66953482123945,9.014592033830802,7.016885049518391,9.882986937712053,7.76364385584945,8.9775325316746,7.053554717283971,10.069502508226453,7.575643026323351,9.0479785559284,6.977316194327011
25,1924,8.7062791246403,8.333523381859651,6.84300416987975,6.8645476167017,9.75717248229115,7.65389571094225,7.648633574244351,6.02820737013841,9.386454687427,7.278900835216801,7.6808550548532,6.0421338463421606,9.3152219933607,7.35038345483265,7.67249923954615,6.05194009154261,9.457758742897552,7.20706138657495,7.68566049176675,6.03297745774137
26,1925,9.2976724658761,9.04247706476285,7.10385715505315,7.2692768465587,10.40662348159725,8.18705316443465,7.927556552051251,6.2647884612004505,10.1529896079592,7.9299922886354,8.103312640397101,6.4261010013261,10.100084194865302,7.983393200288851,8.118577146231251,6.41328771901915,10.20657322065095,7.87597463665085,8.08372933269565,6.43462033833135
27,1926,9.6240917371509,9.2880067122025,7.39519190329565,7.485677468534551,10.75587790052375,8.49143960764845,8.24140558348285,6.54342434743505,10.4218435994497,8.1537610383136,8.3362269162513,6.61820888981215,10.3559578395859,8.22004467486405,8.336520406804901,6.620025980453851,10.4875277165864,8.08752331247355,8.33597562640725,6.616491564306
28,1927,10.2481735041915,9.844018906376,9.55667591220345,9.39698550503545,11.44717614267965,9.04821148500905,10.67390687965555,8.43103829407085,11.0455789589139,8.6413828831764,10.523315925118,8.270928397150751,10.9683068323607,8.71902820588865,10.4790931638829,8.31256946429495,11.1222087404089,8.563666960424252,10.56819349050075,8.219245202688
29,1928,9.60978707851175,9.2830085796932,8.14397675385365,8.160279192938651,10.718579954896551,8.4999709856529,9.0612131103722,7.21490923103015,10.393918449457452,8.1706417886343,9.0921569907951,7.2216247858665,10.330933294125352,8.234155889745951,9.0742207694378,7.241235973586201,10.4569226300964,8.1066882042547,9.10610826195115,7.20583961243975
30,1929,9.89165943217825,9.5905304181212,9.061142681969349,9.063370504472651,11.02073047785905,8.7620173412302,10.0699925144004,8.041087947220252,10.72163076385175,8.4581999936628,10.0831448326925,8.029364542577001,10.66221094134125,8.51805093763625,10.0630064903799,8.0526806348466,10.7809008792461,8.3983402873979,10.10222211916295,8.00712415251115
