anio,fuerza,inclinacion,latitud,n_dias
1942,-0.5529,-0.0046,0.2001,181
1943,0.5681,0.1442,0.1844,181
1944,0.1743,0.3898,-0.0069,182
1945,0.1762,0.1928,0.1613,181
1946,-0.0807,-0.0493,0.1216,181
1947,-0.2467,-0.0741,-0.2025,181
1948,0.4254,-0.1637,0.2935,182
1949,0.5697,0.2237,0.1734,181
1950,-0.1865,0.003,-0.2225,181
1951,-0.0153,-0.2271,-0.4718,181
1952,-0.1323,0.1977,-0.2202,182
1953,0.2109,0.1631,0.489,181
1954,-0.3874,0.053,-0.0588,181
1955,-0.0263,0.228,-0.2041,181
1956,-0.2777,0.1507,0.1559,182
1957,0.1702,-0.0009,0.1299,181
1958,-0.2766,0.0764,-0.1828,181
1959,-0.0887,-0.3039,-0.0116,181
1960,-0.4537,-0.2362,-0.2033,182
1961,0.3957,-0.0076,0.0517,181
1962,-0.0687,0.2028,-0.0459,181
1963,-0.4492,-0.1763,-0.0211,181
1964,0.0627,0.0498,0.2801,182
1965,-0.0184,0.1794,-0.3309,181
1966,-0.2035,-0.0601,-0.2869,181
1967,0.5664,0.2497,0.0097,181
1968,-0.0235,0.0651,-0.0989,182
1969,-0.5292,-0.1496,-0.2034,181
1970,-0.0448,0.0458,-0.2857,181
1971,0.0905,0.1875,0.0178,181
1972,-0.1061,-0.3969,0.0668,182
1973,0.561,0.5037,0.1419,181
1974,0.092,-0.1147,-0.0143,181
1975,0.4193,0.1488,0.1609,181
1976,-0.0365,0.1428,0.1042,182
1977,0.2606,-0.083,-0.2125,181
1978,-0.2895,-0.2112,-0.2422,181
1979,-0.2074,-0.0637,-0.3737,181
1980,-0.0769,0.088,0.0898,182
1981,0.2271,0.2626,-0.106,181
1982,0.4308,-0.0066,0.0998,181
1983,0.7049,0.172,0.0383,181
1984,-0.3241,-0.2523,0.142,182
1985,-0.1573,0.0195,-0.0656,181
1986,-0.0312,-0.0956,-0.0812,181
1987,-0.1976,0.0798,0.2224,181
1988,0.2929,0.2055,-0.1018,182
1989,0.702,-0.0867,0.0653,181
1990,0.8354,0.1212,0.0273,181
1991,-0.1023,0.0433,0.255,181
1992,0.5993,0.1969,0.2153,182
1993,0.2699,0.0219,0.2546,181
1994,0.4881,-0.0907,-0.0427,181
1995,0.278,0.0828,-0.1031,181
1996,-0.6785,-0.2221,0.0646,182
1997,0.1798,0.0337,0.1557,181
1998,0.4799,-0.0265,0.1309,181
1999,0.467,0.1774,-0.203,181
2000,0.5994,-0.0739,-0.1761,182
2001,0.0563,0.0533,-0.0071,181
2002,0.2905,-0.2466,0.0186,181
2003,0.1593,-0.1281,0.3147,181
2004,0.2086,0.1801,0.0978,182
2005,0.159,0.2193,0.1252,181
2006,0.3034,-0.048,0.168,181
2007,0.459,0.2033,0.1038,181
2008,0.4588,0.027,-0.1114,182
2009,-0.3863,-0.1368,-0.3436,181
2010,-0.5957,0.0964,-0.2742,181
2011,0.5476,-0.0237,0.2654,181
2012,0.1478,0.1074,0.1111,182
2013,-0.2147,0.1026,-0.0771,181
2014,-0.2231,-0.3688,-0.2517,181
2015,0.8484,0.1297,0.2172,181
2016,0.3105,0.0162,-0.0174,182
2017,0.5415,0.2161,0.1172,181
2018,-0.3201,-0.3431,-0.0935,181
2019,0.1381,0.0012,-0.1632,181
2020,0.7663,-0.1573,0.0773,182
2021,0.103,0.1392,0.1037,181
2022,0.3987,-0.0532,0.1989,181
2023,0.246,0.0495,-0.1547,181
2024,0.3993,-0.0281,0.0031,182
