rho_x,rho_y,mse
0.68,0.24,0.0016754396189654632
0.7,0.24,0.0017270391630025144
0.72,0.24,0.0017586543706899708
0.74,0.24,0.0017737281690091682
0.76,0.24,0.0018151980540402073
0.78,0.24,0.0018783279802229483
0.8,0.24,0.0018801843911621296
0.0,0.26,0.0016584735466290599
0.02,0.26,0.0016549320092015193
0.04,0.26,0.0016368574510541784
0.06,0.26,0.0015831147129391398
0.08,0.26,0.0016338957677601927
0.1,0.26,0.0016057409504429316
0.12,0.26,0.0015930766285574337
0.14,0.26,0.0015816398592020677
0.16,0.26,0.0015740254610372595
0.18,0.26,0.0015717800494818605
0.2,0.26,0.0015408888812194466
0.22,0.26,0.0015459072599764674
0.24,0.26,0.0015207758930839556
0.26,0.26,0.001540043727082544
0.28,0.26,0.0015449475091921239
0.3,0.26,0.0015242281940049352
0.32,0.26,0.0015154786051697166
0.34,0.26,0.0015257930574080485
0.36,0.26,0.0014917522777693779
0.38,0.26,0.0015312253955633208
0.4,0.26,0.0014881467888360881
0.42,0.26,0.0015062991065991436
0.44,0.26,0.0014871729481798963
0.46,0.26,0.0015013731327051516
0.48,0.26,0.001512954898342522
0.5,0.26,0.0014975781627804368
0.52,0.26,0.0015312027198809363
0.54,0.26,0.0015437472574148983
0.56,0.26,0.0015114013894151792
0.58,0.26,0.0015425029863055568
0.6,0.26,0.0015569820764980945
0.62,0.26,0.0015488348994184922
0.64,0.26,0.0016085250230804813
0.66,0.26,0.0016797767521477738
0.68,0.26,0.0016571181586182335
0.7,0.26,0.0016995330970856648
0.72,0.26,0.0017443999850716666
0.74,0.26,0.0018240198449218084
0.76,0.26,0.0018158886441014023
0.78,0.26,0.0018501853973753673
0.8,0.26,0.00189804281185965
0.0,0.28,0.0016454186401507402
0.02,0.28,0.0016267301046375914
0.04,0.28,0.0016206738412440985
0.06,0.28,0.0015990447483761109
0.08,0.28,0.001605513656113642
0.1,0.28,0.0015976591716142727
0.12,0.28,0.0016043623599833225
0.14,0.28,0.0015950842801411818
0.16,0.28,0.001561362106212791
0.18,0.28,0.0015741186413032382
0.2,0.28,0.001548277818802029
0.22,0.28,0.0015713011681874345
0.24,0.28,0.0015511293862254412
0.26,0.28,0.0015377694820102312
0.28,0.28,0.0015448539374046167
0.3,0.28,0.001509517703934092
0.32,0.28,0.0015086919201106757
0.34,0.28,0.0015033535638198266
0.36,0.28,0.001494152792487927
0.38,0.28,0.0014968791721112545
0.4,0.28,0.0014849229155439977
0.42,0.28,0.0014960489787852124
0.44,0.28,0.0014890679178185496
0.46,0.28,0.0014909607869834987
0.48,0.28,0.001508506763133669
0.5,0.28,0.0015093662653924407
0.52,0.28,0.001517448089767138
0.54,0.28,0.00152151742599914
0.56,0.28,0.0015188899523265174
0.58,0.28,0.0015538892755571757
0.6,0.28,0.0015616990507120831
0.62,0.28,0.0015787077638170933
0.64,0.28,0.001593521737260182
0.66,0.28,0.0016742133361282781
0.68,0.28,0.0016424704501952474
0.7,0.28,0.0017400437272232176
0.72,0.28,0.0017284360374816745
0.74,0.28,0.0017983527514947872
0.76,0.28,0.0017613765978368593
0.78,0.28,0.0018428167110015586
0.8,0.28,0.0019178457168317737
0.0,0.3,0.001639167253930205
0.02,0.3,0.0016491261009944714
0.04,0.3,0.0016414946751281709
0.06,0.3,0.0016039509383780261
0.08,0.3,0.0016156551650004269
0.1,0.3,0.0015886080984118416
0.12,0.3,0.001584605583120353
0.14,0.3,0.00158612399346424
