time_s,disp_mm
1556,4.87381
1557,4.87398
1558,4.87402
1559,4.87391
1560,4.87368
1561,4.87341
1562,4.87313
1563,4.87295
1564,4.87289
1565,4.87297
1566,4.87319
1567,4.87348
1568,4.87376
1569,4.87399
1570,4.87409
1571,4.87404
1572,4.87386
1573,4.8736
1574,4.87331
1575,4.87308
1576,4.87295
1577,4.87297
1578,4.87313
1579,4.87339
1580,4.8737
1581,4.87396
1582,4.87413
1583,4.87416
1584,4.87405
1585,4.87381
1586,4.87352
1587,4.87324
1588,4.87304
1589,4.87297
1590,4.87304
1591,4.87324
1592,4.87352
1593,4.87379
1594,4.87401
1595,4.87411
1596,4.87406
1597,4.87388
1598,4.87362
1599,4.87332
1600,4.87309
1601,4.87295
1602,4.87296
1603,4.8731
1604,4.87335
1605,4.87363
1606,4.87388
1607,4.87404
1608,4.87406
1609,4.87395
1610,4.87372
1611,4.87343
1612,4.87315
1613,4.87295
1614,4.87287
1615,4.87293
1616,4.8731
1617,4.87335
1618,4.8736
1619,4.87379
1620,4.87388
1621,4.87381
1622,4.87363
1623,4.87337
1624,4.87308
1625,4.87286
1626,4.87275
1627,4.87278
1628,4.87294
1629,4.87321
1630,4.87352
1631,4.8738
1632,4.87398
1633,4.87403
1634,4.87394
1635,4.87373
1636,4.87345
1637,4.87318
1638,4.87297
1639,4.87288
1640,4.87292
1641,4.87308
1642,4.8733
1643,4.87354
1644,4.87372
1645,4.87379
1646,4.87374
1647,4.87357
1648,4.87331
1649,4.87305
1650,4.87283
1651,4.87271
1652,4.87271
1653,4.87285
1654,4.87309
1655,4.87336
1656,4.87359
1657,4.87373
1658,4.87376
1659,4.87365
1660,4.87344
1661,4.87318
1662,4.87293
1663,4.87276
1664,4.87272
1665,4.87281
1666,4.87302
1667,4.8733
1668,4.87358
1669,4.8738
1670,4.87392
1671,4.8739
1672,4.87376
1673,4.87354
1674,4.87331
1675,4.87311
1676,4.87302
1677,4.87306
1678,4.87323
1679,4.87348
1680,4.87378
1681,4.87405
1682,4.87421
1683,4.87426
1684,4.87417
1685,4.87396
1686,4.8737
1687,4.87344
1688,4.87325
1689,4.87317
1690,4.87321
1691,4.87336
1692,4.87358
1693,4.87379
1694,4.87395
1695,4.87401
1696,4.87394
1697,4.87376
1698,4.8735
1699,4.87323
1700,4.87302
1701,4.8729
1702,4.87292
1703,4.87306
1704,4.87329
1705,4.87356
1706,4.87381
1707,4.87396
1708,4.87399
1709,4.8739
1710,4.87369
1711,4.87345
1712,4.87321
1713,4.87304
1714,4.87299
1715,4.87306
1716,4.87326
1717,4.87351
1718,4.87378
1719,4.87398
1720,4.87408
1721,4.87405
1722,4.87391
1723,4.87368
1724,4.87344
1725,4.87324
1726,4.87314
1727,4.87316
