station,lat,lon,step_mm,p2p_mm,rise_time_s,dist_km
0327,35.7524,135.173,0.0866,0.3277,,841.4
0328,35.5557,134.932,0.0644,0.3469,,871.4
0329,35.2923,135.164,0.0636,0.3102,,869.5
0331,35.1638,135.367,0.0764,0.3386,,862.4
0332,35.0776,135.565,0.0686,0.3282,,853.4
0333,34.9886,135.665,0.0616,0.3358,,852.0
0334,34.747,135.864,0.0596,0.3265,,854.3
0335,34.7778,135.685,0.0601,0.3227,,864.9
0336,34.6779,135.518,0.0546,0.3009,,883.8
0337,34.5273,135.481,0.0483,0.2955,,896.9
0338,34.4791,135.627,0.046,0.2994,,890.0
0339,34.4248,135.587,0.0482,0.2885,,896.7
0340,34.4065,135.364,0.0494,0.2853,,913.7
0341,35.4367,134.582,0.0747,0.3085,,905.3
0342,35.3149,134.818,0.0699,0.3057,,894.4
0343,35.1053,135.182,0.0643,0.3225,,879.9
0344,35.0945,134.586,0.0586,0.2747,,925.4
0345,35.0908,134.973,0.0646,0.2969,,896.4
0346,34.9976,134.404,0.0593,0.2973,,945.2
0347,34.9847,134.767,0.0414,0.2913,,918.6
0348,34.9768,135.326,0.0649,0.3259,,877.6
0349,34.9448,135.176,0.0603,0.305,,890.7
0350,34.8973,134.545,0.0554,0.2829,,940.8
0351,34.8122,135.216,0.0619,0.308,,896.5
0352,34.8049,134.997,0.0553,0.2968,,913.1
0353,34.7909,135.342,0.0653,0.298,,888.7
0354,34.787,134.829,0.0621,0.3039,,926.6
0355,34.7243,135.38,0.055,0.2999,,890.5
0356,34.687,135.172,0.0595,0.3018,,908.1
0357,34.6699,134.52,0.0468,0.276,,957.2
0358,34.6697,134.966,0.049,0.2977,,924.3
0359,34.5771,135.024,0.0423,0.2805,,926.3
0360,34.4933,134.861,0.0376,0.2831,,943.8
0361,34.3498,134.882,0.0418,0.2838,,952.1
0362,34.3343,134.735,0.0429,0.2786,,963.8
0363,34.2237,134.737,0.042,0.2612,,971.2
0364,34.567,136.05,0.0573,0.3079,,854.1
0365,34.5392,135.731,0.0496,0.309,,878.4
0366,34.3883,135.704,0.0451,0.3004,,891.1
