forecast_hours,r_aod_cams,r_aod_gamfs,r_aod_op_gamfs,r_duaod_cams,r_duaod_gamfs,r_duaod_op_gamfs,rmse_aod_cams,rmse_aod_gamfs,rmse_aod_op_gamfs,rmse_duaod_cams,rmse_duaod_gamfs,rmse_duaod_op_gamfs
78,0.6783446177878985,0.7319226693099626,0.7132438907606187,0.7980431779365831,0.8936488078610751,0.8846263923699047,0.1209262571247543,0.09991184233533558,0.1044625846322265,0.04776656549791879,0.03205906948840821,0.03238480777722914
81,0.6724525793757953,0.7246129534244904,0.7071013085161652,0.7973683702269592,0.8894416876037331,0.8806232588027697,0.1228858773307564,0.1024227574797267,0.1067626604070766,0.04799354822300833,0.03271889225059047,0.03301339787088573
84,0.6654516130996614,0.7167797884885339,0.7006514618994854,0.779439799619834,0.8791917730586122,0.8723130163062048,0.1258887510381871,0.1055812989843432,0.1096970162898646,0.05104839772975745,0.03500446503170973,0.03496812437650827
87,0.6594660597815001,0.7062738814314128,0.6898850811401614,0.7604680231553405,0.8694522228182676,0.8621793961492611,0.1277052449698741,0.1073888792743621,0.1115171681708537,0.05369362041289516,0.03685534202770827,0.03684947819505543
90,0.6565808259518107,0.7010234784147485,0.6849022888993771,0.7548380362752999,0.8673035705979218,0.8618171988440698,0.128087997827487,0.1082803721659876,0.1122772051520117,0.05439190940610721,0.03721530030375986,0.03677135051260998
93,0.6553047520523742,0.6995571548965592,0.685017599957682,0.760479695196539,0.8663527959912423,0.8613943570224654,0.127554446298995,0.1080060795521405,0.1114457238723332,0.05346635252181071,0.0371835652401146,0.03664733398285099
96,0.6539240834223047,0.6967914222680207,0.682122187135143,0.7720360439737686,0.8659070472616435,0.8608926058814126,0.127617349816563,0.1076290562524653,0.1110266816880024,0.0517448598955443,0.03686030456084534,0.03631592802995528
99,0.6513021466634729,0.6894150283529062,0.6744951082049991,0.7826728446260004,0.8650148812543843,0.8602920060633015,0.1267446078581837,0.1071852029819201,0.110681570228912,0.05002334605308074,0.03658373125899773,0.03595711004033759
102,0.6491908076815095,0.679535570043568,0.663604287862272,0.7894593141625738,0.8647630657557699,0.8604199002807623,0.1262550979487718,0.1083782264144674,0.1120016963694868,0.04876306384030112,0.03618538075351332,0.03550779518641044
105,0.6428338266242222,0.6738242165701412,0.657814868874501,0.788341508469384,0.8613423549982561,0.8565563273181487,0.1284005348757713,0.1106654033573544,0.1142395641755477,0.04898962950509324,0.03668589834865407,0.03607195952526434
108,0.6356085145406002,0.6670316266320795,0.6512785890485614,0.7702573899802677,0.8516022924001948,0.8473819122567997,0.1315111506682705,0.1135601983722613,0.1171220979566665,0.05207322581917709,0.03879464027575102,0.03813137747290617
111,0.6304614017132603,0.6570950637964051,0.6407596616336505,0.7510565755531527,0.8415292151760244,0.8375772102361786,0.1330820016524124,0.1151851324942185,0.1187803595630336,0.05482788326677471,0.04059025868811719,0.03989634475013815
114,0.6278091960913257,0.6524709293093894,0.6355448642478086,0.7450187949691877,0.8386341588946798,0.8352775576951094,0.1334251718220864,0.1159693510183612,0.1195437942677289,0.05557622407994835,0.04103492303284477,0.04015748348908251
117,0.6262002229277717,0.6519539282015432,0.6364026972226681,0.7495613238565054,0.8365485264394593,0.8347030726418038,0.1329594920684225,0.1156370931748003,0.1187014827098385,0.05472972421529008,0.04116687091610944,0.039997034181674
120,0.6250992449532584,0.6503510825874808,0.6338848082330418,0.7599185128276214,0.8361834886589087,0.8338508524747645,0.133094812500521,0.1149735865092154,0.118101237846742,0.05309460831297293,0.04077111818032492,0.03969587965132192
