lon,lat,rmse_aod,diff_lon,diff_lat,rmse_aod_diff_vs_cams,du_lon,du_lat,rmse_duaod,du_diff_lon,du_diff_lat,rmse_duaod_diff_vs_cams
-80.663476,28.463763,0.0761440958726464,-80.663476,28.463763,0.005178925205453794,121.705,-31.255,0.0223179484157196,121.705,-31.255,-0.001359505506798801
137.136944,37.334444,0.0798737480678567,137.136944,37.334444,0.005159431591281502,147.9499,-35.7083,0.0237407990622369,147.9499,-35.7083,-0.001453719467383999
-96.56309,39.10077,0.1104790462127616,-96.56309,39.10077,0.004974291501944991,16.331611,48.237861,0.031581612337399,16.331611,48.237861,-0.001500325192060503
-90.1432,36.9717,0.2067074902284324,-90.1432,36.9717,0.004897435594232613,99.0454,19.93245,0.0268602231742398,99.0454,19.93245,-0.001510761547924802
-65.6199,18.3845,0.0626296604984232,-65.6199,18.3845,0.004560230956893598,-74.0855,41.134722,0.0216441669047628,-74.0855,41.134722,-0.001513327470719302
-78.435589,-0.196244,0.0791319150510652,-78.435589,-0.196244,0.004021326051689908,-68.066467,-16.539,0.037239343819457,-68.066467,-16.539,-0.001590164963008199
33.04275,34.674806,0.0987352437023243,33.04275,34.674806,0.003487459718668498,31.2241,-10.1712,0.0442967750052211,31.2241,-10.1712,-0.001592282921998603
9.84369,46.81281,0.0661331733263341,9.84369,46.81281,0.003282921544066203,-80.524836,37.378306,0.008293174981622,-80.524836,37.378306,-0.0016748230136531
-121.6464,36.4021,0.0449229934724277,-121.6464,36.4021,0.003269045471227305,16.592157,53.7825,0.0250454325794721,16.592157,53.7825,-0.001737894225826899
-85.939167,79.990278,0.058217388422414,-85.939167,79.990278,0.0032198308333036,55.383087,-21.07985,0.0100104283046427,55.383087,-21.07985,-0.0017692817395
-58.999867,-2.144117,0.1654618254201728,-58.999867,-2.144117,0.003138767915095902,55.48474,-20.90139,0.0367508061015862,55.48474,-20.90139,-0.001858087074149598
-1.250958,53.005652,0.0907052719776917,-1.250958,53.005652,0.003119786953617795,-1.1707,38.001,0.0693426494323843,-1.1707,38.001,-0.001859571368569304
10.945278,44.631667,0.103414237753651,10.945278,44.631667,0.003087261063444494,150.4583,-32.12667,0.0247420948562097,150.4583,-32.12667,-0.001913059309691802
-3.605,37.164,0.0787640948844148,-3.605,37.164,0.002790574095082099,132.8931,-12.6607,0.0622659808118754,132.8931,-12.6607,-0.001922310749413597
-112.868967,49.681672,0.2407320771155921,-112.868967,49.681672,0.002781169768506619,167.742808,8.84749,0.1121584463458757,167.742808,8.84749,-0.002087029888537997
70.3,-90,0.0363812820793683,70.3,-90,0.002690189358499295,103.780383,1.297667,0.0814963634951281,103.780383,1.297667,-0.002280420722784712
-24.995374,16.877772,0.1173832276495304,-24.995374,16.877772,0.0026784896355216,100.31805,-0.20194,0.0553210317838136,100.31805,-0.20194,-0.002418878475405603
-81.27,43.008,0.2529050711808882,-81.27,43.008,0.002558035037318551,8.25231,58.38845,0.0205452173022017,8.25231,58.38845,-0.002458252499775101
-56.166767,-34.918167,0.0502880872209192,-56.166767,-34.918167,0.002541111069001505,23.333333,-71.95,0.0217466650192895,23.333333,-71.95,-0.002590798306772401
-95.3416,29.7177,0.0767244284662423,-95.3416,29.7177,0.002516792496878403,-76.709353,39.254628,0.0143264447629786,-76.709353,39.254628,-0.0026856075665201
12.647333,41.83955,0.0583336588835882,12.647333,41.83955,0.002403417366633,124.842531,6.496011,0.0613262650056137,124.842531,6.496011,-0.002695209204313202
167.742808,8.84749,0.0425731773418009,167.742808,8.84749,0.002330151246843999,28.278441,-25.750126,0.0277581459571511,28.278441,-25.750126,-0.0027561491198431
-73.949036,40.821313,0.2081170978175121,-73.949036,40.821313,0.002190706497295386,31.5875,-24.9917,0.0526730165087998,31.5875,-24.9917,-0.002820208277631506
-149.370469,68.661089,0.1409750943431405,-149.370469,68.661089,0.002173056923078703,-8.4208,43.363,0.0371076114328591,-8.4208,43.363,-0.002898502233333995
-121.49311,38.56844,0.043007907974946,-121.49311,38.56844,0.001889863785388697,141.70082,-31.0863,0.0162895954634976,141.70082,-31.0863,-0.002917855753246101
33.381353,35.140628,0.0808426599370681,33.381353,35.140628,0.001813856561638294,-71.93133,45.379754,0.0208029859148852,-71.93133,45.379754,-0.002923522481733602
78.52895,42.46383,0.0650232479111431,78.52895,42.46383,0.001772982250084598,23.134333,-15.266667,0.0583994548544787,23.134333,-15.266667,-0.002934654664637097
-99.241356,47.128228,0.2233909214542582,-99.241356,47.128228,0.001751470151249906,-149.370469,68.661089,0.0297446360595127,-149.370469,68.661089,-0.003020483352315601
-97.982997,29.570896,0.0825531103315012,-97.982997,29.570896,0.001654058035491804,5.71,43.935,0.0256802896548131,5.71,43.935,-0.003044668554340397
120.5448,23.7117,0.1926708886402929,120.5448,23.7117,0.001532268386469193,12.647333,41.83955,0.045940181007552,12.647333,41.83955,-0.003065348691746406
-116.991667,46.4875,0.1046864544142288,-116.991667,46.4875,0.001466773933899101,1.358,40.717,0.0642164682498454,1.358,40.717,-0.003092959581433102
-121.951912,45.820488,0.1237698280606354,-121.951912,45.820488,0.001398851235015999,-115.691,38.497,0.0159091073675236,-115.691,38.497,-0.0031506389118231
-4.515694,41.988572,0.0737216134821229,-4.515694,41.988572,0.001345728884927899,10.945278,44.631667,0.0433928823872016,10.945278,44.631667,-0.003212917720453103
-22.935499,16.7325,0.1379032415293313,-22.935499,16.7325,0.001314255044327223,-78.435589,-0.196244,0.0373201816730625,-78.435589,-0.196244,-0.0032938306645987
-4.219809,50.317132,0.074136584724654,-4.219809,50.317132,0.001261921668728599,-106.988,38.956,0.0366834862715224,-106.988,38.956,-0.003310760298590294
