reach_id,continente,n_nodos,n_marea,n_probable_marea,n_sin_marea,n_probable_sin_marea,pct_tidal,amplitud_media_m,amplitud_max_m,amplitud_mediana_m,es_tidal
12100000155,África,47,0,47,0,0,100.0,,,,sí
12100000165,África,48,0,48,0,0,100.0,,,,sí
12100000175,África,48,0,48,0,0,100.0,,,,sí
12210000015,África,21,0,21,0,0,100.0,,,,sí
12210000025,África,57,0,57,0,0,100.0,,,,sí
12210000035,África,58,0,58,0,0,100.0,,,,sí
12210000045,África,19,0,19,0,0,100.0,,,,sí
12210000051,África,60,0,30,0,30,50.0,,,,sí
12210000061,África,60,0,0,0,60,0.0,,,,no
12210000071,África,78,0,0,0,78,0.0,,,,no
12210000081,África,92,0,0,29,63,0.0,,,,no
12210000091,África,92,0,0,92,0,0.0,,,,no
12210000101,África,50,0,0,50,0,0.0,,,,no
12210000111,África,50,0,0,50,0,0.0,,,,no
12210000121,África,52,0,0,52,0,0.0,,,,no
12210000131,África,61,0,0,61,0,0.0,,,,no
12210000141,África,92,0,0,92,0,0.0,,,,no
12210000151,África,65,0,0,65,0,0.0,,,,no
12210000161,África,58,0,0,58,0,0.0,,,,no
12210000171,África,58,0,0,58,0,0.0,,,,no
12301000016,África,1,1,0,0,0,100.0,1.3261,1.3261,1.3261,sí
12301000025,África,13,13,0,0,0,100.0,1.4308,1.4455,1.4331,sí
12301000035,África,66,0,66,0,0,100.0,,,,sí
12301000045,África,53,0,53,0,0,100.0,,,,sí
12301000055,África,51,51,0,0,0,100.0,1.3659,1.4583,1.3568,sí
12301000065,África,50,6,44,0,0,100.0,1.5010,1.6080,1.4832,sí
12301000075,África,51,0,51,0,0,100.0,,,,sí
12301000085,África,50,0,50,0,0,100.0,,,,sí
12301000095,África,86,0,86,0,0,100.0,,,,sí
12301000116,África,1,0,1,0,0,100.0,,,,sí
12301000125,África,27,0,27,0,0,100.0,,,,sí
12301000136,África,1,1,0,0,0,100.0,1.7633,1.7633,1.7633,sí
12301000141,África,20,20,0,0,0,100.0,1.7291,1.7622,1.7255,sí
12301000151,África,9,9,0,0,0,100.0,1.8066,1.8828,1.8048,sí
12301000163,África,12,12,0,0,0,100.0,1.8834,1.8964,1.8964,sí
12301000171,África,8,8,0,0,0,100.0,1.8119,1.8222,1.8175,sí
12301000183,África,31,31,0,0,0,100.0,1.7427,1.8130,1.7390,sí
12301000191,África,10,10,0,0,0,100.0,1.9102,1.9252,1.9252,sí
12301000206,África,1,0,1,0,0,100.0,,,,sí
12301000211,África,97,0,83,9,5,85.6,,,,sí
12301000221,África,50,0,0,50,0,0.0,,,,no
12302100013,África,71,71,0,0,0,100.0,1.7564,1.9372,1.7568,sí
12302100023,África,83,83,0,0,0,100.0,1.1242,1.3873,1.1633,sí
12302300011,África,52,52,0,0,0,100.0,0.8369,0.9965,0.7894,sí
12302300021,África,52,52,0,0,0,100.0,0.6498,0.7408,0.6291,sí
12302300031,África,56,0,56,0,0,100.0,,,,sí
12302300041,África,73,0,43,0,30,58.9,,,,sí
12302300051,África,99,0,0,0,99,0.0,,,,no
12302300061,África,98,0,0,0,98,0.0,,,,no
12304000011,África,7,7,0,0,0,100.0,1.5168,1.5646,1.4809,sí
12304000023,África,67,67,0,0,0,100.0,1.3788,1.5761,1.4058,sí
12304000031,África,58,58,0,0,0,100.0,1.0740,1.1687,1.0922,sí
12304000041,África,97,42,1,0,54,44.3,0.7381,0.8985,0.7781,sí
12304000051,África,96,0,0,0,96,0.0,,,,no
12304000061,África,55,0,0,0,55,0.0,,,,no
12304000071,África,55,0,0,0,55,0.0,,,,no
12304000081,África,56,0,0,12,44,0.0,,,,no
12304000091,África,62,0,0,62,0,0.0,,,,no
12304000101,África,58,0,0,58,0,0.0,,,,no
12304000111,África,100,0,0,100,0,0.0,,,,no
12304000121,África,50,0,0,50,0,0.0,,,,no
12304000131,África,50,0,0,50,0,0.0,,,,no
12304000141,África,50,0,0,50,0,0.0,,,,no
12304000151,África,50,0,0,50,0,0.0,,,,no
12304000161,África,56,0,0,56,0,0.0,,,,no
12304000171,África,97,0,0,97,0,0.0,,,,no
12304000181,África,60,0,0,60,0,0.0,,,,no
12304000191,África,61,0,0,61,0,0.0,,,,no
12304000201,África,53,0,0,53,0,0.0,,,,no
12304000211,África,51,0,0,51,0,0.0,,,,no
12304000221,África,51,0,0,51,0,0.0,,,,no
12304000231,África,50,0,0,50,0,0.0,,,,no
