outcome,organ,n_cases,n,beta,se,hr,ci_lower,ci_upper,p_value,outcome_label,organ_label
vd,Intestine,230,43615,0.279311690295441,0.0940834910814788,1.32221940260508,1.0995614695112,1.58996490610254,0.00299000044341914,Vascular dementia,Intestine
vd,Kidney,230,43615,0.199999431535584,0.0932431964243433,1.22140206383636,1.01739569776426,1.46631542164177,0.0319590426074066,Vascular dementia,Kidney
vd,Liver,230,43615,0.330076230151165,0.088484422301528,1.39107416621606,1.16958612773031,1.65450605990765,0.000191227978214257,Vascular dementia,Liver
vd,Lung,230,43615,0.0946843313299735,0.0803738409300002,1.09931178206075,0.939088549604342,1.28687161044264,0.238777030555214,Vascular dementia,Lung
vd,Muscle,230,43615,0.0338192976755944,0.0829744884379708,1.03439767177519,0.879142998559151,1.21706997055944,0.683577132525775,Vascular dementia,Muscle
vd,Pancreas,230,43615,0.234042898529003,0.0859876436546923,1.26369870186042,1.06770364262302,1.4956719686378,0.00649234709372754,Vascular dementia,Pancreas
pd,Organismal,338,43487,0.112738064447672,0.068011211860055,1.11933869994558,0.979648484112709,1.27894764858504,0.0973902720388031,Parkinson's disease,Organismal
pd,Artery,338,43487,-0.0592858667236043,0.0730299694753842,0.942437319176908,0.816750205668735,1.0874660262254,0.416905321518522,Parkinson's disease,Artery
pd,Brain,338,43487,0.262758567192642,0.0717255704044909,1.3005126946145,1.12995638250848,1.49681288148374,0.000248901437298689,Parkinson's disease,Brain
pd,Heart,338,43487,0.00235181590970159,0.0651809913191721,1.00235458359801,0.88214346316531,1.13894706837686,0.971217520730226,Parkinson's disease,Heart
pd,Immune,338,43487,0.0329739164177522,0.0680366046998948,1.03352358089239,0.904497825333486,1.18095473791416,0.627924890459313,Parkinson's disease,Immune
pd,Intestine,338,43487,-0.0933260552209973,0.0684534165718085,0.910896449328171,0.796528565639895,1.04168560575364,0.172771818077474,Parkinson's disease,Intestine
pd,Kidney,338,43487,-0.0577278488523967,0.0705858174044508,0.943906797802405,0.821951811778854,1.0839565412106,0.413449007923637,Parkinson's disease,Kidney
pd,Liver,338,43487,-0.14451178456913,0.0649213866547197,0.865444713449958,0.762040660686012,0.982880036039301,0.0260175060030667,Parkinson's disease,Liver
pd,Lung,338,43487,-0.0783970625289419,0.0642714147124067,0.924597230733827,0.815163379163303,1.04872233092478,0.222547834976641,Parkinson's disease,Lung
pd,Muscle,338,43487,-0.0332071330809053,0.0667973960129065,0.967338171100549,0.848633709341401,1.10264667425756,0.619095864401158,Parkinson's disease,Muscle
pd,Pancreas,338,43487,-0.157615265847262,0.0663582877394579,0.854178350342597,0.750005214437703,0.972820775307562,0.0175386840258174,Parkinson's disease,Pancreas
ms,Organismal,105,43295,0.172286349791535,0.10828541384598,1.18801797321104,0.960838285586242,1.46891180945328,0.111600730022313,Multiple sclerosis,Organismal
ms,Artery,105,43295,0.106017542934075,0.107398022110254,1.1118413812955,0.900793972932976,1.372335177972,0.323571001374808,Multiple sclerosis,Artery
ms,Brain,105,43295,0.418900115773554,0.107076076965382,1.52028849436586,1.23248796393318,1.87529385579178,9.14694226599929e-05,Multiple sclerosis,Brain
ms,Heart,105,43295,0.00322847509446124,0.109937843547625,1.00323369223314,0.8087659279787,1.24446122965041,0.976572396231244,Multiple sclerosis,Heart
ms,Immune,105,43295,0.0206319924167755,0.106072843494308,1.02084630332173,0.829222337166649,1.25675241524059,0.84577831106894,Multiple sclerosis,Immune
ms,Intestine,105,43295,0.153924828237072,0.107332035191385,1.16640320289776,0.945121210035815,1.43949412761416,0.151543843370707,Multiple sclerosis,Intestine
ms,Kidney,105,43295,-0.0328568130846392,0.104047979017184,0.967677108369822,0.789159278497281,1.18657793372977,0.752165543524572,Multiple sclerosis,Kidney
ms,Liver,105,43295,0.0200418863255104,0.107170269277253,1.02024407340714,0.826952533453665,1.25871549721869,0.851652980655176,Multiple sclerosis,Liver
ms,Lung,105,43295,-0.0172365583980492,0.109169239152949,0.98291114124595,0.793577293567062,1.21741677769385,0.874544725162101,Multiple sclerosis,Lung
ms,Muscle,105,43295,0.14385689769257,0.108996617555137,1.15471885376862,0.932605919656003,1.42973103981641,0.186892114014598,Multiple sclerosis,Muscle
ms,Pancreas,105,43295,0.194944749833783,0.11213996226705,1.21524384221061,0.975460572532161,1.51396954179007,0.0821393526835258,Multiple sclerosis,Pancreas
scz,Organismal,56,43527,-0.154120803818607,0.160680183280497,0.857168465532809,0.625597443599277,1.17445776964284,0.337469373048416,Schizophrenia,Organismal
scz,Artery,56,43527,-0.0228121770022914,0.163191462268863,0.977446053381285,0.70987841816344,1.34586538035966,0.888827645510938,Schizophrenia,Artery
scz,Brain,56,43527,0.233529809627465,0.161715779512324,1.26305047839397,0.919957970751359,1.73409716714373,0.148717713728575,Schizophrenia,Brain
scz,Heart,56,43527,0.132343417053223,0.170608112056113,1.14150026261981,0.817060334470981,1.59476943695322,0.437916777855244,Schizophrenia,Heart
scz,Immune,56,43527,0.266630550376752,0.16694184592036,1.30555801930154,0.941228393598452,1.81091194587329,0.110233101118797,Schizophrenia,Immune
scz,Intestine,56,43527,0.234897828878588,0.172052418469942,1.26477953818743,0.902741788667631,1.77200978208685,0.17216852664215,Schizophrenia,Intestine
scz,Kidney,56,43527,0.13194915069202,0.175293836458552,1.1410502961741,0.809271793960161,1.60884858228865,0.451611420171061,Schizophrenia,Kidney
scz,Liver,56,43527,-0.153676268285388,0.162303667873501,0.857549592079563,0.623887252598687,1.17872468112257,0.343718232575361,Schizophrenia,Liver
scz,Lung,56,43527,0.142462225007627,0.167638803079183,1.15310952143127,0.830187424162741,1.60164021968465,0.395427101019645,Schizophrenia,Lung
scz,Muscle,56,43527,-0.00474617133261475,0.167450033380954,0.995265073940845,0.716811620391378,1.38188687128933,0.977387942143377,Schizophrenia,Muscle
scz,Pancreas,56,43527,0.471987123352088,0.174883478205839,1.60317674005124,1.1379424970308,2.25861646484565,0.00695761251615206,Schizophrenia,Pancreas
dep,Organismal,1940,39877,0.0690844730741423,0.0272303074102061,1.07152672048151,1.01583816622982,1.13026813805114,0.01117930778794,Depression,Organismal
dep,Artery,1940,39877,0.0642756226518858,0.0277675983057593,1.0663862784737,1.00990082204383,1.12603106175868,0.0206254848518084,Depression,Artery
dep,Brain,1940,39877,0.140024576135459,0.0271652575005352,1.1503020684893,1.09065850821741,1.21320728605823,2.54245808769874e-07,Depression,Brain
dep,Heart,1940,39877,0.0733721921802924,0.0271148451713489,1.07613098992676,1.02043404612474,1.13486796317574,0.00681034238820726,Depression,Heart
dep,Immune,1940,39877,0.0798662930144031,0.0272085714213937,1.08314223430944,1.02689375414165,1.14247174550737,0.0033318692983116,Depression,Immune
dep,Intestine,1940,39877,0.110046184850652,0.0277839815340689,1.11632962678539,1.05716477251435,1.17880567725964,7.47059399211895e-05,Depression,Intestine
dep,Kidney,1940,39877,0.0995145979418587,0.0275061485398266,1.10463459601386,1.04665936744638,1.16582111493234,0.000296998798520046,Depression,Kidney
dep,Liver,1940,39877,0.0590731573154578,0.027116397743551,1.06085284704778,1.00594358778785,1.11875931886423,0.029368599578585,Depression,Liver
dep,Lung,1940,39877,-0.0342577357582162,0.026962237317051,0.966322416698702,0.916582912044932,1.01876109705245,0.203877362953225,Depression,Lung
dep,Muscle,1940,39877,0.0762543871498632,0.0270271847863679,1.07923708328565,1.0235552216133,1.13794806312753,0.00478151599423855,Depression,Muscle
dep,Pancreas,1940,39877,0.063955904764798,0.0277591409885265,1.06604539020287,1.00959472523814,1.12565244802039,0.0212249815206198,Depression,Pancreas
anx,Organismal,2170,41935,0.0780054369605911,0.0258195553498111,1.08112853670735,1.0277788715292,1.13724746174622,0.00251794439497279,Anxiety,Organismal
anx,Artery,2170,41935,0.0846177038057832,0.0267017952645546,1.08830093385529,1.03280990068969,1.14677340122261,0.00152970020207101,Anxiety,Artery
anx,Brain,2170,41935,0.119873210250304,0.0258388827296038,1.12735390559802,1.07168259355,1.18591720731144,3.49664486344953e-06,Anxiety,Brain
anx,Heart,2170,41935,0.0670204613209508,0.0256462032997698,1.06931735759641,1.01689597582782,1.12444108191709,0.00896803449204836,Anxiety,Heart
anx,Immune,2170,41935,0.0266929004537067,0.0257655363653948,1.02705234701802,0.976474519346716,1.08024992215971,0.300205677321838,Anxiety,Immune
anx,Intestine,2170,41935,0.0581154205298018,0.0260338069126461,1.05983731563551,1.00711529084346,1.11531931430885,0.0255947528164564,Anxiety,Intestine
anx,Kidney,2170,41935,0.0490033182373855,0.0256559920557417,1.05022383562624,0.998719318593759,1.10438446957302,0.0561313393722339,Anxiety,Kidney
anx,Liver,2170,41935,0.00325617265156083,0.0256736398905724,1.00326147974043,0.954027065981976,1.05503673073986,0.899075416291426,Anxiety,Liver
anx,Lung,2170,41935,-0.04440622145462,0.025623543103579,0.956565301190042,0.909711790752853,1.0058319401176,0.0830913594950653,Anxiety,Lung
anx,Muscle,2170,41935,0.04888403840497,0.0255632852244172,1.05009857257396,0.998781662814698,1.10405211987401,0.0558408948110617,Anxiety,Muscle
anx,Pancreas,2170,41935,0.0415935064571001,0.0262325915626306,1.04247063502993,0.990226644489766,1.09747099913644,0.112837783832902,Anxiety,Pancreas
sd,Organismal,1108,42722,0.0536415432569512,0.0350329909340896,1.05510632438441,0.985090408005769,1.13009866577593,0.125726829274036,Sleep disorder,Organismal
sd,Artery,1108,42722,0.0982709365720713,0.0365544247311186,1.10326165855067,1.02698320835563,1.18520563659156,0.00718069780992428,Sleep disorder,Artery
sd,Brain,1108,42722,0.0742477065897287,0.0354578399453862,1.07707357067619,1.00476292416229,1.15458826032655,0.036262518399082,Sleep disorder,Brain
sd,Heart,1108,42722,0.108648612270877,0.0358943373271949,1.1147705648139,1.03903978588328,1.1960210081071,0.00247074711020753,Sleep disorder,Heart
sd,Immune,1108,42722,0.109120932570196,0.0358985153008488,1.11529721794544,1.03952214903517,1.19659584503452,0.00236809187205413,Sleep disorder,Immune
sd,Intestine,1108,42722,0.176902240932909,0.0373412230035042,1.19351441056851,1.10928402946173,1.28414059014796,2.16422400715726e-06,Sleep disorder,Intestine
sd,Kidney,1108,42722,0.238049512733493,0.0388191859545687,1.26877201164021,1.17581944714896,1.36907279550855,8.66369480406095e-10,Sleep disorder,Kidney
sd,Liver,1108,42722,0.0276532390708545,0.0354381628431379,1.02803913879998,0.959057465307322,1.10198242455258,0.435200354195883,Sleep disorder,Liver
sd,Lung,1108,42722,0.100319564717246,0.0356110482248993,1.10552414814452,1.03099380134754,1.18544227960753,0.00484607876190101,Sleep disorder,Lung
sd,Muscle,1108,42722,0.0845938582086855,0.036129972921046,1.08827498297911,1.01387580006191,1.16813364961059,0.0192127973671819,Sleep disorder,Muscle
sd,Pancreas,1108,42722,0.0611241971709278,0.0364313693438419,1.06303093142323,0.989772683692313,1.14171140483186,0.0933880486230085,Sleep disorder,Pancreas
sud,Organismal,2759,41358,0.101350347461242,0.0223505649577728,1.10666429087827,1.05923192361378,1.15622067783492,5.77191693165969e-06,Substance use disorder,Organismal
sud,Artery,2759,41358,0.0361274132742213,0.0230869797585534,1.03678793862153,0.990919245796422,1.08477984884343,0.117620593971524,Substance use disorder,Artery
sud,Brain,2759,41358,0.203225798332969,0.0228168636857936,1.22534911880104,1.17175844770112,1.28139077289543,5.25151366682446e-19,Substance use disorder,Brain
sud,Heart,2759,41358,0.0204126538035823,0.0230546436529459,1.02062241686364,0.975530730183979,1.06779836408447,0.375939241310917,Substance use disorder,Heart
sud,Immune,2759,41358,0.0289145139626558,0.022753305540393,1.02933659680714,0.984441163585493,1.07627948598525,0.203805856817781,Substance use disorder,Immune
sud,Intestine,2759,41358,0.266637019449852,0.024272544620457,1.30556646507912,1.24491058265979,1.36917768912966,4.50597357277251e-28,Substance use disorder,Intestine
sud,Kidney,2759,41358,-0.00709031710803808,0.0236108644124847,0.992934759887356,0.948032247457415,1.03996403079828,0.763949156159082,Substance use disorder,Kidney
sud,Liver,2759,41358,0.104543336664911,0.0227444079379972,1.11020350534101,1.06179950635795,1.16081408579592,4.29767914196863e-06,Substance use disorder,Liver
sud,Lung,2759,41358,-0.0119258830761556,0.0226310687208866,0.988144948411789,0.945272566705031,1.03296178632933,0.598214765622522,Substance use disorder,Lung
sud,Muscle,2759,41358,0.0369478989647147,0.0230536686121357,1.03763895736586,0.991797365485666,1.08559938079293,0.109002970434238,Substance use disorder,Muscle
sud,Pancreas,2759,41358,0.318968786800283,0.023898240047794,1.37570838397534,1.31275646331019,1.44167910091093,1.23386805561943e-40,Substance use disorder,Pancreas
death,Organismal,4600,43616,0.255364212840772,0.0184145884697674,1.29093170916664,1.24517026879497,1.33837493513612,9.96982251850358e-44,All-cause mortality,Organismal
death,Artery,4600,43616,0.219641142808696,0.0207836734616188,1.24562964721603,1.1959081935753,1.29741833558718,4.19496554494108e-26,All-cause mortality,Artery
death,Brain,4600,43616,0.361665452624368,0.0196302900115675,1.43571854573556,1.38152890931491,1.49203373789059,8.45740812062979e-76,All-cause mortality,Brain
death,Heart,4600,43616,0.212236074249409,0.0176814194871684,1.23643974221125,1.19432494819245,1.28003960599933,3.41245758836311e-33,All-cause mortality,Heart
death,Immune,4600,43616,0.18353488620526,0.0188119514241152,1.20145687895188,1.15796498235966,1.24658228354995,1.73379193029017e-22,All-cause mortality,Immune
