masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
63.912,0.6831,33.857,33.285
62.793,0.6668,34.570,31.301
62.534,0.6803,33.673,32.000
62.444,0.6775,34.625,30.929
63.385,0.6786,34.416,32.140
62.232,0.6720,33.885,31.424
62.546,0.6850,33.115,32.606
61.921,0.6785,33.758,31.255
62.926,0.6857,33.591,32.530
62.264,0.6775,34.835,30.529
63.055,0.6774,35.403,30.789
63.767,0.6768,33.535,33.409
62.570,0.6884,34.269,31.486
63.188,0.6788,33.444,32.912
62.084,0.6807,34.502,30.698
62.542,0.6859,33.107,32.615
61.748,0.6732,33.047,31.734
62.329,0.6832,33.635,31.843
62.761,0.6859,34.559,31.383
62.756,0.6758,33.488,32.394
63.741,0.6718,33.937,32.962
61.101,0.6652,33.067,31.014
62.213,0.6760,32.897,32.411
61.908,0.6781,34.526,30.472
61.748,0.6602,33.509,31.232
61.583,0.6639,32.669,31.912
63.652,0.6883,33.874,33.027
63.251,0.6862,33.845,32.624
64.473,0.6857,34.065,33.684
63.179,0.6607,34.266,31.970
62.001,0.6747,34.221,30.853
62.517,0.6765,33.180,32.437
62.503,0.6684,33.837,31.764
62.248,0.6771,33.474,31.885
62.480,0.6845,33.740,31.902
62.340,0.6732,33.787,31.640
62.570,0.6733,33.371,32.299
62.793,0.6801,34.478,31.463
62.853,0.6837,34.117,31.917
63.009,0.6877,34.206,32.010
62.423,0.6800,33.083,32.478
61.574,0.6592,32.991,31.563
63.172,0.6637,34.872,31.368
63.835,0.6804,33.570,33.470
63.075,0.6774,33.410,32.810
63.020,0.6806,35.005,31.173
62.509,0.6860,34.374,31.303
61.966,0.6696,34.086,30.924
63.925,0.6801,34.850,32.283
62.471,0.6728,32.860,32.706
63.302,0.6854,33.379,33.137
61.406,0.6694,32.966,31.467
62.953,0.6858,33.223,32.929
63.044,0.6742,33.531,32.643
62.659,0.6711,35.102,30.645
61.257,0.6632,33.085,31.155
61.155,0.6762,32.659,31.537
62.150,0.6778,33.326,31.929
61.465,0.6680,34.350,30.115
63.226,0.6767,36.235,30.119
63.276,0.6770,35.202,31.221
63.180,0.6722,33.959,32.343
62.811,0.6804,34.229,31.737
62.404,0.6786,33.649,31.877
62.295,0.6771,35.092,30.295
62.789,0.6849,33.571,32.401
63.638,0.6868,35.129,31.741
61.983,0.6702,33.675,31.371
63.333,0.6778,34.955,31.534
63.029,0.6832,33.566,32.654
63.293,0.6706,33.925,32.491
62.621,0.6765,32.941,32.810
62.741,0.6769,33.134,32.739
62.963,0.6714,34.328,31.742
62.951,0.6788,33.327,32.779
62.152,0.6716,33.322,31.898
62.461,0.6769,33.122,32.460
62.519,0.6704,33.289,32.302
