tiempo_Mf,re_omega_sobre_2omegaH,menos_im_omega_sobre_kappa
-19.5402,0.96419,0.15085
-19.5123,0.96443,0.15111
-19.4868,0.96466,0.15135
-19.4614,0.96488,0.15158
-19.4334,0.96513,0.15185
-19.4079,0.96536,0.15209
-19.3799,0.96561,0.15235
-19.3544,0.96583,0.15259
-19.3264,0.96608,0.15286
-19.3008,0.96631,0.15310
-19.2728,0.96656,0.15336
-19.2472,0.96679,0.15361
-19.2191,0.96704,0.15388
-19.1935,0.96727,0.15412
-19.1654,0.96752,0.15439
-19.1398,0.96775,0.15464
-19.1116,0.96801,0.15491
-19.0860,0.96824,0.15516
-19.0578,0.96849,0.15543
-19.0322,0.96872,0.15568
-19.0039,0.96898,0.15595
-18.9783,0.96921,0.15620
-18.9500,0.96946,0.15648
-18.9243,0.96970,0.15673
-18.8960,0.96995,0.15700
-18.8703,0.97019,0.15726
-18.8446,0.97042,0.15751
-18.8162,0.97068,0.15779
-18.7905,0.97091,0.15804
-18.7621,0.97117,0.15833
-18.7363,0.97140,0.15858
-18.7079,0.97166,0.15886
-18.6821,0.97190,0.15912
-18.6537,0.97216,0.15940
-18.6278,0.97240,0.15966
-18.5994,0.97266,0.15995
-18.5735,0.97289,0.16021
-18.5450,0.97315,0.16050
-18.5191,0.97339,0.16076
-18.4906,0.97365,0.16105
-18.4647,0.97389,0.16131
-18.4361,0.97416,0.16160
-18.4102,0.97440,0.16187
-18.3816,0.97466,0.16216
-18.3556,0.97490,0.16242
-18.3270,0.97517,0.16272
-18.3010,0.97541,0.16298
-18.2724,0.97567,0.16328
-18.2463,0.97592,0.16355
-18.2202,0.97616,0.16382
-18.1916,0.97643,0.16412
-18.1655,0.97667,0.16439
-18.1368,0.97694,0.16469
-18.1106,0.97718,0.16496
-18.0819,0.97745,0.16526
-18.0557,0.97769,0.16554
-18.0270,0.97796,0.16584
-18.0008,0.97821,0.16612
-17.9720,0.97848,0.16642
-17.9458,0.97873,0.16670
-17.9169,0.97900,0.16700
-17.8907,0.97924,0.16728
-17.8618,0.97952,0.16759
-17.8355,0.97976,0.16787
-17.8066,0.98004,0.16818
-17.7803,0.98028,0.16846
-17.7514,0.98056,0.16878
-17.7251,0.98081,0.16906
-17.6961,0.98108,0.16937
-17.6697,0.98133,0.16966
-17.6433,0.98158,0.16995
-17.6143,0.98186,0.17026
-17.5879,0.98211,0.17055
-17.5588,0.98239,0.17087
-17.5324,0.98264,0.17116
-17.5033,0.98292,0.17148
-17.4768,0.98317,0.17177
-17.4477,0.98345,0.17209
-17.4212,0.98370,0.17238
-17.3920,0.98398,0.17271
-17.3655,0.98424,0.17300
-17.3363,0.98452,0.17333
-17.3097,0.98478,0.17363
-17.2805,0.98506,0.17395
-17.2539,0.98531,0.17425
-17.2246,0.98560,0.17458
-17.1980,0.98585,0.17488
-17.1687,0.98614,0.17521
-17.1420,0.98639,0.17551
-17.1127,0.98668,0.17585
-17.0860,0.98694,0.17615
-17.0566,0.98722,0.17649
-17.0298,0.98748,0.17679
-17.0031,0.98774,0.17710
-16.9736,0.98803,0.17744
-16.9469,0.98829,0.17774
-16.9174,0.98858,0.17808
-16.8906,0.98884,0.17839
-16.8611,0.98913,0.17874
-16.8342,0.98939,0.17905
-16.8047,0.98968,0.17939
-16.7778,0.98994,0.17971
-16.7482,0.99023,0.18005
-16.7213,0.99050,0.18037
-16.6916,0.99079,0.18072
-16.6647,0.99105,0.18103
-16.6350,0.99135,0.18139
-16.6080,0.99161,0.18171
-16.5783,0.99191,0.18206
-16.5513,0.99217,0.18238
-16.5215,0.99247,0.18273
-16.4945,0.99273,0.18306
-16.4647,0.99303,0.18342
-16.4376,0.99330,0.18374
-16.4078,0.99359,0.18410
-16.3806,0.99386,0.18443
-16.3535,0.99413,0.18476
-16.3236,0.99443,0.18512
-16.2964,0.99470,0.18545
-16.2665,0.99500,0.18581
-16.2393,0.99527,0.18615
-16.2093,0.99557,0.18651
-16.1820,0.99584,0.18685
-16.1520,0.99614,0.18722
-16.1247,0.99642,0.18755
-16.0947,0.99672,0.18793
-16.0673,0.99699,0.18826
-16.0372,0.99729,0.18864
-16.0099,0.99757,0.18898
-15.9797,0.99787,0.18936
-15.9523,0.99815,0.18970
-15.9221,0.99845,0.19008
-15.8947,0.99873,0.19042
-15.8645,0.99903,0.19080
-15.8370,0.99931,0.19115
-15.8067,0.99962,0.19153
-15.7792,0.99990,0.19188
-15.7516,1.00018,0.19223
-15.7213,1.00048,0.19262
-15.6937,1.00077,0.19297
-15.6633,1.00107,0.19336
-15.6357,1.00135,0.19372
-15.6053,1.00166,0.19411
-15.5776,1.00195,0.19447
-15.5471,1.00226,0.19486
-15.5194,1.00254,0.19522
-15.4889,1.00285,0.19562
-15.4612,1.00314,0.19598
-15.4306,1.00345,0.19638
-15.4028,1.00373,0.19675
-15.3722,1.00405,0.19715
-15.3444,1.00433,0.19751
-15.3137,1.00465,0.19792
-15.2859,1.00493,0.19829
-15.2552,1.00525,0.19870
-15.2273,1.00554,0.19907
-15.1965,1.00585,0.19948
-15.1686,1.00614,0.19985
-15.1378,1.00646,0.20026
-15.1098,1.00675,0.20064
-15.0817,1.00704,0.20102
-15.0509,1.00736,0.20144
-15.0228,1.00765,0.20182
-14.9919,1.00797,0.20224
-14.9638,1.00826,0.20262
-14.9328,1.00858,0.20304
-14.9047,1.00887,0.20343
-14.8737,1.00920,0.20385
-14.8455,1.00949,0.20424
-14.8144,1.00981,0.20467
-14.7862,1.01011,0.20506
-14.7551,1.01043,0.20549
-14.7268,1.01073,0.20588
-14.6956,1.01105,0.20631
-14.6673,1.01135,0.20671
-14.6361,1.01168,0.20715
-14.6077,1.01197,0.20754
-14.5764,1.01230,0.20798
-14.5480,1.01260,0.20838
-14.5167,1.01293,0.20883
-14.4882,1.01323,0.20923
-14.4568,1.01356,0.20968
-14.4283,1.01386,0.21008
-14.3998,1.01416,0.21049
-14.3683,1.01449,0.21094
-14.3397,1.01479,0.21135
-14.3082,1.01512,0.21180
-14.2796,1.01543,0.21222
-14.2480,1.01576,0.21267
-14.2193,1.01606,0.21309
-14.1878,1.01640,0.21355
-14.1590,1.01670,0.21397
-14.1274,1.01704,0.21443
-14.0986,1.01734,0.21485
-14.0668,1.01768,0.21532
-14.0380,1.01799,0.21574
-14.0062,1.01832,0.21621
-13.9773,1.01863,0.21664
-13.9455,1.01897,0.21711
-13.9166,1.01928,0.21754
-13.8847,1.01962,0.21802
-13.8557,1.01993,0.21845
-13.8238,1.02027,0.21893
-13.7947,1.02058,0.21936
-13.7656,1.02089,0.21980
-13.7336,1.02123,0.22029
-13.7045,1.02154,0.22073
-13.6724,1.02189,0.22122
-13.6432,1.02220,0.22166
-13.6111,1.02254,0.22215
-13.5818,1.02286,0.22260
-13.5497,1.02320,0.22309
-13.5204,1.02352,0.22354
-13.4881,1.02386,0.22404
-13.4588,1.02418,0.22450
-13.4264,1.02453,0.22500
-13.3970,1.02484,0.22545
-13.3647,1.02519,0.22596
-13.3352,1.02551,0.22642
-13.3028,1.02586,0.22693
-13.2733,1.02618,0.22739
-13.2408,1.02653,0.22790
-13.2112,1.02685,0.22837
-13.1786,1.02720,0.22889
-13.1490,1.02752,0.22936
-13.1164,1.02787,0.22988
-13.0867,1.02820,0.23035
-13.0570,1.02852,0.23083
-13.0242,1.02887,0.23135
-12.9945,1.02920,0.23183
-12.9617,1.02955,0.23236
-12.9318,1.02988,0.23284
-12.8990,1.03023,0.23338
-12.8691,1.03056,0.23386
-12.8362,1.03092,0.23440
-12.8062,1.03124,0.23489
-12.7732,1.03160,0.23543
-12.7432,1.03193,0.23592
-12.7102,1.03229,0.23647
-12.6801,1.03262,0.23697
-12.6470,1.03298,0.23752
-12.6168,1.03331,0.23802
-12.5837,1.03367,0.23857
-12.5534,1.03400,0.23907
-12.5202,1.03436,0.23963
-12.4899,1.03469,0.24014
-12.4566,1.03506,0.24070
-12.4263,1.03539,0.24121
-12.3929,1.03575,0.24178
-12.3625,1.03609,0.24230
-12.3320,1.03642,0.24281
-12.2985,1.03679,0.24339
-12.2680,1.03712,0.24391
-12.2345,1.03749,0.24448
-12.2039,1.03783,0.24501
-12.1703,1.03820,0.24559
-12.1396,1.03853,0.24612
-12.1059,1.03890,0.24671
-12.0752,1.03924,0.24724
-12.0414,1.03961,0.24783
-12.0106,1.03995,0.24837
-11.9768,1.04032,0.24896
-11.9459,1.04066,0.24951
-11.9120,1.04103,0.25011
-11.8811,1.04137,0.25065
-11.8471,1.04175,0.25126
-11.8161,1.04209,0.25181
-11.7820,1.04246,0.25242
-11.7509,1.04281,0.25297
-11.7167,1.04318,0.25359
-11.6856,1.04353,0.25415
-11.6514,1.04390,0.25476
-11.6202,1.04425,0.25533
-11.5889,1.04459,0.25589
-11.5545,1.04497,0.25652
-11.5232,1.04532,0.25709
-11.4888,1.04570,0.25772
-11.4574,1.04604,0.25830
-11.4229,1.04642,0.25893
-11.3914,1.04677,0.25951
-11.3568,1.04715,0.26015
-11.3252,1.04750,0.26074
-11.2905,1.04789,0.26139
-11.2589,1.04823,0.26198
-11.2241,1.04862,0.26263
-11.1924,1.04897,0.26322
-11.1575,1.04935,0.26388
-11.1258,1.04970,0.26448
-11.0908,1.05009,0.26514
-11.0589,1.05044,0.26574
-11.0239,1.05083,0.26641
-10.9919,1.05118,0.26702
-10.9568,1.05157,0.26769
-10.9248,1.05192,0.26831
-10.8927,1.05228,0.26892
-10.8574,1.05267,0.26960
-10.8253,1.05302,0.27023
-10.7899,1.05341,0.27091
-10.7577,1.05377,0.27154
-10.7222,1.05416,0.27223
-10.6899,1.05452,0.27286
-10.6544,1.05491,0.27356
-10.6220,1.05527,0.27420
-10.5863,1.05566,0.27490
-10.5538,1.05602,0.27555
-10.5181,1.05641,0.27626
-10.4855,1.05677,0.27690
-10.4496,1.05717,0.27762
-10.4170,1.05753,0.27827
-10.3810,1.05792,0.27900
-10.3483,1.05828,0.27966
-10.3122,1.05868,0.28039
-10.2794,1.05904,0.28105
-10.2432,1.05944,0.28179
-10.2103,1.05980,0.28246
-10.1740,1.06020,0.28320
-10.1410,1.06057,0.28387
-10.1079,1.06093,0.28455
-10.0715,1.06133,0.28530
-10.0383,1.06169,0.28599
-10.0018,1.06210,0.28675
-9.9686,1.06246,0.28744
-9.9319,1.06286,0.28820
-9.8986,1.06323,0.28890
-9.8618,1.06363,0.28967
-9.8284,1.06400,0.29037
-9.7915,1.06440,0.29115
-9.7580,1.06477,0.29186
-9.7210,1.06517,0.29265
-9.6873,1.06554,0.29336
-9.6502,1.06594,0.29415
-9.6165,1.06631,0.29488
-9.5793,1.06672,0.29567
-9.5454,1.06709,0.29640
-9.5081,1.06749,0.29721
-9.4741,1.06786,0.29795
-9.4367,1.06827,0.29876
-9.4026,1.06864,0.29950
-9.3651,1.06905,0.30032
-9.3309,1.06942,0.30107
-9.2967,1.06979,0.30182
-9.2589,1.07020,0.30265
-9.2246,1.07057,0.30341
-9.1867,1.07098,0.30425
-9.1523,1.07135,0.30502
-9.1143,1.07176,0.30587
-9.0797,1.07214,0.30664
-9.0416,1.07255,0.30749
-9.0069,1.07292,0.30827
-8.9687,1.07333,0.30914
-8.9339,1.07371,0.30992
-8.8956,1.07412,0.31080
-8.8606,1.07449,0.31159
-8.8221,1.07491,0.31247
-8.7871,1.07528,0.31327
-8.7485,1.07569,0.31416
-8.7133,1.07607,0.31497
-8.6745,1.07648,0.31587
-8.6392,1.07686,0.31668
-8.6004,1.07727,0.31759
-8.5649,1.07765,0.31841
-8.5295,1.07802,0.31924
-8.4904,1.07844,0.32016
-8.4547,1.07881,0.32100
-8.4155,1.07923,0.32193
-8.3798,1.07960,0.32277
-8.3404,1.08002,0.32371
-8.3045,1.08040,0.32456
-8.2650,1.08081,0.32550
-8.2290,1.08119,0.32637
-8.1893,1.08161,0.32732
-8.1532,1.08198,0.32819
-8.1133,1.08240,0.32915
-8.0770,1.08278,0.33003
-8.0371,1.08319,0.33101
-8.0006,1.08357,0.33189
-7.9605,1.08398,0.33288
-7.9239,1.08436,0.33377
-7.8836,1.08478,0.33477
-7.8469,1.08516,0.33567
-7.8065,1.08557,0.33667
-7.7696,1.08595,0.33759
-7.7290,1.08637,0.33860
-7.6920,1.08674,0.33952
-7.6549,1.08712,0.34045
-7.6141,1.08754,0.34148
-7.5768,1.08792,0.34242
-7.5358,1.08833,0.34346
-7.4984,1.08871,0.34441
-7.4572,1.08912,0.34545
-7.4197,1.08950,0.34641
-7.3783,1.08992,0.34747
-7.3406,1.09029,0.34844
-7.2990,1.09071,0.34951
-7.2612,1.09108,0.35049
-7.2194,1.09150,0.35157
-7.1814,1.09187,0.35256
-7.1395,1.09229,0.35365
-7.1013,1.09266,0.35465
-7.0592,1.09308,0.35575
-7.0208,1.09345,0.35676
-6.9785,1.09387,0.35788
-6.9400,1.09424,0.35890
-6.8975,1.09465,0.36002
-6.8588,1.09503,0.36106
-6.8161,1.09544,0.36220
-6.7772,1.09581,0.36324
-6.7382,1.09619,0.36429
-6.6952,1.09660,0.36544
-6.6560,1.09697,0.36650
-6.6129,1.09738,0.36767
-6.5735,1.09775,0.36874
-6.5301,1.09816,0.36993
-6.4906,1.09853,0.37101
-6.4469,1.09894,0.37221
-6.4072,1.09931,0.37330
-6.3634,1.09971,0.37451
-6.3234,1.10008,0.37562
-6.2794,1.10049,0.37684
-6.2392,1.10086,0.37796
-6.1950,1.10126,0.37919
-6.1546,1.10163,0.38033
-6.1101,1.10203,0.38158
-6.0696,1.10239,0.38272
-6.0248,1.10279,0.38399
-5.9841,1.10316,0.38514
-5.9391,1.10356,0.38642
-5.8981,1.10392,0.38759
-5.8570,1.10428,0.38877
-5.8117,1.10468,0.39007
-5.7704,1.10504,0.39126
-5.7248,1.10543,0.39258
-5.6833,1.10579,0.39378
-5.6374,1.10618,0.39511
-5.5956,1.10654,0.39633
-5.5496,1.10693,0.39768
-5.5075,1.10728,0.39891
-5.4612,1.10767,0.40028
-5.4189,1.10802,0.40152
-5.3723,1.10841,0.40290
-5.3298,1.10876,0.40416
-5.2829,1.10914,0.40556
-5.2402,1.10949,0.40684
-5.1930,1.10987,0.40825
-5.1500,1.11022,0.40954
-5.1025,1.11059,0.41097
-5.0592,1.11094,0.41228
-5.0115,1.11131,0.41373
-4.9679,1.11165,0.41505
-4.9199,1.11202,0.41652
-4.8761,1.11236,0.41786
-4.8321,1.11269,0.41921
-4.7836,1.11306,0.42070
-4.7394,1.11339,0.42206
-4.6905,1.11376,0.42357
-4.6460,1.11408,0.42495
-4.5969,1.11444,0.42648
-4.5520,1.11477,0.42788
-4.5026,1.11513,0.42943
-4.4574,1.11545,0.43085
-4.4076,1.11580,0.43241
-4.3622,1.11612,0.43385
-4.3120,1.11646,0.43544
-4.2663,1.11678,0.43689
-4.2158,1.11712,0.43850
-4.1697,1.11743,0.43997
-4.1188,1.11777,0.44160
-4.0724,1.11807,0.44309
-4.0212,1.11840,0.44474
-3.9744,1.11870,0.44625
-3.9228,1.11903,0.44793
-3.8757,1.11933,0.44946
-3.8237,1.11965,0.45115
-3.7762,1.11994,0.45270
-3.7286,1.12023,0.45427
-3.6760,1.12054,0.45600
-3.6280,1.12082,0.45758
-3.5750,1.12113,0.45933
-3.5266,1.12141,0.46093
-3.4732,1.12171,0.46271
-3.4244,1.12198,0.46433
-3.3705,1.12227,0.46613
-3.3214,1.12253,0.46777
-3.2671,1.12282,0.46960
-3.2175,1.12308,0.47127
-3.1627,1.12336,0.47312
-3.1127,1.12361,0.47481
-3.0574,1.12388,0.47669
-3.0070,1.12413,0.47841
-2.9513,1.12439,0.48031
-2.9004,1.12463,0.48205
-2.8441,1.12488,0.48398
-2.7928,1.12511,0.48575
-2.7361,1.12536,0.48770
-2.6842,1.12558,0.48949
-2.6322,1.12579,0.49130
-2.5747,1.12602,0.49330
-2.5221,1.12623,0.49513
-2.4640,1.12645,0.49716
-2.4110,1.12665,0.49901
-2.3523,1.12686,0.50107
-2.2988,1.12705,0.50295
-2.2395,1.12725,0.50504
-2.1854,1.12743,0.50695
-2.1256,1.12762,0.50907
-2.0709,1.12779,0.51101
-2.0105,1.12797,0.51316
-1.9552,1.12813,0.51513
-1.8941,1.12829,0.51732
-1.8383,1.12844,0.51932
-1.7766,1.12859,0.52154
-1.7201,1.12873,0.52357
-1.6577,1.12887,0.52582
-1.6006,1.12899,0.52788
-1.5375,1.12911,0.53016
-1.4797,1.12922,0.53226
-1.4158,1.12933,0.53458
-1.3574,1.12943,0.53671
-1.2987,1.12952,0.53886
-1.2337,1.12961,0.54124
-1.1742,1.12968,0.54342
-1.1084,1.12975,0.54583
-1.0482,1.12981,0.54804
-0.9816,1.12986,0.55049
-0.9206,1.12990,0.55274
-0.8532,1.12994,0.55523
-0.7914,1.12997,0.55752
-0.7230,1.12999,0.56006
-0.6604,1.13000,0.56239
-0.5911,1.13000,0.56498
-0.5277,1.12999,0.56734
-0.4574,1.12996,0.56996
-0.3931,1.12993,0.57236
-0.3218,1.12989,0.57502
-0.2566,1.12984,0.57746
-0.1843,1.12978,0.58017
-0.1180,1.12971,0.58265
-0.0446,1.12962,0.58542
0.0226,1.12953,0.58796
0.0971,1.12942,0.59077
0.1654,1.12930,0.59335
0.2342,1.12918,0.59594
0.3105,1.12903,0.59882
0.3804,1.12888,0.60145
0.4580,1.12870,0.60438
0.5291,1.12852,0.60707
0.6080,1.12832,0.61006
0.6803,1.12812,0.61281
0.7606,1.12788,0.61585
0.8343,1.12765,0.61864
0.9160,1.12738,0.62173
0.9910,1.12712,0.62456
1.0742,1.12682,0.62771
1.1507,1.12653,0.63061
1.2355,1.12620,0.63383
1.3134,1.12588,0.63679
1.4000,1.12551,0.64007
1.4795,1.12515,0.64307
1.5679,1.12474,0.64639
1.6490,1.12435,0.64945
1.7393,1.12390,0.65284
1.8222,1.12347,0.65597
1.9060,1.12303,0.65913
1.9993,1.12252,0.66266
2.0850,1.12204,0.66588
2.1804,1.12148,0.66944
2.2682,1.12095,0.67271
2.3660,1.12035,0.67634
2.4559,1.11978,0.67968
2.5561,1.11913,0.68340
2.6484,1.11851,0.68683
2.7512,1.11782,0.69067
2.8460,1.11715,0.69416
2.9516,1.11639,0.69802
3.0490,1.11568,0.70156
3.1577,1.11486,0.70549
3.2580,1.11409,0.70911
3.3699,1.11321,0.71315
3.4732,1.11239,0.71689
3.5886,1.11147,0.72109
3.6952,1.11059,0.72492
3.8144,1.10958,0.72913
3.9246,1.10864,0.73299
4.0479,1.10756,0.73728
4.1619,1.10655,0.74125
4.2780,1.10551,0.74529
4.4080,1.10434,0.74981
4.5284,1.10322,0.75390
4.6635,1.10195,0.75842
4.7888,1.10076,0.76258
4.9296,1.09941,0.76723
5.0602,1.09815,0.77156
5.2071,1.09673,0.77646
5.3436,1.09539,0.78087
5.4973,1.09385,0.78570
5.6405,1.09241,0.79012
5.8019,1.09077,0.79507
5.9524,1.08925,0.79970
6.1225,1.08754,0.80498
6.2813,1.08593,0.80987
6.4610,1.08409,0.81510
6.6293,1.08235,0.81987
6.8201,1.08039,0.82524
6.9993,1.07857,0.83030
7.2029,1.07650,0.83595
7.3946,1.07454,0.84093
7.6133,1.07231,0.84644
7.8198,1.07024,0.85164
8.0343,1.06813,0.85717
8.2801,1.06573,0.86334
8.5136,1.06346,0.86867
8.7826,1.06088,0.87468
9.0395,1.05850,0.88051
9.3371,1.05575,0.88655
9.6232,1.05318,0.89205
9.9571,1.05030,0.89873
10.2804,1.04761,0.90497
10.6613,1.04452,0.91138
11.0342,1.04165,0.91770
11.4791,1.03836,0.92403
11.9214,1.03531,0.93071
12.4582,1.03184,0.93771
13.0034,1.02859,0.94429
13.6840,1.02489,0.95122
14.3994,1.02144,0.95812
15.3355,1.01751,0.96520
16.3863,1.01384,0.97256
17.9068,1.00967,0.98030
19.9314,1.00576,0.98735
24.2899,1.00132,0.99495
