Population,IID,Average_ROH_length_Mb,Total_ROH_length_Mb,ROH_count,FROH
Balochi,HGDP00078,0.75072413592233,77.324586,103,0.0277279608432179
Balochi,HGDP00080,0.749528007042254,106.432977,142,0.0381659905516094
Balochi,HGDP00082,1.44115535502959,243.555255,169,0.0873369121407251
Balochi,HGDP00086,1.45110796407186,242.33503,167,0.0868993494873677
Balochi,HGDP00088,1.56159770454545,274.841196,176,0.0985557933771694
Balochi,HGDP00090,2.00572899404762,336.962471,168,0.120831971884362
Balochi,HGDP00092,2.03980934825871,410.001679,201,0.14702323140748
Balochi,HGDP00094,1.42745120915033,218.400035,153,0.0783164570533544
Balochi,HGDP00096,1.7180038121547,310.95869,181,0.111507229798532
Balochi,HGDP00098,2.17029024137931,377.630502,174,0.135415193463315
Baniwa,IAGD0016,0.852473121107266,246.364732,289,0.0883443674958164
BantuKenya,HGDP01405,0.821939125,52.604104,64,0.0188633992286045
BantuKenya,HGDP01406,0.891597479166667,42.796679,48,0.0153465372518356
BantuKenya,HGDP01408,0.920066637931034,53.363865,58,0.0191358432771016
BantuKenya,HGDP01411,0.849906787234043,39.945619,47,0.014324170574804
BantuKenya,HGDP01412,1.63745093181818,72.047841,44,0.0258357634670865
BantuKenya,HGDP01414,1.03982958730159,65.509264,63,0.0234910835094548
BantuKenya,HGDP01415,1.16806504651163,50.226797,43,0.0180109164825823
BantuKenya,HGDP01416,0.926691842105263,35.21429,38,0.0126275548923303
BantuKenya,HGDP01417,0.908213867924528,48.135335,53,0.0172609354035879
BantuKenya,HGDP01418,0.804714653846154,41.845162,52,0.0150053310781917
BantuKenya,HGDP01419,1.03257362962963,55.758976,54,0.0199947103911546
BantuSouthAfrica,HGDP00993,0.973034825,38.921393,40,0.0139568915515111
BantuSouthAfrica,HGDP00994,0.857377952380952,36.009874,42,0.0129128447741215
BantuSouthAfrica,HGDP01028,1.11777565517241,97.246482,87,0.0348717889680869
BantuSouthAfrica,HGDP01030,0.907992316666667,54.479539,60,0.0195359148013875
BantuSouthAfrica,HGDP01031,1.28299765384615,66.715878,52,0.0239237653701101
BantuSouthAfrica,HGDP01033,1.05372818055556,75.868429,72,0.027205794914291
BantuSouthAfrica,HGDP01034,0.849693090909091,46.73312,55,0.0167581126323961
BantuSouthAfrica,HGDP01035,1.20172914285714,84.12104,70,0.0301651133730061
Basque,HGDP01357,0.806498735135135,149.202266,185,0.053502705974622
Basque,HGDP01358,0.891869826086957,184.617054,207,0.0662021578014299
Basque,HGDP01359,0.881982247252747,160.520769,182,0.0575614280994045
Basque,HGDP01360,0.843696813829787,158.615001,188,0.0568780353621934
Basque,HGDP01361,0.818394541899441,146.492623,179,0.0525310502711812
Basque,HGDP01362,0.844009863387978,154.453805,183,0.0553858646863755
Basque,HGDP01363,0.800492355421687,132.881731,166,0.0476502962970537
Basque,HGDP01364,0.752427395721925,140.703923,187,0.0504552700409045
Basque,HGDP01365,0.836937037234043,157.344163,188,0.0564223233031327
Basque,HGDP01366,0.8311779375,146.287317,176,0.0524574292274309
Basque,HGDP01367,0.883922601123596,157.338223,178,0.0564201932679663
Basque,HGDP01368,0.848897398876405,151.103737,178,0.0541845578429594
Basque,HGDP01369,0.850183661111111,153.033059,180,0.0548763968509298
Basque,HGDP01370,0.809844248407643,127.145547,157,0.0455933478726354
Basque,HGDP01372,1.45953230769231,303.58272,208,0.108862267595427
Basque,HGDP01373,0.826593912280702,141.347559,171,0.0506860726190817
Basque,HGDP01374,0.797003445054945,145.054627,182,0.0520153967275502
Basque,HGDP01375,0.818444307692308,138.317088,169,0.0495993706324133
Basque,HGDP01376,0.864311048128342,161.626166,187,0.0579578143759791
Basque,HGDP01377,0.854098414141414,169.111486,198,0.0606419885901023
Basque,HGDP01378,0.999226514619883,170.867734,171,0.0612717646845386
Basque,HGDP01379,0.777814540983607,142.340061,183,0.051041975676782
Basque,HGDP01380,0.844682929347826,155.421659,184,0.0557329291739106
Bedouin,HGDP00607,1.06740578181818,176.121954,165,0.0631558847808512
Bedouin,HGDP00608,1.3025507,208.408112,160,0.0747334356105697
Bedouin,HGDP00609,1.52458259398496,202.769485,133,0.0727114703243216
Bedouin,HGDP00610,1.26022991237113,244.484603,194,0.0876701686932234
Bedouin,HGDP00611,0.743505779661017,87.733682,118,0.0314605770941642
Bedouin,HGDP00612,1.31223158962264,278.193097,212,0.0997577575193161
Bedouin,HGDP00613,0.74430639516129,92.293993,124,0.033095867127801
Bedouin,HGDP00614,0.961052675496689,145.118954,151,0.0520384638609088
Bedouin,HGDP00615,1.77328294827586,308.551233,174,0.110643935510377
Bedouin,HGDP00616,1.52677651282051,297.72142,195,0.106760453602005
Bedouin,HGDP00618,1.26555879896907,245.518407,194,0.0880408823085742
Bedouin,HGDP00619,0.831105062015504,107.212553,129,0.0384455400962046
Bedouin,HGDP00620,0.958460684210526,127.475271,133,0.0457115841883277
Bedouin,HGDP00621,0.715618315789474,27.193496,38,0.00975136410401475
Bedouin,HGDP00622,1.50157321472393,244.756434,163,0.0877676450550622
Bedouin,HGDP00623,1.59315469306931,321.817248,202,0.115401019427587
Bedouin,HGDP00624,1.10458628666667,165.687943,150,0.0594143342157346
Bedouin,HGDP00625,0.930124191489362,131.147511,141,0.0470284192623221
Bedouin,HGDP00626,1.74462412179487,272.161363,156,0.0975948272946563
Bedouin,HGDP00627,1.26962872727273,167.590992,132,0.060096751941899
Bedouin,HGDP00628,2.02581204545455,311.975055,154,0.111871689931851
Bedouin,HGDP00629,2.06311495652174,332.161508,161,0.119110386021959
Bedouin,HGDP00630,1.34506760784314,274.393792,204,0.0983953579809411
Bedouin,HGDP00631,1.40481065104167,269.723645,192,0.0967206816606815
Bedouin,HGDP00632,0.710812892857143,79.611044,112,0.0285478658847225
Bedouin,HGDP00634,1.74168205223881,233.385395,134,0.0836900839525857
