key,country,transect_id,survey_year,presence,wolf,forest,snow,dist_human,dist_water,listening_duration
4751,Italy,614,2015,0,0.0,81.6831683168317,26.665092370184,0.503930546501608,0.752613263978927,1.6094379124341
4752,Italy,614,2015,0,0.0,86.0,14.9760842707917,-0.0956909359075315,1.67816528043529,1.6094379124341
4753,Italy,614,2015,0,0.0,85.5721393034826,10.2162793586559,-0.143368398080042,1.93806058360425,1.6094379124341
4754,Italy,614,2015,0,0.0,46.7661691542289,64.1792704413313,0.365625919541841,1.74446203070171,1.6094379124341
4755,Italy,614,2015,0,0.0,84.5771144278607,6.63098285372475,-0.0885839275404072,2.30738538030202,1.6094379124341
4756,Italy,614,2015,0,0.0,94.5,18.0636022784011,-0.161387158661722,2.14885270517979,1.6094379124341
4757,Italy,614,2015,0,0.0,92.0792079207921,14.5738792529154,-0.159717139875317,2.27555869479018,1.6094379124341
4758,Italy,614,2015,0,0.0,75.7425742574257,9.99667458934431,-0.157328873085406,2.14688804458905,1.6094379124341
4759,Italy,614,2015,0,0.0,60.1010101010101,5.87498472127171,-0.606329891771435,2.15777328336947,1.6094379124341
476,Greece,70,2014,1,0.252747252747253,0.0,1.47596250013398,0.491151639623495,-0.345932244501045,1.09861228866811
4760,Italy,614,2015,0,0.0,35.3233830845771,4.2028178869395,-0.672522827859347,1.90955611468752,1.6094379124341
4761,Italy,614,2015,0,0.0,77.1144278606965,9.4439487026659,-0.150167527957465,2.01965518940776,1.6094379124341
4762,Italy,614,2015,0,0.0,84.5771144278607,7.17809580154973,-0.186141282859317,2.20184726953531,1.6094379124341
4763,Italy,616,2015,0,0.0,56.0606060606061,32.6398159288651,-0.151320290014922,1.50417133248985,1.6094379124341
4764,Italy,616,2015,1,0.0348258706467662,49.2537313432836,41.6472258492582,-0.297137337740825,1.91666599500773,1.6094379124341
4765,Italy,616,2015,0,0.127450980392157,60.2941176470588,44.9411024981932,-0.0137544472898865,1.65649809018651,1.6094379124341
4766,Italy,616,2015,0,0.0,65.8163265306122,42.3325677745737,0.0474242533139855,1.38875237739929,1.6094379124341
4767,Italy,616,2015,0,0.0,84.0,41.4617294444986,0.626196190003728,0.863192356404533,1.6094379124341
4768,Italy,616,2015,0,0.0,85.2216748768473,42.6423435620722,1.42043086256226,0.354956254019236,1.6094379124341
4769,Italy,617,2015,1,0.0,37.6237623762376,8.48132947718275,-0.3953503170951,-0.453438724651082,1.6094379124341
477,Greece,71,2014,0,1.0,0.0,2.08324385725291,-0.486529085399353,-0.568894286601469,1.09861228866811
4770,Italy,617,2015,0,0.0,48.5576923076923,12.20062367907,-0.251895387573736,-0.149761326976576,1.6094379124341
4771,Italy,617,2015,0,0.0,49.0,11.4090922251389,0.162271551963696,-0.368428709831714,1.6094379124341
4772,Italy,617,2015,0,0.0,49.5098039215686,9.53137082280953,-0.0608078783823553,-0.360618733877873,1.6094379124341
4773,Italy,617,2015,0,0.0,37.5,6.57028990297644,-0.41299657821191,-0.204704475352277,1.6094379124341
4774,Italy,617,2015,0,0.0,23.0,4.85776396874785,-0.713511146542414,-0.127368029648341,1.6094379124341
4775,Italy,616,2015,0,0.0,62.0,21.434235439409,-0.47044378969514,0.986688473322181,1.6094379124341
4776,Italy,616,2015,0,0.0,63.18407960199,25.5060104634522,-0.232588811324434,1.18038597258657,1.6094379124341
4777,Italy,616,2015,0,0.0,43.0,16.4255546072456,-0.806121842689994,1.00035562705229,1.6094379124341
4778,Italy,618,2015,0,1.86069651741294,24.8756218905473,2.83947704321025,-0.142044856504304,0.126214379259163,1.6094379124341
4779,Italy,618,2015,0,2.0,1.96078431372549,2.12410895888954,0.150353503536016,0.102898991598463,1.6094379124341
478,Greece,71,2014,1,1.0,0.0,1.33177670702037,-0.113097713567816,-0.278330216353048,1.09861228866811
4780,Italy,618,2015,0,1.62376237623762,0.0,2.41840524686738,0.0963237912435589,0.250372336551023,1.6094379124341
4781,Italy,618,2015,0,0.298507462686567,0.0,2.28311687684363,-0.236073396195415,-0.0802489928144923,1.6094379124341
4782,Italy,618,2015,0,0.918367346938776,1.02040816326531,2.32105950321392,-0.0419346628556951,-0.102813350295452,1.6094379124341
4783,Italy,618,2015,0,1.6,0.0,1.77094076985628,0.0620623718843832,-0.201474292924153,1.6094379124341
4784,Italy,616,2015,0,0.0,55.4455445544555,16.1335606148883,-0.313686878392681,1.08602757483958,1.6094379124341
4785,Italy,617,2015,0,0.0,3.0,3.14368192056587,-0.831858405291001,-0.0256817962397538,1.6094379124341
4786,Italy,618,2015,0,0.0,41.2935323383085,4.58495617536899,-0.118734185066758,0.075404667092604,1.6094379124341
4787,Italy,617,2015,0,0.0,18.407960199005,4.0926852147361,0.206865808688756,-0.279463183060669,1.6094379124341
4788,Italy,617,2015,0,0.0,8.95522388059701,3.33209369562422,-0.016947761462272,-0.258157501761125,1.6094379124341
4789,Italy,618,2015,0,0.0,36.4532019704434,3.17646903493853,-0.249931007437235,-0.506686070296918,1.6094379124341
479,Greece,71,2014,0,1.0,0.0,0.890579691425079,0.555190662778452,-0.831567713317242,1.09861228866811
4790,Italy,618,2015,0,0.579207920792079,63.3663366336634,4.15711413682721,-0.149632086005161,-0.173165326940235,1.6094379124341
4791,Italy,619,2015,0,0.0,73.5576923076923,51.2471980134244,0.130014633000912,0.912232028180768,1.6094379124341
4792,Italy,619,2015,0,0.0,80.2884615384615,78.389473776623,0.702946421146648,1.57034062021245,1.6094379124341
4793,Italy,619,2015,0,0.0,86.5671641791045,95.6147060814481,1.11182317848977,1.80785226691211,1.6094379124341
4794,Italy,619,2015,0,0.0,82.1782178217822,87.6814562414801,1.2619633043186,1.89142849295232,1.6094379124341
4795,Italy,619,2015,0,0.0,82.8282828282828,64.453403245604,1.30046776529121,2.09859963024215,1.6094379124341
4796,Italy,619,2015,0,0.0,80.6930693069307,53.3145656601477,0.863664559336312,2.21534989796309,1.6094379124341
4797,Italy,619,2015,0,0.0,71.0,41.7038012401284,0.473186208627747,1.9080130389859,1.6094379124341
4798,Italy,619,2015,0,0.0,77.7227722772277,35.8401073671924,0.822077960834131,1.35476535633667,1.6094379124341
4799,Italy,619,2015,0,0.0,61.576354679803,21.8129659179784,-0.539293522198119,-0.001672583482463,1.6094379124341
48,Bosnia and Herzegovina,8,2016,0,0.0,4.52261306532663,26.5947121875521,-0.0129974567056354,1.36147208982204,1.6094379124341
480,Greece,62,2014,0,1.59281437125748,0.0,1.36266411103326,0.529128965930998,-0.330082641155476,1.09861228866811
4800,Italy,619,2015,0,0.0,70.2020202020202,21.823847167312,-0.134454399109141,0.271479786609914,1.6094379124341
4801,Italy,615,2015,0,0.0,0.0,3.84926598264968,-0.389330569793471,0.570023360117212,1.6094379124341
4802,Italy,615,2015,0,0.0,0.0,3.5208321373407,-0.78774358007832,0.370937512811546,1.6094379124341
4803,Italy,615,2015,0,0.0,17.6165803108808,3.10173780992724,-0.434896784090371,1.55011130338407,1.6094379124341
4804,Italy,615,2015,0,0.0,2.63157894736842,2.67899569357029,-0.650938627756068,1.29289474666576,1.6094379124341
4805,Italy,615,2015,0,0.0,0.515463917525773,2.84786293238948,-1.04924904033514,0.587732073103103,1.6094379124341
4806,Italy,615,2015,0,0.0,0.0,3.13457667641896,-0.830001826986424,0.852337818280369,1.6094379124341
4807,Italy,607,2015,0,0.0,52.8795811518325,4.47962707156891,-0.330027511821937,0.391648235710967,1.6094379124341
4808,Italy,607,2015,1,0.0,46.4646464646465,3.42936560576314,-0.124904617815951,1.00522903657376,1.6094379124341
4809,Italy,607,2015,0,0.0,34.6153846153846,3.49651299833587,-0.067479151027827,0.998500948478295,1.6094379124341
481,Greece,72,2014,0,2.0,4.27807486631016,1.37680797637182,-0.784599281107736,-0.395586903907465,1.09861228866811
4810,Italy,607,2015,0,0.0,11.8226600985222,2.7608112313292,-0.33554294742866,1.11487924432108,1.6094379124341
4811,Italy,607,2015,0,0.0,52.7638190954774,2.78760251830074,-0.318095242751589,0.97715364389096,1.6094379124341
4812,Italy,607,2015,1,0.0,42.7860696517413,2.74982994910333,-0.19257841639722,0.441367756605584,1.6094379124341
4813,Italy,607,2015,0,0.0,65.5,4.17165494919951,-0.434088403849295,0.972918588678182,1.6094379124341
4814,Italy,607,2015,0,0.0,70.3125,4.58969144040219,-0.392859058573946,0.518255352682488,1.6094379124341
4815,Italy,607,2015,0,0.0,50.5376344086022,4.36564551773635,-0.417585262964674,0.131342215971229,1.6094379124341
4816,Italy,596,2015,0,1.01960784313725,74.5098039215686,9.72132950517619,-0.323334257174547,0.643387812988294,1.6094379124341
4817,Italy,596,2015,0,0.252525252525253,71.2121212121212,7.02115614370874,-0.676157661880849,0.58588388161061,1.6094379124341
4818,Italy,596,2015,0,1.16161616161616,40.4040404040404,7.15214977813125,-1.17700273079953,2.05855117861128,1.6094379124341
4819,Italy,596,2015,0,2.0,54.679802955665,10.9126615618388,-0.725172914724449,1.92931302856959,1.6094379124341
