evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
476,2021-01-31 02:28:43,41.3857,129.1392,-1.2,1.1
477,2021-01-31 05:10:33,41.3734,129.1465,-1.6,1.8
478,2021-01-31 06:18:14,41.3746,129.1469,-1.5,1.7
479,2021-01-31 15:42:24,41.4072,129.1147,-1.2,1.2
480,2021-01-31 22:44:31,41.4081,129.1139,-1.3,1.4
481,2021-02-03 04:21:17,41.4079,129.1133,-1.2,1.2
482,2021-02-07 01:37:04,41.5528,129.0444,2.0,1.1
483,2021-02-11 00:37:22,41.3684,129.1384,-1.9,0.9
484,2021-02-11 11:23:41,41.3707,129.1271,-1.9,1.2
487,2021-02-13 22:14:29,41.3206,129.0582,-1.7,0.8
488,2021-02-15 20:39:40,41.3424,129.0186,4.9,1.0
489,2021-02-17 16:09:56,41.4805,129.0132,3.4,1.0
490,2021-02-18 10:39:21,41.4053,129.0738,-1.7,1.3
491,2021-02-24 13:12:19,41.3709,129.0893,-1.7,1.0
492,2021-02-25 01:59:01,41.4228,129.0576,-1.8,1.0
493,2021-02-25 15:28:52,41.4662,129.0109,3.4,0.8
494,2021-02-28 01:37:23,41.462,129.0644,-1.6,1.2
495,2021-02-28 18:51:59,41.4435,129.0099,-1.2,1.1
497,2021-03-02 18:09:26,41.3459,129.061,-1.7,1.1
498,2021-03-06 11:07:47,41.3508,129.1206,-1.9,1.5
503,2021-03-19 12:48:53,41.381,129.072,-1.8,1.5
505,2021-03-23 07:50:08,41.3216,129.0382,-1.7,1.4
507,2021-03-30 11:44:19,41.3015,129.141,-1.9,1.6
508,2021-03-31 19:44:29,41.3674,129.0386,-1.2,1.1
509,2021-04-03 15:51:20,41.4042,129.1143,-1.3,1.0
511,2021-04-04 03:29:42,41.21,129.2193,-1.0,1.2
512,2021-04-07 20:40:52,41.3243,129.1413,-1.8,0.9
514,2021-04-10 17:08:02,41.4201,129.0267,-0.9,0.9
515,2021-04-13 18:43:04,41.3831,129.1075,-1.3,0.8
517,2021-04-17 08:33:37,41.3255,129.0695,-1.8,1.3
518,2021-04-17 20:25:07,41.3502,129.0531,-0.5,1.2
519,2021-04-18 08:57:36,41.4338,129.024,-1.9,1.2
520,2021-04-18 23:20:06,41.373,129.0263,-1.7,1.6
521,2021-04-18 23:25:48,41.354,129.0402,-1.9,1.3
522,2021-04-19 00:00:44,41.3211,129.0815,0.2,1.7
523,2021-04-19 06:41:57,41.3791,129.0225,-1.4,1.5
524,2021-04-19 06:48:51,41.372,129.0291,-1.7,2.8
525,2021-04-19 07:26:01,41.1703,129.0992,-1.5,1.7
526,2021-04-19 20:43:37,41.3322,129.0471,-1.5,1.5
527,2021-04-20 17:12:33,41.3106,129.062,-1.7,1.6
528,2021-04-21 18:07:06,41.2556,129.087,-1.4,1.1
529,2021-04-22 04:02:26,41.3908,129.0878,-1.6,1.5
531,2021-04-30 16:24:14,41.2132,129.0984,-1.1,0.9
532,2021-05-06 20:47:14,41.4214,128.9966,-1.0,1.1
533,2021-05-08 20:12:23,41.3759,129.1048,-1.1,1.0
534,2021-05-15 13:01:37,41.39,129.1454,-0.7,1.0
535,2021-05-15 14:01:26,41.3889,129.146,-0.8,1.4
538,2021-05-15 22:12:36,41.4333,128.9908,-0.7,1.3
540,2021-05-19 21:18:46,41.4379,129.0577,-1.2,1.6
541,2021-05-20 16:28:11,41.3781,129.0733,-1.1,1.1
542,2021-05-23 16:45:19,41.4341,129.0623,-0.7,1.2
544,2021-05-29 06:04:07,41.4581,128.9894,-1.9,1.3
545,2021-05-31 10:49:30,41.437,128.9921,-1.1,1.4
547,2021-06-02 19:37:40,41.3893,129.0672,-0.7,1.1
548,2021-06-06 20:21:11,41.3579,129.0348,-1.3,1.2
549,2021-06-11 19:41:33,41.413,129.0846,-1.4,1.1
550,2021-06-12 17:16:23,41.4143,129.0737,-0.6,0.9
551,2021-06-12 17:33:22,41.4026,129.1124,-1.4,1.4
552,2021-06-13 14:57:32,41.3684,129.0779,-1.9,2.6
553,2021-06-18 19:45:58,41.3075,129.1393,-1.4,1.3
554,2021-06-19 16:48:35,41.4119,129.0089,-1.5,0.9
555,2021-06-22 16:26:19,41.4895,129.0355,-1.8,1.2
556,2021-06-23 20:20:34,41.4491,129.0656,-1.3,1.2
558,2021-06-24 15:53:53,41.3154,129.0641,-0.3,0.9
559,2021-06-24 17:09:33,41.3091,129.0561,-1.6,1.8
560,2021-06-27 15:18:43,41.2126,129.1266,4.2,1.4
561,2021-06-29 14:06:52,41.4267,129.0779,-1.9,1.3
562,2021-06-29 15:04:55,41.3941,129.0992,-0.4,1.3
563,2021-06-29 23:36:20,41.4455,129.076,-0.8,1.6
564,2021-06-30 07:03:11,41.4248,129.0825,-1.8,1.6
565,2021-06-30 14:01:12,41.3693,129.0366,-1.4,1.3
567,2021-07-02 19:32:29,41.4799,129.0627,-1.1,1.2
568,2021-07-04 03:37:46,41.3538,129.0556,-0.7,1.3
569,2021-07-04 05:51:39,41.3923,129.0803,-0.8,1.2
572,2021-07-13 09:18:06,41.4249,129.0804,-1.3,1.4
576,2021-07-23 10:11:10,41.3686,129.1082,-1.7,1.5
577,2021-07-23 19:22:35,41.4243,129.0717,-1.4,1.3
579,2021-07-28 13:20:47,41.298,129.1363,-1.9,1.7
580,2021-08-03 21:09:34,41.4242,129.0651,-1.1,1.3
582,2021-08-08 04:22:16,41.3638,129.0382,-1.1,1.2
583,2021-08-10 20:34:19,41.3669,129.1443,-1.0,1.1
584,2021-08-11 14:42:42,41.3723,129.1011,-1.8,1.0
585,2021-08-12 07:43:03,41.4028,129.099,-1.6,1.8
586,2021-08-13 04:35:33,41.4395,129.1084,-1.1,1.9
587,2021-08-14 15:13:58,41.4215,129.0813,-1.6,1.4
588,2021-08-15 03:46:49,41.4159,129.0852,-1.3,1.9
589,2021-08-15 11:18:13,41.4094,129.0922,-0.4,1.2
591,2021-08-19 06:42:13,41.4096,129.0908,-1.6,1.7
592,2021-08-20 13:50:50,41.463,129.0506,-1.2,1.1
594,2021-08-27 08:44:20,41.2965,129.1541,-1.7,1.4
595,2021-08-27 17:45:36,41.4177,129.0632,-1.1,1.1
597,2021-08-30 02:28:26,40.9986,129.1804,0.7,1.3
598,2021-08-30 20:33:28,41.3259,129.0615,-1.4,1.4
599,2021-08-30 20:51:15,41.3838,129.0272,-1.4,1.3
