prolific_id,condition,political_affiliation,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,blame_descriptive,praise_descriptive,emotion_descriptive,political_descriptive,affect_polarization,poli_extreme
297,algorithmic,republican,7.0,7.0,5.0,4.0,75.0,29.0,42.0,81.0,4.0,2.0
298,control,democrat,6.0,7.0,7.0,6.0,74.0,97.0,89.0,97.0,4.0,4.0
299,control,democrat,2.0,5.0,4.0,4.0,12.0,29.0,44.0,59.0,2.0,3.0
300,algorithmic,democrat,5.0,5.0,2.0,6.0,40.0,60.0,20.0,80.0,2.0,3.0
301,control,democrat,3.0,5.0,5.0,4.0,24.0,26.0,33.0,57.0,4.0,2.0
302,algorithmic,republican,3.0,5.0,4.0,6.0,40.0,52.0,35.0,74.0,2.0,4.0
303,control,republican,4.0,4.0,5.0,5.0,53.0,54.0,53.0,74.0,2.0,3.0
304,control,republican,5.0,4.0,4.0,3.0,74.0,38.0,55.0,58.0,3.0,3.0
305,algorithmic,democrat,4.0,5.0,5.0,6.0,70.0,73.0,84.0,92.0,2.0,3.0
306,control,republican,4.0,5.0,6.0,6.0,59.0,58.0,30.0,52.0,3.0,4.0
307,control,democrat,6.0,5.0,3.0,7.0,42.0,57.0,9.0,88.0,2.0,3.0
308,control,democrat,7.0,4.0,2.0,7.0,75.0,10.0,0.0,90.0,5.0,4.0
309,algorithmic,republican,7.0,7.0,4.0,7.0,50.0,20.0,10.0,90.0,3.0,2.0
310,control,republican,3.0,6.0,3.0,6.0,55.0,35.0,30.0,90.0,3.0,3.0
312,control,republican,2.0,6.0,5.0,5.0,69.0,75.0,52.0,92.0,4.0,3.0
313,control,republican,2.0,5.0,4.0,2.0,40.0,43.0,13.0,71.0,4.0,4.0
314,algorithmic,republican,3.0,5.0,5.0,5.0,74.0,45.0,26.0,90.0,4.0,3.0
315,algorithmic,republican,1.0,7.0,1.0,7.0,25.0,50.0,25.0,85.0,3.0,1.0
316,algorithmic,democrat,5.0,4.0,6.0,4.0,74.0,67.0,42.0,64.0,4.0,4.0
317,algorithmic,republican,5.0,6.0,5.0,7.0,63.0,75.0,65.0,89.0,4.0,4.0
318,algorithmic,republican,1.0,6.0,6.0,4.0,45.0,60.0,56.0,88.0,1.0,1.0
320,control,republican,1.0,7.0,6.0,5.0,28.0,87.0,69.0,67.0,2.0,5.0
321,control,republican,3.0,4.0,5.0,5.0,64.0,26.0,43.0,90.0,2.0,3.0
322,control,democrat,4.0,6.0,6.0,4.0,35.0,70.0,59.0,81.0,3.0,2.0
324,control,democrat,4.0,6.0,5.0,5.0,50.0,50.0,20.0,80.0,3.0,3.0
325,control,democrat,2.0,7.0,5.0,7.0,31.0,62.0,37.0,90.0,2.0,2.0
326,control,republican,5.0,5.0,4.0,6.0,63.0,85.0,55.0,83.0,4.0,4.0
327,control,democrat,5.0,7.0,7.0,7.0,55.0,44.0,43.0,77.0,3.0,1.0
328,algorithmic,democrat,4.0,7.0,5.0,6.0,58.0,74.0,22.0,90.0,4.0,2.0
329,algorithmic,republican,5.0,5.0,5.0,6.0,25.0,41.0,35.0,70.0,2.0,2.0
330,algorithmic,republican,3.0,7.0,6.0,5.0,13.0,86.0,72.0,93.0,2.0,2.0
331,algorithmic,democrat,4.0,4.0,4.0,4.0,40.0,60.0,41.0,97.0,2.0,2.0
332,control,republican,4.0,3.0,2.0,4.0,27.0,28.0,30.0,29.0,4.0,3.0
333,algorithmic,democrat,4.0,6.0,6.0,7.0,41.0,72.0,86.0,100.0,3.0,1.0
334,algorithmic,republican,5.0,6.0,5.0,7.0,66.0,36.0,52.0,68.0,2.0,4.0
335,algorithmic,republican,3.0,3.0,4.0,3.0,70.0,37.0,62.0,29.0,3.0,3.0
336,control,republican,3.0,7.0,6.0,4.0,78.0,59.0,30.0,90.0,4.0,4.0
337,algorithmic,democrat,7.0,3.0,7.0,7.0,95.0,10.0,97.0,95.0,5.0,5.0
338,control,republican,4.0,4.0,5.0,5.0,71.0,56.0,62.0,69.0,3.0,3.0
339,control,democrat,6.0,6.0,6.0,6.0,68.0,68.0,40.0,83.0,4.0,3.0
340,control,democrat,2.0,3.0,1.0,1.0,50.0,49.0,12.0,12.0,3.0,2.0
341,algorithmic,democrat,5.0,3.0,4.0,7.0,40.0,60.0,35.0,95.0,3.0,4.0
342,control,republican,7.0,7.0,6.0,7.0,89.0,11.0,60.0,89.0,4.0,2.0
343,control,republican,1.0,7.0,7.0,7.0,51.0,56.0,77.0,79.0,2.0,4.0
344,control,democrat,3.0,6.0,7.0,7.0,20.0,60.0,23.0,68.0,4.0,4.0
345,control,democrat,5.0,7.0,7.0,7.0,63.0,81.0,49.0,68.0,4.0,4.0
346,algorithmic,democrat,6.0,6.0,6.0,6.0,37.0,63.0,85.0,95.0,3.0,2.0
347,algorithmic,democrat,6.0,6.0,6.0,6.0,41.0,59.0,70.0,82.0,5.0,1.0
348,control,republican,1.0,3.0,2.0,1.0,50.0,60.0,11.0,80.0,3.0,4.0
349,control,republican,5.0,6.0,3.0,5.0,15.0,35.0,5.0,63.0,4.0,2.0
350,control,lean_democrat,3.0,5.0,4.0,5.0,60.0,40.0,57.0,88.0,2.0,2.0
351,algorithmic,republican,4.0,6.0,5.0,7.0,50.0,95.0,70.0,100.0,4.0,4.0
352,algorithmic,democrat,6.0,7.0,5.0,6.0,40.0,30.0,10.0,80.0,3.0,4.0
353,algorithmic,republican,3.0,6.0,6.0,4.0,65.0,53.0,57.0,94.0,3.0,3.0
354,algorithmic,democrat,2.0,7.0,5.0,7.0,34.0,68.0,62.0,84.0,1.0,5.0
355,algorithmic,republican,6.0,7.0,3.0,7.0,80.0,86.0,28.0,80.0,4.0,2.0
356,algorithmic,republican,3.0,5.0,5.0,4.0,60.0,60.0,50.0,80.0,3.0,3.0
357,algorithmic,democrat,4.0,7.0,7.0,4.0,85.0,85.0,90.0,96.0,5.0,4.0
358,algorithmic,democrat,5.0,5.0,5.0,5.0,71.0,72.0,72.0,71.0,3.0,3.0
360,control,republican,6.0,7.0,6.0,6.0,90.0,95.0,45.0,100.0,1.0,3.0
361,control,democrat,1.0,2.0,7.0,4.0,50.0,50.0,65.0,96.0,4.0,3.0
362,algorithmic,democrat,5.0,6.0,6.0,5.0,40.0,60.0,20.0,85.0,4.0,4.0
363,control,democrat,7.0,7.0,7.0,7.0,75.0,20.0,80.0,80.0,3.0,2.0
364,algorithmic,democrat,2.0,5.0,5.0,6.0,54.0,65.0,34.0,90.0,2.0,3.0
365,control,republican,3.0,5.0,4.0,5.0,43.0,49.0,48.0,63.0,2.0,2.0
366,control,democrat,7.0,7.0,7.0,7.0,60.0,60.0,60.0,80.0,1.0,1.0
367,control,republican,6.0,6.0,6.0,6.0,20.0,45.0,13.0,80.0,3.0,1.0
368,control,democrat,2.0,5.0,5.0,3.0,78.0,37.0,45.0,70.0,4.0,4.0
369,algorithmic,republican,3.0,5.0,3.0,2.0,70.0,30.0,45.0,91.0,1.0,2.0
370,control,republican,5.0,5.0,6.0,5.0,60.0,69.0,45.0,63.0,4.0,3.0
371,control,republican,5.0,5.0,4.0,5.0,34.0,30.0,25.0,64.0,3.0,2.0
372,algorithmic,republican,5.0,6.0,4.0,6.0,93.0,100.0,56.0,84.0,4.0,3.0
373,algorithmic,democrat,4.0,5.0,4.0,5.0,60.0,52.0,65.0,70.0,2.0,2.0
374,algorithmic,democrat,6.0,5.0,6.0,6.0,75.0,68.0,55.0,71.0,3.0,2.0
375,control,republican,4.0,3.0,4.0,4.0,52.0,55.0,42.0,87.0,4.0,4.0
377,algorithmic,republican,4.0,6.0,6.0,4.0,28.0,44.0,61.0,86.0,1.0,2.0
378,control,democrat,3.0,7.0,6.0,7.0,21.0,79.0,66.0,94.0,4.0,4.0
379,algorithmic,democrat,4.0,6.0,4.0,6.0,89.0,87.0,63.0,89.0,2.0,3.0
380,control,republican,3.0,7.0,4.0,1.0,23.0,36.0,8.0,76.0,2.0,3.0
381,control,democrat,3.0,6.0,5.0,4.0,58.0,45.0,58.0,69.0,3.0,3.0
382,control,republican,3.0,5.0,5.0,5.0,63.0,57.0,50.0,78.0,4.0,4.0
384,algorithmic,democrat,3.0,6.0,5.0,3.0,22.0,86.0,59.0,88.0,2.0,2.0
385,algorithmic,republican,1.0,7.0,4.0,4.0,33.0,33.0,19.0,50.0,3.0,3.0
386,control,democrat,5.0,4.0,5.0,6.0,70.0,43.0,83.0,79.0,4.0,4.0
387,control,democrat,5.0,7.0,6.0,6.0,95.0,75.0,35.0,99.0,4.0,4.0
388,control,democrat,5.0,4.0,4.0,5.0,46.0,57.0,61.0,53.0,4.0,4.0
389,control,republican,5.0,5.0,6.0,5.0,61.0,74.0,66.0,78.0,3.0,4.0
390,algorithmic,republican,5.0,6.0,6.0,5.0,72.0,75.0,35.0,85.0,4.0,4.0
391,algorithmic,democrat,5.0,4.0,5.0,3.0,78.0,64.0,71.0,83.0,3.0,4.0
392,algorithmic,democrat,3.0,6.0,6.0,4.0,92.0,81.0,80.0,90.0,4.0,4.0
393,control,democrat,4.0,4.0,4.0,4.0,40.0,40.0,20.0,69.0,2.0,3.0
394,algorithmic,democrat,5.0,7.0,5.0,7.0,35.0,75.0,45.0,90.0,3.0,3.0
395,algorithmic,republican,7.0,7.0,7.0,7.0,75.0,25.0,75.0,75.0,4.0,4.0
396,algorithmic,democrat,5.0,7.0,5.0,5.0,33.0,33.0,25.0,77.0,3.0,2.0
397,algorithmic,democrat,3.0,6.0,5.0,4.0,40.0,55.0,70.0,90.0,4.0,3.0
398,algorithmic,republican,5.0,6.0,5.0,5.0,69.0,69.0,61.0,61.0,3.0,3.0
399,algorithmic,republican,2.0,6.0,5.0,3.0,31.0,91.0,22.0,74.0,1.0,5.0
400,control,democrat,2.0,5.0,6.0,7.0,31.0,63.0,70.0,85.0,2.0,1.0
401,control,democrat,5.0,6.0,5.0,5.0,40.0,39.0,61.0,70.0,4.0,3.0
402,control,democrat,3.0,6.0,4.0,6.0,75.0,15.0,5.0,95.0,4.0,2.0
403,control,democrat,3.0,6.0,4.0,4.0,18.0,36.0,17.0,80.0,4.0,3.0
404,control,democrat,3.0,6.0,4.0,6.0,74.0,30.0,20.0,80.0,2.0,3.0
405,algorithmic,democrat,7.0,4.0,7.0,7.0,65.0,20.0,10.0,95.0,5.0,4.0
406,control,republican,3.0,6.0,5.0,4.0,76.0,60.0,83.0,88.0,4.0,2.0
408,algorithmic,democrat,3.0,7.0,7.0,5.0,70.0,30.0,15.0,95.0,3.0,4.0
409,algorithmic,democrat,4.0,5.0,6.0,6.0,65.0,70.0,42.0,65.0,5.0,3.0
410,algorithmic,democrat,5.0,5.0,4.0,7.0,35.0,45.0,43.0,42.0,2.0,1.0
411,control,democrat,4.0,6.0,3.0,7.0,70.0,25.0,40.0,85.0,4.0,4.0
412,control,democrat,3.0,6.0,5.0,5.0,60.0,40.0,0.0,85.0,4.0,3.0
413,control,democrat,3.0,5.0,6.0,6.0,42.0,43.0,46.0,94.0,4.0,4.0
414,algorithmic,democrat,5.0,4.0,5.0,6.0,79.0,65.0,84.0,65.0,3.0,4.0
415,control,democrat,5.0,6.0,4.0,7.0,14.0,87.0,38.0,59.0,4.0,2.0
416,algorithmic,republican,4.0,4.0,5.0,4.0,49.0,56.0,59.0,45.0,3.0,3.0
417,algorithmic,republican,3.0,7.0,6.0,5.0,40.0,40.0,25.0,40.0,3.0,1.0
418,algorithmic,democrat,4.0,4.0,4.0,4.0,54.0,54.0,44.0,60.0,3.0,1.0
419,control,democrat,4.0,4.0,5.0,5.0,48.0,59.0,54.0,63.0,3.0,4.0
420,control,democrat,1.0,6.0,7.0,1.0,82.0,24.0,66.0,31.0,2.0,4.0
421,control,democrat,3.0,6.0,5.0,4.0,65.0,50.0,30.0,90.0,3.0,2.0
422,algorithmic,republican,1.0,4.0,4.0,2.0,7.0,57.0,39.0,27.0,4.0,4.0
423,control,republican,4.0,4.0,4.0,5.0,64.0,68.0,56.0,69.0,3.0,4.0
424,algorithmic,democrat,3.0,6.0,5.0,5.0,38.0,39.0,44.0,57.0,3.0,3.0
425,algorithmic,republican,3.0,3.0,2.0,3.0,27.0,70.0,36.0,71.0,2.0,4.0
426,algorithmic,democrat,6.0,6.0,5.0,7.0,31.0,46.0,22.0,87.0,5.0,4.0
427,control,democrat,5.0,6.0,4.0,7.0,73.0,72.0,50.0,97.0,2.0,4.0
428,control,democrat,6.0,7.0,6.0,7.0,70.0,20.0,50.0,80.0,4.0,1.0
429,algorithmic,democrat,6.0,3.0,6.0,7.0,88.0,46.0,79.0,93.0,5.0,4.0
430,algorithmic,democrat,1.0,7.0,5.0,4.0,25.0,60.0,20.0,70.0,3.0,4.0
431,control,republican,5.0,6.0,4.0,6.0,76.0,71.0,59.0,99.0,3.0,5.0
432,control,democrat,3.0,5.0,5.0,5.0,50.0,70.0,15.0,85.0,1.0,4.0
433,algorithmic,democrat,5.0,6.0,6.0,5.0,30.0,60.0,60.0,80.0,3.0,3.0
434,control,republican,3.0,4.0,4.0,4.0,67.0,35.0,83.0,87.0,4.0,4.0
435,control,republican,6.0,3.0,3.0,7.0,64.0,41.0,65.0,77.0,4.0,4.0
436,control,republican,2.0,6.0,6.0,6.0,33.0,62.0,38.0,100.0,5.0,4.0
437,algorithmic,republican,6.0,6.0,6.0,6.0,65.0,87.0,13.0,88.0,5.0,1.0
438,algorithmic,republican,7.0,7.0,7.0,7.0,50.0,50.0,50.0,50.0,5.0,4.0
439,algorithmic,democrat,6.0,6.0,7.0,7.0,69.0,43.0,39.0,85.0,3.0,1.0
440,algorithmic,democrat,4.0,5.0,3.0,7.0,63.0,78.0,31.0,100.0,3.0,4.0
441,control,republican,5.0,5.0,3.0,3.0,86.0,15.0,62.0,98.0,5.0,5.0
442,algorithmic,democrat,4.0,6.0,6.0,4.0,15.0,100.0,80.0,50.0,4.0,3.0
443,control,democrat,1.0,6.0,6.0,4.0,70.0,75.0,40.0,87.0,4.0,4.0
444,control,democrat,3.0,6.0,4.0,3.0,30.0,40.0,9.0,75.0,2.0,3.0
445,control,democrat,3.0,6.0,6.0,4.0,32.0,33.0,39.0,78.0,4.0,4.0
446,algorithmic,democrat,3.0,6.0,4.0,7.0,33.0,77.0,69.0,91.0,3.0,4.0
447,algorithmic,democrat,3.0,6.0,6.0,3.0,26.0,81.0,26.0,98.0,1.0,3.0
448,algorithmic,republican,2.0,7.0,4.0,4.0,37.0,86.0,69.0,81.0,3.0,4.0
449,control,republican,3.0,5.0,5.0,5.0,49.0,33.0,37.0,66.0,3.0,4.0
450,control,democrat,5.0,6.0,5.0,6.0,70.0,30.0,8.0,90.0,4.0,2.0
451,control,democrat,6.0,2.0,6.0,7.0,68.0,13.0,34.0,88.0,5.0,4.0
452,control,democrat,5.0,6.0,6.0,7.0,50.0,41.0,60.0,80.0,4.0,4.0
453,control,democrat,1.0,6.0,2.0,7.0,45.0,43.0,36.0,70.0,3.0,4.0
454,control,republican,2.0,6.0,5.0,3.0,59.0,71.0,65.0,80.0,4.0,3.0
455,algorithmic,democrat,6.0,7.0,6.0,6.0,50.0,49.0,30.0,68.0,3.0,1.0
456,control,republican,4.0,5.0,4.0,6.0,57.0,69.0,20.0,91.0,2.0,3.0
457,control,democrat,4.0,5.0,5.0,5.0,61.0,54.0,57.0,75.0,4.0,4.0
458,algorithmic,democrat,6.0,6.0,5.0,7.0,72.0,88.0,67.0,100.0,4.0,4.0
459,algorithmic,democrat,7.0,7.0,7.0,7.0,59.0,56.0,57.0,70.0,2.0,3.0
460,algorithmic,democrat,7.0,7.0,5.0,5.0,50.0,50.0,15.0,90.0,2.0,4.0
461,algorithmic,democrat,5.0,7.0,6.0,7.0,25.0,23.0,65.0,77.0,4.0,3.0
462,control,democrat,3.0,5.0,4.0,4.0,30.0,71.0,63.0,59.0,2.0,3.0
463,algorithmic,democrat,3.0,5.0,4.0,5.0,38.0,63.0,60.0,56.0,2.0,3.0
464,algorithmic,democrat,4.0,4.0,4.0,4.0,28.0,75.0,36.0,86.0,4.0,3.0
467,control,democrat,3.0,6.0,4.0,4.0,65.0,40.0,40.0,80.0,3.0,3.0
468,algorithmic,republican,1.0,7.0,7.0,6.0,36.0,42.0,27.0,72.0,4.0,4.0
469,control,republican,5.0,6.0,5.0,6.0,64.0,78.0,79.0,66.0,4.0,4.0
470,algorithmic,republican,5.0,6.0,4.0,5.0,49.0,60.0,54.0,83.0,3.0,4.0
471,algorithmic,democrat,6.0,6.0,6.0,6.0,70.0,50.0,37.0,96.0,4.0,1.0
472,algorithmic,republican,3.0,5.0,5.0,5.0,57.0,59.0,59.0,59.0,4.0,4.0
473,control,democrat,4.0,6.0,5.0,5.0,58.0,24.0,15.0,75.0,3.0,2.0
474,control,republican,2.0,2.0,4.0,4.0,75.0,69.0,49.0,95.0,3.0,3.0
476,control,republican,4.0,5.0,3.0,3.0,70.0,81.0,85.0,91.0,3.0,4.0
477,control,democrat,1.0,6.0,6.0,6.0,67.0,43.0,27.0,81.0,2.0,4.0
478,control,republican,1.0,7.0,7.0,7.0,50.0,50.0,70.0,85.0,2.0,3.0
479,control,democrat,5.0,6.0,5.0,6.0,40.0,71.0,0.0,72.0,1.0,3.0
480,control,democrat,3.0,5.0,5.0,5.0,76.0,32.0,60.0,90.0,3.0,4.0
481,algorithmic,republican,5.0,5.0,6.0,5.0,35.0,87.0,37.0,93.0,2.0,2.0
482,algorithmic,republican,6.0,6.0,4.0,7.0,91.0,20.0,1.0,98.0,5.0,1.0
483,control,democrat,5.0,5.0,5.0,6.0,65.0,40.0,66.0,93.0,4.0,3.0
484,algorithmic,democrat,5.0,6.0,5.0,5.0,43.0,53.0,54.0,80.0,3.0,2.0
486,algorithmic,republican,5.0,5.0,6.0,5.0,65.0,80.0,50.0,89.0,3.0,2.0
487,algorithmic,democrat,6.0,7.0,7.0,7.0,40.0,85.0,50.0,90.0,1.0,1.0
488,control,democrat,5.0,5.0,6.0,6.0,83.0,62.0,27.0,95.0,2.0,1.0
489,control,republican,5.0,5.0,4.0,5.0,73.0,79.0,74.0,77.0,4.0,4.0
490,control,republican,5.0,7.0,5.0,6.0,55.0,50.0,54.0,90.0,1.0,3.0
491,algorithmic,democrat,4.0,4.0,4.0,4.0,20.0,20.0,20.0,20.0,2.0,2.0
492,control,democrat,2.0,5.0,6.0,6.0,84.0,28.0,33.0,91.0,2.0,4.0
493,algorithmic,republican,3.0,5.0,3.0,5.0,41.0,51.0,21.0,87.0,3.0,4.0
494,control,democrat,5.0,7.0,5.0,6.0,83.0,66.0,65.0,87.0,4.0,4.0
495,control,democrat,3.0,6.0,6.0,5.0,33.0,41.0,70.0,78.0,2.0,2.0
496,algorithmic,republican,2.0,7.0,7.0,7.0,25.0,50.0,30.0,65.0,2.0,2.0
497,algorithmic,democrat,5.0,7.0,6.0,6.0,10.0,52.0,60.0,65.0,4.0,3.0
499,control,democrat,3.0,5.0,5.0,5.0,58.0,65.0,39.0,62.0,3.0,3.0
500,control,democrat,2.0,7.0,6.0,5.0,72.0,61.0,34.0,61.0,4.0,4.0
501,algorithmic,democrat,2.0,6.0,5.0,7.0,63.0,47.0,73.0,91.0,3.0,3.0
502,control,republican,1.0,5.0,4.0,4.0,65.0,37.0,44.0,76.0,3.0,3.0
503,algorithmic,democrat,5.0,6.0,6.0,6.0,70.0,52.0,16.0,85.0,3.0,3.0
504,control,republican,2.0,5.0,4.0,4.0,50.0,50.0,1.0,100.0,4.0,3.0
505,algorithmic,republican,3.0,6.0,6.0,3.0,40.0,65.0,65.0,62.0,3.0,3.0
506,algorithmic,republican,6.0,5.0,3.0,5.0,72.0,27.0,63.0,36.0,2.0,4.0
507,control,democrat,5.0,6.0,6.0,7.0,56.0,60.0,57.0,83.0,4.0,2.0
508,control,democrat,1.0,5.0,1.0,1.0,60.0,63.0,61.0,79.0,2.0,2.0
509,control,democrat,4.0,4.0,5.0,5.0,41.0,70.0,55.0,69.0,3.0,3.0
510,algorithmic,democrat,4.0,5.0,5.0,5.0,42.0,64.0,41.0,67.0,3.0,3.0
511,control,republican,4.0,5.0,6.0,6.0,83.0,29.0,78.0,73.0,3.0,3.0
512,algorithmic,republican,2.0,6.0,2.0,6.0,71.0,82.0,39.0,79.0,2.0,4.0
514,control,republican,2.0,7.0,6.0,5.0,61.0,42.0,64.0,60.0,4.0,4.0
515,algorithmic,republican,3.0,4.0,4.0,4.0,58.0,67.0,63.0,62.0,3.0,3.0
516,algorithmic,democrat,5.0,6.0,6.0,7.0,61.0,41.0,28.0,78.0,4.0,4.0
517,control,democrat,2.0,7.0,4.0,6.0,30.0,70.0,5.0,98.0,4.0,2.0
518,control,republican,7.0,7.0,7.0,4.0,27.0,78.0,94.0,64.0,2.0,3.0
519,control,republican,2.0,6.0,4.0,2.0,60.0,30.0,10.0,37.0,4.0,4.0
520,control,republican,3.0,6.0,6.0,4.0,45.0,86.0,80.0,70.0,3.0,4.0
521,algorithmic,republican,6.0,7.0,7.0,7.0,59.0,74.0,41.0,90.0,3.0,1.0
522,control,republican,2.0,7.0,5.0,6.0,53.0,63.0,52.0,89.0,3.0,3.0
523,algorithmic,republican,1.0,5.0,4.0,4.0,5.0,70.0,9.0,83.0,2.0,1.0
524,algorithmic,democrat,4.0,4.0,4.0,4.0,52.0,70.0,65.0,75.0,3.0,3.0
525,algorithmic,democrat,4.0,4.0,4.0,4.0,44.0,64.0,68.0,44.0,3.0,3.0
526,algorithmic,democrat,4.0,4.0,4.0,4.0,69.0,63.0,35.0,71.0,3.0,4.0
528,algorithmic,democrat,2.0,6.0,6.0,5.0,22.0,65.0,29.0,50.0,2.0,2.0
529,algorithmic,lean_democrat,4.0,4.0,7.0,7.0,98.0,99.0,50.0,99.0,2.0,4.0
530,control,democrat,5.0,6.0,5.0,7.0,45.0,45.0,65.0,75.0,2.0,2.0
531,algorithmic,democrat,7.0,7.0,7.0,7.0,60.0,35.0,30.0,70.0,4.0,3.0
532,control,democrat,4.0,7.0,6.0,4.0,26.0,62.0,25.0,77.0,4.0,4.0
533,control,democrat,5.0,5.0,6.0,7.0,75.0,78.0,68.0,98.0,4.0,3.0
534,algorithmic,democrat,3.0,4.0,2.0,4.0,27.0,39.0,67.0,80.0,2.0,1.0
535,algorithmic,democrat,4.0,5.0,5.0,6.0,58.0,33.0,64.0,63.0,4.0,3.0
536,algorithmic,democrat,7.0,7.0,7.0,7.0,29.0,82.0,45.0,76.0,4.0,3.0
537,algorithmic,democrat,4.0,5.0,4.0,4.0,70.0,55.0,58.0,79.0,4.0,3.0
538,control,democrat,7.0,7.0,7.0,7.0,45.0,30.0,20.0,80.0,3.0,2.0
539,algorithmic,republican,6.0,3.0,5.0,7.0,85.0,37.0,68.0,94.0,5.0,4.0
540,algorithmic,democrat,6.0,6.0,6.0,5.0,79.0,73.0,72.0,87.0,3.0,4.0
541,algorithmic,democrat,4.0,5.0,5.0,5.0,50.0,70.0,70.0,70.0,3.0,1.0
542,control,democrat,3.0,5.0,4.0,6.0,45.0,50.0,40.0,65.0,4.0,2.0
543,control,democrat,6.0,7.0,5.0,7.0,40.0,40.0,16.0,97.0,4.0,2.0
544,control,democrat,5.0,4.0,5.0,5.0,72.0,64.0,34.0,70.0,3.0,4.0
545,algorithmic,democrat,5.0,5.0,4.0,5.0,60.0,63.0,61.0,60.0,4.0,3.0
546,control,republican,3.0,6.0,4.0,2.0,76.0,35.0,75.0,75.0,3.0,3.0
547,algorithmic,democrat,6.0,5.0,5.0,6.0,60.0,25.0,15.0,90.0,4.0,3.0
548,algorithmic,democrat,2.0,7.0,4.0,7.0,35.0,74.0,22.0,83.0,4.0,3.0
549,control,republican,2.0,7.0,5.0,5.0,70.0,20.0,26.0,93.0,5.0,2.0
550,control,republican,5.0,6.0,5.0,5.0,74.0,81.0,17.0,83.0,4.0,2.0
551,algorithmic,democrat,3.0,7.0,5.0,7.0,12.0,67.0,81.0,81.0,3.0,2.0
552,control,democrat,7.0,7.0,7.0,7.0,70.0,69.0,70.0,97.0,2.0,1.0
553,control,republican,1.0,7.0,7.0,7.0,25.0,25.0,50.0,75.0,2.0,1.0
554,algorithmic,republican,5.0,6.0,7.0,7.0,30.0,70.0,90.0,90.0,3.0,3.0
555,control,democrat,6.0,7.0,6.0,7.0,61.0,38.0,60.0,86.0,4.0,2.0
556,algorithmic,democrat,3.0,6.0,4.0,5.0,23.0,26.0,20.0,53.0,3.0,3.0
557,control,democrat,2.0,5.0,5.0,5.0,40.0,60.0,15.0,75.0,4.0,3.0
558,control,democrat,4.0,6.0,5.0,6.0,65.0,35.0,12.0,57.0,2.0,3.0
559,algorithmic,republican,3.0,5.0,7.0,7.0,60.0,40.0,45.0,75.0,2.0,4.0
560,control,democrat,5.0,5.0,3.0,5.0,50.0,50.0,10.0,98.0,4.0,2.0
561,algorithmic,republican,2.0,7.0,5.0,6.0,58.0,79.0,63.0,88.0,3.0,4.0
562,algorithmic,democrat,6.0,7.0,7.0,5.0,20.0,75.0,60.0,90.0,5.0,5.0
563,algorithmic,republican,4.0,7.0,6.0,5.0,48.0,52.0,27.0,85.0,1.0,4.0
564,algorithmic,democrat,3.0,6.0,6.0,4.0,51.0,73.0,73.0,56.0,3.0,3.0
565,control,democrat,5.0,6.0,4.0,6.0,50.0,50.0,10.0,80.0,1.0,3.0
566,algorithmic,republican,4.0,5.0,4.0,5.0,49.0,48.0,35.0,82.0,4.0,3.0
567,control,democrat,2.0,5.0,5.0,4.0,65.0,36.0,73.0,83.0,4.0,4.0
570,algorithmic,republican,4.0,6.0,4.0,3.0,61.0,74.0,19.0,83.0,2.0,3.0
571,control,republican,3.0,3.0,4.0,4.0,61.0,62.0,40.0,41.0,2.0,3.0
572,algorithmic,democrat,3.0,6.0,5.0,4.0,40.0,65.0,62.0,74.0,3.0,2.0
573,algorithmic,democrat,1.0,6.0,6.0,6.0,66.0,22.0,85.0,62.0,2.0,1.0
574,algorithmic,democrat,1.0,4.0,7.0,7.0,20.0,80.0,50.0,96.0,5.0,4.0
575,control,republican,2.0,4.0,5.0,4.0,33.0,16.0,61.0,61.0,4.0,2.0
576,control,republican,4.0,4.0,4.0,4.0,38.0,68.0,41.0,63.0,3.0,3.0
577,control,democrat,4.0,7.0,5.0,5.0,30.0,25.0,25.0,90.0,4.0,2.0
578,control,democrat,4.0,6.0,5.0,6.0,66.0,62.0,38.0,66.0,4.0,4.0
579,control,democrat,5.0,6.0,6.0,7.0,35.0,35.0,5.0,80.0,2.0,3.0
580,control,republican,7.0,7.0,7.0,7.0,30.0,71.0,50.0,89.0,1.0,2.0
582,algorithmic,democrat,3.0,4.0,5.0,5.0,40.0,38.0,35.0,55.0,3.0,2.0
583,control,republican,3.0,3.0,5.0,4.0,61.0,35.0,83.0,100.0,3.0,3.0
584,control,republican,3.0,7.0,6.0,6.0,18.0,96.0,86.0,79.0,1.0,2.0
585,algorithmic,republican,2.0,5.0,5.0,4.0,71.0,38.0,61.0,72.0,2.0,2.0
586,control,democrat,6.0,6.0,6.0,6.0,30.0,20.0,30.0,45.0,3.0,2.0
587,control,democrat,2.0,4.0,4.0,4.0,54.0,34.0,34.0,78.0,4.0,5.0
588,algorithmic,republican,2.0,6.0,5.0,4.0,20.0,40.0,30.0,25.0,4.0,4.0
589,algorithmic,republican,3.0,7.0,7.0,5.0,35.0,50.0,0.0,98.0,4.0,4.0
590,algorithmic,democrat,5.0,6.0,6.0,6.0,28.0,44.0,11.0,92.0,3.0,2.0
591,algorithmic,democrat,5.0,5.0,5.0,5.0,69.0,58.0,81.0,92.0,4.0,1.0
592,algorithmic,republican,5.0,6.0,5.0,5.0,56.0,71.0,27.0,92.0,3.0,1.0
593,algorithmic,democrat,5.0,7.0,7.0,6.0,42.0,80.0,67.0,79.0,3.0,3.0
