ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp370,LHW,int,fut,Temperada,3.342614318543152,0.6784432844552357,3
ssp370,LHW,int,fut,Tropical,2.093095432738979,0.040634925665958936,3
ssp370,LHW,int,hist,Polar,1.9165676857594036,0.07048981028656873,3
ssp370,LHW,int,hist,Subpolar,2.0574416401054707,0.08835253447390344,3
ssp370,LHW,int,hist,Temperada,1.9634341237472241,0.12899107651310643,3
ssp370,LHW,int,hist,Tropical,1.4251813161447275,0.031966214314447225,3
ssp370,LHW,tot,fut,Polar,95.18172269635274,18.415376075106803,3
ssp370,LHW,tot,fut,Subpolar,150.5592617825171,28.91451062601271,3
ssp370,LHW,tot,fut,Temperada,239.86418843812814,39.40073174902705,3
ssp370,LHW,tot,fut,Tropical,277.228049593008,28.186736243419944,3
ssp370,LHW,tot,hist,Polar,10.717826977453408,0.3010811974897799,3
ssp370,LHW,tot,hist,Subpolar,15.610477900716603,0.39495212101389215,3
ssp370,LHW,tot,hist,Temperada,22.758262351493613,0.6544988140755585,3
ssp370,LHW,tot,hist,Tropical,28.604501283166176,0.3066784401057799,3
ssp370,PHW,count,fut,Polar,1.6359475722301848,0.32588456373355507,3
ssp370,PHW,count,fut,Subpolar,2.296172609022111,0.5612262470207854,3
ssp370,PHW,count,fut,Temperada,3.0966437165871987,0.9328913808720269,3
ssp370,PHW,count,fut,Tropical,1.957092069697404,0.9462225130199694,3
ssp370,PHW,count,hist,Polar,0.7327195314812324,0.007024233852561372,3
ssp370,PHW,count,hist,Subpolar,1.0459646739318058,0.0076364642450312895,3
ssp370,PHW,count,hist,Temperada,1.465783449976161,0.0109485925820267,3
ssp370,PHW,count,hist,Tropical,1.4959798195558438,0.026517829294452372,3
ssp370,PHW,cum,fut,Polar,221.29854051859988,142.9493482239506,3
ssp370,PHW,cum,fut,Subpolar,235.02293777782506,178.1630207717049,3
ssp370,PHW,cum,fut,Temperada,318.7652644467035,209.72123283893967,3
ssp370,PHW,cum,fut,Tropical,422.0920109948597,169.23683311431677,3
ssp370,PHW,cum,hist,Polar,19.37897430329434,0.9380561571768716,3
ssp370,PHW,cum,hist,Subpolar,21.711660890724428,1.0763585673524163,3
ssp370,PHW,cum,hist,Temperada,25.78898616448383,1.8325787529306097,3
ssp370,PHW,cum,hist,Tropical,19.84230763412471,1.2009693786578652,3
