x_km,y_km,prof_pre_m,prof_post_m,cambio_m
0.24,3.26,-394.0,-401.6,-7.6
0.34,3.26,-398.4,-405.3,-6.9
0.44,3.26,-405.5,-413.6,-8.1
0.54,3.26,-413.6,-421.3,-7.7
0.64,3.26,-421.4,-426.8,-5.4
0.74,3.26,-429.8,-436.0,-6.1
0.84,3.26,-439.3,-444.7,-5.4
0.94,3.26,-448.9,-453.8,-4.8
1.04,3.26,-458.2,-461.3,-3.1
1.14,3.26,-466.9,-468.0,-1.1
1.24,3.26,-474.4,-474.0,0.4
1.34,3.26,-482.8,-482.4,0.3
1.44,3.26,-493.1,-492.7,0.3
1.54,3.26,-504.7,-502.8,1.9
1.64,3.26,-517.7,-514.6,3.1
1.74,3.26,-532.2,-527.8,4.4
1.84,3.26,-547.5,-543.6,4.0
1.94,3.26,-563.0,-560.2,2.9
2.04,3.26,-578.8,-576.7,2.1
2.14,3.26,-594.6,-594.2,0.4
2.24,3.26,-611.0,-611.9,-0.9
2.34,3.26,-628.6,-629.7,-1.1
2.44,3.26,-647.2,-648.7,-1.5
2.54,3.26,-664.6,-664.1,0.6
2.64,3.26,-680.5,-676.8,3.7
2.74,3.26,-695.3,-691.9,3.4
2.84,3.26,-710.1,-708.8,1.3
2.94,3.26,-726.5,-725.2,1.3
3.04,3.26,-743.5,-740.4,3.1
3.14,3.26,-761.2,-756.8,4.3
3.24,3.26,-779.7,-773.3,6.4
3.34,3.26,-798.9,-789.8,9.2
3.44,3.26,-817.0,-805.9,11.1
3.54,3.26,-834.4,-822.4,12.0
3.64,3.26,-850.9,-838.6,12.4
3.74,3.26,-865.7,-854.3,11.5
3.84,3.26,-878.9,-869.4,9.4
3.94,3.26,-891.2,-885.0,6.2
4.04,3.26,-903.4,-898.8,4.6
4.14,3.26,-914.5,-911.4,3.1
4.24,3.26,-926.1,-925.0,1.2
4.34,3.26,-937.5,-937.5,0.1
4.44,3.26,-948.6,-950.1,-1.5
4.54,3.26,-959.0,-959.7,-0.7
4.64,3.26,-970.4,-971.4,-1.0
4.74,3.26,-982.9,-982.7,0.2
4.84,3.26,-996.5,-995.8,0.7
4.94,3.26,-1009.6,-1008.2,1.4
-4.96,3.16,-940.6,-947.2,-6.5
-4.86,3.16,-936.4,-944.5,-8.2
-4.76,3.16,-930.1,-936.4,-6.3
-4.66,3.16,-922.3,-926.2,-3.9
-4.56,3.16,-913.1,-916.8,-3.7
-4.46,3.16,-901.8,-905.3,-3.6
-4.36,3.16,-888.0,-891.8,-3.9
-4.26,3.16,-873.4,-877.3,-3.9
-4.16,3.16,-858.4,-861.2,-2.9
-4.06,3.16,-842.7,-844.6,-1.9
-3.96,3.16,-826.0,-827.6,-1.6
-3.86,3.16,-808.8,-809.2,-0.4
-3.76,3.16,-791.6,-790.7,0.9
-3.66,3.16,-774.4,-772.9,1.6
-3.56,3.16,-757.7,-755.4,2.3
-3.46,3.16,-741.6,-738.8,2.9
-3.36,3.16,-725.8,-722.6,3.2
-3.26,3.16,-709.1,-707.7,1.4
-3.16,3.16,-692.0,-692.2,-0.2
-3.06,3.16,-674.6,-678.8,-4.2
-2.96,3.16,-658.1,-669.8,-11.7
-2.86,3.16,-643.8,-664.0,-20.2
-2.76,3.16,-632.7,-657.8,-25.1
-2.66,3.16,-623.5,-648.3,-24.8
-2.56,3.16,-615.2,-638.2,-23.0
-2.46,3.16,-608.0,-628.1,-20.1
-2.36,3.16,-600.4,-618.0,-17.6
-2.26,3.16,-592.4,-607.4,-15.0
-2.16,3.16,-584.2,-599.4,-15.2
-2.06,3.16,-573.7,-597.6,-23.9
-1.96,3.16,-560.5,-590.6,-30.1
-1.86,3.16,-547.2,-582.9,-35.7
-1.76,3.16,-531.4,-577.3,-45.8
-1.66,3.16,-512.4,-567.0,-54.7
-1.56,3.16,-494.0,-551.1,-57.1
-1.46,3.16,-479.0,-542.8,-63.8
-1.36,3.16,-469.1,-537.0,-67.9
-1.26,3.16,-464.5,-520.3,-55.9
-1.16,3.16,-463.0,-496.1,-33.1
-1.06,3.16,-456.3,-469.1,-12.8
-0.96,3.16,-439.5,-442.5,-3.0
-0.86,3.16,-417.7,-420.6,-2.9
-0.76,3.16,-397.0,-404.1,-7.1
-0.66,3.16,-379.7,-388.4,-8.7
-0.56,3.16,-367.8,-375.7,-7.9
-0.46,3.16,-360.2,-367.6,-7.4
-0.36,3.16,-354.9,-361.7,-6.8
-0.26,3.16,-352.0,-359.2,-7.3
-0.16,3.16,-351.8,-361.0,-9.2
-0.06,3.16,-354.4,-365.0,-10.6
0.04,3.16,-357.4,-367.0,-9.6
0.14,3.16,-359.6,-368.0,-8.4
0.24,3.16,-362.9,-370.3,-7.4
0.34,3.16,-368.2,-375.0,-6.8
0.44,3.16,-375.6,-384.1,-8.5
0.54,3.16,-383.6,-393.7,-10.1
0.64,3.16,-391.5,-401.0,-9.6
0.74,3.16,-400.5,-409.4,-8.9
0.84,3.16,-411.1,-419.7,-8.7
0.94,3.16,-421.9,-428.6,-6.7
1.04,3.16,-432.4,-437.8,-5.4
1.14,3.16,-441.9,-444.4,-2.5
1.24,3.16,-449.8,-451.7,-2.0
1.34,3.16,-458.3,-460.8,-2.6
1.44,3.16,-468.6,-469.9,-1.3
1.54,3.16,-480.7,-480.1,0.6
1.64,3.16,-494.4,-492.7,1.7
1.74,3.16,-509.8,-507.5,2.3
1.84,3.16,-525.8,-524.6,1.2
1.94,3.16,-541.8,-542.1,-0.3
2.04,3.16,-558.6,-559.5,-0.9
2.14,3.16,-576.2,-577.9,-1.8
2.24,3.16,-593.9,-596.1,-2.2
2.34,3.16,-612.2,-614.6,-2.4
2.44,3.16,-631.1,-632.7,-1.6
2.54,3.16,-648.3,-647.9,0.4
2.64,3.16,-664.1,-662.9,1.1
2.74,3.16,-679.8,-679.5,0.3
2.84,3.16,-695.9,-697.8,-1.9
2.94,3.16,-712.9,-715.1,-2.2
3.04,3.16,-730.8,-730.1,0.7
3.14,3.16,-750.1,-746.3,3.8
3.24,3.16,-770.4,-763.8,6.6
3.34,3.16,-791.2,-781.2,10.0
3.44,3.16,-809.8,-798.1,11.8
3.54,3.16,-826.6,-814.4,12.2
3.64,3.16,-841.7,-830.4,11.4
3.74,3.16,-855.2,-845.6,9.6
3.84,3.16,-867.4,-860.0,7.4
3.94,3.16,-879.4,-873.4,5.9
4.04,3.16,-891.4,-887.3,4.0
4.14,3.16,-902.1,-901.2,1.0
4.24,3.16,-913.6,-912.9,0.6
4.34,3.16,-925.3,-925.0,0.4
4.44,3.16,-936.7,-936.9,-0.3
4.54,3.16,-947.6,-947.9,-0.3
4.64,3.16,-960.2,-958.8,1.3
4.74,3.16,-973.4,-972.4,0.9
4.84,3.16,-986.5,-985.3,1.2
4.94,3.16,-998.7,-997.7,1.0
-4.96,3.06,-923.7,-935.6,-11.9
-4.86,3.06,-919.2,-934.4,-15.2
-4.76,3.06,-913.0,-925.5,-12.5
-4.66,3.06,-905.3,-913.5,-8.2
-4.56,3.06,-897.4,-903.3,-5.9
-4.46,3.06,-887.3,-893.4,-6.1
-4.36,3.06,-874.1,-880.0,-5.9
-4.26,3.06,-859.4,-865.9,-6.5
-4.16,3.06,-843.7,-850.4,-6.7
-4.06,3.06,-827.6,-834.3,-6.8
-3.96,3.06,-810.9,-816.2,-5.4
-3.86,3.06,-793.8,-798.3,-4.6
-3.76,3.06,-776.3,-779.1,-2.8
-3.66,3.06,-759.1,-761.7,-2.6
-3.56,3.06,-742.3,-743.5,-1.2
-3.46,3.06,-725.7,-726.7,-1.0
-3.36,3.06,-709.3,-709.6,-0.4
-3.26,3.06,-692.6,-690.9,1.6
-3.16,3.06,-675.3,-674.6,0.7
-3.06,3.06,-657.7,-660.4,-2.7
-2.96,3.06,-640.8,-648.6,-7.8
-2.86,3.06,-625.4,-642.1,-16.7
-2.76,3.06,-613.3,-635.3,-22.0
-2.66,3.06,-602.9,-626.7,-23.8
-2.56,3.06,-593.5,-617.7,-24.1
-2.46,3.06,-585.5,-609.5,-24.0
-2.36,3.06,-578.2,-598.0,-19.8
-2.26,3.06,-570.8,-586.3,-15.5
-2.16,3.06,-562.3,-577.3,-15.1
-2.06,3.06,-550.9,-574.6,-23.7
-1.96,3.06,-536.3,-567.9,-31.6
-1.86,3.06,-522.5,-558.0,-35.5
-1.76,3.06,-508.5,-559.7,-51.2
-1.66,3.06,-491.3,-556.3,-64.9
-1.56,3.06,-474.3,-537.5,-63.2
-1.46,3.06,-460.5,-524.0,-63.4
-1.36,3.06,-450.7,-517.4,-66.7
-1.26,3.06,-445.4,-501.7,-56.4
-1.16,3.06,-442.2,-477.7,-35.5
-1.06,3.06,-433.1,-452.1,-19.0
-0.96,3.06,-413.3,-423.4,-10.2
-0.86,3.06,-389.1,-398.2,-9.1
-0.76,3.06,-367.3,-378.5,-11.2
-0.66,3.06,-349.0,-359.5,-10.5
-0.56,3.06,-335.4,-343.6,-8.2
-0.46,3.06,-326.2,-332.6,-6.4
-0.36,3.06,-320.1,-325.5,-5.4
-0.26,3.06,-316.9,-323.6,-6.7
-0.16,3.06,-316.7,-325.4,-8.7
-0.06,3.06,-319.8,-330.2,-10.4
0.04,3.06,-323.6,-333.0,-9.4
0.14,3.06,-326.5,-335.1,-8.6
0.24,3.06,-330.2,-337.8,-7.6
0.34,3.06,-335.8,-342.2,-6.4
0.44,3.06,-343.6,-354.8,-11.2
0.54,3.06,-352.0,-364.5,-12.5
0.64,3.06,-360.7,-373.2,-12.5
0.74,3.06,-370.4,-382.1,-11.7
0.84,3.06,-381.6,-391.0,-9.4
0.94,3.06,-393.3,-400.7,-7.4
1.04,3.06,-405.1,-412.2,-7.1
1.14,3.06,-415.7,-419.0,-3.3
1.24,3.06,-424.0,-426.5,-2.6
1.34,3.06,-432.2,-435.7,-3.6
1.44,3.06,-441.9,-446.5,-4.6
1.54,3.06,-454.4,-457.8,-3.4
1.64,3.06,-469.4,-470.0,-0.5
1.74,3.06,-486.2,-487.1,-1.0
1.84,3.06,-503.4,-505.2,-1.7
1.94,3.06,-520.7,-524.0,-3.2
2.04,3.06,-538.9,-542.8,-3.8
2.14,3.06,-557.9,-561.9,-4.1
2.24,3.06,-576.8,-580.7,-4.0
2.34,3.06,-595.6,-599.3,-3.7
2.44,3.06,-614.4,-617.1,-2.8
2.54,3.06,-631.1,-633.7,-2.6
2.64,3.06,-647.1,-650.4,-3.2
2.74,3.06,-664.1,-667.9,-3.8
2.84,3.06,-682.4,-686.6,-4.2
2.94,3.06,-701.0,-705.1,-4.1
3.04,3.06,-720.9,-720.9,-0.1
3.14,3.06,-741.7,-737.6,4.1
3.24,3.06,-762.3,-755.5,6.8
3.34,3.06,-782.9,-772.7,10.2
3.44,3.06,-801.0,-789.1,11.9
3.54,3.06,-817.0,-804.9,12.1
3.64,3.06,-830.7,-820.6,10.2
3.74,3.06,-843.1,-835.0,8.1
3.84,3.06,-854.4,-848.5,5.9
3.94,3.06,-866.2,-862.0,4.2
4.04,3.06,-878.3,-875.2,3.0
4.14,3.06,-889.1,-887.1,2.0
4.24,3.06,-900.8,-900.5,0.3
4.34,3.06,-913.0,-912.8,0.2
4.44,3.06,-924.7,-924.7,0.0
4.54,3.06,-936.4,-936.7,-0.2
4.64,3.06,-949.9,-948.3,1.5
4.74,3.06,-963.1,-961.2,1.9
4.84,3.06,-975.8,-976.4,-0.5
4.94,3.06,-987.7,-987.0,0.7
-4.96,2.96,-907.7,-927.6,-19.9
-4.86,2.96,-901.8,-926.3,-24.5
-4.76,2.96,-895.0,-914.2,-19.3
-4.66,2.96,-887.3,-897.9,-10.5
-4.56,2.96,-880.6,-888.9,-8.3
-4.46,2.96,-872.4,-879.3,-6.9
-4.36,2.96,-860.4,-867.0,-6.5
-4.26,2.96,-845.6,-853.1,-7.4
-4.16,2.96,-828.7,-838.1,-9.4
-4.06,2.96,-811.4,-821.9,-10.5
-3.96,2.96,-794.4,-804.9,-10.5
-3.86,2.96,-777.3,-784.7,-7.4
-3.76,2.96,-759.9,-765.9,-6.0
-3.66,2.96,-742.8,-748.0,-5.3
-3.56,2.96,-725.9,-730.1,-4.2
-3.46,2.96,-708.8,-712.4,-3.6
-3.36,2.96,-691.7,-693.5,-1.8
-3.26,2.96,-674.7,-674.8,-0.0
-3.16,2.96,-657.7,-657.6,0.1
-3.06,2.96,-640.2,-641.8,-1.6
-2.96,2.96,-622.6,-628.8,-6.2
-2.86,2.96,-606.0,-619.2,-13.1
-2.76,2.96,-592.7,-613.3,-20.6
-2.66,2.96,-581.4,-605.4,-24.0
-2.56,2.96,-571.0,-596.2,-25.2
-2.46,2.96,-562.2,-588.4,-26.1
-2.36,2.96,-555.0,-577.7,-22.7
-2.26,2.96,-547.5,-564.9,-17.4
-2.16,2.96,-538.3,-553.6,-15.3
-2.06,2.96,-526.3,-547.0,-20.7
-1.96,2.96,-510.9,-540.3,-29.5
-1.86,2.96,-495.7,-530.6,-34.9
-1.76,2.96,-481.9,-537.8,-55.8
-1.66,2.96,-466.0,-541.1,-75.2
-1.56,2.96,-449.6,-528.7,-79.1
-1.46,2.96,-438.2,-507.3,-69.1
-1.36,2.96,-430.7,-495.8,-65.1
-1.26,2.96,-426.0,-481.7,-55.7
-1.16,2.96,-421.5,-457.9,-36.4
-1.06,2.96,-410.1,-430.8,-20.7
-0.96,2.96,-387.0,-402.8,-15.8
-0.86,2.96,-360.1,-374.3,-14.2
-0.76,2.96,-336.9,-351.7,-14.8
-0.66,2.96,-317.8,-330.7,-12.9
-0.56,2.96,-302.9,-311.4,-8.5
-0.46,2.96,-292.0,-297.4,-5.4
-0.36,2.96,-284.6,-288.6,-4.0
-0.26,2.96,-280.7,-285.8,-5.1
-0.16,2.96,-280.4,-287.0,-6.6
-0.06,2.96,-284.0,-294.2,-10.2
0.04,2.96,-288.8,-298.1,-9.2
0.14,2.96,-292.3,-300.9,-8.6
0.24,2.96,-296.1,-302.6,-6.5
0.34,2.96,-301.9,-306.9,-5.0
0.44,2.96,-310.7,-321.8,-11.1
0.54,2.96,-320.1,-333.1,-12.9
0.64,2.96,-329.7,-343.2,-13.5
0.74,2.96,-339.8,-352.5,-12.7
0.84,2.96,-350.8,-362.9,-12.1
0.94,2.96,-362.7,-374.8,-12.1
1.04,2.96,-375.4,-385.1,-9.6
1.14,2.96,-387.1,-392.1,-5.0
1.24,2.96,-395.9,-401.0,-5.2
1.34,2.96,-403.6,-410.6,-7.1
1.44,2.96,-413.2,-420.8,-7.7
1.54,2.96,-426.9,-434.5,-7.6
1.64,2.96,-443.7,-449.5,-5.7
1.74,2.96,-462.2,-465.7,-3.5
1.84,2.96,-481.3,-485.0,-3.8
1.94,2.96,-500.4,-505.3,-4.9
2.04,2.96,-519.6,-525.3,-5.7
2.14,2.96,-539.2,-545.1,-5.9
2.24,2.96,-558.9,-565.0,-6.1
2.34,2.96,-578.3,-584.1,-5.8
2.44,2.96,-596.7,-602.2,-5.5
2.54,2.96,-613.3,-620.0,-6.7
2.64,2.96,-630.8,-637.8,-7.0
2.74,2.96,-650.2,-656.5,-6.3
2.84,2.96,-671.1,-674.5,-3.4
2.94,2.96,-691.7,-692.8,-1.1
3.04,2.96,-712.6,-710.9,1.7
3.14,2.96,-733.2,-728.3,4.9
3.24,2.96,-753.2,-745.7,7.4
3.34,2.96,-772.7,-762.6,10.1
3.44,2.96,-790.3,-778.8,11.5
3.54,2.96,-805.7,-794.3,11.4
3.64,2.96,-818.2,-808.7,9.5
3.74,2.96,-829.5,-822.7,6.7
3.84,2.96,-840.1,-836.3,3.8
3.94,2.96,-851.8,-849.1,2.7
4.04,2.96,-863.8,-861.4,2.4
4.14,2.96,-875.3,-873.3,2.0
4.24,2.96,-887.6,-886.7,0.9
4.34,2.96,-900.2,-899.7,0.4
4.44,2.96,-912.7,-912.4,0.3
4.54,2.96,-925.2,-924.8,0.3
4.64,2.96,-938.8,-937.8,1.0
4.74,2.96,-951.8,-952.3,-0.4
4.84,2.96,-964.4,-966.6,-2.2
4.94,2.96,-976.4,-982.1,-5.7
-4.96,2.86,-892.7,-910.2,-17.5
-4.86,2.86,-884.6,-901.1,-16.4
-4.76,2.86,-876.2,-891.6,-15.3
-4.66,2.86,-868.0,-879.8,-11.8
-4.56,2.86,-861.5,-872.2,-10.7
-4.46,2.86,-855.1,-863.7,-8.5
-4.36,2.86,-845.4,-852.6,-7.2
-4.26,2.86,-831.7,-839.3,-7.6
-4.16,2.86,-814.3,-824.8,-10.5
-4.06,2.86,-795.9,-808.3,-12.4
-3.96,2.86,-778.0,-790.4,-12.4
-3.86,2.86,-760.5,-770.7,-10.2
-3.76,2.86,-742.7,-751.8,-9.1
-3.66,2.86,-725.7,-733.7,-8.0
-3.56,2.86,-708.7,-715.4,-6.7
-3.46,2.86,-690.8,-696.1,-5.3
-3.36,2.86,-673.0,-676.4,-3.4
-3.26,2.86,-656.1,-658.5,-2.5
-3.16,2.86,-639.4,-640.4,-1.0
-3.06,2.86,-622.2,-623.9,-1.6
-2.96,2.86,-604.2,-608.7,-4.4
-2.86,2.86,-586.3,-597.4,-11.1
-2.76,2.86,-571.1,-590.8,-19.7
-2.66,2.86,-558.5,-583.2,-24.7
-2.56,2.86,-547.4,-574.6,-27.2
-2.46,2.86,-538.0,-564.6,-26.6
-2.36,2.86,-530.4,-554.1,-23.6
-2.26,2.86,-522.9,-541.5,-18.6
-2.16,2.86,-513.0,-529.0,-15.9
-2.06,2.86,-500.5,-518.0,-17.5
-1.96,2.86,-484.6,-505.2,-20.6
-1.86,2.86,-467.9,-494.4,-26.5
-1.76,2.86,-453.2,-497.6,-44.4
-1.66,2.86,-436.6,-505.1,-68.5
-1.56,2.86,-418.8,-496.0,-77.2
-1.46,2.86,-407.7,-481.1,-73.4
-1.36,2.86,-404.0,-474.0,-70.0
-1.26,2.86,-403.2,-462.2,-59.1
-1.16,2.86,-399.2,-438.7,-39.5
-1.06,2.86,-386.9,-411.1,-24.2
-0.96,2.86,-361.5,-383.5,-22.0
-0.86,2.86,-331.4,-353.0,-21.6
-0.76,2.86,-306.4,-323.6,-17.2
-0.66,2.86,-286.2,-301.0,-14.9
-0.56,2.86,-270.0,-281.0,-11.0
-0.46,2.86,-257.5,-264.2,-6.7
-0.36,2.86,-248.4,-254.3,-5.8
-0.26,2.86,-243.4,-247.4,-3.9
-0.16,2.86,-243.0,-248.0,-5.0
-0.06,2.86,-247.4,-255.9,-8.5
0.04,2.86,-253.1,-261.5,-8.4
0.14,2.86,-257.2,-265.5,-8.3
0.24,2.86,-260.6,-266.8,-6.2
0.34,2.86,-266.3,-271.4,-5.1
0.44,2.86,-276.0,-286.7,-10.7
0.54,2.86,-286.7,-299.9,-13.1
0.64,2.86,-297.1,-309.4,-12.3
0.74,2.86,-307.1,-319.7,-12.5
0.84,2.86,-318.0,-331.7,-13.7
0.94,2.86,-330.6,-351.2,-20.6
1.04,2.86,-344.6,-361.1,-16.5
1.14,2.86,-357.0,-365.7,-8.7
1.24,2.86,-365.8,-373.5,-7.8
1.34,2.86,-373.4,-382.9,-9.5
1.44,2.86,-384.0,-394.9,-10.9
1.54,2.86,-399.3,-409.1,-9.8
1.64,2.86,-417.8,-426.8,-9.0
1.74,2.86,-438.0,-446.4,-8.4
1.84,2.86,-459.1,-465.4,-6.3
1.94,2.86,-480.0,-486.8,-6.8
2.04,2.86,-500.0,-508.3,-8.3
2.14,2.86,-520.1,-529.0,-8.9
2.24,2.86,-540.6,-549.6,-9.0
2.34,2.86,-560.7,-569.2,-8.5
2.44,2.86,-579.4,-588.4,-9.0
2.54,2.86,-597.7,-606.9,-9.2
2.64,2.86,-617.8,-625.5,-7.7
2.74,2.86,-638.9,-644.0,-5.1
2.84,2.86,-660.2,-661.9,-1.7
2.94,2.86,-681.0,-679.4,1.6
3.04,2.86,-701.9,-697.3,4.6
3.14,2.86,-722.1,-715.2,6.9
3.24,2.86,-741.6,-733.2,8.4
3.34,2.86,-760.1,-750.2,10.0
3.44,2.86,-776.9,-766.3,10.5
3.54,2.86,-791.4,-781.4,10.0
3.64,2.86,-803.3,-795.3,8.0
3.74,2.86,-814.6,-809.0,5.6
3.84,2.86,-825.4,-822.2,3.2
3.94,2.86,-837.0,-835.2,1.9
4.04,2.86,-849.4,-847.2,2.2
4.14,2.86,-862.3,-859.8,2.6
4.24,2.86,-875.3,-873.0,2.3
4.34,2.86,-888.3,-886.7,1.6
4.44,2.86,-901.6,-900.9,0.8
4.54,2.86,-914.7,-915.1,-0.4
4.64,2.86,-927.8,-929.5,-1.7
4.74,2.86,-940.1,-944.4,-4.4
4.84,2.86,-952.5,-958.5,-6.0
4.94,2.86,-964.7,-974.5,-9.9
-4.96,2.76,-878.7,-889.6,-10.9
-4.86,2.76,-868.8,-879.1,-10.3
-4.76,2.76,-858.5,-874.8,-16.3
-4.66,2.76,-848.7,-866.0,-17.3
-4.56,2.76,-842.0,-857.8,-15.8
-4.46,2.76,-837.0,-847.3,-10.3
-4.36,2.76,-829.2,-837.7,-8.5
-4.26,2.76,-816.8,-824.9,-8.1
-4.16,2.76,-800.0,-810.0,-9.9
-4.06,2.76,-781.2,-793.4,-12.1
-3.96,2.76,-762.3,-774.8,-12.5
-3.86,2.76,-743.6,-757.1,-13.5
-3.76,2.76,-724.8,-738.0,-13.2
-3.66,2.76,-707.4,-719.9,-12.6
-3.56,2.76,-690.1,-699.9,-9.7
-3.46,2.76,-672.0,-679.0,-7.0
-3.36,2.76,-653.7,-659.0,-5.3
-3.26,2.76,-636.7,-640.8,-4.0
-3.16,2.76,-620.1,-622.6,-2.5
-3.06,2.76,-603.4,-604.5,-1.1
-2.96,2.76,-585.7,-588.8,-3.1
-2.86,2.76,-566.7,-575.7,-8.9
-2.76,2.76,-549.4,-568.8,-19.4
-2.66,2.76,-535.1,-561.0,-25.9
-2.56,2.76,-523.5,-552.9,-29.4
-2.46,2.76,-513.6,-541.8,-28.2
-2.36,2.76,-505.4,-528.6,-23.1
-2.26,2.76,-497.5,-516.3,-18.8
-2.16,2.76,-487.1,-503.4,-16.3
-2.06,2.76,-473.3,-491.7,-18.4
-1.96,2.76,-456.2,-478.9,-22.7
-1.86,2.76,-437.7,-454.2,-16.5
-1.76,2.76,-421.1,-445.4,-24.4
-1.66,2.76,-403.7,-432.5,-28.9
-1.56,2.76,-384.9,-415.4,-30.5
-1.46,2.76,-373.5,-408.8,-35.3
-1.36,2.76,-373.8,-448.2,-74.4
-1.26,2.76,-378.0,-440.6,-62.7
-1.16,2.76,-375.9,-420.5,-44.5
-1.06,2.76,-363.9,-393.7,-29.9
-0.96,2.76,-337.3,-366.8,-29.5
-0.86,2.76,-303.7,-337.2,-33.5
-0.76,2.76,-275.3,-301.9,-26.6
-0.66,2.76,-253.5,-272.0,-18.5
-0.56,2.76,-236.1,-253.1,-17.0
-0.46,2.76,-222.0,-232.2,-10.2
-0.36,2.76,-211.3,-217.5,-6.2
-0.26,2.76,-205.1,-209.9,-4.8
-0.16,2.76,-204.3,-209.3,-5.0
-0.06,2.76,-209.3,-217.2,-7.9
0.04,2.76,-216.2,-225.3,-9.1
0.14,2.76,-220.7,-228.7,-8.1
0.24,2.76,-223.5,-227.9,-4.4
0.34,2.76,-229.2,-232.1,-2.9
0.44,2.76,-240.0,-253.1,-13.1
0.54,2.76,-251.9,-265.7,-13.7
0.64,2.76,-262.8,-273.1,-10.3
0.74,2.76,-272.8,-283.0,-10.2
0.84,2.76,-283.9,-297.5,-13.6
0.94,2.76,-297.6,-318.0,-20.4
1.04,2.76,-312.6,-331.4,-18.7
1.14,2.76,-324.8,-338.6,-13.8
1.24,2.76,-333.2,-345.1,-11.9
1.34,2.76,-341.7,-353.6,-11.9
1.44,2.76,-354.3,-366.2,-11.8
1.54,2.76,-371.9,-383.9,-12.0
1.64,2.76,-392.4,-403.6,-11.1
1.74,2.76,-414.7,-425.4,-10.7
1.84,2.76,-437.3,-447.8,-10.5
1.94,2.76,-459.3,-469.4,-10.1
2.04,2.76,-480.2,-492.2,-12.0
2.14,2.76,-501.1,-513.2,-12.1
2.24,2.76,-522.4,-534.4,-12.0
2.34,2.76,-543.1,-554.7,-11.6
2.44,2.76,-563.1,-573.7,-10.6
2.54,2.76,-583.8,-592.6,-8.8
2.64,2.76,-605.1,-611.3,-6.1
2.74,2.76,-625.8,-629.2,-3.4
2.84,2.76,-646.6,-647.2,-0.7
2.94,2.76,-667.1,-665.4,1.7
3.04,2.76,-688.0,-683.6,4.4
3.14,2.76,-708.2,-701.8,6.5
3.24,2.76,-727.6,-719.3,8.3
3.34,2.76,-745.1,-736.7,8.4
3.44,2.76,-760.9,-752.5,8.4
3.54,2.76,-774.9,-767.2,7.7
3.64,2.76,-787.2,-781.1,6.1
3.74,2.76,-799.6,-794.3,5.3
3.84,2.76,-811.0,-807.4,3.6
3.94,2.76,-822.7,-820.5,2.2
4.04,2.76,-835.7,-833.4,2.3
4.14,2.76,-849.8,-846.5,3.3
4.24,2.76,-863.4,-860.3,3.1
4.34,2.76,-876.8,-875.3,1.5
4.44,2.76,-890.9,-890.9,0.0
4.54,2.76,-904.8,-908.3,-3.5
4.64,2.76,-917.7,-924.3,-6.7
4.74,2.76,-929.6,-936.6,-7.0
4.84,2.76,-941.9,-950.9,-9.0
4.94,2.76,-954.1,-970.9,-16.9
-4.96,2.66,-866.0,-869.5,-3.4
-4.86,2.66,-854.9,-859.3,-4.3
-4.76,2.66,-843.4,-854.1,-10.7
-4.66,2.66,-832.0,-851.1,-19.1
-4.56,2.66,-823.7,-845.9,-22.2
-4.46,2.66,-818.0,-831.8,-13.8
-4.36,2.66,-811.0,-820.8,-9.8
-4.26,2.66,-800.2,-808.7,-8.5
-4.16,2.66,-784.9,-794.1,-9.2
-4.06,2.66,-766.3,-778.1,-11.8
-3.96,2.66,-746.6,-760.2,-13.6
-3.86,2.66,-727.0,-741.6,-14.6
-3.76,2.66,-707.4,-722.9,-15.5
-3.66,2.66,-688.8,-703.3,-14.5
-3.56,2.66,-670.9,-682.8,-12.0
-3.46,2.66,-652.6,-662.0,-9.5
-3.36,2.66,-633.9,-641.7,-7.8
-3.26,2.66,-616.1,-622.7,-6.6
-3.16,2.66,-599.0,-603.9,-4.9
-3.06,2.66,-582.5,-585.5,-3.0
-2.96,2.66,-565.7,-566.2,-0.6
-2.86,2.66,-546.9,-553.1,-6.2
-2.76,2.66,-528.3,-545.2,-16.9
-2.66,2.66,-512.4,-539.4,-27.0
-2.56,2.66,-499.9,-530.9,-31.1
-2.46,2.66,-489.2,-518.6,-29.4
-2.36,2.66,-480.1,-504.2,-24.1
-2.26,2.66,-471.3,-489.7,-18.5
-2.16,2.66,-460.0,-476.6,-16.6
-2.06,2.66,-445.0,-466.9,-21.9
-1.96,2.66,-426.7,-446.7,-20.0
-1.86,2.66,-406.2,-406.9,-0.7
-1.76,2.66,-386.6,-386.2,0.4
-1.66,2.66,-367.8,-374.6,-6.8
-1.56,2.66,-349.3,-365.4,-16.1
-1.46,2.66,-340.0,-384.8,-44.7
-1.36,2.66,-344.2,-420.5,-76.3
-1.26,2.66,-351.3,-417.3,-66.0
-1.16,2.66,-350.7,-400.0,-49.3
-1.06,2.66,-339.9,-376.6,-36.7
-0.96,2.66,-313.9,-348.5,-34.6
-0.86,2.66,-277.7,-319.4,-41.7
-0.76,2.66,-244.8,-287.3,-42.5
-0.66,2.66,-220.6,-256.4,-35.8
-0.56,2.66,-202.1,-223.3,-21.2
-0.46,2.66,-186.4,-197.5,-11.1
-0.36,2.66,-173.6,-179.8,-6.3
-0.26,2.66,-165.2,-170.9,-5.7
-0.16,2.66,-162.8,-167.0,-4.1
-0.06,2.66,-168.0,-171.3,-3.3
0.04,2.66,-176.5,-185.6,-9.1
0.14,2.66,-181.9,-189.1,-7.2
