year,plot,region,condition,herbi,rel_doy,rel_doy_lead,delay_day
2018,HHC,H,HC,0.100936044018038,-9.178957882470456,-1.996004661228568,7.182953221241888
2018,OLC,O,LC,0.150902999719941,35.821042117529544,2.003995338771432,-33.81704677875811
2018,MHC,M,HC,0.234299411159631,11.821042117529544,-17.996004661228568,-29.81704677875811
2020,D8H2C,D,HC,0.185077094993736,2.422132512069254,-23.9042783419344,-26.326410854003655
2017,AHM,A,HM,0.41710943286073,-0.6938155485267146,29.821042117529544,30.51485766605626
2017,HHC,H,HC,0.190443214355807,0.30618445147328543,-12.178957882470456,-12.485142333943742
2018,D5H2C,D,HC,0.404905686277272,0.8210421175295437,10.003995338771432,9.182953221241888
2019,GLM,G,LM,0.60078917763734,1.003995338771432,1.422132512069254,0.4181371732978221
2020,D7H2C,D,HC,0.350104860771018,3.422132512069254,18.0957216580656,14.673589145996345
2020,NLC,N,LC,0.385101151585253,2.422132512069254,-25.9042783419344,-28.326410854003655
2018,DLM,D,LM,0.155070254909064,0.8210421175295437,9.003995338771432,8.182953221241888
2019,OLC,O,LC,0.227647749099519,-4.996004661228568,24.422132512069254,29.418137173297822
2019,TLM,T,LM,0.264527964775811,13.003995338771432,7.422132512069254,-5.581862826702178
2017,THM,T,HM,0.0171056081411221,-11.693815548526715,0.8210421175295437,12.514857666056258
2018,OLM,O,LM,0.250327847752073,5.821042117529544,-11.996004661228568,-17.81704677875811
2019,JLM,J,LM,0.0702963820679832,-14.996004661228568,8.422132512069254,23.418137173297822
2020,HLM,H,LM,0.402624069595183,0.42213251206925406,-31.9042783419344,-32.326410854003655
2017,GLC,G,LC,0.226272504814198,23.306184451473285,-13.178957882470456,-36.48514233394374
2018,OLM,O,LM,0.00306990343472213,37.821042117529544,6.003995338771432,-31.81704677875811
2017,D7H2C,D,HC,0.395961875747779,-3.6938155485267146,-18.178957882470456,-14.485142333943742
2017,MLC,M,LC,0.120625035624226,-2.6938155485267146,-7.178957882470456,-4.485142333943742
2017,ALC,A,LC,0.0292172771435937,-28.693815548526715,-2.1789578824704563,26.51485766605626
2019,MHM,M,HM,0.326430702133179,-10.996004661228568,-7.577867487930746,3.418137173297822
2020,ALC,A,LC,0.248307937335954,6.422132512069254,-35.9042783419344,-42.326410854003655
2019,D7H2C,D,HC,0.352614571628368,-20.996004661228568,-11.577867487930746,9.418137173297822
2019,NHM,N,HM,0.253428308363945,27.003995338771432,-15.577867487930746,-42.58186282670218
2019,MHC,M,HC,0.203309194735362,-12.996004661228568,-4.577867487930746,8.418137173297822
2019,JLM,J,LM,0.177009453214592,9.003995338771432,-12.577867487930746,-21.581862826702178
2017,TLC,T,LC,0.309939160016447,2.3061844514732854,-6.178957882470456,-8.485142333943742
2020,TLM,T,LM,0.468098848300307,3.422132512069254,-1.9042783419344005,-5.3264108540036545
2017,NHC,N,HC,0.373347722689018,0.30618445147328543,-21.178957882470456,-21.48514233394374
2018,GHM,G,HM,0.495671164191769,-1.1789578824704563,-1.996004661228568,-0.8170467787581117
2019,D4H2C,D,HC,0.35663875139126,8.003995338771432,-8.577867487930746,-16.581862826702178
2017,AHM,A,HM,0.33607869616276,-8.693815548526715,-12.178957882470456,-3.4851423339437417
2017,MHM,M,HM,0.3456688883648,12.306184451473285,-7.178957882470456,-19.48514233394374
2017,JHC,J,HC,0.132200197840626,0.30618445147328543,0.8210421175295437,0.5148576660562583
2018,OHM,O,HM,0.310556084981511,46.821042117529544,-16.996004661228568,-63.81704677875811
2018,FH2C,F,HC,0.382612114796285,-9.178957882470456,16.003995338771432,25.18295322124189
2017,MLM,M,LM,0.140197252563511,-11.693815548526715,-3.1789578824704563,8.514857666056258
2018,ALM,A,LM,0.317787918681008,-7.178957882470456,2.003995338771432,9.182953221241888
2017,GLC,G,LC,0.516868223214717,-1.6938155485267146,-6.178957882470456,-4.485142333943742
